"year","DVRPC- All","DVRPC- State","DVRPC- Local","DVRPC- Other","Pennsylvania All Counties- All","Pennsylvania All Counties- State","Pennsylvania All Counties- Local","Pennsylvania All Counties- Other","New Jersey Suburbs- All","New Jersey Suburbs- State","New Jersey Suburbs- Local","New Jersey Suburbs- Other","Pennsylvania Suburbs- All","Pennsylvania Suburbs- State","Pennsylvania Suburbs- Local","Pennsylvania Suburbs- Other","Bucks- All","Bucks- State","Bucks- Local","Bucks- Other","Burlington- All","Burlington- State","Burlington- Local","Burlington- Other","Camden- All","Camden- State","Camden- Local","Camden- Other","Chester- All","Chester- State","Chester- Local","Chester- Other","Delaware- All","Delaware- State","Delaware- Local","Delaware- Other","Gloucester- All","Gloucester- State","Gloucester- Local","Gloucester- Other","Mercer- All","Mercer- State","Mercer- Local","Mercer- Other","Montgomery- All","Montgomery- State","Montgomery- Local","Montgomery- Other","Philadelphia- All","Philadelphia- State","Philadelphia- Local","Philadelphia- Other"
"2000",0.0,4458.6,863.6,852.2,0.0,4121.6,690.7,642.1,0.0,337.0,172.89999999999998,210.1,0.0,1055.8,261.4,426.79999999999995,0.0,430.7,49.9,165.0,0.0,88.4,23.4,0.0,0.0,55.8,55.8,210.1,0.0,165.7,30.7,10.0,0.0,117.7,52.8,51.6,0.0,68.3,10.2,0.0,0.0,124.5,83.5,0.0,0.0,341.7,128.0,200.2,0.0,3065.8,429.3,215.3
"2001",0.0,4884.0,903.5,864.0,0.0,4544.0,733.1,653.9,0.0,340.0,170.4,210.1,0.0,1106.8,331.20000000000005,426.2,0.0,409.5,59.6,151.5,0.0,97.4,20.3,0.0,0.0,52.5,52.4,210.1,0.0,209.6,29.4,14.3,0.0,122.8,50.9,51.8,0.0,68.3,16.5,0.0,0.0,121.8,81.2,0.0,0.0,364.9,191.3,208.6,0.0,3437.2,401.9,227.7
"2002",0.0,5471.7,926.1,866.2,0.0,5076.5,739.6,656.1,0.0,395.2,186.5,210.1,0.0,1457.0,343.0,428.4,0.0,468.6,61.7,151.5,0.0,147.5,18.0,0.0,0.0,56.3,52.5,210.1,0.0,257.8,39.2,14.3,0.0,133.1,51.7,51.8,0.0,68.3,13.3,0.0,0.0,123.1,102.7,0.0,0.0,597.5,190.4,210.8,0.0,3619.5,396.6,227.7
"2003",0.0,6280.8,805.3,863.5,0.0,5878.4,648.8,637.7,0.0,402.4,156.5,225.79999999999998,0.0,1573.6,336.5,406.8,0.0,561.2,60.5,154.4,0.0,153.7,18.0,7.7,0.0,54.4,34.0,218.1,0.0,241.7,40.0,14.3,0.0,181.2,33.0,41.0,0.0,68.3,10.3,0.0,0.0,126.0,94.2,0.0,0.0,589.5,203.0,197.1,0.0,4304.8,312.3,230.9
"2004",0.0,6082.3,816.5,819.9,0.0,5638.4,654.9,594.1,0.0,443.9,161.6,225.79999999999998,0.0,1654.1,344.0,385.1,0.0,610.5,66.2,123.9,0.0,194.3,17.8,7.7,0.0,55.2,37.7,218.1,0.0,203.9,37.6,17.3,0.0,173.8,37.9,41.0,0.0,68.3,10.3,0.0,0.0,126.1,95.8,0.0,0.0,665.9,202.3,202.9,0.0,3984.3,310.9,209.0
"2005",0.0,5805.8,838.2,840.7,0.0,5379.0,682.7,614.9,0.0,426.79999999999995,155.5,225.79999999999998,0.0,1688.2,366.5,405.9,0.0,578.7,67.1,124.6,0.0,171.2,20.9,7.7,0.0,61.3,31.4,218.1,0.0,175.8,40.0,17.3,0.0,258.9,46.2,41.0,0.0,68.3,10.7,0.0,0.0,126.0,92.5,0.0,0.0,674.8,213.2,223.0,0.0,3690.8,316.2,209.0
"2006",0.0,5918.6,833.2,839.1999999999999,0.0,5492.6,681.9,613.4,0.0,426.0,151.3,225.79999999999998,0.0,1856.5,369.0,404.4,0.0,568.3,66.0,124.6,0.0,171.5,12.3,7.7,0.0,48.0,31.1,218.1,0.0,204.0,40.0,20.1,0.0,268.8,46.2,41.0,0.0,83.2,12.0,0.0,0.0,123.3,95.9,0.0,0.0,815.4,216.8,218.7,0.0,3636.1,312.9,209.0
"2007",0.0,5780.6,963.2,738.9,0.0,5370.1,830.4,513.1,0.0,410.5,132.8,225.79999999999998,0.0,2059.6,392.4,402.1,0.0,581.0,84.6,140.3,0.0,198.1,12.3,7.7,0.0,38.4,26.8,218.1,0.0,252.7,37.2,21.0,0.0,195.6,47.5,43.1,0.0,59.2,11.1,0.0,0.0,114.8,82.6,0.0,0.0,1030.3,223.1,197.7,0.0,3310.5,438.0,111.0
"2008",0.0,5640.5,977.3,787.8,0.0,5230.9,858.4,693.6999999999999,0.0,409.6,118.9,94.1,0.0,1868.6,422.4,655.4,0.0,592.4,85.6,395.9,0.0,184.2,12.3,0.0,0.0,41.6,22.7,94.1,0.0,232.4,53.5,9.8,0.0,173.0,62.5,34.5,0.0,59.2,11.1,0.0,0.0,124.6,72.8,0.0,0.0,870.8,220.8,215.2,0.0,3362.3,436.0,38.3
"2009",0.0,5784.1,1051.7,517.2,0.0,5313.6,931.1,515.4,0.0,470.5,120.6,1.8,0.0,1784.8,505.8,472.1,0.0,564.2,84.4,222.8,0.0,239.2,12.3,0.0,0.0,34.1,29.0,1.8,0.0,197.8,67.1,15.7,0.0,173.0,69.8,37.7,0.0,81.2,9.6,0.0,0.0,116.0,69.7,0.0,0.0,849.8,284.5,195.9,0.0,3528.8,425.3,43.3
"2010",0.0,5409.2,1113.3,422.5,0.0,4910.2,963.9000000000001,365.1,0.0,499.0,149.39999999999998,57.4,0.0,1608.8,547.1,321.8,0.0,505.8,85.6,115.2,0.0,278.1,12.3,0.0,0.0,29.1,45.6,57.4,0.0,172.5,69.6,15.7,0.0,201.2,94.3,33.5,0.0,81.2,20.9,0.0,0.0,110.6,70.6,0.0,0.0,729.3,297.6,157.4,0.0,3301.4,416.8,43.3
"2011",0.0,4672.299999999999,951.5,593.7,0.0,4237.6,800.2,535.3,0.0,434.7,151.3,58.4,0.0,1606.9,563.4,396.5,0.0,508.7,103.6,171.9,0.0,237.2,12.3,0.0,0.0,30.5,48.1,58.4,0.0,150.8,75.9,16.9,0.0,226.2,95.6,50.3,0.0,63.6,19.2,0.0,0.0,103.4,71.7,0.0,0.0,721.2,288.3,157.4,0.0,2630.7,236.8,138.8
"2012",0.0,3832.3,1067.7,434.2,0.0,3394.3,894.9,375.8,0.0,438.0,172.8,58.4,0.0,1212.7,557.4,333.9,0.0,414.4,107.1,139.0,0.0,225.0,12.3,0.0,0.0,30.5,44.4,58.4,0.0,122.7,76.2,16.9,0.0,214.9,98.2,49.0,0.0,81.3,19.2,0.0,0.0,101.2,96.9,0.0,0.0,460.7,275.9,129.0,0.0,2181.6,337.5,41.9
"2013",0.0,3378.1,1019.0999999999999,1457.3,0.0,2928.7,846.9,384.1,0.0,449.4,172.2,1073.2,0.0,991.6,552.0,347.20000000000005,0.0,315.7,112.4,143.9,0.0,217.5,12.3,1016.6,0.0,27.0,48.4,56.6,0.0,124.1,70.6,17.5,0.0,169.0,94.3,49.0,0.0,84.2,14.6,0.0,0.0,120.7,96.9,0.0,0.0,382.8,274.7,136.8,0.0,1937.1,294.9,36.9
"2014",0.0,3298.0,1039.2,386.9,0.0,2871.5,856.9000000000001,328.5,0.0,426.5,182.3,58.4,0.0,973.1,558.8,291.6,0.0,295.8,114.9,93.8,0.0,201.7,8.0,0.0,0.0,28.8,46.8,58.4,0.0,136.2,66.8,12.7,0.0,159.0,104.3,53.5,0.0,76.6,22.0,0.0,0.0,119.4,105.5,0.0,0.0,382.1,272.8,131.6,0.0,1898.4,298.1,36.9
