"year","DVRPC- All","DVRPC- State","DVRPC- Local","DVRPC- Other","Pennsylvania All Counties- All","Pennsylvania All Counties- State","Pennsylvania All Counties- Local","Pennsylvania All Counties- Other","New Jersey Suburbs- All","New Jersey Suburbs- State","New Jersey Suburbs- Local","New Jersey Suburbs- Other","Pennsylvania Suburbs- All","Pennsylvania Suburbs- State","Pennsylvania Suburbs- Local","Pennsylvania Suburbs- Other","Bucks- All","Bucks- State","Bucks- Local","Bucks- Other","Burlington- All","Burlington- State","Burlington- Local","Burlington- Other","Camden- All","Camden- State","Camden- Local","Camden- Other","Chester- All","Chester- State","Chester- Local","Chester- Other","Delaware- All","Delaware- State","Delaware- Local","Delaware- Other","Gloucester- All","Gloucester- State","Gloucester- Local","Gloucester- Other","Mercer- All","Mercer- State","Mercer- Local","Mercer- Other","Montgomery- All","Montgomery- State","Montgomery- Local","Montgomery- Other","Philadelphia- All","Philadelphia- State","Philadelphia- Local","Philadelphia- Other"
2000,705,381,261,63,551,304,188,59,154,77,73,4,421,233,143,45,157,110,34,13,48,21,23,4,22,16,6,0,81,52,25,4,38,15,16,7,19,9,10,0,65,31,34,0,145,56,68,21,130,71,45,14
2001,740,402,275,63,587,328,200,59,153,74,75,4,444,242,157,45,149,102,36,11,46,19,23,4,21,16,5,0,97,69,23,5,38,15,16,7,23,9,14,0,63,30,33,0,160,56,82,22,143,86,43,14
2002,795,450,280,65,641,372,208,61,154,78,72,4,495,281,167,47,159,109,39,11,48,20,24,4,24,19,5,0,111,78,28,5,43,19,17,7,22,9,13,0,60,30,30,0,182,75,83,24,146,91,41,14
2003,802,463,270,69,662,390,209,63,140,73,61,6,508,292,168,48,162,112,38,12,42,17,20,5,23,17,5,1,109,76,28,5,47,25,15,7,19,9,10,0,56,30,26,0,190,79,87,24,154,98,41,15
2004,821,477,273,71,671,398,208,65,150,79,65,6,520,301,168,51,175,122,41,12,46,19,22,5,27,21,5,1,101,70,25,6,47,24,16,7,19,9,10,0,58,30,28,0,197,85,86,26,151,97,40,14
2005,833,471,289,73,688,397,224,67,145,74,65,6,542,307,182,53,181,126,43,12,44,18,21,5,24,17,6,1,101,67,28,6,54,29,18,7,20,9,11,0,57,30,27,0,206,85,93,28,146,90,42,14
2006,827,474,282,71,691,404,222,65,136,70,60,6,547,316,180,51,179,125,42,12,36,14,17,5,22,17,4,1,104,71,28,5,55,30,18,7,21,9,12,0,57,30,27,0,209,90,92,27,144,88,42,14
2007,847,482,295,65,718,415,239,59,129,67,56,6,568,328,187,52,187,126,47,14,32,12,15,5,26,21,4,1,105,74,25,6,58,32,19,7,18,7,11,0,53,27,26,0,218,96,96,25,150,87,52,7
2008,865,495,308,62,744,426,259,59,121,69,49,3,594,334,207,53,197,131,49,17,31,16,12,3,22,18,4,0,117,72,40,5,59,31,23,5,18,7,11,0,50,28,22,0,221,100,95,26,150,92,52,6
2009,905,498,348,59,790,430,302,58,115,68,46,1,632,328,253,51,191,121,55,15,28,14,13,1,23,19,4,0,135,74,55,6,62,31,25,6,18,9,9,0,46,26,20,0,244,102,118,24,158,102,49,7
