"year","DVRPC- All","DVRPC- Poor","DVRPC- Fair","DVRPC- Good","Pennsylvania All Counties- All","Pennsylvania All Counties- Poor","Pennsylvania All Counties- Fair","Pennsylvania All Counties- Good","New Jersey Suburbs- All","New Jersey Suburbs- Poor","New Jersey Suburbs- Fair","New Jersey Suburbs- Good","Pennsylvania Suburbs- All","Pennsylvania Suburbs- Poor","Pennsylvania Suburbs- Fair","Pennsylvania Suburbs- Good","Bucks- All","Bucks- Poor","Bucks- Fair","Bucks- Good","Burlington- All","Burlington- Poor","Burlington- Fair","Burlington- Good","Camden- All","Camden- Poor","Camden- Fair","Camden- Good","Chester- All","Chester- Poor","Chester- Fair","Chester- Good","Delaware- All","Delaware- Poor","Delaware- Fair","Delaware- Good","Gloucester- All","Gloucester- Poor","Gloucester- Fair","Gloucester- Good","Mercer- All","Mercer- Poor","Mercer- Fair","Mercer- Good","Montgomery- All","Montgomery- Poor","Montgomery- Fair","Montgomery- Good","Philadelphia- All","Philadelphia- Poor","Philadelphia- Fair","Philadelphia- Good"
2000,44264.0,6174.5,27694.7,10394.8,30592.4,5454.5,18936.4,6201.5,13671.6,720.0,8758.3,4193.3,14586.2,1744.1,8503.7,4338.4,3947.1,645.6,2829.0,472.5,2926.2,321.7,1853.1,751.4,5010.8,111.8,4075.5,823.4,1965.9,206.4,1224.4,535.1,3785.8,222.2,1692.1,1871.5,2884.4,78.5,1753.7,1052.2,2850.2,208.0,1076.0,1566.2,4887.4,669.9,2758.2,1459.3,16006.3,3710.4,10432.7,1863.1
2001,44422.9,6651.5,27864.5,9906.9,30723.1,5930.9,19028.7,5763.6,13699.8,720.6,8835.8,4143.4,14625.8,1864.0,8466.9,4294.9,3951.5,620.6,2843.7,487.2,2940.2,315.0,1873.6,751.6,5010.9,117.7,4096.6,796.6,1976.1,253.3,1218.8,504.0,3778.5,225.5,1700.9,1852.1,2884.4,84.9,1754.3,1045.2,2864.3,203.1,1111.3,1549.9,4919.7,764.7,2703.5,1451.5,16097.3,4066.8,10561.8,1468.7
2002,44675.8,7264.1,27110.3,10301.3,30887.1,6472.3,18926.4,5488.3,13788.7,791.8,8183.9,4813.0,14754.5,2228.5,8576.2,3949.8,3967.7,681.9,2848.2,437.6,2948.4,318.9,1938.7,690.9,5020.8,165.6,3389.7,1465.6,1995.0,311.2,1157.5,526.2,3789.0,236.6,1890.0,1662.4,2867.6,81.6,1750.4,1035.6,2951.9,225.8,1105.1,1621.0,5002.8,998.7,2680.5,1323.5,16132.6,4243.8,10350.2,1538.6
2003,45032.2,7949.7,27044.4,10038.1,31182.4,7164.9,18620.6,5396.9,13849.8,784.8,8423.8,4641.2,14734.3,2316.9,8555.8,3861.6,3968.1,776.1,2756.0,436.0,2971.5,306.5,2004.3,660.7,5028.3,179.4,3405.6,1443.3,2035.3,296.0,1167.8,571.4,3778.9,255.3,1926.1,1597.6,2898.9,78.6,1870.5,949.7,2951.1,220.3,1143.4,1587.4,4952.1,989.5,2706.0,1256.6,16448.1,4848.0,10064.8,1535.3
2004,45274.4,7718.7,27350.4,10205.3,31223.1,6887.4,18862.4,5473.4,14051.3,831.3,8488.1,4731.9,14826.4,2383.1,8880.7,3562.5,3965.8,800.7,2813.8,351.3,3051.2,311.0,2045.1,695.1,5050.2,219.8,3388.7,1441.8,2070.3,258.7,1184.0,627.6,3777.8,252.7,1940.7,1584.3,2967.5,78.6,1900.5,988.3,2982.4,221.9,1153.8,1606.7,5012.5,1071.0,2942.2,999.3,16396.8,4504.2,9981.6,1910.9
2005,45130.1,7484.8,28664.9,8980.5,31234.4,6676.5,19449.2,5108.7,13895.7,808.2,9215.7,3871.8,14874.3,2460.4,9090.3,3323.6,3967.0,770.3,2859.6,337.1,2968.3,310.9,2016.3,641.1,5035.2,199.8,4111.4,723.9,2059.8,233.1,1229.1,597.6,3780.1,346.1,2084.1,1349.9,2920.0,79.0,1908.2,932.8,2972.3,218.5,1179.8,1573.9,5067.4,1110.9,2917.5,1039.0,16360.0,4216.1,10358.9,1785.1
2006,45131.9,7590.9,28633.2,8907.8,31193.9,6787.9,19419.8,4986.2,13938.0,803.0,9213.4,3921.6,14880.1,2629.9,9048.3,3201.9,3974.9,758.8,2856.8,359.3,2970.0,297.2,2018.0,654.8,5038.5,191.5,4110.6,736.3,2074.5,264.2,1201.0,609.3,3780.1,356.0,2063.8,1360.3,2924.9,95.2,1889.8,940.0,3004.6,219.2,1195.0,1590.5,5050.6,1250.9,2926.7,873.0,16313.8,4158.0,10371.5,1784.3
2007,46006.6,7575.3,29685.8,8745.5,32061.1,6806.1,20129.1,5126.0,13945.5,769.2,9556.7,3619.5,15014.4,2857.9,8891.7,3264.8,4033.3,805.9,2898.4,329.1,2957.4,283.4,2135.5,538.5,5045.8,218.1,4258.1,569.7,2078.6,310.9,1178.7,589.0,3804.0,286.3,2109.7,1408.1,2924.3,70.3,1938.6,915.4,3017.9,197.5,1224.6,1595.9,5098.4,1454.9,2704.9,938.7,17046.7,3948.2,11237.4,1861.1
2008,45610.7,7405.6,29651.5,8553.6,31569.7,6783.0,19766.9,5019.8,14041.0,622.6,9884.6,3533.8,14532.7,2946.3,8391.4,3195.0,3521.8,1073.9,2163.1,284.8,3039.7,158.5,2304.4,576.8,5055.1,196.4,4387.5,471.1,2072.0,295.6,1219.0,557.4,3805.8,270.0,2119.6,1416.1,2923.0,70.3,1937.3,915.4,3023.2,197.4,1255.3,1570.5,5133.2,1306.8,2889.7,936.7,17037.0,3836.7,11375.6,1824.8
2009,45529.9,7353.0,29698.3,8478.6,31567.3,6760.0,19876.2,4931.1,13962.6,593.0,9822.2,3547.5,14534.5,2762.5,8436.7,3335.3,3525.4,871.3,2319.5,334.6,2959.9,64.9,2311.5,583.5,5056.0,251.5,4284.5,519.9,2037.0,280.6,1208.2,548.2,3806.5,280.4,2112.0,1414.1,2922.8,90.8,1940.0,892.0,3024.0,185.7,1286.2,1552.1,5165.5,1330.2,2797.0,1038.3,17032.8,3997.5,11439.5,1595.9
