"year","DVRPC- All","DVRPC- Poor","DVRPC- Fair","DVRPC- Good","Pennsylvania All Counties- All","Pennsylvania All Counties- Poor","Pennsylvania All Counties- Fair","Pennsylvania All Counties- Good","New Jersey Suburbs- All","New Jersey Suburbs- Poor","New Jersey Suburbs- Fair","New Jersey Suburbs- Good","Pennsylvania Suburbs- All","Pennsylvania Suburbs- Poor","Pennsylvania Suburbs- Fair","Pennsylvania Suburbs- Good","Bucks- All","Bucks- Poor","Bucks- Fair","Bucks- Good","Burlington- All","Burlington- Poor","Burlington- Fair","Burlington- Good","Camden- All","Camden- Poor","Camden- Fair","Camden- Good","Chester- All","Chester- Poor","Chester- Fair","Chester- Good","Delaware- All","Delaware- Poor","Delaware- Fair","Delaware- Good","Gloucester- All","Gloucester- Poor","Gloucester- Fair","Gloucester- Good","Mercer- All","Mercer- Poor","Mercer- Fair","Mercer- Good","Montgomery- All","Montgomery- Poor","Montgomery- Fair","Montgomery- Good","Philadelphia- All","Philadelphia- Poor","Philadelphia- Fair","Philadelphia- Good"
2000,4066,705,2309,1052,2886,551,1669,666,1180,154,640,386,2323,421,1337,565,643,157,390,96,334,48,191,95,250,22,159,69,606,81,376,149,354,38,181,135,245,19,125,101,351,65,165,121,720,145,390,185,563,130,332,101
2001,4074,740,2321,1013,2888,587,1669,632,1186,153,652,381,2323,444,1339,540,641,149,400,92,336,46,196,94,250,21,161,68,606,97,368,141,351,38,185,128,245,23,124,98,355,63,171,121,725,160,386,179,565,143,330,92
2002,4085,795,2295,995,2890,641,1640,609,1195,154,655,386,2325,495,1317,513,639,159,394,86,336,48,191,97,251,24,164,63,606,111,354,141,353,43,188,122,244,22,126,96,364,60,174,130,727,182,381,164,565,146,323,96
2003,4094,802,2307,985,2902,662,1639,601,1192,140,668,384,2325,508,1313,504,636,162,391,83,337,42,193,102,250,23,164,63,610,109,355,146,353,47,195,111,244,19,135,90,361,56,176,129,726,190,372,164,577,154,326,97
2004,4128,821,2329,978,2912,671,1654,587,1216,150,675,391,2335,520,1323,492,643,175,387,81,348,46,196,106,253,27,164,62,606,101,358,147,352,47,196,109,247,19,137,91,368,58,178,132,734,197,382,155,577,151,331,95
2005,4115,833,2329,953,2915,688,1650,577,1200,145,679,376,2338,542,1314,482,642,181,383,78,342,44,201,97,253,24,165,64,605,101,364,140,353,54,191,108,242,20,135,87,363,57,178,128,738,206,376,156,577,146,336,95
2006,4111,827,2319,965,2914,691,1645,578,1197,136,674,387,2339,547,1309,483,645,179,388,78,336,36,200,100,252,22,160,70,606,104,358,144,353,55,188,110,244,21,134,89,365,57,180,128,735,209,375,151,575,144,336,95
2007,4132,847,2331,954,2938,718,1640,580,1194,129,691,374,2349,568,1298,483,648,187,388,73,334,32,205,97,252,26,165,61,605,105,357,143,356,58,185,113,243,18,136,89,365,53,185,127,740,218,368,154,589,150,342,97
2008,4133,865,2311,957,2938,744,1613,581,1195,121,698,376,2353,594,1273,486,648,197,374,77,334,31,206,97,251,22,170,59,608,117,348,143,355,59,182,114,243,18,136,89,367,50,186,131,742,221,369,152,585,150,340,95
2009,4130,905,2259,966,2936,790,1556,590,1194,115,703,376,2350,632,1221,497,650,191,369,90,334,28,209,97,251,23,168,60,606,135,330,141,356,62,181,113,242,18,133,91,367,46,193,128,738,244,341,153,586,158,335,93
