"year","philuasov","philuanonsov","philuapool","philuatransit","philuawalk","philuatmo","philuaother","philuawfh","trenuasov","trenuanonsov","trenuapool","trenuatransit","trenuawalk","trenuatmo","trenuaother","trenuawfh"
2009,0.722,0.278,0.089,0.102,0.040,0.013,0.013,0.033,0.753,0.247,0.115,0.061,0.028,0.015,0.015,0.028
2010,0.722,0.278,0.087,0.104,0.040,0.014,0.014,0.033,0.747,0.253,0.118,0.058,0.030,0.017,0.017,0.029
2011,0.723,0.277,0.085,0.104,0.039,0.014,0.014,0.035,0.743,0.257,0.114,0.058,0.035,0.017,0.017,0.033
2012,0.725,0.275,0.083,0.102,0.039,0.014,0.014,0.036,0.757,0.243,0.102,0.059,0.030,0.017,0.017,0.035
2013,0.726,0.274,0.079,0.103,0.039,0.014,0.014,0.038,0.753,0.247,0.104,0.063,0.027,0.018,0.018,0.035
2014,0.725,0.275,0.079,0.104,0.039,0.014,0.014,0.039,0.752,0.248,0.109,0.063,0.025,0.014,0.014,0.036
2015,0.723,0.277,0.078,0.105,0.039,0.015,0.015,0.040,0.760,0.240,0.107,0.063,0.023,0.012,0.012,0.036
2016,0.721,0.279,0.077,0.104,0.039,0.016,0.016,0.042,0.755,0.245,0.117,0.061,0.021,0.011,0.011,0.035
2017,0.721,0.279,0.076,0.103,0.039,0.016,0.016,0.044,0.746,0.254,0.123,0.061,0.024,0.011,0.011,0.036
2018,0.718,0.282,0.076,0.103,0.038,0.017,0.017,0.047,0.752,0.248,0.123,0.054,0.025,0.008,0.008,0.038
2019,0.715,0.285,0.076,0.103,0.038,0.018,0.018,0.051,0.745,0.255,0.123,0.057,0.027,0.009,0.009,0.039
2020,0.694,0.306,0.076,0.095,0.036,0.019,0.019,0.081,0.736,0.264,0.118,0.050,0.025,0.010,0.010,0.062
2021,0.672,0.328,0.072,0.085,0.034,0.020,0.020,0.117,0.700,0.300,0.118,0.047,0.026,0.011,0.011,0.098
2022,0.654,0.346,0.070,0.078,0.033,0.020,0.020,0.144,0.661,0.339,0.107,0.049,0.022,0.016,0.016,0.144
2023,0.636,0.364,0.071,0.070,0.033,0.021,0.021,0.169,0.641,0.359,0.097,0.049,0.020,0.024,0.024,0.168
