"Year","BurlCo_1st","BurlCo_2nd","BurlCo_3rd","BurlCo_4th","BurlCo_5th","BurlCo_T5pct","BurlCo_All","CamdCo_1st","CamdCo_2nd","CamdCo_3rd","CamdCo_4th","CamdCo_5th","CamdCo_T5pct","CamdCo_All","GloCo_1st","GloCo_2nd","GloCo_3rd","GloCo_4th","GloCo_5th","GloCo_T5pct","GloCo_All","MerCo_1st","MerCo_2nd","MerCo_3rd","MerCo_4th","MerCo_5th","MerCo_T5pct","MerCo_All","BuckCo_1st","BuckCo_2nd","BuckCo_3rd","BuckCo_4th","BuckCo_5th","BuckCo_T5pct","BuckCo_All","ChesCo_1st","ChesCo_2nd","ChesCo_3rd","ChesCo_4th","ChesCo_5th","ChesCo_T5pct","ChesCo_All","DelCo_1st","DelCo_2nd","DelCo_3rd","DelCo_4th","DelCo_5th","DelCo_T5pct","DelCo_All","MontCo_1st","MontCo_2nd","MontCo_3rd","MontCo_4th","MontCo_5th","MontCo_T5pct","MontCo_All","PhilCo_1st","PhilCo_2nd","PhilCo_3rd","PhilCo_4th","PhilCo_5th","PhilCo_T5pct","PhilCo_All","NJCos_1st","NJCos_2nd","NJCos_3rd","NJCos_4th","NJCos_5th","NJCos_T5pct","NJCos_All","PASubCos_1st","PASubCos_2nd","PASubCos_3rd","PASubCos_4th","PASubCos_5th","PASubCos_T5pct","PASubCos_All","Region_1st","Region_2nd","Region_3rd","Region_4th","Region_5th","Region_T5pct","Region_All"
2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1823,3686,6055,7055,29776,76070,5026,77,-314,-34,506,-16379,-47996,1076,218,1656,3787,-1860,-5509,-16305,3158,946,2273,3999,7472,-8761,-94194,4396,1385,-301,-3163,-4778,-5862,13454,-2485,3698,3701,4544,86,29147,120900,4785,-168,1957,4084,2314,16981,49060,5200,67,-639,610,2769,32810,98219,1133,1448,1916,1756,2484,12649,43759,1692,779,1697,3181,3405,-37,-18113,3235,1049,885,1230,289,18885,70281,1873,1060,1352,1865,1683,11560,37375,2147
2008,-1028,3258,7511,9469,26422,64599,6493,-917,-1087,607,5155,2967,14626,389,1109,1555,-41,-2665,-5826,-13142,-628,-248,2119,4953,8870,444,-52776,5542,3151,1820,1032,-368,-2676,-14934,1047,4224,3536,3834,-125,16799,63377,3946,1553,5056,7709,8987,34997,93073,8582,-848,-449,2549,4121,12980,37639,2834,831,1008,2139,1596,3823,12805,2034,-446,1305,3394,5819,7333,8662,3064,1683,2161,3628,3343,14966,42345,3946,742,1372,2829,3128,8867,23105,2847
2009,-542,2824,3791,4428,25767,70627,3372,-1239,-1894,741,4259,13503,47975,516,805,1357,-192,-2761,-8428,-3724,-770,-1464,417,3176,3381,7535,-24914,2947,2410,916,769,-1318,9682,40592,1699,656,-3435,-1296,-1418,22699,93908,-1452,-173,603,5317,4511,11705,27550,5273,-12,-78,-933,-829,12434,31126,-1230,349,1260,2438,3426,18816,55392,2305,-719,520,1962,2845,11410,28364,1625,710,-256,948,330,14095,45843,1043,130,222,1421,1589,13998,42356,1331
2010,536,1155,1977,8731,41709,96772,931,-2209,-5945,-5261,-4209,-5648,807,-5666,-1813,-1904,-2476,-7659,3203,3766,-2275,-733,-2425,-9,1299,-23473,-110084,444,-524,-5174,-8177,-8574,-8522,731,-6942,1835,-974,275,-5919,-7707,21066,529,233,-1503,-930,-1517,-6435,-25951,-490,-249,-2465,-2689,-1032,-4085,-13163,-2068,-698,-1394,-2065,-2516,2895,17228,-2074,-1048,-2439,-1523,129,5418,3971,-1807,236,-2518,-2899,-3728,-5829,-4807,-2237,-426,-2281,-2412,-2481,-569,3185,-2203
2011,-1314,-3169,-2249,2474,21823,56446,-4043,-3317,-6341,-7184,-4575,-14420,-26430,-7493,962,-2424,-1675,-1515,1472,12761,-3469,-2790,-1387,658,-108,-14495,-87331,1321,-1416,-6142,-11343,-12290,-17201,-24784,-10403,-966,-7417,-10761,-13914,-32258,-61741,-9686,-199,-2442,-2242,-922,11301,20921,-1678,-3113,-4523,-4284,-3232,-5848,-11416,-4206,-157,-1820,-3514,-3726,2812,20190,-3761,-1844,-3565,-2940,-842,-1001,-8912,-3706,-1575,-4909,-6679,-6823,-9560,-16747,-6079,-1312,-3796,-4919,-4503,-4100,-4957,-4938
2012,-3102,-3805,-2987,-675,37212,109571,-3694,-3793,-8012,-7371,-5356,2350,25995,-7124,-871,-1213,-2410,-2690,-3617,-1556,-4010,-3087,-5687,-6743,-6164,-11641,-54442,-8213,-1521,-4567,-6977,-8060,-15512,-29438,-6077,-2000,-6157,-7051,-10939,-15729,-2945,-7603,-2356,-4507,-2118,-944,8030,31503,-2054,-3039,-5217,-5587,-5196,-2806,-9443,-5308,103,-852,-2864,-3250,10417,44193,-3167,-2886,-5008,-4972,-3504,8468,27627,-5703,-2254,-4936,-5234,-5803,-5480,-3055,-5008,-1844,-3968,-4702,-4713,2373,17829,-4894
2013,-24,1790,-541,387,21163,49507,-1707,-5077,-9826,-9252,-6802,-7782,-910,-9864,-1230,-5655,-6186,-6074,-5189,1518,-7390,-3453,-4945,-6169,-7184,-23137,-110540,-5896,-1580,-7810,-10469,-10798,1658,28140,-9887,-585,-6729,-7090,-7967,-7511,9689,-7675,-1854,-2311,781,1880,25530,79040,1520,-3982,-7227,-6789,-3176,13561,43336,-6821,-168,-708,-1945,-3322,14258,55283,-2013,-2611,-4698,-5483,-4552,-2150,-9797,-6154,-2161,-5988,-5797,-4501,9838,41831,-5617,-1829,-4372,-4936,-4583,7008,29917,-5065
2014,-3644,-3175,2044,6824,34019,81733,1033,-4129,-7919,-6362,-958,4133,14172,-5698,-2290,-1844,1805,703,12481,42573,1496,-3676,-4189,-2794,-708,-7630,-74224,-2268,-1572,-4831,-6623,-2779,6552,29820,-6044,-880,-7521,-7063,-6614,-2983,16851,-7245,-2114,-3023,-2295,-3884,19298,74385,-2091,-2474,-5762,-5679,-3783,-4078,-9121,-5215,334,414,-323,-1257,19997,67329,-36,-3544,-4616,-1659,1751,11742,19208,-1663,-1801,-5121,-5206,-3781,4636,25198,-4894,-1745,-3549,-2995,-1702,10582,34641,-2782
2015,-4301,-6324,-6149,-2150,25961,74154,-6692,-3791,-5401,-3373,3581,4533,8885,-2492,-1112,-3647,-838,-2927,17526,53586,-1325,-2478,-5332,-4670,-2452,-17970,-102654,-5580,-1032,-3754,-3706,1738,21665,55968,-2918,2410,-3667,-1434,-219,7648,28266,-1072,231,1352,3998,6179,24008,56504,3462,-2108,-2829,-1022,1871,23958,57822,-728,750,1637,2574,4859,23971,57847,2594,-3132,-5254,-3878,-368,8040,10650,-4030,-356,-2118,-377,2776,20987,52453,-123,-884,-2092,-728,2227,17842,41738,-655
2016,-1027,-703,-476,6805,53051,127965,-1204,-2872,-4948,-1826,2934,20889,44499,-1884,-899,-2404,907,1841,7859,13499,280,-3394,-2463,-35,2539,14430,-11332,-324,-1838,-3501,-6114,-5032,18789,69413,-4972,-1148,-4240,-516,-492,35227,130822,-174,-1275,-1089,2780,8333,30262,64796,2842,-1530,-3175,-795,1903,15695,32943,-993,-829,1203,2255,5729,27386,62970,2206,-2055,-2636,-420,3932,26251,49938,-809,-1418,-2841,-1023,1458,24312,69739,-718,-1478,-1766,-85,3156,25465,61993,-75
2017,-1168,1969,5966,10239,48228,112739,5638,-3493,-6660,-4351,1096,17172,35996,-3773,1636,1004,6420,4135,21610,52518,6171,-3472,-3543,-1279,5051,30347,11987,-477,-1961,-3013,-1658,5548,24972,41413,-1243,580,625,3023,1008,21959,92567,2562,-997,2188,7886,12609,58811,146324,8183,-1095,-239,1703,10313,41276,88640,687,,,,,,,,-1918,-2171,1167,5118,29412,54639,1397,-888,-37,2769,8163,37917,91219,2511,-2367,-2049,816,5562,34224,81142,778
2018,-1147,-293,778,7215,65544,180943,-120,-3287,-7527,-4152,2516,18458,64166,-4112,1053,-1724,147,1735,17309,24828,-1732,-3823,-3010,-155,893,5090,-30200,-1032,392,203,-17,4813,31080,70588,802,1444,869,2138,2434,18728,46781,2682,303,932,3744,8650,45286,99290,3959,-1147,-692,698,9216,38191,81004,1489,633,2123,5064,9906,49325,122200,5423,-2036,-3417,-1030,3512,29138,70631,-1789,142,402,1780,7043,34836,76572,2405,-468,-492,1474,6278,36310,86011,1641
2019,589,3088,3773,10753,54692,130362,2598,-1633,-1710,1629,8768,45314,119752,1541,-732,-45,4409,9236,31265,68834,5287,-6618,-4645,-2821,784,3809,-39811,-4022,-473,908,3838,8210,31052,71876,4925,1868,1092,3811,13231,72547,182712,3943,-203,1460,8372,13212,64938,152341,8536,-440,1091,2796,10818,32420,58796,2114,956,4137,5924,10236,59978,152753,6021,-1864,-560,1924,7879,36422,78328,1468,132,1324,4772,11580,48057,108597,4882,-354,1223,3784,9484,47026,110729,3732
2021,-3737,501,4257,12634,47996,106758,2675,-2791,-1556,2072,6810,31116,83700,1636,56,1514,5958,11184,39896,91349,4633,-4470,-1808,-759,94,12359,-16937,-541,-523,1725,4184,8523,36190,64508,5507,2086,3988,5487,8019,24433,44679,5275,-1147,768,4972,11603,56140,113402,4283,-2796,1674,7596,15429,37570,64605,7353,462,4197,9122,17289,52629,111248,8690,-2923,-442,2838,7912,33850,70446,2077,-816,2176,6087,11854,39617,72754,6146,-1259,1526,5348,11379,39987,80048,5040
2022,-2556,-809,1474,8510,57176,140435,1118,-4020,-3191,-1389,4395,23198,50147,-1282,-1059,-1003,1752,3977,6786,10391,883,-5290,-2266,661,3943,-9342,-92876,372,601,-415,2375,9036,40517,79887,2658,2632,4313,4771,7605,21609,43615,4038,-2059,1263,3209,5499,46505,119398,3694,-2096,-774,3370,11920,47436,88678,2942,720,4302,7974,13664,51423,109169,8028,-3390,-1906,506,5557,23104,37658,221,-376,1030,3745,9454,41345,85623,3633,-1257,345,2913,8036,36315,74158,2805
