"Year","BurlCo_1st","BurlCo_2nd","BurlCo_3rd","BurlCo_4th","BurlCo_5th","BurlCo_T5pct","BurlCo_All","CamdCo_1st","CamdCo_2nd","CamdCo_3rd","CamdCo_4th","CamdCo_5th","CamdCo_T5pct","CamdCo_All","GloCo_1st","GloCo_2nd","GloCo_3rd","GloCo_4th","GloCo_5th","GloCo_T5pct","GloCo_All","MerCo_1st","MerCo_2nd","MerCo_3rd","MerCo_4th","MerCo_5th","MerCo_T5pct","MerCo_All","BuckCo_1st","BuckCo_2nd","BuckCo_3rd","BuckCo_4th","BuckCo_5th","BuckCo_T5pct","BuckCo_All","ChesCo_1st","ChesCo_2nd","ChesCo_3rd","ChesCo_4th","ChesCo_5th","ChesCo_T5pct","ChesCo_All","DelCo_1st","DelCo_2nd","DelCo_3rd","DelCo_4th","DelCo_5th","DelCo_T5pct","DelCo_All","MontCo_1st","MontCo_2nd","MontCo_3rd","MontCo_4th","MontCo_5th","MontCo_T5pct","MontCo_All","PhilCo_1st","PhilCo_2nd","PhilCo_3rd","PhilCo_4th","PhilCo_5th","PhilCo_T5pct","PhilCo_All","NJCos_1st","NJCos_2nd","NJCos_3rd","NJCos_4th","NJCos_5th","NJCos_T5pct","NJCos_All","PASubCos_1st","PASubCos_2nd","PASubCos_3rd","PASubCos_4th","PASubCos_5th","PASubCos_T5pct","PASubCos_All","Region_1st","Region_2nd","Region_3rd","Region_4th","Region_5th","Region_T5pct","Region_All"
2006,27641,63455,98368,141661,255863,397310,99360,19045,51081,83549,124537,248145,408362,83050,23441,60951,96796,143097,251475,375564,97418,21158,57044,95680,149561,348094,672208,95296,25700,64700,103745,152691,303448,507222,102740,26534,70952,113522,172273,356009,586522,113194,19653,49617,80895,127731,269361,463450,80266,26571,65405,104217,153942,332607,594107,103869,8378,26026,48619,80750,172648,284802,48489,22685,57569,92659,138039,272843,457575,92798,24777,62713,100596,151200,315412,541149,100023,19719,51265,84191,128283,264445,447603,83942
2007,29464,67141,104423,148716,285639,473380,104386,19122,50767,83515,125043,231766,360366,84126,23659,62607,100583,141237,245966,359259,100576,22104,59317,99679,157033,339333,578014,99692,27085,64399,100582,147913,297586,520676,100255,30232,74653,118066,172359,385156,707422,117979,19485,51574,84979,130045,286342,512510,85466,26638,64766,104827,156711,365417,692326,105002,9826,27942,50375,83234,185297,328561,50181,23464,59266,95840,141444,272806,439462,96033,25826,63598,101826,151489,334297,611430,101896,20779,52617,86056,129966,276005,484978,86089
2008,26613,66713,105879,151130,282285,461909,105853,18128,49994,84156,129692,251112,422988,83439,24550,62506,96755,140432,245649,362422,96790,20910,59163,100633,158431,348538,619432,100838,28851,66520,104777,152323,300772,492288,103787,30758,74488,117356,172148,372808,649899,117140,21206,54673,88604,136718,304358,556523,88848,25723,64956,106766,158063,345587,631746,106703,9209,27034,50758,82346,176471,297607,50523,22239,58874,96053,143858,280176,466237,95862,26460,64874,104224,154543,330378,583494,103969,20461,52637,87020,131411,273312,470708,86789
2009,27099,66279,102159,146089,281630,467937,102732,17806,49187,84290,128796,261648,456337,83566,24246,62308,96604,140336,243047,371840,96648,19694,57461,98856,152942,355629,647294,98243,28110,65616,104514,151373,313130,547814,104439,27190,67517,112226,170855,378708,680430,111742,19480,50220,86212,132242,281066,491000,85539,26559,65327,103284,153113,345041,625233,102639,8727,27286,51057,84176,191464,340194,50794,21966,58089,94621,140884,284253,485939,94423,25487,62457,101544,151530,329507,586992,101066,19849,51487,85612,129872,278443,489959,85273
2010,28177,64610,100345,150392,297572,494082,100291,16836,45136,78288,120328,242497,409169,77384,21628,59047,94320,135438,254678,379330,95143,20425,54619,95671,150860,324621,562124,95740,25176,59526,95568,144117,294926,507953,95798,28369,69978,113797,166354,348302,607588,113723,19886,48114,79965,126214,262926,437499,79776,26322,62940,101528,152910,328522,580944,101801,7680,24632,46554,78234,175543,302030,46415,21637,55130,91136,138168,278261,461546,90991,25013,60195,97697,147472,309583,536342,97786,19293,48984,81779,125802,263876,450788,81739
2011,26327,60286,96119,144135,277686,453756,95317,15728,44740,76365,119962,233725,381932,75557,24403,58527,95121,141582,252947,388325,93949,18368,55657,96338,149453,333599,584877,96617,24284,58558,92402,140401,286247,482438,92337,25568,63535,102761,158359,323751,524781,103508,19454,47175,78653,126809,280662,484371,78588,23458,60882,99933,150710,326759,582691,99663,8221,24206,45105,77024,175460,304992,44728,20841,54004,89719,137197,271842,448663,89092,23202,57804,93917,144377,305852,524402,93944,18407,47469,79272,123780,260345,442646,79004
2012,24539,59650,95381,140986,293075,506881,95666,15252,43069,76178,119181,250495,434357,75926,22570,59738,94386,140407,247858,374008,93408,18071,51357,88937,143397,336453,617766,87083,24179,60133,96768,144631,287936,477784,96663,24534,64795,106471,161334,340280,583577,105591,17297,45110,78777,126787,277391,494953,78212,23532,60188,98630,148746,329801,584664,98561,8481,25174,45755,77500,183065,328995,45322,19799,52561,87687,134535,281311,485202,87095,22523,57777,95362,145397,309932,538094,95015,17875,47297,79489,123570,266818,465432,79048
2013,27617,65245,97827,142048,277026,446817,97653,13968,41255,74297,117735,240363,407452,73186,22211,55296,90610,137023,246286,377082,90028,17705,52099,89511,142377,324957,561668,89400,24120,56890,93276,141893,305106,535362,92853,25949,64223,106432,164306,348498,596211,105519,17799,47306,81676,129611,294891,542490,81786,22589,58178,97428,150766,346168,637443,97048,8210,25318,46674,77428,186906,340085,46476,20074,52871,87176,133487,270693,447778,86644,22616,56725,94799,146699,325250,582980,94406,17890,46893,79255,123700,271453,477520,78877
2014,23997,60280,100412,148485,289882,479043,100393,14916,43162,77187,123579,252278,422534,77352,21151,59107,98601,143800,263956,418137,98914,17482,52855,92886,148853,340464,597984,93028,24128,59869,97122,149912,310000,537042,96696,25654,63431,106459,165659,353026,603373,105949,17539,46594,78600,123847,288659,537835,78175,24097,59643,98538,150159,328529,584986,98654,8712,26440,48296,79493,192645,352131,48453,19141,52953,91000,139790,284585,476783,91135,22976,57592,95390,147419,320048,566347,95129,17974,47716,81196,126581,275027,482244,81160
2015,23340,57131,92219,139511,281824,471464,92668,15254,45680,80176,128118,252678,417247,80558,22329,57304,95958,140170,269001,429150,96093,18680,51712,91010,147109,330124,569554,89716,24668,60946,100039,154429,325113,563190,99822,28944,67285,112088,172054,363657,614788,112122,19884,50969,84893,133910,293369,519954,83728,24463,62576,103195,155813,356565,651929,103141,9128,27663,51193,85609,196619,342649,51083,19553,52315,88781,137671,280883,468225,88768,24421,60595,100219,153976,336399,593602,99900,18835,49173,83463,130510,282287,489341,83287
2016,26614,62752,97892,148466,308914,525275,98156,16173,46133,81723,127471,269034,452861,81166,22542,58547,97703,144938,259334,389063,97698,17764,54581,95645,152100,362524,660876,94972,23862,61199,97631,147659,322237,576635,97768,25386,66712,113006,171781,391236,717344,113020,18378,48528,83675,136064,299623,528246,83108,25041,62230,103422,155845,348302,627050,102876,7549,27229,50874,86479,200034,347772,50695,20630,54933,92239,141971,299094,507513,91989,23359,59872,99573,152658,339724,610888,99305,18241,49499,84106,131439,289910,509596,83867
