"Year","BurlCo_1st","BurlCo_2nd","BurlCo_3rd","BurlCo_4th","BurlCo_5th","BurlCo_T5pct","BurlCo_All","CamdCo_1st","CamdCo_2nd","CamdCo_3rd","CamdCo_4th","CamdCo_5th","CamdCo_T5pct","CamdCo_All","GloCo_1st","GloCo_2nd","GloCo_3rd","GloCo_4th","GloCo_5th","GloCo_T5pct","GloCo_All","MerCo_1st","MerCo_2nd","MerCo_3rd","MerCo_4th","MerCo_5th","MerCo_T5pct","MerCo_All","BuckCo_1st","BuckCo_2nd","BuckCo_3rd","BuckCo_4th","BuckCo_5th","BuckCo_T5pct","BuckCo_All","ChesCo_1st","ChesCo_2nd","ChesCo_3rd","ChesCo_4th","ChesCo_5th","ChesCo_T5pct","ChesCo_All","DelCo_1st","DelCo_2nd","DelCo_3rd","DelCo_4th","DelCo_5th","DelCo_T5pct","DelCo_All","MontCo_1st","MontCo_2nd","MontCo_3rd","MontCo_4th","MontCo_5th","MontCo_T5pct","MontCo_All","PhilCo_1st","PhilCo_2nd","PhilCo_3rd","PhilCo_4th","PhilCo_5th","PhilCo_T5pct","PhilCo_All","NJCos_1st","NJCos_2nd","NJCos_3rd","NJCos_4th","NJCos_5th","NJCos_T5pct","NJCos_All","PASubCos_1st","PASubCos_2nd","PASubCos_3rd","PASubCos_4th","PASubCos_5th","PASubCos_T5pct","PASubCos_All","Region_1st","Region_2nd","Region_3rd","Region_4th","Region_5th","Region_T5pct","Region_All"
2006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2007,0.066,0.058,0.062,0.050,0.116,0.191,0.051,0.004,-0.006,0.000,0.004,-0.066,-0.118,0.013,0.009,0.027,0.039,-0.013,-0.022,-0.043,0.032,0.045,0.040,0.042,0.050,-0.025,-0.140,0.046,0.054,-0.005,-0.030,-0.031,-0.019,0.027,-0.024,0.139,0.052,0.040,0.000,0.082,0.206,0.042,-0.009,0.039,0.050,0.018,0.063,0.106,0.065,0.003,-0.010,0.006,0.018,0.099,0.165,0.011,0.173,0.074,0.036,0.031,0.073,0.154,0.035,0.034,0.029,0.034,0.025,0.000,-0.040,0.035,0.042,0.014,0.012,0.002,0.060,0.130,0.019,0.054,0.026,0.022,0.013,0.044,0.084,0.026
2008,-0.037,0.051,0.076,0.067,0.103,0.163,0.065,-0.048,-0.021,0.007,0.041,0.012,0.036,0.005,0.047,0.026,0.000,-0.019,-0.023,-0.035,-0.006,-0.012,0.037,0.052,0.059,0.001,-0.079,0.058,0.123,0.028,0.010,-0.002,-0.009,-0.029,0.010,0.159,0.050,0.034,-0.001,0.047,0.108,0.035,0.079,0.102,0.095,0.070,0.130,0.201,0.107,-0.032,-0.007,0.024,0.027,0.039,0.063,0.027,0.099,0.039,0.044,0.020,0.022,0.045,0.042,-0.020,0.023,0.037,0.042,0.027,0.019,0.033,0.068,0.034,0.036,0.022,0.047,0.078,0.039,0.038,0.027,0.034,0.024,0.034,0.052,0.034
2009,-0.020,0.045,0.039,0.031,0.101,0.178,0.034,-0.065,-0.037,0.009,0.034,0.054,0.117,0.006,0.034,0.022,-0.002,-0.019,-0.034,-0.010,-0.008,-0.069,0.007,0.033,0.023,0.022,-0.037,0.031,0.094,0.014,0.007,-0.009,0.032,0.080,0.017,0.025,-0.048,-0.011,-0.008,0.064,0.160,-0.013,-0.009,0.012,0.066,0.035,0.043,0.059,0.066,0.000,-0.001,-0.009,-0.005,0.037,0.052,-0.012,0.042,0.048,0.050,0.042,0.109,0.194,0.048,-0.032,0.009,0.021,0.021,0.042,0.062,0.018,0.029,-0.004,0.009,0.002,0.045,0.085,0.010,0.007,0.004,0.017,0.012,0.053,0.095,0.016
2010,0.019,0.018,0.020,0.062,0.163,0.244,0.009,-0.116,-0.116,-0.063,-0.034,-0.023,0.002,-0.068,-0.077,-0.031,-0.026,-0.054,0.013,0.010,-0.023,-0.035,-0.043,0.000,0.009,-0.067,-0.164,0.005,-0.020,-0.080,-0.079,-0.056,-0.028,0.001,-0.068,0.069,-0.014,0.002,-0.034,-0.022,0.036,0.005,0.012,-0.030,-0.011,-0.012,-0.024,-0.056,-0.006,-0.009,-0.038,-0.026,-0.007,-0.012,-0.022,-0.020,-0.083,-0.054,-0.042,-0.031,0.017,0.060,-0.043,-0.046,-0.042,-0.016,0.001,0.020,0.009,-0.019,0.010,-0.040,-0.029,-0.025,-0.018,-0.009,-0.022,-0.022,-0.044,-0.029,-0.019,-0.002,0.007,-0.026
2011,-0.048,-0.050,-0.023,0.017,0.085,0.142,-0.041,-0.174,-0.124,-0.086,-0.037,-0.058,-0.065,-0.090,0.041,-0.040,-0.017,-0.011,0.006,0.034,-0.036,-0.132,-0.024,0.007,-0.001,-0.042,-0.130,0.014,-0.055,-0.095,-0.109,-0.080,-0.057,-0.049,-0.101,-0.036,-0.105,-0.095,-0.081,-0.091,-0.105,-0.086,-0.010,-0.049,-0.028,-0.007,0.042,0.045,-0.021,-0.117,-0.069,-0.041,-0.021,-0.018,-0.019,-0.040,-0.019,-0.070,-0.072,-0.046,0.016,0.071,-0.078,-0.081,-0.062,-0.032,-0.006,-0.004,-0.019,-0.040,-0.064,-0.078,-0.066,-0.045,-0.030,-0.031,-0.061,-0.067,-0.074,-0.058,-0.035,-0.016,-0.011,-0.059
2012,-0.112,-0.060,-0.030,-0.005,0.145,0.276,-0.037,-0.199,-0.157,-0.088,-0.043,0.009,0.064,-0.086,-0.037,-0.020,-0.025,-0.019,-0.014,-0.004,-0.041,-0.146,-0.100,-0.070,-0.041,-0.033,-0.081,-0.086,-0.059,-0.071,-0.067,-0.053,-0.051,-0.058,-0.059,-0.075,-0.087,-0.062,-0.063,-0.044,-0.005,-0.067,-0.120,-0.091,-0.026,-0.007,0.030,0.068,-0.026,-0.114,-0.080,-0.054,-0.034,-0.008,-0.016,-0.051,0.012,-0.033,-0.059,-0.040,0.060,0.155,-0.065,-0.127,-0.087,-0.054,-0.025,0.031,0.060,-0.061,-0.091,-0.079,-0.052,-0.038,-0.017,-0.006,-0.050,-0.094,-0.077,-0.056,-0.037,0.009,0.040,-0.058
2013,-0.001,0.028,-0.005,0.003,0.083,0.125,-0.017,-0.267,-0.192,-0.111,-0.055,-0.031,-0.002,-0.119,-0.052,-0.093,-0.064,-0.042,-0.021,0.004,-0.076,-0.163,-0.087,-0.064,-0.048,-0.066,-0.164,-0.062,-0.061,-0.121,-0.101,-0.071,0.005,0.055,-0.096,-0.022,-0.095,-0.062,-0.046,-0.021,0.017,-0.068,-0.094,-0.047,0.010,0.015,0.095,0.171,0.019,-0.150,-0.110,-0.065,-0.021,0.041,0.073,-0.066,-0.020,-0.027,-0.040,-0.041,0.083,0.194,-0.042,-0.115,-0.082,-0.059,-0.033,-0.008,-0.021,-0.066,-0.087,-0.095,-0.058,-0.030,0.031,0.077,-0.056,-0.093,-0.085,-0.059,-0.036,0.027,0.067,-0.060
2014,-0.132,-0.050,0.021,0.048,0.133,0.206,0.010,-0.217,-0.155,-0.076,-0.008,0.017,0.035,-0.069,-0.098,-0.030,0.019,0.005,0.050,0.113,0.015,-0.174,-0.073,-0.029,-0.005,-0.022,-0.110,-0.024,-0.061,-0.075,-0.064,-0.018,0.022,0.059,-0.059,-0.033,-0.106,-0.062,-0.038,-0.008,0.029,-0.064,-0.108,-0.061,-0.028,-0.030,0.072,0.161,-0.026,-0.093,-0.088,-0.054,-0.025,-0.012,-0.015,-0.050,0.040,0.016,-0.007,-0.016,0.116,0.236,-0.001,-0.156,-0.080,-0.018,0.013,0.043,0.042,-0.018,-0.073,-0.082,-0.052,-0.025,0.015,0.047,-0.049,-0.088,-0.069,-0.036,-0.013,0.040,0.077,-0.033
2015,-0.156,-0.100,-0.063,-0.015,0.101,0.187,-0.067,-0.199,-0.106,-0.040,0.029,0.018,0.022,-0.030,-0.047,-0.060,-0.009,-0.020,0.070,0.143,-0.014,-0.117,-0.093,-0.049,-0.016,-0.052,-0.153,-0.059,-0.040,-0.058,-0.036,0.011,0.071,0.110,-0.028,0.091,-0.052,-0.013,-0.001,0.021,0.048,-0.009,0.012,0.027,0.049,0.048,0.089,0.122,0.043,-0.079,-0.043,-0.010,0.012,0.072,0.097,-0.007,0.090,0.063,0.053,0.060,0.139,0.203,0.053,-0.138,-0.091,-0.042,-0.003,0.029,0.023,-0.043,-0.014,-0.034,-0.004,0.018,0.067,0.097,-0.001,-0.045,-0.041,-0.009,0.017,0.067,0.093,-0.008
