year,European,Caribbean,Canadian,Mexican,Middle Eastern,European (yr),European (seasonal),Caribbean (yr),Caribbean (seasonal),Canadian (yr),Canadian (seasonal),Mexican (yr),Middle Eastern (yr)
2009,22,13,3,1,1,13,9,8,5,3,0,1,1
2010,17,12,4,1,1,10,7,7,5,4,0,1,1
2011,16,12,4,1,1,11,5,7,5,4,0,1,1
2012,16,12,5,1,1,11,5,6,6,4,1,1,1
2013,17,12,5,1,1,11,6,5,7,4,1,1,1
2014,18,12,5,1,2,11,7,9,3,5,0,1,2
2015,17,12,5,1,2,10,7,7,5,5,0,1,2
2016,17,12,5,1,1,10,7,7,5,5,0,1,1
2017,16,11,4,1,1,9,7,6,5,3,1,1,1
2018,17,10,4,2,1,10,7,4,6,3,1,2,1
2019,23,10,4,2,1,10,13,4,6,3,1,2,1
