year,burlsov,burlnonsov,camdsov,camdnonsov,glocsov,glocnonsov,mercsov,mercnonsov,bucksov,bucknonsov,chessov,chesnonsov,delsov,delnonsov,montsov,montnonsov,philsov,philnonsov,njcossov,njcosnonsov,pasubsov,pasubnonsov,dvrpcsov,dvrpcnonsov
2006,0.823000014,0.177000001,0.748000026,0.252000004,0.853999972,0.145999998,0.730000019,0.270000011,0.828000009,0.172000006,0.805000007,0.194999993,0.748000026,0.252000004,0.810000002,0.189999998,0.508000016,0.492000014,0.783999979,0.216000006,0.800999999,0.199000001,0.731999993,0.268000007
2007,0.823000014,0.177000001,0.75,0.25,0.819000006,0.180999994,0.726000011,0.273999989,0.83099997,0.169,0.808000028,0.192000002,0.737999976,0.261999995,0.788999975,0.210999995,0.521000028,0.479000002,0.777999997,0.222000003,0.792999983,0.207000002,0.727999985,0.272000015
2008,0.818000019,0.181999996,0.753000021,0.246999994,0.833000004,0.166999996,0.708000004,0.291999996,0.815999985,0.184,0.81400001,0.186000004,0.748000026,0.252000004,0.796000004,0.203999996,0.507000029,0.493000001,0.776000023,0.224000007,0.795000017,0.204999998,0.726000011,0.273999989
2009,0.811999977,0.187999994,0.763999999,0.236000001,0.825999975,0.173999995,0.717000008,0.282999992,0.83099997,0.169,0.824000001,0.175999999,0.75,0.25,0.802999973,0.196999997,0.513000011,0.486999989,0.777999997,0.222000003,0.802999973,0.196999997,0.726999998,0.273000002
2010,0.828000009,0.172000006,0.781000018,0.218999997,0.861000001,0.138999999,0.693000019,0.307000011,0.834999979,0.165000007,0.809000015,0.191,0.765999973,0.233999997,0.787999988,0.211999997,0.499000013,0.500999987,0.788999975,0.210999995,0.800000012,0.200000003,0.727999985,0.272000015
2011,0.819999993,0.180000007,0.763000011,0.237000003,0.862999976,0.136999995,0.718999982,0.280999988,0.811999977,0.187999994,0.813000023,0.187000006,0.748000026,0.252000004,0.800999999,0.199000001,0.5,0.5,0.787999988,0.211999997,0.795000017,0.204999998,0.725000024,0.275000006
2012,0.824000001,0.175999999,0.768000007,0.231999993,0.851999998,0.148000002,0.735000014,0.264999986,0.816999972,0.182999998,0.810000002,0.189999998,0.742999971,0.256999999,0.790000021,0.209999993,0.501999974,0.497999996,0.791999996,0.208000004,0.791000009,0.209000006,0.723999977,0.275999993
2013,0.843999982,0.156000003,0.768999994,0.231000006,0.86500001,0.135000005,0.703999996,0.296000004,0.822000027,0.178000003,0.799000025,0.201000005,0.73299998,0.26699999,0.783999979,0.216000006,0.499000013,0.500999987,0.792999983,0.207000002,0.786000013,0.214000002,0.720000029,0.280000001
2014,0.837000012,0.163000003,0.776000023,0.224000007,0.848999977,0.150999993,0.712000012,0.287999988,0.815999985,0.184,0.77700001,0.223000005,0.744000018,0.256000012,0.778999984,0.221000001,0.505999982,0.493999988,0.791999996,0.208000004,0.781000018,0.218999997,0.718999982,0.280999988
2015,0.834999979,0.165000007,0.776000023,0.224000007,0.862999976,0.136999995,0.740999997,0.259000003,0.814999998,0.185000002,0.805999994,0.194000006,0.72299999,0.27700001,0.797999978,0.202000007,0.50999999,0.49000001,0.800999999,0.199000001,0.787999988,0.211999997,0.723999977,0.275999993
2016,0.829999983,0.170000002,0.745000005,0.254999995,0.853999972,0.145999998,0.707000017,0.293000013,0.82099998,0.179000005,0.779999971,0.219999999,0.726999998,0.273000002,0.787,0.213,0.507000029,0.493000001,0.781000018,0.218999997,0.781000018,0.218999997,0.713999987,0.286000013
2017,0.82099998,0.179000005,0.762000024,0.238000005,0.853999972,0.145999998,0.693000019,0.307000011,0.819999993,0.180000007,0.791999996,0.208000004,0.735000014,0.264999986,0.779999971,0.219999999,,,0.779999971,0.219999999,0.782999992,0.216999993,0.717000008,0.282999992
2018,0.829999983,0.170000002,0.757000029,0.243000001,0.829999983,0.170000002,0.681999981,0.317999989,0.827000022,0.172999993,0.805000007,0.194999993,0.730000019,0.270000011,0.791000009,0.209000006,0.495000005,0.504999995,0.773999989,0.225999996,0.790000021,0.209999993,0.712000012,0.287999988
2019,0.818,0.182,0.767,0.233,0.809,0.191,0.703,0.297,0.812,0.188,0.773,0.227,0.738,0.262,0.771,0.229,0.488,0.512,0.776,0.224,0.775,0.225,0.703,0.297
2020,,,,,,,,,,,,,,,,,,,,,,,,
2021,0.72,0.28,0.659,0.341,0.745,0.255,0.565,0.435,0.679,0.321,0.612,0.388,0.626,0.374,0.605,0.395,0.446,0.554,0.671,0.329,0.629,0.371,0.596,0.404
