"year","burlsov","burlnonsov","burlpool","burltransit","burlbus","burlrail","burlsubw","burltroll","burlferry","burlwalk","burlbike","burltmo","burltaxi","burlmcyc","burlother","burlwfh","camdsov","camdnonsov","camdpool","camdtransit","camdbus","camdrail","camdsubw","camdtroll","camdferry","camdwalk","camdbike","camdtmo","camdtaxi","camdmcyc","camdother","camdwfh","glocsov","glocnonsov","glocpool","gloctransit","glocbus","glocrail","glocsubw","gloctroll","glocferry","glocwalk","glocbike","gloctmo","gloctaxi","glocmcyc","glocother","glocwfh","mercsov","mercnonsov","mercpool","merctransit","mercbus","mercrail","mercsubw","merctroll","mercferry","mercwalk","mercbike","merctmo","merctaxi","mercmcyc","mercother","mercwfh","bucksov","bucknonsov","buckpool","bucktransit","buckbus","buckrail","bucksubw","bucktroll","buckferry","buckwalk","buckbike","bucktmo","bucktaxi","buckmcyc","buckother","buckwfh","chessov","chesnonsov","chespool","chestransit","chesbus","chesrail","chessubw","chestroll","chesferry","cheswalk","chesbike","chestmo","chestaxi","chesmcyc","chesother","cheswfh","delasov","delanonsov","delapool","delatransit","delabus","delarail","delasubw","delatroll","delaferry","delawalk","delabike","delatmo","delataxi","delamcyc","delaother","delawfh","montsov","montnonsov","montpool","monttransit","montbus","montrail","montsubw","monttroll","montferry","montwalk","montbike","monttmo","monttaxi","montmcyc","montother","montwfh","philsov","philnonsov","philpool","philtransit","philbus","philrail","philsubw","philtroll","philferry","philwalk","philbike","philtmo","philtaxi","philmcyc","philother","philwfh","njcossov","njcosnonsov","njcospool","njcostransit","njcosbus","njcosrail","njcossubw","njcostroll","njcosferry","njcoswalk","njcosbike","njcostmo","njcostaxi","njcosmcyc","njcosother","njcoswfh","pasubsov","pasubnonsov","pasubpool","pasubtransit","pasubbus","pasubrail","pasubsubw","pasubtroll","pasubferry","pasubwalk","pasubbike","pasubtmo","pasubtaxi","pasubmcyc","pasubother","pasubwfh","dvrpcsov","dvrpcnonsov","dvrpcpool","dvrpctransit","dvrpcbus","dvrpcrail","dvrpcsubw","dvrpctroll","dvrpcferry","dvrpcwalk","dvrpcbike","dvrpctmo","dvrpctaxi","dvrpcmcyc","dvrpcother","dvrpcwfh","philuasov","philuanonsov","philuapool","philuatransit","philuabus","philuarail","philuasubw","philuatroll","philuaferry","philuawalk","philuabike","philuatmo","philuataxi","philuamcyc","philuaother","philuawfh","trenuasov","trenuanonsov","trenuapool","trenuatransit","trenuabus","trenuarail","trenuasubw","trenuatroll","trenuaferry","trenuawalk","trenuabike","trenuatmo","trenuataxi","trenuamcyc","trenuaother","trenuawfh"
2006,0.823,0.177,0.085,0.031,0.014,0.010,0.007,0.001,0.000,0.021,0.002,0.008,0.001,0.001,0.006,0.029,0.748,0.252,0.108,0.080,0.041,0.016,0.021,0.001,0.001,0.022,0.002,0.010,0.002,0.001,0.008,0.031,0.854,0.146,0.075,0.026,0.018,0.004,0.004,0.000,0.000,0.015,0.002,0.003,0.000,0.001,0.002,0.025,0.730,0.270,0.096,0.076,0.031,0.040,0.004,0.000,0.000,0.045,0.009,0.011,0.000,0.001,0.010,0.034,0.828,0.172,0.084,0.026,0.006,0.019,0.001,0.000,0.000,0.022,0.001,0.005,0.000,0.001,0.004,0.034,0.805,0.195,0.082,0.025,0.009,0.015,0.001,0.000,0.000,0.024,0.001,0.012,0.001,0.002,0.009,0.052,0.748,0.252,0.093,0.081,0.036,0.024,0.017,0.005,0.000,0.038,0.002,0.009,0.000,0.001,0.008,0.028,0.810,0.190,0.074,0.039,0.008,0.027,0.004,0.000,0.000,0.030,0.002,0.008,0.000,0.001,0.007,0.038,0.508,0.492,0.103,0.264,0.191,0.024,0.042,0.007,0.000,0.080,0.012,0.010,0.001,0.001,0.008,0.024,0.784,0.216,0.093,0.055,0.027,0.018,0.010,0.000,0.000,0.026,0.003,0.008,0.001,0.001,0.007,0.030,0.801,0.199,0.082,0.042,0.014,0.022,0.005,0.001,0.000,0.028,0.002,0.008,0.000,0.001,0.007,0.038,0.732,0.268,0.090,0.094,0.056,0.021,0.015,0.002,0.000,0.039,0.004,0.009,0.001,0.001,0.007,0.032,0.730,0.270,0.091,0.098,0.060,0.020,0.015,0.002,0.000,0.039,0.004,0.008,0.001,0.001,0.006,0.030,0.764,0.236,0.105,0.064,0.039,0.022,0.003,0.000,0.000,0.034,0.005,0.007,0.000,0.001,0.006,0.022
2007,0.823,0.177,0.083,0.033,0.012,0.012,0.009,0.000,0.000,0.012,0.003,0.010,0.001,0.001,0.008,0.036,0.750,0.250,0.108,0.081,0.035,0.019,0.027,0.000,0.000,0.024,0.003,0.006,0.001,0.000,0.005,0.027,0.819,0.181,0.093,0.027,0.015,0.006,0.006,0.000,0.000,0.021,0.000,0.004,0.000,0.000,0.003,0.036,0.726,0.274,0.110,0.068,0.028,0.037,0.002,0.001,0.000,0.037,0.005,0.019,0.004,0.000,0.015,0.035,0.831,0.169,0.077,0.028,0.004,0.022,0.002,0.000,0.000,0.019,0.002,0.004,0.000,0.001,0.004,0.040,0.808,0.192,0.083,0.025,0.006,0.016,0.002,0.000,0.000,0.023,0.001,0.005,0.001,0.001,0.004,0.055,0.738,0.262,0.083,0.091,0.043,0.029,0.016,0.003,0.000,0.039,0.004,0.008,0.001,0.001,0.005,0.037,0.789,0.211,0.088,0.044,0.011,0.029,0.003,0.000,0.000,0.031,0.003,0.006,0.000,0.001,0.004,0.039,0.521,0.479,0.099,0.253,0.181,0.024,0.043,0.004,0.000,0.079,0.010,0.010,0.002,0.001,0.007,0.028,0.778,0.222,0.099,0.055,0.023,0.019,0.013,0.000,0.000,0.023,0.003,0.010,0.002,0.000,0.008,0.033,0.793,0.207,0.083,0.046,0.015,0.025,0.005,0.001,0.000,0.028,0.003,0.006,0.000,0.001,0.004,0.042,0.728,0.272,0.091,0.095,0.055,0.023,0.016,0.001,0.000,0.038,0.004,0.008,0.001,0.001,0.006,0.036,0.726,0.274,0.092,0.099,0.059,0.022,0.017,0.001,0.000,0.039,0.004,0.007,0.001,0.001,0.005,0.034,0.750,0.250,0.125,0.054,0.033,0.019,0.001,0.001,0.000,0.028,0.000,0.012,0.001,0.000,0.011,0.030
2008,0.818,0.182,0.094,0.032,0.013,0.013,0.006,0.000,0.000,0.011,0.002,0.009,0.001,0.001,0.007,0.035,0.753,0.247,0.108,0.076,0.032,0.017,0.026,0.001,0.000,0.023,0.003,0.012,0.003,0.000,0.008,0.026,0.833,0.167,0.086,0.021,0.014,0.004,0.003,0.000,0.000,0.017,0.002,0.011,0.000,0.001,0.010,0.029,0.708,0.292,0.107,0.070,0.027,0.039,0.004,0.000,0.000,0.037,0.009,0.022,0.005,0.001,0.017,0.046,0.816,0.184,0.082,0.030,0.006,0.021,0.002,0.000,0.000,0.015,0.002,0.007,0.000,0.001,0.005,0.048,0.814,0.186,0.075,0.027,0.006,0.019,0.002,0.001,0.000,0.022,0.002,0.009,0.000,0.002,0.007,0.050,0.748,0.252,0.083,0.088,0.042,0.030,0.013,0.003,0.000,0.042,0.002,0.007,0.000,0.001,0.006,0.029,0.796,0.204,0.080,0.044,0.008,0.032,0.004,0.001,0.000,0.032,0.003,0.006,0.001,0.001,0.004,0.038,0.507,0.493,0.089,0.268,0.187,0.027,0.050,0.004,0.000,0.086,0.016,0.009,0.002,0.000,0.007,0.024,0.776,0.224,0.100,0.052,0.022,0.018,0.011,0.000,0.000,0.022,0.004,0.013,0.003,0.001,0.010,0.034,0.795,0.205,0.080,0.047,0.014,0.026,0.005,0.001,0.000,0.028,0.002,0.007,0.000,0.001,0.006,0.041,0.726,0.274,0.088,0.097,0.055,0.024,0.017,0.001,0.000,0.039,0.006,0.009,0.001,0.001,0.007,0.035,0.720,0.280,0.090,0.103,0.061,0.023,0.018,0.001,0.000,0.040,0.006,0.009,0.001,0.001,0.007,0.033,0.749,0.251,0.117,0.056,0.032,0.021,0.002,0.000,0.000,0.026,0.005,0.015,0.002,0.000,0.013,0.031
2009,0.812,0.188,0.068,0.029,0.011,0.013,0.005,0.000,0.000,0.019,0.002,0.008,0.000,0.000,0.007,0.062,0.764,0.236,0.093,0.078,0.031,0.014,0.032,0.001,0.000,0.017,0.004,0.015,0.002,0.001,0.011,0.029,0.826,0.174,0.084,0.033,0.014,0.009,0.010,0.000,0.000,0.012,0.000,0.009,0.000,0.001,0.008,0.036,0.717,0.283,0.106,0.068,0.029,0.034,0.003,0.002,0.001,0.037,0.007,0.020,0.003,0.000,0.017,0.045,0.831,0.169,0.077,0.029,0.003,0.023,0.003,0.000,0.000,0.015,0.003,0.007,0.001,0.001,0.004,0.038,0.824,0.176,0.068,0.031,0.009,0.021,0.002,0.000,0.000,0.017,0.005,0.007,0.000,0.000,0.007,0.048,0.750,0.250,0.082,0.087,0.042,0.031,0.012,0.003,0.000,0.035,0.004,0.006,0.001,0.000,0.005,0.034,0.803,0.197,0.066,0.049,0.012,0.032,0.004,0.001,0.000,0.035,0.004,0.004,0.000,0.001,0.003,0.040,0.513,0.487,0.085,0.249,0.174,0.031,0.039,0.006,0.000,0.087,0.022,0.010,0.004,0.000,0.005,0.034,0.778,0.222,0.087,0.054,0.022,0.017,0.014,0.001,0.000,0.021,0.004,0.013,0.001,0.001,0.011,0.043,0.803,0.197,0.073,0.048,0.015,0.027,0.005,0.001,0.000,0.026,0.004,0.006,0.000,0.001,0.005,0.040,0.727,0.273,0.080,0.097,0.055,0.025,0.016,0.002,0.000,0.039,0.008,0.009,0.002,0.001,0.007,0.040,0.726,0.274,0.080,0.103,0.061,0.024,0.016,0.002,0.000,0.039,0.008,0.008,0.001,0.000,0.006,0.036,0.754,0.246,0.108,0.056,0.033,0.019,0.001,0.002,0.001,0.023,0.005,0.016,0.004,0.000,0.012,0.039
2010,0.828,0.172,0.080,0.035,0.011,0.020,0.004,0.000,0.000,0.011,0.003,0.007,0.000,0.000,0.007,0.035,0.781,0.219,0.083,0.081,0.039,0.016,0.026,0.000,0.000,0.018,0.001,0.009,0.000,0.000,0.009,0.027,0.861,0.139,0.073,0.022,0.012,0.004,0.005,0.000,0.000,0.013,0.000,0.007,0.000,0.000,0.006,0.026,0.693,0.307,0.109,0.077,0.032,0.040,0.004,0.000,0.001,0.050,0.006,0.016,0.002,0.000,0.014,0.049,0.835,0.165,0.074,0.027,0.004,0.021,0.002,0.000,0.000,0.015,0.001,0.004,0.001,0.000,0.003,0.043,0.809,0.191,0.068,0.026,0.006,0.019,0.002,0.000,0.000,0.024,0.001,0.011,0.000,0.001,0.010,0.061,0.766,0.234,0.067,0.085,0.043,0.028,0.011,0.003,0.000,0.038,0.002,0.006,0.000,0.000,0.005,0.035,0.788,0.212,0.073,0.057,0.017,0.036,0.005,0.000,0.000,0.028,0.002,0.007,0.000,0.001,0.005,0.044,0.499,0.501,0.089,0.272,0.199,0.027,0.041,0.004,0.000,0.083,0.018,0.011,0.002,0.001,0.007,0.028,0.789,0.211,0.086,0.056,0.025,0.020,0.011,0.000,0.000,0.022,0.002,0.010,0.001,0.000,0.009,0.034,0.800,0.200,0.071,0.049,0.017,0.027,0.005,0.001,0.000,0.026,0.001,0.007,0.000,0.001,0.006,0.045,0.728,0.272,0.080,0.102,0.061,0.025,0.015,0.001,0.000,0.038,0.006,0.009,0.001,0.001,0.007,0.038,0.727,0.273,0.080,0.107,0.065,0.024,0.016,0.001,0.000,0.038,0.006,0.008,0.001,0.001,0.006,0.035,0.746,0.254,0.097,0.060,0.040,0.020,0.000,0.000,0.000,0.040,0.003,0.017,0.000,0.000,0.017,0.037
2011,0.820,0.180,0.075,0.034,0.011,0.017,0.005,0.002,0.000,0.018,0.003,0.006,0.000,0.002,0.004,0.044,0.763,0.237,0.088,0.089,0.038,0.018,0.032,0.001,0.000,0.015,0.002,0.006,0.001,0.000,0.005,0.036,0.863,0.137,0.066,0.020,0.010,0.006,0.004,0.000,0.000,0.016,0.002,0.011,0.000,0.000,0.011,0.021,0.719,0.281,0.090,0.081,0.032,0.046,0.003,0.000,0.000,0.045,0.004,0.015,0.004,0.000,0.012,0.046,0.812,0.188,0.080,0.033,0.005,0.023,0.004,0.000,0.000,0.019,0.002,0.007,0.001,0.001,0.005,0.047,0.813,0.187,0.067,0.027,0.007,0.019,0.001,0.000,0.000,0.020,0.001,0.008,0.000,0.001,0.007,0.064,0.748,0.252,0.070,0.095,0.037,0.039,0.017,0.002,0.000,0.041,0.002,0.008,0.001,0.001,0.006,0.037,0.801,0.199,0.073,0.046,0.009,0.032,0.005,0.000,0.000,0.028,0.003,0.006,0.000,0.002,0.004,0.044,0.500,0.500,0.091,0.256,0.183,0.028,0.042,0.004,0.000,0.092,0.018,0.012,0.001,0.002,0.009,0.030,0.788,0.212,0.081,0.059,0.024,0.022,0.012,0.001,0.000,0.023,0.003,0.009,0.001,0.001,0.007,0.038,0.795,0.205,0.073,0.049,0.013,0.029,0.006,0.001,0.000,0.027,0.002,0.007,0.001,0.001,0.005,0.047,0.725,0.275,0.079,0.099,0.055,0.026,0.016,0.002,0.000,0.041,0.006,0.009,0.001,0.001,0.007,0.041,0.726,0.274,0.080,0.103,0.060,0.025,0.017,0.002,0.000,0.039,0.006,0.008,0.001,0.001,0.006,0.037,0.755,0.245,0.095,0.063,0.037,0.023,0.002,0.000,0.000,0.038,0.005,0.009,0.000,0.000,0.008,0.036
2012,0.824,0.176,0.078,0.036,0.016,0.014,0.006,0.000,0.000,0.012,0.004,0.007,0.000,0.001,0.006,0.039,0.768,0.232,0.096,0.079,0.031,0.014,0.034,0.000,0.000,0.016,0.001,0.007,0.000,0.000,0.007,0.033,0.852,0.148,0.071,0.016,0.008,0.003,0.004,0.000,0.000,0.020,0.001,0.010,0.000,0.000,0.010,0.030,0.735,0.265,0.084,0.073,0.028,0.042,0.002,0.001,0.000,0.029,0.009,0.012,0.003,0.000,0.009,0.058,0.817,0.183,0.077,0.032,0.004,0.024,0.003,0.000,0.000,0.019,0.002,0.006,0.000,0.001,0.005,0.047,0.810,0.190,0.050,0.029,0.008,0.021,0.001,0.000,0.000,0.039,0.002,0.006,0.000,0.001,0.005,0.064,0.743,0.257,0.078,0.096,0.052,0.030,0.013,0.001,0.000,0.034,0.002,0.008,0.000,0.001,0.007,0.039,0.790,0.210,0.074,0.051,0.014,0.032,0.005,0.000,0.000,0.033,0.002,0.003,0.000,0.000,0.002,0.048,0.502,0.498,0.091,0.260,0.182,0.025,0.049,0.004,0.000,0.082,0.023,0.011,0.002,0.002,0.007,0.032,0.792,0.208,0.084,0.054,0.022,0.018,0.013,0.000,0.000,0.018,0.004,0.009,0.001,0.000,0.008,0.040,0.791,0.209,0.071,0.051,0.018,0.027,0.005,0.000,0.000,0.031,0.002,0.005,0.000,0.001,0.004,0.049,0.724,0.276,0.079,0.100,0.057,0.024,0.018,0.001,0.000,0.039,0.007,0.008,0.001,0.001,0.006,0.042,0.722,0.278,0.080,0.102,0.060,0.022,0.019,0.001,0.000,0.040,0.007,0.007,0.001,0.001,0.006,0.040,0.778,0.222,0.088,0.061,0.030,0.029,0.001,0.000,0.000,0.018,0.002,0.012,0.001,0.001,0.010,0.040
2013,0.844,0.156,0.056,0.034,0.011,0.015,0.007,0.000,0.000,0.015,0.004,0.008,0.000,0.001,0.007,0.038,0.769,0.231,0.077,0.082,0.034,0.015,0.030,0.001,0.000,0.027,0.002,0.010,0.001,0.000,0.009,0.033,0.865,0.135,0.067,0.018,0.009,0.004,0.004,0.001,0.000,0.015,0.005,0.005,0.000,0.000,0.005,0.023,0.704,0.296,0.102,0.082,0.040,0.040,0.002,0.000,0.000,0.025,0.010,0.026,0.002,0.000,0.025,0.051,0.822,0.178,0.072,0.029,0.005,0.022,0.003,0.000,0.000,0.018,0.003,0.008,0.000,0.002,0.006,0.049,0.799,0.201,0.059,0.032,0.007,0.024,0.001,0.000,0.000,0.043,0.001,0.005,0.000,0.000,0.004,0.062,0.733,0.267,0.067,0.104,0.052,0.033,0.018,0.002,0.000,0.046,0.005,0.007,0.001,0.001,0.004,0.039,0.784,0.216,0.072,0.054,0.013,0.037,0.003,0.000,0.000,0.029,0.003,0.009,0.000,0.001,0.007,0.050,0.499,0.501,0.085,0.272,0.181,0.032,0.055,0.004,0.000,0.081,0.023,0.012,0.002,0.001,0.009,0.029,0.793,0.207,0.075,0.057,0.025,0.019,0.013,0.001,0.000,0.021,0.005,0.012,0.001,0.000,0.011,0.037,0.786,0.214,0.068,0.054,0.018,0.030,0.006,0.000,0.000,0.033,0.003,0.007,0.000,0.001,0.006,0.050,0.720,0.280,0.074,0.106,0.059,0.027,0.020,0.001,0.000,0.041,0.008,0.010,0.001,0.001,0.008,0.041,0.720,0.280,0.075,0.108,0.061,0.026,0.020,0.001,0.000,0.041,0.008,0.009,0.001,0.001,0.007,0.039,0.724,0.276,0.125,0.077,0.049,0.026,0.002,0.000,0.000,0.023,0.004,0.014,0.000,0.000,0.014,0.034
2014,0.837,0.163,0.074,0.035,0.014,0.016,0.005,0.000,0.000,0.011,0.003,0.006,0.000,0.001,0.005,0.033,0.776,0.224,0.093,0.064,0.028,0.009,0.026,0.001,0.000,0.025,0.002,0.010,0.001,0.001,0.009,0.030,0.849,0.151,0.065,0.022,0.015,0.002,0.004,0.001,0.000,0.011,0.006,0.008,0.000,0.002,0.006,0.040,0.712,0.288,0.111,0.078,0.030,0.044,0.003,0.001,0.000,0.026,0.007,0.005,0.002,0.000,0.003,0.061,0.816,0.184,0.082,0.030,0.006,0.022,0.001,0.000,0.000,0.018,0.002,0.005,0.000,0.001,0.004,0.047,0.777,0.223,0.083,0.030,0.005,0.023,0.002,0.000,0.000,0.038,0.003,0.010,0.000,0.001,0.008,0.059,0.744,0.256,0.067,0.105,0.047,0.038,0.016,0.003,0.000,0.035,0.002,0.007,0.001,0.001,0.006,0.039,0.779,0.221,0.071,0.055,0.011,0.039,0.004,0.000,0.000,0.026,0.003,0.005,0.000,0.001,0.004,0.062,0.506,0.494,0.083,0.268,0.180,0.027,0.055,0.006,0.000,0.082,0.019,0.012,0.001,0.001,0.010,0.029,0.792,0.208,0.087,0.051,0.022,0.018,0.011,0.000,0.000,0.019,0.004,0.007,0.001,0.001,0.006,0.040,0.781,0.219,0.076,0.054,0.016,0.031,0.005,0.001,0.000,0.028,0.002,0.006,0.000,0.001,0.005,0.053,0.719,0.281,0.081,0.104,0.057,0.026,0.019,0.002,0.000,0.038,0.007,0.008,0.001,0.001,0.006,0.043,0.720,0.280,0.079,0.106,0.060,0.025,0.019,0.002,0.000,0.039,0.007,0.008,0.001,0.001,0.007,0.042,0.760,0.240,0.123,0.050,0.027,0.020,0.002,0.001,0.000,0.016,0.002,0.006,0.002,0.000,0.003,0.043
2015,0.835,0.165,0.078,0.034,0.008,0.017,0.008,0.000,0.000,0.014,0.000,0.008,0.000,0.000,0.008,0.031,0.776,0.224,0.081,0.074,0.029,0.015,0.029,0.000,0.000,0.022,0.001,0.012,0.003,0.001,0.008,0.034,0.863,0.137,0.064,0.021,0.012,0.004,0.004,0.000,0.000,0.013,0.001,0.010,0.000,0.001,0.009,0.029,0.741,0.259,0.081,0.089,0.035,0.050,0.003,0.001,0.000,0.037,0.005,0.006,0.001,0.001,0.004,0.040,0.815,0.185,0.074,0.037,0.003,0.031,0.002,0.000,0.000,0.021,0.001,0.006,0.001,0.000,0.004,0.046,0.806,0.194,0.069,0.024,0.007,0.015,0.002,0.000,0.000,0.027,0.002,0.006,0.000,0.001,0.005,0.066,0.723,0.277,0.069,0.115,0.054,0.037,0.021,0.003,0.000,0.037,0.002,0.009,0.001,0.000,0.008,0.045,0.798,0.202,0.058,0.055,0.015,0.035,0.005,0.000,0.000,0.025,0.002,0.006,0.001,0.001,0.004,0.055,0.510,0.490,0.080,0.252,0.176,0.027,0.045,0.004,0.000,0.090,0.022,0.013,0.002,0.001,0.010,0.033,0.801,0.199,0.077,0.056,0.021,0.022,0.013,0.000,0.000,0.021,0.002,0.009,0.001,0.001,0.007,0.034,0.788,0.212,0.067,0.057,0.019,0.030,0.007,0.001,0.000,0.027,0.002,0.007,0.001,0.001,0.005,0.053,0.724,0.276,0.073,0.104,0.058,0.027,0.018,0.001,0.000,0.041,0.007,0.009,0.001,0.001,0.007,0.043,0.724,0.276,0.073,0.105,0.060,0.025,0.018,0.001,0.000,0.041,0.007,0.009,0.001,0.001,0.007,0.041,0.768,0.232,0.099,0.065,0.029,0.031,0.003,0.001,0.000,0.028,0.003,0.004,0.001,0.000,0.003,0.033
