"year","burlsov","burlnonsov","camdsov","camdnonsov","glocsov","glocnonsov","mercsov","mercnonsov","bucksov","bucknonsov","chessov","chesnonsov","delsov","delnonsov","montsov","montnonsov","philsov","philnonsov","njcossov","njcosnonsov","pasubsov","pasubnonsov","dvrpcsov","dvrpcnonsov"
2006,0.829,0.171,0.788,0.212,0.839,0.161,0.792,0.208,0.811,0.189,0.805,0.195,0.779,0.221,0.819,0.181,0.527,0.473,0.808,0.192,0.807,0.193,0.736,0.264
2007,0.830,0.170,0.782,0.218,0.782,0.218,0.796,0.204,0.819,0.181,0.822,0.178,0.755,0.245,0.821,0.179,0.527,0.473,0.800,0.200,0.809,0.191,0.733,0.267
2008,0.841,0.159,0.805,0.195,0.813,0.187,0.774,0.226,0.806,0.194,0.821,0.179,0.771,0.229,0.817,0.183,0.517,0.483,0.806,0.194,0.807,0.193,0.731,0.269
2009,0.819,0.181,0.804,0.196,0.818,0.182,0.800,0.200,0.818,0.182,0.839,0.161,0.777,0.223,0.824,0.176,0.522,0.478,0.809,0.191,0.817,0.183,0.733,0.267
2010,0.833,0.167,0.818,0.182,0.854,0.146,0.790,0.210,0.818,0.182,0.811,0.189,0.780,0.220,0.819,0.181,0.517,0.483,0.819,0.181,0.810,0.190,0.732,0.268
2011,0.826,0.174,0.810,0.190,0.833,0.167,0.799,0.201,0.803,0.197,0.820,0.180,0.777,0.223,0.815,0.185,0.514,0.486,0.814,0.186,0.807,0.193,0.729,0.271
2012,0.836,0.164,0.813,0.187,0.844,0.156,0.813,0.187,0.818,0.182,0.810,0.190,0.778,0.222,0.810,0.190,0.506,0.494,0.824,0.176,0.806,0.194,0.729,0.271
2013,0.856,0.144,0.818,0.182,0.843,0.157,0.780,0.220,0.815,0.185,0.810,0.190,0.756,0.244,0.809,0.191,0.503,0.497,0.821,0.179,0.801,0.199,0.724,0.276
2014,0.839,0.161,0.821,0.179,0.818,0.182,0.784,0.216,0.810,0.190,0.791,0.209,0.769,0.231,0.804,0.196,0.511,0.489,0.814,0.186,0.797,0.203,0.723,0.277
2015,0.840,0.160,0.820,0.180,0.829,0.171,0.821,0.179,0.820,0.180,0.807,0.193,0.752,0.248,0.821,0.179,0.513,0.487,0.827,0.173,0.806,0.194,0.729,0.271
2016,0.838,0.162,0.786,0.214,0.821,0.179,0.789,0.211,0.797,0.203,0.785,0.215,0.757,0.243,0.806,0.194,0.513,0.487,0.806,0.194,0.791,0.209,0.719,0.281
2017,0.830,0.170,0.806,0.194,0.812,0.188,0.792,0.208,0.807,0.193,0.807,0.193,0.772,0.228,0.799,0.201,,,0.809,0.191,0.798,0.202,0.723,0.277
2018,0.833,0.167,0.798,0.202,0.803,0.197,0.782,0.218,0.799,0.201,0.810,0.190,0.752,0.248,0.809,0.191,0.504,0.496,0.803,0.197,0.797,0.203,0.717,0.283
2019,0.824,0.176,0.807,0.193,0.764,0.236,0.810,0.190,0.794,0.206,0.778,0.222,0.762,0.238,0.799,0.201,0.491,0.509,0.805,0.195,0.787,0.213,0.708,0.292
2020,,,,,,,,,,,,,,,,,,,,,,,,
2021,0.696,0.304,0.668,0.332,0.694,0.306,0.646,0.354,0.655,0.345,0.602,0.398,0.620,0.380,0.634,0.366,0.460,0.540,0.674,0.326,0.630,0.370,0.598,0.402
2022,0.716,0.284,0.662,0.338,0.698,0.302,0.691,0.309,0.682,0.318,0.668,0.332,0.648,0.352,0.680,0.320,0.478,0.522,0.691,0.309,0.672,0.328,0.625,0.375
2023,0.736,0.264,0.694,0.306,0.705,0.295,0.714,0.286,0.688,0.312,0.658,0.342,0.664,0.336,0.673,0.327,0.471,0.529,0.713,0.287,0.671,0.329,0.628,0.372
