"year","burlpool","burltransit","burlbus","burlrail","burlsubw","burltroll","burlferry","burlwalk","burlbike","burltmo","burltaxi","burlmcyc","burlother","burlwfh","camdpool","camdtransit","camdbus","camdrail","camdsubw","camdtroll","camdferry","camdwalk","camdbike","camdtmo","camdtaxi","camdmcyc","camdother","camdwfh","glocpool","gloctransit","glocbus","glocrail","glocsubw","gloctroll","glocferry","glocwalk","glocbike","gloctmo","gloctaxi","glocmcyc","glocother","glocwfh","mercpool","merctransit","mercbus","mercrail","mercsubw","merctroll","mercferry","mercwalk","mercbike","merctmo","merctaxi","mercmcyc","mercother","mercwfh","buckpool","bucktransit","buckbus","buckrail","bucksubw","bucktroll","buckferry","buckwalk","buckbike","bucktmo","bucktaxi","buckmcyc","buckother","buckwfh","chespool","chestransit","chesbus","chesrail","chessubw","chestroll","chesferry","cheswalk","chesbike","chestmo","chestaxi","chesmcyc","chesother","cheswfh","delapool","delatransit","delabus","delarail","delasubw","delatroll","delaferry","delawalk","delabike","delatmo","delataxi","delamcyc","delaother","delawfh","montpool","monttransit","montbus","montrail","montsubw","monttroll","montferry","montwalk","montbike","monttmo","monttaxi","montmcyc","montother","montwfh","philpool","philtransit","philbus","philrail","philsubw","philtroll","philferry","philwalk","philbike","philtmo","philtaxi","philmcyc","philother","philwfh","njcospool","njcostransit","njcosbus","njcosrail","njcossubw","njcostroll","njcosferry","njcoswalk","njcosbike","njcostmo","njcostaxi","njcosmcyc","njcosother","njcoswfh","pasubpool","pasubtransit","pasubbus","pasubrail","pasubsubw","pasubtroll","pasubferry","pasubwalk","pasubbike","pasubtmo","pasubtaxi","pasubmcyc","pasubother","pasubwfh","dvrpcpool","dvrpctransit","dvrpcbus","dvrpcrail","dvrpcsubw","dvrpctroll","dvrpcferry","dvrpcwalk","dvrpcbike","dvrpctmo","dvrpctaxi","dvrpcmcyc","dvrpcother","dvrpcwfh"
2006,0.088,0.019,0.014,0.004,0.000,0.000,0.000,0.021,0.002,0.010,0.002,0.001,0.008,0.030,0.094,0.046,0.035,0.005,0.006,0.000,0.000,0.026,0.001,0.009,0.002,0.001,0.006,0.035,0.081,0.021,0.019,0.001,0.001,0.000,0.000,0.020,0.003,0.003,0.000,0.001,0.002,0.034,0.096,0.037,0.025,0.009,0.003,0.000,0.000,0.035,0.004,0.008,0.000,0.002,0.006,0.027,0.097,0.016,0.012,0.003,0.001,0.000,0.000,0.028,0.001,0.005,0.000,0.001,0.005,0.042,0.093,0.012,0.009,0.003,0.000,0.000,0.000,0.026,0.001,0.009,0.002,0.001,0.006,0.054,0.081,0.051,0.041,0.006,0.002,0.001,0.000,0.046,0.003,0.005,0.000,0.000,0.005,0.036,0.084,0.028,0.019,0.006,0.002,0.001,0.000,0.027,0.002,0.009,0.000,0.001,0.008,0.032,0.094,0.272,0.155,0.058,0.051,0.007,0.000,0.066,0.010,0.011,0.001,0.001,0.008,0.020,0.091,0.032,0.024,0.005,0.003,0.000,0.000,0.026,0.003,0.008,0.001,0.001,0.006,0.031,0.088,0.026,0.020,0.005,0.001,0.000,0.000,0.030,0.002,0.008,0.000,0.001,0.006,0.039,0.091,0.090,0.055,0.018,0.014,0.002,0.000,0.038,0.004,0.009,0.001,0.001,0.007,0.032
2007,0.083,0.016,0.013,0.001,0.001,0.000,0.000,0.015,0.003,0.012,0.002,0.001,0.010,0.040,0.112,0.039,0.025,0.010,0.004,0.000,0.000,0.026,0.003,0.006,0.001,0.000,0.005,0.031,0.109,0.020,,,,,,0.032,,,,,,0.050,0.103,0.027,0.019,0.008,0.000,0.001,0.000,0.032,0.004,0.010,0.002,0.001,0.008,0.027,0.094,0.012,0.009,0.003,0.000,0.000,0.000,0.021,0.002,0.006,0.000,0.001,0.005,0.047,0.078,0.015,0.011,0.002,0.001,0.000,0.000,0.024,0.000,0.004,0.000,0.000,0.003,0.058,0.086,0.057,0.046,0.006,0.003,0.001,0.000,0.044,0.003,0.009,0.002,0.001,0.006,0.045,0.085,0.025,0.020,0.004,0.001,0.000,0.000,0.028,0.002,0.005,0.000,0.001,0.004,0.033,0.090,0.270,0.148,0.062,0.055,0.005,0.000,0.069,0.009,0.011,0.002,0.000,0.009,0.024,0.101,0.027,0.017,0.006,0.001,0.000,0.000,0.026,0.003,0.008,0.001,0.000,0.006,0.035,0.086,0.026,0.020,0.004,0.001,0.000,0.000,0.028,0.002,0.006,0.000,0.001,0.005,0.043,0.091,0.090,0.052,0.020,0.015,0.001,0.000,0.038,0.004,0.008,0.001,0.001,0.006,0.036
2008,0.089,0.012,0.011,0.002,0.000,0.000,0.000,0.011,0.002,0.007,0.002,0.000,0.005,0.039,0.095,0.033,0.025,0.004,0.004,0.000,0.000,0.024,0.003,0.009,0.003,0.000,0.006,0.030,0.089,0.017,0.014,0.001,0.002,0.000,0.000,0.022,0.002,0.017,0.001,0.001,0.015,0.040,0.108,0.035,0.021,0.013,0.001,0.000,0.000,0.028,0.007,0.013,0.003,0.001,0.009,0.035,0.095,0.012,0.009,0.003,0.000,0.000,0.000,0.018,0.003,0.008,0.000,0.001,0.007,0.059,0.083,0.011,0.006,0.004,0.001,0.000,0.000,0.023,0.002,0.008,0.000,0.003,0.005,0.051,0.083,0.058,0.047,0.007,0.001,0.003,0.000,0.043,0.003,0.006,0.000,0.001,0.005,0.036,0.083,0.027,0.020,0.004,0.002,0.000,0.000,0.031,0.003,0.007,0.000,0.001,0.005,0.033,0.090,0.277,0.149,0.067,0.058,0.004,0.000,0.071,0.014,0.010,0.001,0.001,0.008,0.020,0.097,0.026,0.018,0.006,0.002,0.000,0.000,0.022,0.004,0.011,0.002,0.001,0.008,0.035,0.086,0.026,0.019,0.004,0.001,0.001,0.000,0.029,0.003,0.007,0.000,0.001,0.006,0.043,0.090,0.092,0.053,0.021,0.016,0.001,0.000,0.038,0.006,0.009,0.001,0.001,0.007,0.035
2009,0.074,0.012,0.008,0.003,0.001,0.000,0.000,0.019,0.002,0.009,0.001,0.000,0.008,0.065,0.085,0.035,0.026,0.005,0.004,0.000,0.000,0.019,0.005,0.019,0.002,0.002,0.015,0.035,0.092,0.017,,,,,,0.020,,,,,,0.046,0.094,0.023,0.015,0.006,0.001,0.001,0.000,0.028,0.006,0.013,0.003,0.001,0.010,0.037,0.097,0.012,0.010,0.001,0.001,0.000,0.000,0.018,0.003,0.006,0.001,0.001,0.004,0.046,0.071,0.016,0.012,0.004,0.000,0.000,0.000,0.016,0.002,0.004,0.000,0.000,0.004,0.051,0.084,0.047,0.036,0.005,0.003,0.003,0.000,0.041,0.004,0.003,0.001,0.000,0.002,0.042,0.068,0.034,0.024,0.007,0.002,0.000,0.000,0.032,0.004,0.005,0.000,0.001,0.004,0.034,0.082,0.264,0.141,0.067,0.050,0.006,0.000,0.072,0.019,0.012,0.003,0.001,0.009,0.029,0.085,0.022,0.013,0.004,0.002,0.000,0.000,0.022,0.004,0.011,0.002,0.001,0.009,0.046,0.078,0.028,0.021,0.005,0.002,0.001,0.000,0.027,0.004,0.005,0.001,0.001,0.004,0.042,0.081,0.092,0.052,0.022,0.015,0.002,0.000,0.038,0.008,0.009,0.002,0.001,0.007,0.039
2010,0.091,0.013,0.011,0.003,0.000,0.000,0.000,0.011,0.002,0.008,0.000,0.001,0.007,0.040,0.085,0.040,0.028,0.006,0.007,0.000,0.000,0.019,0.001,0.007,0.000,0.001,0.005,0.031,0.069,0.014,0.012,0.001,0.000,0.001,0.000,0.019,0.000,0.009,0.000,0.001,0.009,0.035,0.089,0.034,0.023,0.010,0.001,0.000,0.000,0.036,0.004,0.009,0.001,0.000,0.008,0.037,0.093,0.008,0.007,0.001,0.000,0.000,0.000,0.020,0.001,0.005,0.000,0.000,0.005,0.054,0.077,0.013,0.009,0.004,0.000,0.000,0.000,0.025,0.001,0.012,0.000,0.001,0.011,0.061,0.071,0.051,0.044,0.005,0.001,0.001,0.000,0.045,0.001,0.008,0.000,0.000,0.008,0.044,0.075,0.036,0.029,0.005,0.002,0.000,0.000,0.024,0.001,0.006,0.000,0.001,0.005,0.039,0.085,0.279,0.158,0.067,0.048,0.005,0.000,0.070,0.015,0.011,0.002,0.001,0.008,0.023,0.086,0.027,0.020,0.006,0.002,0.000,0.000,0.022,0.002,0.008,0.000,0.001,0.007,0.036,0.078,0.028,0.023,0.004,0.001,0.000,0.000,0.027,0.001,0.008,0.000,0.001,0.007,0.048,0.082,0.096,0.059,0.022,0.014,0.001,0.000,0.037,0.005,0.009,0.001,0.001,0.007,0.038
2011,0.078,0.019,0.016,0.001,0.001,0.002,0.000,0.017,0.004,0.011,0.000,0.001,0.009,0.046,0.087,0.030,0.022,0.003,0.005,0.000,0.000,0.017,0.003,0.010,0.001,0.001,0.008,0.044,0.083,0.017,0.016,0.000,0.001,0.000,0.000,0.021,0.003,0.015,0.000,0.000,0.015,0.029,0.082,0.037,0.023,0.012,0.003,0.000,0.000,0.037,0.002,0.008,0.002,0.000,0.006,0.035,0.094,0.016,0.012,0.002,0.000,0.000,0.001,0.021,0.002,0.008,0.001,0.001,0.007,0.057,0.075,0.011,0.008,0.003,0.001,0.000,0.000,0.019,0.001,0.007,0.000,0.001,0.006,0.067,0.074,0.047,0.041,0.004,0.001,0.001,0.000,0.047,0.001,0.009,0.001,0.001,0.007,0.046,0.080,0.032,0.024,0.005,0.002,0.000,0.000,0.027,0.002,0.006,0.001,0.001,0.004,0.038,0.081,0.277,0.144,0.074,0.054,0.005,0.000,0.077,0.015,0.012,0.002,0.001,0.009,0.025,0.082,0.027,0.020,0.005,0.003,0.000,0.000,0.024,0.003,0.010,0.001,0.001,0.009,0.040,0.081,0.027,0.021,0.004,0.001,0.000,0.000,0.027,0.002,0.007,0.000,0.001,0.006,0.049,0.081,0.095,0.054,0.023,0.016,0.001,0.000,0.040,0.006,0.009,0.001,0.001,0.007,0.040
2012,0.086,0.011,0.010,0.000,0.001,0.000,0.000,0.011,0.005,0.009,0.000,0.001,0.008,0.042,0.081,0.039,0.028,0.003,0.008,0.000,0.000,0.017,0.002,0.009,0.000,0.000,0.008,0.039,0.062,0.014,,,,,,0.029,,,,,,0.041,0.075,0.027,0.017,0.008,0.002,0.000,0.000,0.023,0.007,0.011,0.001,0.000,0.009,0.044,0.087,0.009,0.007,0.002,0.001,0.000,0.000,0.022,0.002,0.003,0.000,0.001,0.003,0.058,0.067,0.014,0.010,0.004,0.000,0.000,0.000,0.038,0.002,0.004,0.000,0.001,0.003,0.066,0.079,0.049,0.043,0.004,0.001,0.001,0.000,0.037,0.002,0.007,0.000,0.000,0.006,0.047,0.077,0.033,0.026,0.005,0.002,0.000,0.000,0.032,0.002,0.004,0.000,0.001,0.003,0.041,0.085,0.282,0.153,0.065,0.060,0.003,0.000,0.069,0.019,0.012,0.002,0.002,0.009,0.027,0.078,0.024,0.016,0.003,0.003,0.000,0.000,0.019,0.004,0.008,0.001,0.000,0.007,0.041,0.077,0.027,0.022,0.004,0.001,0.000,0.000,0.032,0.002,0.005,0.000,0.001,0.004,0.051,0.080,0.095,0.056,0.020,0.018,0.001,0.000,0.039,0.007,0.008,0.001,0.001,0.006,0.042
2013,0.070,0.009,0.007,0.001,0.000,0.000,0.000,0.013,0.004,0.008,0.000,0.001,0.007,0.040,0.067,0.033,0.025,0.005,0.002,0.001,0.000,0.031,0.003,0.008,0.001,0.000,0.007,0.040,0.067,0.025,0.025,0.000,0.000,0.000,0.000,0.021,0.006,0.006,0.000,0.000,0.006,0.031,0.099,0.038,0.028,0.010,0.001,0.000,0.000,0.023,0.007,0.013,0.001,0.001,0.012,0.040,0.077,0.014,0.013,0.002,0.000,0.000,0.000,0.023,0.003,0.010,0.000,0.001,0.008,0.058,0.061,0.015,0.011,0.004,0.000,0.000,0.000,0.042,0.001,0.006,0.001,0.001,0.005,0.064,0.076,0.066,0.054,0.005,0.006,0.001,0.000,0.047,0.003,0.007,0.001,0.001,0.005,0.046,0.073,0.035,0.023,0.009,0.003,0.000,0.000,0.028,0.002,0.010,0.000,0.001,0.008,0.044,0.080,0.291,0.150,0.073,0.065,0.004,0.000,0.070,0.020,0.013,0.001,0.001,0.010,0.025,0.078,0.027,0.021,0.005,0.001,0.000,0.000,0.022,0.005,0.009,0.001,0.000,0.008,0.039,0.072,0.032,0.024,0.006,0.002,0.000,0.000,0.033,0.002,0.008,0.001,0.001,0.007,0.052,0.075,0.102,0.058,0.024,0.019,0.001,0.000,0.040,0.008,0.010,0.001,0.001,0.008,0.041
2014,0.086,0.013,0.011,0.001,0.000,0.000,0.000,0.011,0.003,0.012,0.000,0.001,0.011,0.036,0.076,0.025,0.017,0.002,0.005,0.000,0.000,0.030,0.003,0.009,0.001,0.000,0.008,0.036,0.078,0.019,,,,,,0.014,,,,,,0.052,0.103,0.034,0.024,0.008,0.001,0.001,0.000,0.022,0.006,0.005,0.002,0.000,0.004,0.047,0.091,0.015,0.011,0.004,0.000,0.000,0.000,0.022,0.002,0.005,0.001,0.000,0.004,0.055,0.088,0.010,0.007,0.003,0.000,0.000,0.000,0.039,0.003,0.009,0.000,0.001,0.007,0.060,0.077,0.057,0.044,0.005,0.004,0.003,0.000,0.038,0.002,0.009,0.000,0.001,0.007,0.049,0.079,0.031,0.023,0.005,0.002,0.000,0.000,0.025,0.002,0.006,0.001,0.001,0.005,0.053,0.074,0.293,0.151,0.073,0.064,0.005,0.000,0.069,0.016,0.012,0.001,0.000,0.010,0.025,0.087,0.023,0.015,0.003,0.002,0.000,0.000,0.020,0.003,0.007,0.001,0.000,0.006,0.042,0.083,0.027,0.021,0.004,0.002,0.001,0.000,0.029,0.002,0.007,0.001,0.001,0.005,0.054,0.082,0.099,0.055,0.023,0.019,0.002,0.000,0.038,0.006,0.008,0.001,0.001,0.007,0.043
2015,0.088,0.013,0.010,0.001,0.001,0.001,0.000,0.016,0.000,0.008,0.000,0.002,0.007,0.034,0.067,0.031,0.024,0.002,0.005,0.000,0.000,0.026,0.002,0.013,0.002,0.000,0.011,0.040,0.075,0.021,,,,,,0.016,,,,,,0.037,0.078,0.031,0.021,0.008,0.002,0.000,0.000,0.029,0.004,0.006,0.001,0.001,0.004,0.031,0.079,0.013,0.011,0.002,0.001,0.000,0.000,0.022,0.002,0.007,0.002,0.001,0.005,0.056,0.074,0.014,0.008,0.006,0.000,0.000,0.000,0.027,0.001,0.008,0.000,0.001,0.007,0.068,0.071,0.068,0.054,0.009,0.003,0.002,0.000,0.041,0.003,0.008,0.001,0.000,0.007,0.058,0.063,0.035,0.026,0.006,0.002,0.000,0.000,0.025,0.001,0.007,0.001,0.001,0.005,0.048,0.074,0.277,0.144,0.071,0.058,0.004,0.000,0.077,0.018,0.013,0.002,0.001,0.010,0.029,0.077,0.025,0.016,0.003,0.003,0.000,0.000,0.023,0.002,0.008,0.001,0.001,0.006,0.035,0.070,0.032,0.024,0.006,0.001,0.000,0.000,0.028,0.002,0.007,0.001,0.001,0.006,0.055,0.073,0.099,0.055,0.024,0.017,0.001,0.000,0.040,0.006,0.009,0.001,0.001,0.007,0.042
