"year","burlsov","burlnonsov","burlpool","burltransit","burlbus","burlrail","burlsubw","burltroll","burlferry","burlwalk","burlbike","burltmo","burltaxi","burlmcyc","burlother","burlwfh","camdsov","camdnonsov","camdpool","camdtransit","camdbus","camdrail","camdsubw","camdtroll","camdferry","camdwalk","camdbike","camdtmo","camdtaxi","camdmcyc","camdother","camdwfh","glocsov","glocnonsov","glocpool","gloctransit","glocbus","glocrail","glocsubw","gloctroll","glocferry","glocwalk","glocbike","gloctmo","gloctaxi","glocmcyc","glocother","glocwfh","mercsov","mercnonsov","mercpool","merctransit","mercbus","mercrail","mercsubw","merctroll","mercferry","mercwalk","mercbike","merctmo","merctaxi","mercmcyc","mercother","mercwfh","bucksov","bucknonsov","buckpool","bucktransit","buckbus","buckrail","bucksubw","bucktroll","buckferry","buckwalk","buckbike","bucktmo","bucktaxi","buckmcyc","buckother","buckwfh","chessov","chesnonsov","chespool","chestransit","chesbus","chesrail","chessubw","chestroll","chesferry","cheswalk","chesbike","chestmo","chestaxi","chesmcyc","chesother","cheswfh","delasov","delanonsov","delapool","delatransit","delabus","delarail","delasubw","delatroll","delaferry","delawalk","delabike","delatmo","delataxi","delamcyc","delaother","delawfh","montsov","montnonsov","montpool","monttransit","montbus","montrail","montsubw","monttroll","montferry","montwalk","montbike","monttmo","monttaxi","montmcyc","montother","montwfh","philsov","philnonsov","philpool","philtransit","philbus","philrail","philsubw","philtroll","philferry","philwalk","philbike","philtmo","philtaxi","philmcyc","philother","philwfh","njcossov","njcosnonsov","njcospool","njcostransit","njcosbus","njcosrail","njcossubw","njcostroll","njcosferry","njcoswalk","njcosbike","njcostmo","njcostaxi","njcosmcyc","njcosother","njcoswfh","pasubsov","pasubnonsov","pasubpool","pasubtransit","pasubbus","pasubrail","pasubsubw","pasubtroll","pasubferry","pasubwalk","pasubbike","pasubtmo","pasubtaxi","pasubmcyc","pasubother","pasubwfh","dvrpcsov","dvrpcnonsov","dvrpcpool","dvrpctransit","dvrpcbus","dvrpcrail","dvrpcsubw","dvrpctroll","dvrpcferry","dvrpcwalk","dvrpcbike","dvrpctmo","dvrpctaxi","dvrpcmcyc","dvrpcother","dvrpcwfh","philuzasov","philuzanonsov","philuzapool","philuzatransit","philuzabus","philuzarail","philuzasubw","philuzatroll","philuzaferry","philuzawalk","philuzabike","philuzatmo","philuzataxi","philuzamcyc","philuzaother","philuzawfh","trenuzasov","trenuzanonsov","trenuzapool","trenuzatransit","trenuzabus","trenuzarail","trenuzasubw","trenuzatroll","trenuzaferry","trenuzawalk","trenuzabike","trenuzatmo","trenuzataxi","trenuzamcyc","trenuzaother","trenuzawfh"
2006,0.829,0.171,0.088,0.019,0.014,0.004,0.000,0.000,0.000,0.021,0.002,0.010,0.002,0.001,0.008,0.030,0.788,0.212,0.094,0.046,0.035,0.005,0.006,0.000,0.000,0.026,0.001,0.009,0.002,0.001,0.006,0.035,0.839,0.161,0.081,0.021,0.019,0.001,0.001,0.000,0.000,0.020,0.003,0.003,0.000,0.001,0.002,0.034,0.792,0.208,0.096,0.037,0.025,0.009,0.003,0.000,0.000,0.035,0.004,0.008,0.000,0.002,0.006,0.027,0.811,0.189,0.097,0.016,0.012,0.003,0.001,0.000,0.000,0.028,0.001,0.005,0.000,0.001,0.005,0.042,0.805,0.195,0.093,0.012,0.009,0.003,0.000,0.000,0.000,0.026,0.001,0.009,0.002,0.001,0.006,0.054,0.779,0.221,0.081,0.051,0.041,0.006,0.002,0.001,0.000,0.046,0.003,0.005,0.000,0.000,0.005,0.036,0.819,0.181,0.084,0.028,0.019,0.006,0.002,0.001,0.000,0.027,0.002,0.009,0.000,0.001,0.008,0.032,0.527,0.473,0.094,0.272,0.155,0.058,0.051,0.007,0.000,0.066,0.010,0.011,0.001,0.001,0.008,0.020,0.808,0.192,0.091,0.032,0.024,0.005,0.003,0.000,0.000,0.026,0.003,0.008,0.001,0.001,0.006,0.031,0.807,0.193,0.088,0.026,0.020,0.005,0.001,0.000,0.000,0.030,0.002,0.008,0.000,0.001,0.006,0.039,0.736,0.264,0.091,0.090,0.055,0.018,0.014,0.002,0.000,0.038,0.004,0.009,0.001,0.001,0.007,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,0.830,0.170,0.083,0.016,0.013,0.001,0.001,0.000,0.000,0.015,0.003,0.012,0.002,0.001,0.010,0.040,0.782,0.218,0.112,0.039,0.025,0.010,0.004,0.000,0.000,0.026,0.003,0.006,0.001,0.000,0.005,0.031,0.782,0.218,0.109,0.020,,,,,,0.032,,,,,,0.050,0.796,0.204,0.103,0.027,0.019,0.008,0.000,0.001,0.000,0.032,0.004,0.010,0.002,0.001,0.008,0.027,0.819,0.181,0.094,0.012,0.009,0.003,0.000,0.000,0.000,0.021,0.002,0.006,0.000,0.001,0.005,0.047,0.822,0.178,0.078,0.015,0.011,0.002,0.001,0.000,0.000,0.024,0.000,0.004,0.000,0.000,0.003,0.058,0.755,0.245,0.086,0.057,0.046,0.006,0.003,0.001,0.000,0.044,0.003,0.009,0.002,0.001,0.006,0.045,0.821,0.179,0.085,0.025,0.020,0.004,0.001,0.000,0.000,0.028,0.002,0.005,0.000,0.001,0.004,0.033,0.527,0.473,0.090,0.270,0.148,0.062,0.055,0.005,0.000,0.069,0.009,0.011,0.002,0.000,0.009,0.024,0.800,0.200,0.101,0.027,0.017,0.006,0.001,0.000,0.000,0.026,0.003,0.008,0.001,0.000,0.006,0.035,0.809,0.191,0.086,0.026,0.020,0.004,0.001,0.000,0.000,0.028,0.002,0.006,0.000,0.001,0.005,0.043,0.733,0.267,0.091,0.090,0.052,0.020,0.015,0.001,0.000,0.038,0.004,0.008,0.001,0.001,0.006,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,0.841,0.159,0.089,0.012,0.011,0.002,0.000,0.000,0.000,0.011,0.002,0.007,0.002,0.000,0.005,0.039,0.805,0.195,0.095,0.033,0.025,0.004,0.004,0.000,0.000,0.024,0.003,0.009,0.003,0.000,0.006,0.030,0.813,0.187,0.089,0.017,0.014,0.001,0.002,0.000,0.000,0.022,0.002,0.017,0.001,0.001,0.015,0.040,0.774,0.226,0.108,0.035,0.021,0.013,0.001,0.000,0.000,0.028,0.007,0.013,0.003,0.001,0.009,0.035,0.806,0.194,0.095,0.012,0.009,0.003,0.000,0.000,0.000,0.018,0.003,0.008,0.000,0.001,0.007,0.059,0.821,0.179,0.083,0.011,0.006,0.004,0.001,0.000,0.000,0.023,0.002,0.008,0.000,0.003,0.005,0.051,0.771,0.229,0.083,0.058,0.047,0.007,0.001,0.003,0.000,0.043,0.003,0.006,0.000,0.001,0.005,0.036,0.817,0.183,0.083,0.027,0.020,0.004,0.002,0.000,0.000,0.031,0.003,0.007,0.000,0.001,0.005,0.033,0.517,0.483,0.090,0.277,0.149,0.067,0.058,0.004,0.000,0.071,0.014,0.010,0.001,0.001,0.008,0.020,0.806,0.194,0.097,0.026,0.018,0.006,0.002,0.000,0.000,0.022,0.004,0.011,0.002,0.001,0.008,0.035,0.807,0.193,0.086,0.026,0.019,0.004,0.001,0.001,0.000,0.029,0.003,0.007,0.000,0.001,0.006,0.043,0.731,0.269,0.090,0.092,0.053,0.021,0.016,0.001,0.000,0.038,0.006,0.009,0.001,0.001,0.007,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,0.819,0.181,0.074,0.012,0.008,0.003,0.001,0.000,0.000,0.019,0.002,0.009,0.001,0.000,0.008,0.065,0.804,0.196,0.085,0.035,0.026,0.005,0.004,0.000,0.000,0.019,0.005,0.019,0.002,0.002,0.015,0.035,0.818,0.182,0.092,0.017,,,,,,0.020,,,,,,0.046,0.800,0.200,0.094,0.023,0.015,0.006,0.001,0.001,0.000,0.028,0.006,0.013,0.003,0.001,0.010,0.037,0.818,0.182,0.097,0.012,0.010,0.001,0.001,0.000,0.000,0.018,0.003,0.006,0.001,0.001,0.004,0.046,0.839,0.161,0.071,0.016,0.012,0.004,0.000,0.000,0.000,0.016,0.002,0.004,0.000,0.000,0.004,0.051,0.777,0.223,0.084,0.047,0.036,0.005,0.003,0.003,0.000,0.041,0.004,0.003,0.001,0.000,0.002,0.042,0.824,0.176,0.068,0.034,0.024,0.007,0.002,0.000,0.000,0.032,0.004,0.005,0.000,0.001,0.004,0.034,0.522,0.478,0.082,0.264,0.141,0.067,0.050,0.006,0.000,0.072,0.019,0.012,0.003,0.001,0.009,0.029,0.809,0.191,0.085,0.022,0.013,0.004,0.002,0.000,0.000,0.022,0.004,0.011,0.002,0.001,0.009,0.046,0.817,0.183,0.078,0.028,0.021,0.005,0.002,0.001,0.000,0.027,0.004,0.005,0.001,0.001,0.004,0.042,0.733,0.267,0.081,0.092,0.052,0.022,0.015,0.002,0.000,0.038,0.008,0.009,0.002,0.001,0.007,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,0.833,0.167,0.091,0.013,0.011,0.003,0.000,0.000,0.000,0.011,0.002,0.008,0.000,0.001,0.007,0.040,0.818,0.182,0.085,0.040,0.028,0.006,0.007,0.000,0.000,0.019,0.001,0.007,0.000,0.001,0.005,0.031,0.854,0.146,0.069,0.014,0.012,0.001,0.000,0.001,0.000,0.019,0.000,0.009,0.000,0.001,0.009,0.035,0.790,0.210,0.089,0.034,0.023,0.010,0.001,0.000,0.000,0.036,0.004,0.009,0.001,0.000,0.008,0.037,0.818,0.182,0.093,0.008,0.007,0.001,0.000,0.000,0.000,0.020,0.001,0.005,0.000,0.000,0.005,0.054,0.811,0.189,0.077,0.013,0.009,0.004,0.000,0.000,0.000,0.025,0.001,0.012,0.000,0.001,0.011,0.061,0.780,0.220,0.071,0.051,0.044,0.005,0.001,0.001,0.000,0.045,0.001,0.008,0.000,0.000,0.008,0.044,0.819,0.181,0.075,0.036,0.029,0.005,0.002,0.000,0.000,0.024,0.001,0.006,0.000,0.001,0.005,0.039,0.517,0.483,0.085,0.279,0.158,0.067,0.048,0.005,0.000,0.070,0.015,0.011,0.002,0.001,0.008,0.023,0.819,0.181,0.086,0.027,0.020,0.006,0.002,0.000,0.000,0.022,0.002,0.008,0.000,0.001,0.007,0.036,0.810,0.190,0.078,0.028,0.023,0.004,0.001,0.000,0.000,0.027,0.001,0.008,0.000,0.001,0.007,0.048,0.732,0.268,0.082,0.096,0.059,0.022,0.014,0.001,0.000,0.037,0.005,0.009,0.001,0.001,0.007,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,0.826,0.174,0.078,0.019,0.016,0.001,0.001,0.002,0.000,0.017,0.004,0.011,0.000,0.001,0.009,0.046,0.810,0.190,0.087,0.030,0.022,0.003,0.005,0.000,0.000,0.017,0.003,0.010,0.001,0.001,0.008,0.044,0.833,0.167,0.083,0.017,0.016,0.000,0.001,0.000,0.000,0.021,0.003,0.015,0.000,0.000,0.015,0.029,0.799,0.201,0.082,0.037,0.023,0.012,0.003,0.000,0.000,0.037,0.002,0.008,0.002,0.000,0.006,0.035,0.803,0.197,0.094,0.016,0.012,0.002,0.000,0.000,0.001,0.021,0.002,0.008,0.001,0.001,0.007,0.057,0.820,0.180,0.075,0.011,0.008,0.003,0.001,0.000,0.000,0.019,0.001,0.007,0.000,0.001,0.006,0.067,0.777,0.223,0.074,0.047,0.041,0.004,0.001,0.001,0.000,0.047,0.001,0.009,0.001,0.001,0.007,0.046,0.815,0.185,0.080,0.032,0.024,0.005,0.002,0.000,0.000,0.027,0.002,0.006,0.001,0.001,0.004,0.038,0.514,0.486,0.081,0.277,0.144,0.074,0.054,0.005,0.000,0.077,0.015,0.012,0.002,0.001,0.009,0.025,0.814,0.186,0.082,0.027,0.020,0.005,0.003,0.000,0.000,0.024,0.003,0.010,0.001,0.001,0.009,0.040,0.807,0.193,0.081,0.027,0.021,0.004,0.001,0.000,0.000,0.027,0.002,0.007,0.000,0.001,0.006,0.049,0.729,0.271,0.081,0.095,0.054,0.023,0.016,0.001,0.000,0.040,0.006,0.009,0.001,0.001,0.007,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,0.836,0.164,0.086,0.011,0.010,0.000,0.001,0.000,0.000,0.011,0.005,0.009,0.000,0.001,0.008,0.042,0.813,0.187,0.081,0.039,0.028,0.003,0.008,0.000,0.000,0.017,0.002,0.009,0.000,0.000,0.008,0.039,0.844,0.156,0.062,0.014,,,,,,0.029,,,,,,0.041,0.813,0.187,0.075,0.027,0.017,0.008,0.002,0.000,0.000,0.023,0.007,0.011,0.001,0.000,0.009,0.044,0.818,0.182,0.087,0.009,0.007,0.002,0.001,0.000,0.000,0.022,0.002,0.003,0.000,0.001,0.003,0.058,0.810,0.190,0.067,0.014,0.010,0.004,0.000,0.000,0.000,0.038,0.002,0.004,0.000,0.001,0.003,0.066,0.778,0.222,0.079,0.049,0.043,0.004,0.001,0.001,0.000,0.037,0.002,0.007,0.000,0.000,0.006,0.047,0.810,0.190,0.077,0.033,0.026,0.005,0.002,0.000,0.000,0.032,0.002,0.004,0.000,0.001,0.003,0.041,0.506,0.494,0.085,0.282,0.153,0.065,0.060,0.003,0.000,0.069,0.019,0.012,0.002,0.002,0.009,0.027,0.824,0.176,0.078,0.024,0.016,0.003,0.003,0.000,0.000,0.019,0.004,0.008,0.001,0.000,0.007,0.041,0.806,0.194,0.077,0.027,0.022,0.004,0.001,0.000,0.000,0.032,0.002,0.005,0.000,0.001,0.004,0.051,0.729,0.271,0.080,0.095,0.056,0.020,0.018,0.001,0.000,0.039,0.007,0.008,0.001,0.001,0.006,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,0.856,0.144,0.070,0.009,0.007,0.001,0.000,0.000,0.000,0.013,0.004,0.008,0.000,0.001,0.007,0.040,0.818,0.182,0.067,0.033,0.025,0.005,0.002,0.001,0.000,0.031,0.003,0.008,0.001,0.000,0.007,0.040,0.843,0.157,0.067,0.025,0.025,0.000,0.000,0.000,0.000,0.021,0.006,0.006,0.000,0.000,0.006,0.031,0.780,0.220,0.099,0.038,0.028,0.010,0.001,0.000,0.000,0.023,0.007,0.013,0.001,0.001,0.012,0.040,0.815,0.185,0.077,0.014,0.013,0.002,0.000,0.000,0.000,0.023,0.003,0.010,0.000,0.001,0.008,0.058,0.810,0.190,0.061,0.015,0.011,0.004,0.000,0.000,0.000,0.042,0.001,0.006,0.001,0.001,0.005,0.064,0.756,0.244,0.076,0.066,0.054,0.005,0.006,0.001,0.000,0.047,0.003,0.007,0.001,0.001,0.005,0.046,0.809,0.191,0.073,0.035,0.023,0.009,0.003,0.000,0.000,0.028,0.002,0.010,0.000,0.001,0.008,0.044,0.503,0.497,0.080,0.291,0.150,0.073,0.065,0.004,0.000,0.070,0.020,0.013,0.001,0.001,0.010,0.025,0.821,0.179,0.078,0.027,0.021,0.005,0.001,0.000,0.000,0.022,0.005,0.009,0.001,0.000,0.008,0.039,0.801,0.199,0.072,0.032,0.024,0.006,0.002,0.000,0.000,0.033,0.002,0.008,0.001,0.001,0.007,0.052,0.724,0.276,0.075,0.102,0.058,0.024,0.019,0.001,0.000,0.040,0.008,0.010,0.001,0.001,0.008,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,0.839,0.161,0.086,0.013,0.011,0.001,0.000,0.000,0.000,0.011,0.003,0.012,0.000,0.001,0.011,0.036,0.821,0.179,0.076,0.025,0.017,0.002,0.005,0.000,0.000,0.030,0.003,0.009,0.001,0.000,0.008,0.036,0.818,0.182,0.078,0.019,,,,,,0.014,,,,,,0.052,0.784,0.216,0.103,0.034,0.024,0.008,0.001,0.001,0.000,0.022,0.006,0.005,0.002,0.000,0.004,0.047,0.810,0.190,0.091,0.015,0.011,0.004,0.000,0.000,0.000,0.022,0.002,0.005,0.001,0.000,0.004,0.055,0.791,0.209,0.088,0.010,0.007,0.003,0.000,0.000,0.000,0.039,0.003,0.009,0.000,0.001,0.007,0.060,0.769,0.231,0.077,0.057,0.044,0.005,0.004,0.003,0.000,0.038,0.002,0.009,0.000,0.001,0.007,0.049,0.804,0.196,0.079,0.031,0.023,0.005,0.002,0.000,0.000,0.025,0.002,0.006,0.001,0.001,0.005,0.053,0.511,0.489,0.074,0.293,0.151,0.073,0.064,0.005,0.000,0.069,0.016,0.012,0.001,0.000,0.010,0.025,0.814,0.186,0.087,0.023,0.015,0.003,0.002,0.000,0.000,0.020,0.003,0.007,0.001,0.000,0.006,0.042,0.797,0.203,0.083,0.027,0.021,0.004,0.002,0.001,0.000,0.029,0.002,0.007,0.001,0.001,0.005,0.054,0.723,0.277,0.082,0.099,0.055,0.023,0.019,0.002,0.000,0.038,0.006,0.008,0.001,0.001,0.007,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,0.840,0.160,0.088,0.013,0.010,0.001,0.001,0.001,0.000,0.016,0.000,0.008,0.000,0.002,0.007,0.034,0.820,0.180,0.067,0.031,0.024,0.002,0.005,0.000,0.000,0.026,0.002,0.013,0.002,0.000,0.011,0.040,0.829,0.171,0.075,0.021,,,,,,0.016,,,,,,0.037,0.821,0.179,0.078,0.031,0.021,0.008,0.002,0.000,0.000,0.029,0.004,0.006,0.001,0.001,0.004,0.031,0.820,0.180,0.079,0.013,0.011,0.002,0.001,0.000,0.000,0.022,0.002,0.007,0.002,0.001,0.005,0.056,0.807,0.193,0.074,0.014,0.008,0.006,0.000,0.000,0.000,0.027,0.001,0.008,0.000,0.001,0.007,0.068,0.752,0.248,0.071,0.068,0.054,0.009,0.003,0.002,0.000,0.041,0.003,0.008,0.001,0.000,0.007,0.058,0.821,0.179,0.063,0.035,0.026,0.006,0.002,0.000,0.000,0.025,0.001,0.007,0.001,0.001,0.005,0.048,0.513,0.487,0.074,0.277,0.144,0.071,0.058,0.004,0.000,0.077,0.018,0.013,0.002,0.001,0.010,0.029,0.827,0.173,0.077,0.025,0.016,0.003,0.003,0.000,0.000,0.023,0.002,0.008,0.001,0.001,0.006,0.035,0.806,0.194,0.070,0.032,0.024,0.006,0.001,0.000,0.000,0.028,0.002,0.007,0.001,0.001,0.006,0.055,0.729,0.271,0.073,0.099,0.055,0.024,0.017,0.001,0.000,0.040,0.006,0.009,0.001,0.001,0.007,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
