year,daysViolating,fiveYearAvg
1980,242,NA
1981,225,NA
1982,204,NA
1983,198,NA
1984,192,212.2
1985,189,201.6
1986,147,186
1987,163,177.8
1988,175,173.2
1989,150,164.8
1990,167,160.4
1991,141,159.2
1992,126,151.8
1993,182,153.2
1994,187,160.6
1995,161,159.4
1996,173,165.8
1997,153,171.2
1998,126,160
1999,115,145.6
2000,87,130.8
2001,117,119.6
2002,124,113.8
2003,103,109.2
2004,68,99.8
2005,86,99.6
2006,81,92.4
2007,60,79.6
2008,50,69
2009,24,60.2
2010,48,52.6
2011,31,42.6
2012,43,39.2
2013,19,33
2014,21,32.4
2015,30,28.8
2016,20,26.6
2017,22,22.4
