"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.210,0.147,0.323,0.180,0.256,0.169,0.361,0.375,0.126,0.107,0.235,0,0.226,0.186,0.292,0.294,0.156,0.168,0.183,0.019,0.124,0.118,0.209,0,0.126,0.094,0.302,0,0.191,0.171,0.232,0.304,0.249,0.160,0.332,0.487,0.081,0.081,0.171,0,0.175,0.158,0.253,0,0.306,0.240,0.359,0.430,0.324,0.109,0.436,0.668
1994,0.213,0.123,0.327,0.372,0.240,0.125,0.372,0.484,0.126,0.115,0.218,0,0.264,0.154,0.280,0.468,0.390,0.193,0.205,0.624,0.112,0.139,0.165,0,0.141,0.116,0.302,0,0.183,0.182,0.216,0.136,0.143,0.096,0.281,0.339,0.079,0.081,0.150,0,0.176,0.158,0.255,0,0.245,0.148,0.349,0.300,0.207,0.095,0.461,0.751
1995,0.208,0.132,0.311,0.314,0.235,0.136,0.359,0.389,0.120,0.115,0.196,0,0.245,0.161,0.251,0.371,0.396,0.219,0.200,0.617,0.116,0.146,0.170,0,0.131,0.114,0.252,0,0.191,0.194,0.206,0.149,0.097,0.090,0.259,0.041,0.081,0.087,0.135,0,0.156,0.147,0.215,0,0.228,0.140,0.295,0.303,0.220,0.110,0.462,0.790
1996,0.216,0.130,0.311,0.364,0.248,0.136,0.361,0.469,0.116,0.110,0.191,0,0.271,0.169,0.255,0.456,0.400,0.228,0.217,0.605,0.121,0.149,0.179,0,0.119,0.111,0.206,0,0.173,0.171,0.187,0.162,0.166,0.110,0.292,0.240,0.081,0.087,0.135,0,0.147,0.129,0.215,0,0.231,0.145,0.288,0.305,0.217,0.104,0.464,0.672
1997,0.161,0.124,0.287,0.136,0.173,0.126,0.328,0.249,0.119,0.117,0.190,0,0.190,0.170,0.248,0.215,0.215,0.242,0.220,0.060,0.135,0.195,0.175,0,0.117,0.107,0.209,0,0.210,0.209,0.191,0.283,0.128,0.088,0.278,0.170,0.078,0.087,0.125,0,0.148,0.132,0.216,0,0.200,0.145,0.276,0.365,0.157,0.088,0.401,0.495
1998,0.170,0.137,0.259,0.171,0.189,0.144,0.289,0.321,0.117,0.113,0.189,0,0.202,0.178,0.233,0.309,0.248,0.267,0.214,0.180,0.116,0.143,0.167,0,0.133,0.123,0.241,0,0.175,0.176,0.145,0.264,0.137,0.069,0.270,0.545,0.092,0.106,0.119,0,0.130,0.100,0.209,0,0.226,0.186,0.268,0.338,0.171,0.097,0.346,0.405
1999,0.163,0.128,0.259,0.177,0.183,0.135,0.291,0.340,0.107,0.101,0.184,0.003,0.175,0.139,0.229,0.331,0.240,0.236,0.207,0.318,0.105,0.129,0.154,0.008,0.113,0.097,0.235,0,0.136,0.124,0.145,0.257,0.120,0.048,0.270,0.541,0.075,0.086,0.100,0,0.136,0.113,0.214,0,0.181,0.128,0.264,0.272,0.194,0.130,0.354,0.392
2000,0.170,0.141,0.249,0.193,0.192,0.152,0.280,0.354,0.107,0.099,0.179,0.013,0.172,0.140,0.215,0.315,0.232,0.224,0.203,0.327,0.123,0.140,0.172,0.033,0.084,0.074,0.162,0,0.143,0.142,0.142,0.167,0.121,0.048,0.250,0.588,0.074,0.085,0.091,0,0.143,0.124,0.216,0,0.170,0.129,0.239,0.225,0.216,0.165,0.352,0.532
2001,0.186,0.162,0.257,0.192,0.213,0.178,0.291,0.353,0.105,0.098,0.177,0.013,0.186,0.150,0.259,0.305,0.226,0.210,0.243,0.311,0.120,0.141,0.165,0.033,0.079,0.073,0.141,0,0.176,0.187,0.130,0.198,0.116,0.044,0.245,0.593,0.079,0.085,0.153,0,0.138,0.119,0.207,0,0.206,0.149,0.335,0.197,0.244,0.210,0.326,0.558
2002,0.196,0.175,0.264,0.196,0.223,0.192,0.294,0.357,0.114,0.105,0.192,0.014,0.200,0.167,0.270,0.309,0.244,0.233,0.251,0.311,0.117,0.141,0.156,0.033,0.116,0.130,0.126,0,0.200,0.207,0.174,0.198,0.118,0.046,0.249,0.593,0.058,0.063,0.132,0,0.161,0.124,0.258,0,0.219,0.169,0.335,0.209,0.250,0.220,0.321,0.558
2003,0.188,0.175,0.221,0.203,0.213,0.192,0.250,0.358,0.109,0.106,0.156,0.041,0.203,0.172,0.262,0.315,0.252,0.242,0.247,0.327,0.098,0.134,0.098,0.065,0.142,0.152,0.126,0.109,0.190,0.193,0.176,0.198,0.119,0.077,0.159,0.535,0.055,0.063,0.079,0,0.145,0.112,0.237,0,0.225,0.162,0.357,0.248,0.224,0.212,0.236,0.577
2004,0.153,0.163,0.224,0.088,0.162,0.175,0.254,0.094,0.112,0.112,0.154,0.041,0.155,0.160,0.273,0.103,0.154,0.220,0.267,0.071,0.104,0.137,0.108,0.065,0.153,0.174,0.101,0.109,0.156,0.171,0.165,0.083,0.087,0.077,0.182,0.071,0.055,0.063,0.072,0,0.146,0.112,0.239,0,0.202,0.163,0.365,0.166,0.170,0.191,0.233,0.079
2005,0.157,0.169,0.231,0.090,0.168,0.183,0.266,0.096,0.111,0.111,0.152,0.041,0.168,0.182,0.291,0.105,0.154,0.233,0.271,0.065,0.095,0.132,0.091,0.066,0.143,0.147,0.146,0.109,0.150,0.159,0.177,0.083,0.141,0.166,0.221,0.071,0.070,0.082,0.075,0,0.142,0.108,0.235,0,0.211,0.161,0.383,0.181,0.167,0.184,0.238,0.079
2006,0.156,0.166,0.231,0.090,0.169,0.184,0.268,0.095,0.101,0.094,0.148,0.041,0.170,0.185,0.293,0.104,0.152,0.230,0.266,0.065,0.077,0.067,0.093,0.066,0.116,0.125,0.090,0.109,0.148,0.152,0.177,0.099,0.147,0.176,0.221,0.071,0.070,0.082,0.076,0,0.139,0.100,0.242,0,0.216,0.173,0.390,0.177,0.167,0.184,0.241,0.079
2007,0.160,0.161,0.259,0.090,0.175,0.177,0.309,0.096,0.096,0.095,0.128,0.041,0.171,0.171,0.320,0.115,0.165,0.222,0.332,0.090,0.072,0.067,0.080,0.068,0.134,0.151,0.090,0.109,0.147,0.152,0.165,0.103,0.126,0.135,0.227,0.075,0.047,0.050,0.076,0,0.138,0.123,0.201,0,0.220,0.167,0.418,0.176,0.179,0.182,0.299,0.059
2008,0.179,0.165,0.263,0.140,0.202,0.183,0.320,0.160,0.083,0.090,0.114,0.003,0.215,0.179,0.345,0.214,0.303,0.247,0.339,0.368,0.053,0.071,0.067,0.008,0.100,0.118,0.090,0,0.150,0.149,0.237,0.052,0.120,0.116,0.295,0.061,0.049,0.053,0.076,0,0.130,0.125,0.176,0,0.233,0.185,0.413,0.194,0.186,0.187,0.299,0.021
2009,0.191,0.173,0.281,0.131,0.218,0.189,0.344,0.170,0.090,0.101,0.114,0.003,0.220,0.168,0.409,0.212,0.283,0.245,0.329,0.349,0.062,0.077,0.086,0.008,0.104,0.124,0.090,0,0.169,0.139,0.291,0.143,0.123,0.110,0.332,0.067,0.071,0.087,0.066,0,0.120,0.113,0.165,0,0.273,0.161,0.528,0.282,0.216,0.210,0.290,0.054
2010,0.181,0.158,0.297,0.091,0.202,0.170,0.357,0.121,0.100,0.106,0.142,0.003,0.212,0.163,0.443,0.150,0.253,0.240,0.334,0.234,0.077,0.064,0.134,0.008,0.116,0.142,0.093,0,0.147,0.109,0.304,0.143,0.145,0.129,0.448,0.060,0.083,0.087,0.144,0,0.124,0.121,0.164,0,0.275,0.155,0.551,0.280,0.192,0.177,0.285,0.054
2011,0.173,0.156,0.265,0.110,0.195,0.170,0.315,0.144,0.094,0.094,0.144,0.005,0.214,0.161,0.448,0.161,0.265,0.238,0.409,0.250,0.076,0.042,0.142,0.013,0.115,0.142,0.093,0,0.137,0.092,0.325,0.160,0.160,0.142,0.461,0.081,0.063,0.061,0.131,0,0.124,0.120,0.166,0,0.265,0.155,0.510,0.261,0.174,0.178,0.185,0.110
2012,0.154,0.124,0.279,0.088,0.167,0.129,0.323,0.114,0.105,0.101,0.164,0.005,0.183,0.125,0.438,0.136,0.211,0.165,0.417,0.220,0.071,0.039,0.130,0.014,0.116,0.143,0.093,0,0.120,0.071,0.322,0.198,0.146,0.117,0.468,0.080,0.079,0.084,0.131,0,0.150,0.122,0.226,0,0.231,0.135,0.483,0.155,0.150,0.134,0.226,0.061
