"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.234,0.209,0.259,0.237,0.252,0.214,0.279,0.376,0.188,0.189,0.221,0,0.245,0.219,0.264,0.346,0.216,0.224,0.211,0.118,0.178,0.256,0.184,0,0.182,0.173,0.239,0,0.204,0.195,0.213,0.250,0.228,0.147,0.264,0.529,0.118,0.109,0.152,0,0.256,0.222,0.310,0,0.329,0.288,0.343,0.429,0.300,0.160,0.349,0.615
1994,0.226,0.201,0.254,0.221,0.239,0.199,0.277,0.306,0.191,0.211,0.213,0,0.233,0.206,0.260,0.279,0.218,0.223,0.217,0.176,0.173,0.295,0.164,0,0.209,0.231,0.239,0,0.197,0.194,0.204,0.190,0.194,0.136,0.254,0.400,0.111,0.109,0.139,0,0.261,0.222,0.319,0,0.303,0.246,0.337,0.351,0.274,0.148,0.350,0.600
1995,0.223,0.209,0.236,0.232,0.236,0.207,0.255,0.320,0.186,0.215,0.203,0,0.229,0.214,0.233,0.293,0.219,0.238,0.200,0.147,0.181,0.318,0.170,0,0.170,0.216,0.163,0,0.205,0.213,0.190,0.214,0.181,0.136,0.206,0.412,0.124,0.145,0.139,0,0.249,0.203,0.307,0,0.285,0.232,0.300,0.378,0.280,0.158,0.350,0.643
1996,0.228,0.215,0.239,0.247,0.244,0.214,0.261,0.341,0.184,0.218,0.197,0,0.240,0.224,0.242,0.313,0.255,0.266,0.248,0.194,0.182,0.318,0.170,0,0.170,0.235,0.143,0,0.205,0.217,0.167,0.268,0.183,0.133,0.214,0.389,0.124,0.145,0.139,0,0.242,0.200,0.298,0,0.285,0.231,0.301,0.380,0.271,0.137,0.345,0.692
1997,0.225,0.214,0.239,0.216,0.238,0.212,0.263,0.333,0.185,0.224,0.195,0,0.241,0.229,0.247,0.313,0.249,0.257,0.245,0.179,0.186,0.356,0.163,0,0.174,0.226,0.160,0,0.222,0.245,0.177,0.250,0.168,0.128,0.222,0.313,0.113,0.132,0.127,0,0.246,0.208,0.301,0,0.285,0.237,0.309,0.442,0.224,0.135,0.329,0.545
1998,0.222,0.220,0.227,0.211,0.237,0.222,0.245,0.331,0.180,0.208,0.195,0,0.245,0.242,0.235,0.318,0.280,0.314,0.225,0.231,0.176,0.333,0.157,0,0.176,0.211,0.180,0,0.206,0.232,0.152,0.259,0.165,0.104,0.254,0.375,0.123,0.143,0.139,0,0.229,0.178,0.292,0,0.286,0.254,0.302,0.390,0.200,0.121,0.288,0.455
1999,0.210,0.198,0.227,0.201,0.222,0.196,0.246,0.315,0.176,0.204,0.190,0.013,0.226,0.213,0.235,0.297,0.285,0.320,0.214,0.320,0.167,0.357,0.141,0.034,0.163,0.183,0.176,0,0.179,0.183,0.158,0.250,0.143,0.071,0.254,0.353,0.116,0.119,0.145,0,0.237,0.203,0.292,0,0.255,0.204,0.307,0.293,0.199,0.119,0.291,0.462
2000,0.208,0.199,0.221,0.193,0.218,0.196,0.242,0.291,0.176,0.214,0.182,0.027,0.217,0.204,0.233,0.255,0.275,0.311,0.209,0.269,0.177,0.366,0.147,0.069,0.134,0.179,0.118,0,0.163,0.167,0.157,0.154,0.143,0.071,0.239,0.412,0.110,0.121,0.130,0,0.245,0.228,0.289,0,0.249,0.198,0.309,0.244,0.222,0.159,0.285,0.529
2001,0.215,0.208,0.229,0.195,0.230,0.209,0.254,0.296,0.171,0.201,0.181,0.027,0.228,0.211,0.250,0.252,0.267,0.294,0.222,0.231,0.172,0.341,0.146,0.069,0.118,0.161,0.098,0,0.187,0.213,0.145,0.160,0.140,0.065,0.242,0.438,0.119,0.121,0.158,0,0.233,0.215,0.276,0,0.270,0.199,0.352,0.250,0.243,0.200,0.272,0.556
2002,0.228,0.226,0.234,0.206,0.247,0.229,0.265,0.312,0.171,0.211,0.174,0.027,0.248,0.235,0.267,0.271,0.287,0.318,0.241,0.231,0.175,0.341,0.152,0.069,0.137,0.200,0.098,0,0.212,0.237,0.176,0.160,0.151,0.077,0.258,0.438,0.105,0.105,0.146,0,0.224,0.228,0.250,0,0.292,0.231,0.359,0.300,0.241,0.206,0.257,0.556
2003,0.224,0.226,0.224,0.217,0.250,0.233,0.264,0.325,0.149,0.189,0.146,0.050,0.252,0.240,0.266,0.283,0.285,0.313,0.236,0.269,0.148,0.282,0.129,0.086,0.137,0.182,0.098,0.091,0.210,0.235,0.175,0.160,0.160,0.103,0.227,0.438,0.086,0.105,0.095,0,0.199,0.207,0.219,0,0.305,0.245,0.371,0.308,0.239,0.206,0.254,0.588
2004,0.220,0.226,0.224,0.181,0.241,0.231,0.263,0.222,0.155,0.197,0.151,0.049,0.244,0.238,0.267,0.205,0.280,0.315,0.253,0.175,0.162,0.317,0.139,0.083,0.138,0.196,0.082,0.091,0.189,0.217,0.156,0.130,0.163,0.103,0.242,0.368,0.087,0.103,0.097,0,0.204,0.205,0.229,0,0.292,0.254,0.369,0.224,0.228,0.203,0.245,0.344
2005,0.226,0.225,0.239,0.187,0.250,0.234,0.284,0.228,0.152,0.180,0.155,0.051,0.255,0.244,0.291,0.212,0.292,0.329,0.267,0.172,0.150,0.268,0.132,0.088,0.126,0.140,0.118,0.091,0.191,0.209,0.176,0.130,0.191,0.135,0.273,0.368,0.104,0.119,0.118,0,0.204,0.207,0.228,0,0.304,0.249,0.398,0.241,0.228,0.196,0.257,0.344
2006,0.223,0.224,0.234,0.182,0.250,0.235,0.283,0.222,0.140,0.164,0.143,0.051,0.254,0.245,0.288,0.205,0.285,0.320,0.261,0.172,0.122,0.195,0.110,0.088,0.103,0.127,0.080,0.091,0.189,0.208,0.177,0.111,0.195,0.141,0.273,0.368,0.108,0.119,0.125,0,0.203,0.205,0.228,0,0.307,0.262,0.394,0.234,0.231,0.196,0.264,0.344
2007,0.229,0.227,0.248,0.175,0.258,0.237,0.305,0.213,0.140,0.176,0.136,0.051,0.261,0.244,0.304,0.216,0.295,0.316,0.288,0.213,0.113,0.195,0.097,0.088,0.129,0.182,0.080,0.091,0.180,0.201,0.158,0.128,0.206,0.150,0.288,0.412,0.099,0.085,0.133,0,0.207,0.229,0.217,0,0.320,0.268,0.421,0.224,0.245,0.207,0.308,0.192
2008,0.237,0.235,0.260,0.168,0.271,0.244,0.332,0.218,0.130,0.186,0.119,0.013,0.277,0.251,0.337,0.223,0.315,0.333,0.302,0.254,0.108,0.286,0.077,0.029,0.104,0.148,0.080,0,0.208,0.198,0.253,0.114,0.215,0.149,0.348,0.333,0.100,0.086,0.133,0,0.190,0.232,0.184,0,0.325,0.280,0.417,0.236,0.249,0.213,0.315,0.167
2009,0.255,0.235,0.291,0.185,0.298,0.243,0.385,0.298,0.126,0.189,0.111,0.013,0.307,0.246,0.411,0.290,0.314,0.306,0.340,0.265,0.109,0.268,0.084,0.029,0.113,0.167,0.080,0,0.252,0.209,0.342,0.150,0.224,0.143,0.385,0.400,0.100,0.123,0.107,0,0.170,0.210,0.164,0,0.388,0.282,0.518,0.342,0.259,0.230,0.292,0.357
2010,0.254,0.230,0.298,0.171,0.297,0.240,0.389,0.281,0.127,0.176,0.121,0.013,0.308,0.245,0.419,0.270,0.316,0.302,0.352,0.267,0.104,0.195,0.096,0.029,0.114,0.167,0.082,0,0.238,0.185,0.346,0.150,0.271,0.205,0.422,0.333,0.107,0.123,0.120,0,0.174,0.210,0.171,0,0.381,0.270,0.518,0.314,0.249,0.220,0.281,0.357
2011,0.254,0.223,0.302,0.201,0.295,0.233,0.394,0.315,0.130,0.172,0.126,0.025,0.310,0.239,0.430,0.288,0.338,0.307,0.414,0.241,0.121,0.195,0.116,0.057,0.114,0.167,0.082,0,0.229,0.159,0.362,0.158,0.303,0.209,0.484,0.474,0.082,0.088,0.096,0,0.184,0.225,0.179,0,0.360,0.266,0.474,0.297,0.233,0.207,0.245,0.450
2012,0.238,0.190,0.308,0.182,0.272,0.193,0.395,0.289,0.136,0.173,0.135,0.026,0.286,0.197,0.433,0.270,0.299,0.242,0.417,0.250,0.107,0.186,0.096,0.059,0.114,0.167,0.082,0,0.227,0.143,0.380,0.176,0.278,0.164,0.507,0.500,0.088,0.105,0.096,0,0.215,0.221,0.237,0,0.330,0.227,0.460,0.231,0.213,0.172,0.253,0.429
2013,0.234,0.172,0.310,0.190,0.269,0.173,0.400,0.302,0.133,0.169,0.134,0.015,0.282,0.180,0.432,0.287,0.325,0.231,0.482,0.280,0.108,0.179,0.106,0.031,0.115,0.157,0.098,0,0.220,0.142,0.353,0.190,0.257,0.142,0.468,0.467,0.067,0.096,0.062,0,0.223,0.231,0.233,0,0.315,0.189,0.444,0.273,0.205,0.139,0.267,0.417
2014,0.240,0.181,0.306,0.180,0.284,0.187,0.399,0.307,0.124,0.152,0.127,0.027,0.284,0.179,0.428,0.278,0.313,0.211,0.488,0.200,0.106,0.179,0.097,0.061,0.087,0.122,0.071,0,0.207,0.136,0.327,0.143,0.300,0.167,0.476,0.615,0.067,0.078,0.074,0,0.208,0.215,0.222,0,0.329,0.203,0.447,0.280,0.286,0.284,0.270,0.556
2015,0.234,0.182,0.293,0.179,0.283,0.189,0.391,0.314,0.110,0.151,0.103,0.037,0.281,0.181,0.416,0.273,0.303,0.202,0.471,0.200,0.100,0.132,0.103,0.056,0.107,0.143,0.071,0.083,0.228,0.158,0.347,0.143,0.288,0.158,0.453,0.615,0.060,0.098,0.049,0,0.160,0.209,0.154,0,0.313,0.199,0.417,0.261,0.294,0.284,0.275,0.667
