"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.860,0.866,0.589,0.851,0.844,0.868,0.520,0.718,0.914,0.855,0.892,0.972,0.837,0.899,0.605,0.594,0.652,0.817,0,0.411,0.907,0.921,0.929,0.898,0.910,0.791,0,0,0.882,0.884,0,0.862,0.944,0.949,0,0.917,0.930,0.856,0,0,0.918,0.903,0.695,0,0.879,0.905,0.605,0.692,0.849,0.848,0.496,0.904
1994,0.873,0.855,0.772,0.930,0.850,0.847,0.727,0.877,0.933,0.892,0.898,0.972,0.882,0.892,0.498,0.851,0.809,0.806,0,0.817,0.912,0.935,0.929,0.898,0.942,0.866,0,0,0.921,0.927,0,0.864,0.943,0.955,0,0.919,0.945,0.887,0,0,0.920,0.905,0.695,0,0.864,0.876,0.637,0.821,0.827,0.815,0.907,0.908
1995,0.867,0.849,0.824,0.927,0.839,0.838,0.813,0.850,0.941,0.902,0.872,0.980,0.884,0.904,0.691,0.781,0.778,0.775,0,0.784,0.933,0.944,0.930,0.926,0.948,0.879,0,0,0.908,0.909,0,0.896,0.942,0.958,0,0.133,0.950,0.898,0,0,0.923,0.910,0.695,0,0.902,0.923,0.563,0.823,0.807,0.793,0.907,0.907
1996,0.868,0.846,0.819,0.938,0.842,0.833,0.801,0.890,0.942,0.904,0.880,0.980,0.890,0.896,0.664,0.872,0.802,0.790,0,0.830,0.933,0.944,0.930,0.926,0.948,0.879,0,0,0.882,0.881,0,0.891,0.962,0.956,0,0.990,0.950,0.898,0,0,0.930,0.918,0.695,0,0.877,0.899,0.528,0.789,0.805,0.788,0.907,0.907
1997,0.898,0.878,0.872,0.946,0.872,0.859,0.878,0.917,0.958,0.940,0.852,0.980,0.894,0.891,0.815,0.904,0.886,0.833,0,0.932,0.950,0.978,0.930,0.928,0.968,0.925,0,0,0.927,0.916,0,0,0.955,0.946,0,0.993,0.951,0.905,0.912,0,0.953,0.949,0.695,0,0.838,0.858,0.784,0.791,0.853,0.836,0.916,0.938
1998,0.909,0.897,0.619,0.950,0.888,0.883,0.569,0.924,0.961,0.947,0.884,0.980,0.894,0.885,0.725,0.918,0.882,0.814,0,0.942,0.945,0.965,0.930,0.928,0.971,0.932,0,0,0.920,0.907,0,0,0.959,0.950,0,0.993,0.966,0.934,0.912,0,0.959,0.956,0.809,0,0.844,0.855,0.725,0.820,0.884,0.882,0.528,0.935
1999,0.914,0.903,0.703,0.949,0.891,0.890,0.658,0.907,0.974,0.953,0.929,0,0.912,0.915,0.657,0.909,0.887,0.837,0,0.929,0.987,0.970,0,0,0.977,0.945,0,0,0.944,0.934,0,0,0.969,0.962,0,0.993,0.967,0.930,0,0,0.964,0.961,0.809,0,0.876,0.903,0.657,0.812,0.875,0.875,0.658,0.903
2000,0.868,0.845,0.690,0.935,0.828,0.810,0.658,0.904,0.969,0.967,0.894,0.972,0.913,0.919,0.657,0.904,0.881,0.839,0,0.916,0.930,0.971,0,0.896,0.983,0.960,0,0,0.944,0.934,0,0,0.971,0.964,0,0,0.995,0.991,0.980,0,0.964,0.962,0.568,0,0.881,0.910,0.657,0.811,0.762,0.740,0.658,0.903
2001,0.860,0.834,0.663,0.934,0.817,0.797,0.594,0.901,0.968,0.966,0.897,0.972,0.909,0.917,0.345,0.902,0.888,0.844,0,0.924,0.933,0.975,0,0.897,0.980,0.953,0,0,0.932,0.925,0,0.977,0.968,0.960,0,0,0.993,0.991,0.926,0,0.965,0.962,0.568,0,0.871,0.910,0.345,0.799,0.744,0.719,0.658,0.900
2002,0.845,0.813,0.670,0.934,0.797,0.770,0.594,0.902,0.963,0.957,0.897,0.972,0.880,0.873,0.345,0.904,0.876,0.817,0,0.925,0.930,0.971,0,0.897,0.972,0.935,0,0,0.900,0.888,0,0.977,0.965,0.956,0,0,0.981,0.966,0.930,0,0.967,0.965,0.568,0,0.811,0.820,0.345,0.811,0.731,0.704,0.658,0.900
