"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.845,0.864,0.670,0.847,0.824,0.863,0.628,0.707,0.902,0.867,0.772,0.975,0.820,0.879,0.704,0.612,0.708,0.822,0.817,0.464,0.897,0.911,0.797,0.914,0.904,0.819,0.721,0,0.843,0.858,0.768,0.793,0.911,0.936,0.668,0.871,0.925,0.887,0.844,0,0.876,0.883,0.745,0,0.831,0.880,0.637,0.656,0.829,0.850,0.554,0.863
1994,0.844,0.861,0.678,0.854,0.820,0.854,0.634,0.743,0.915,0.890,0.788,0.975,0.822,0.878,0.708,0.688,0.708,0.806,0.798,0.542,0.905,0.918,0.839,0.914,0.928,0.870,0.721,0,0.861,0.872,0.784,0.864,0.918,0.941,0.668,0.893,0.935,0.903,0.865,0,0.877,0.885,0.743,0,0.825,0.871,0.650,0.757,0.817,0.836,0.564,0.864
1995,0.841,0.855,0.697,0.854,0.813,0.845,0.652,0.739,0.923,0.897,0.807,0.982,0.827,0.883,0.746,0.683,0.688,0.778,0.803,0.533,0.919,0.924,0.834,0.938,0.934,0.881,0.748,0,0.851,0.857,0.793,0.866,0.926,0.945,0.760,0.886,0.938,0.905,0.878,0,0.888,0.892,0.781,0,0.854,0.908,0.692,0.755,0.800,0.815,0.562,0.863
1996,0.841,0.852,0.696,0.862,0.813,0.841,0.648,0.761,0.924,0.900,0.812,0.982,0.827,0.877,0.741,0.703,0.696,0.783,0.785,0.552,0.917,0.923,0.825,0.938,0.936,0.881,0.799,0,0.853,0.857,0.813,0.855,0.933,0.943,0.729,0.959,0.938,0.905,0.878,0,0.896,0.903,0.782,0,0.838,0.889,0.695,0.739,0.800,0.813,0.560,0.870
1997,0.877,0.877,0.721,0.936,0.855,0.865,0.685,0.896,0.936,0.923,0.812,0.983,0.862,0.867,0.755,0.884,0.847,0.796,0.783,0.933,0.927,0.942,0.830,0.940,0.953,0.917,0.796,0,0.858,0.858,0.814,0.902,0.929,0.936,0.722,0.969,0.940,0.909,0.879,0,0.917,0.930,0.781,0,0.824,0.857,0.730,0.760,0.849,0.863,0.621,0.919
1998,0.885,0.887,0.731,0.935,0.864,0.876,0.697,0.894,0.939,0.929,0.815,0.983,0.858,0.861,0.765,0.881,0.832,0.774,0.786,0.927,0.927,0.942,0.837,0.940,0.952,0.917,0.765,0,0.869,0.865,0.855,0.911,0.927,0.944,0.731,0.914,0.944,0.915,0.884,0,0.929,0.944,0.792,0,0.821,0.843,0.731,0.790,0.870,0.887,0.636,0.919
1999,0.890,0.894,0.738,0.933,0.867,0.883,0.704,0.877,0.950,0.936,0.821,1.000,0.879,0.894,0.766,0.871,0.836,0.799,0.793,0.900,0.958,0.946,0.846,0.999,0.959,0.932,0.765,0,0.900,0.905,0.855,0.913,0.939,0.959,0.730,0.914,0.950,0.922,0.921,0,0.929,0.944,0.787,0,0.857,0.894,0.729,0.796,0.857,0.874,0.648,0.889
2000,0.856,0.849,0.746,0.918,0.822,0.822,0.714,0.871,0.947,0.947,0.824,0.974,0.880,0.896,0.780,0.869,0.835,0.806,0.797,0.886,0.914,0.946,0.828,0.909,0.970,0.951,0.838,0,0.895,0.894,0.859,0.946,0.941,0.961,0.751,0.913,0.967,0.952,0.925,0,0.927,0.942,0.780,0,0.863,0.898,0.751,0.804,0.768,0.765,0.649,0.875
2001,0.845,0.835,0.736,0.917,0.807,0.805,0.698,0.869,0.947,0.947,0.828,0.974,0.872,0.891,0.725,0.870,0.842,0.816,0.757,0.896,0.917,0.949,0.841,0.910,0.969,0.946,0.859,0,0.872,0.866,0.870,0.922,0.940,0.959,0.755,0.913,0.965,0.952,0.877,0,0.929,0.944,0.789,0,0.845,0.891,0.635,0.800,0.747,0.738,0.671,0.869
2002,0.832,0.817,0.730,0.918,0.790,0.783,0.695,0.870,0.941,0.939,0.815,0.974,0.849,0.857,0.714,0.871,0.827,0.791,0.749,0.896,0.916,0.946,0.844,0.910,0.956,0.918,0.874,0,0.844,0.838,0.826,0.922,0.938,0.955,0.751,0.913,0.966,0.951,0.901,0,0.924,0.945,0.738,0,0.800,0.824,0.635,0.807,0.737,0.725,0.676,0.869
2003,0.817,0.792,0.767,0.918,0.770,0.752,0.734,0.872,0.942,0.938,0.846,0.971,0.842,0.846,0.720,0.876,0.803,0.749,0.753,0.894,0.921,0.948,0.903,0.905,0.953,0.914,0.874,0.996,0.855,0.851,0.824,0.922,0.932,0.939,0.841,0.929,0.968,0.952,0.924,0,0.925,0.944,0.759,0,0.800,0.825,0.612,0.813,0.705,0.681,0.748,0.865
2004,0.826,0.800,0.765,0.933,0.779,0.762,0.732,0.882,0.950,0.938,0.845,0.994,0.839,0.839,0.715,0.883,0.797,0.727,0.733,0.915,0.958,0.948,0.893,0.987,0.948,0.901,0.899,0.996,0.875,0.875,0.835,0.918,0.933,0.942,0.818,0.929,0.975,0.964,0.924,0,0.926,0.945,0.757,0,0.786,0.806,0.615,0.807,0.725,0.703,0.749,0.879
2005,0.828,0.808,0.759,0.921,0.786,0.773,0.722,0.878,0.940,0.935,0.847,0.971,0.834,0.836,0.698,0.878,0.804,0.741,0.729,0.914,0.920,0.941,0.909,0.904,0.947,0.905,0.854,0.996,0.887,0.892,0.823,0.917,0.908,0.913,0.779,0.929,0.968,0.953,0.920,0,0.926,0.944,0.765,0,0.781,0.805,0.599,0.794,0.742,0.724,0.745,0.879
