"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.866,0.870,0.689,0.875,0.865,0.881,0.571,0.778,0.870,0.833,0.882,0.974,0.881,0.896,0.714,0.794,0.846,0.856,0,0.767,0.891,0.873,0.750,0.930,0.833,0.772,0,0,0.901,0.900,0,0.909,0.927,0.940,0,0.571,0.913,0.884,0,0,0.859,0.835,0.750,0,0.872,0.894,0.714,0.792,0.817,0.842,0.429,0.600
1994,0.873,0.868,0.814,0.908,0.868,0.873,0.769,0.847,0.885,0.855,0.882,0.974,0.884,0.891,0.733,0.861,0.858,0.849,0,0.906,0.900,0.889,0.750,0.930,0.877,0.832,0,0,0.916,0.912,0,0.950,0.926,0.942,0,0.600,0.924,0.899,0,0,0.853,0.827,0.750,0,0.862,0.876,0.769,0.828,0.819,0.824,0.818,0.667
1995,0.876,0.874,0.800,0.899,0.867,0.875,0.769,0.821,0.896,0.869,0.857,0.983,0.879,0.889,0.733,0.832,0.833,0.831,0,0.844,0.918,0.905,0.750,0.953,0.882,0.843,0,0,0.904,0.899,0,0.947,0.925,0.942,0,0.250,0.935,0.913,0,0,0.866,0.844,0.750,0,0.872,0.894,0.692,0.828,0.832,0.837,0.818,0.700
1996,0.876,0.875,0.780,0.900,0.867,0.877,0.731,0.823,0.898,0.871,0.867,0.983,0.879,0.892,0.667,0.827,0.839,0.833,0,0.867,0.918,0.905,0.750,0.953,0.883,0.843,0,0,0.889,0.884,0,0.938,0.925,0.935,0,0.600,0.935,0.913,0,0,0.872,0.852,0.750,0,0.876,0.913,0.615,0.792,0.832,0.835,0.818,0.800
1997,0.899,0.895,0.822,0.927,0.890,0.895,0.833,0.880,0.916,0.896,0.800,0.991,0.897,0.903,0.833,0.886,0.890,0.880,0,0.921,0.947,0.939,0.750,0.977,0.911,0.880,0,0,0.927,0.914,0,0,0.911,0.916,0,0.750,0.926,0.915,0.833,0,0.889,0.874,0.750,0,0.876,0.901,0.813,0.836,0.864,0.870,0.833,0.833
1998,0.895,0.894,0.708,0.930,0.880,0.890,0.656,0.885,0.922,0.904,0.813,0.991,0.889,0.891,0.750,0.898,0.869,0.850,0,0.925,0.938,0.924,0.750,0.977,0.924,0.896,0,0,0.926,0.913,0,0,0.922,0.929,0,0.750,0.945,0.941,0.833,0,0.893,0.880,0.800,0,0.863,0.877,0.750,0.857,0.854,0.886,0.563,0.789
1999,0.903,0.905,0.774,0.921,0.887,0.903,0.656,0.866,0.933,0.911,0.952,0,0.906,0.919,0.688,0.884,0.859,0.846,0,0.897,0.944,0.913,0,0,0.937,0.914,0,0,0.953,0.944,0,0,0.948,0.955,0,0.750,0.959,0.938,0,0,0.904,0.893,0.800,0,0.887,0.927,0.688,0.847,0.827,0.855,0.625,0.737
2000,0.897,0.902,0.740,0.909,0.875,0.890,0.656,0.859,0.936,0.924,0.889,0.982,0.911,0.928,0.688,0.876,0.852,0.853,0,0.846,0.926,0.914,0,0.947,0.954,0.938,0,0,0.959,0.951,0,0,0.966,0.964,0,0,0.970,0.970,0.938,0,0.902,0.893,0.500,0,0.895,0.940,0.688,0.847,0.751,0.766,0.625,0.737
2001,0.888,0.895,0.683,0.910,0.863,0.878,0.563,0.860,0.929,0.924,0.806,0.982,0.902,0.924,0.500,0.871,0.877,0.878,0,0.872,0.936,0.929,0,0.947,0.947,0.928,0,0,0.924,0.919,0,0.955,0.957,0.955,0,0,0.937,0.970,0.821,0,0.903,0.894,0.500,0,0.879,0.940,0.500,0.838,0.726,0.730,0.625,0.778
2002,0.873,0.875,0.704,0.910,0.840,0.849,0.563,0.861,0.926,0.921,0.821,0.982,0.878,0.892,0.500,0.871,0.871,0.871,0,0.872,0.926,0.914,0,0.947,0.940,0.919,0,0,0.910,0.902,0,0.955,0.939,0.937,0,0,0.925,0.955,0.838,0,0.916,0.909,0.500,0,0.833,0.866,0.500,0.840,0.705,0.705,0.625,0.778
2003,0.863,0.864,0.643,0.906,0.825,0.832,0.531,0.854,0.927,0.920,0.792,0.982,0.867,0.880,0.438,0.871,0.839,0.828,0,0.872,0.926,0.914,0,0.947,0.947,0.929,0,0,0.924,0.918,0,0.955,0.922,0.919,0,0,0.933,0.955,0.818,0,0.907,0.898,0.500,0,0.825,0.860,0.438,0.838,0.674,0.673,0.625,0.722
2004,0.856,0.856,0.595,0.947,0.803,0.820,0.519,0.632,0.931,0.918,0.733,0,0.850,0.863,0.417,0.750,0.762,0.763,0,0.750,0.946,0.917,0,0,0.932,0.908,0,0,0.924,0.924,0,0,0.929,0.928,0,0,0.948,0.970,0.769,0,0.908,0.900,0.500,0,0.811,0.848,0.417,0.667,0.655,0.673,0.600,0
2005,0.857,0.859,0.556,0.930,0.810,0.828,0.519,0.611,0.925,0.915,0.667,0.982,0.849,0.863,0.417,0.733,0.760,0.763,0,0.714,0.917,0.900,0,0.947,0.933,0.909,0,0,0.932,0.932,0,0,0.929,0.928,0,0,0.955,0.970,0.600,0,0.908,0.898,0.750,0,0.805,0.841,0.417,0.667,0.685,0.707,0.600,0
2006,0.854,0.854,0.571,0.930,0.804,0.820,0.556,0.611,0.925,0.915,0.625,0.982,0.836,0.849,0.417,0.733,0.754,0.756,0,0.714,0.925,0.912,0,0.947,0.926,0.900,0,0,0.899,0.898,0,0,0.929,0.928,0,0,0.953,0.969,0.500,0,0.908,0.900,0.667,0,0.792,0.827,0.417,0.667,0.699,0.717,0.667,0
2007,0.863,0.852,0.833,0.952,0.806,0.808,0,0.733,0.941,0.931,0.750,0.982,0.827,0.827,0,0.833,0.740,0.737,0,0.800,0.942,0.939,0,0.947,0.919,0.890,0,0,0.853,0.852,0,0,0.929,0.928,0,0,0.976,0.969,0,0,0.941,0.938,0.667,0,0.804,0.804,0,0.800,0.735,0.739,0,0.333
2008,0.865,0.854,0.889,0.945,0.809,0.811,0,0.722,0.941,0.931,0.857,0.982,0.835,0.836,0,0.769,0.742,0.746,0,0.667,0.942,0.938,0,0.947,0.926,0.900,0,0,0.873,0.872,0,0,0.938,0.938,0,0,0.976,0.970,0,0,0.936,0.931,0.833,0,0.804,0.804,0,0.800,0.722,0.722,0,0.600
2009,0.862,0.851,0.700,0.911,0.809,0.805,0.500,0.839,0.948,0.933,0.833,0,0.837,0.841,0.333,0.836,0.773,0.765,0,0.806,0.971,0.955,0,0,0.926,0.900,0,0,0.872,0.880,0.500,0.864,0.930,0.930,0,0,0.976,0.969,0,0,0.935,0.931,0.800,0,0.809,0.801,0,0.838,0.702,0.683,0,0.867
2010,0.865,0.853,0.700,0.917,0.818,0.811,0.600,0.858,0.941,0.928,0.800,0.991,0.847,0.847,0.500,0.857,0.792,0.782,0,0.829,0.962,0.955,0,0.974,0.904,0.870,0,0,0.873,0.880,0.667,0.864,0.904,0.904,0,0,0.976,0.969,0,0,0.942,0.938,0.750,0,0.837,0.829,0,0.868,0.708,0.690,0,0.867
2011,0.871,0.865,0.727,0.905,0.828,0.828,0.600,0.836,0.944,0.931,0.833,0.991,0.845,0.849,0.500,0.840,0.786,0.783,0,0.794,0.952,0.939,0,0.974,0.912,0.880,0,0,0.894,0.906,0.667,0.864,0.870,0.877,0,0,0.976,0.969,0,0,0.948,0.946,0.750,0,0.843,0.837,0,0.868,0.759,0.753,0,0.800
2012,0.879,0.869,0.667,0.925,0.839,0.834,0.600,0.871,0.944,0.931,0.750,0.991,0.856,0.856,0.500,0.866,0.792,0.792,0,0.794,0.952,0.939,0,0.974,0.920,0.890,0,0,0.889,0.898,0.667,0.870,0.870,0.877,0,0,0.963,0.953,0,0,0.949,0.947,0.667,0,0.872,0.858,0,0.913,0.775,0.760,0,0.923
2013,0.867,0.869,0.676,0.912,0.839,0.850,0.596,0.862,0.925,0.912,0.864,0.982,0.850,0.872,0.406,0.854,0.829,0.839,0,0.784,0.945,0.943,0.800,0.971,0.912,0.883,0,0.971,0.899,0.900,0.667,0.920,0.880,0.906,0,0,0.946,0.928,0,0,0.912,0.910,0.600,0,0.826,0.858,0.407,0.890,0.802,0.784,0.900,0.933
2014,0.880,0.882,0.705,0.920,0.860,0.871,0.632,0.867,0.929,0.910,0.905,0.992,0.864,0.883,0.414,0.861,0.835,0.839,0,0.814,0.939,0.928,0.833,0.975,0.918,0.885,0,0,0.908,0.906,0,0.920,0.906,0.927,0,0.500,0.946,0.929,0,0,0.921,0.910,0.750,0,0.840,0.872,0.423,0.886,0.849,0.844,0.857,0.933
2015,0.892,0.890,0.730,0.938,0.872,0.881,0.673,0.883,0.937,0.915,0.895,0.994,0.872,0.885,0.481,0.878,0.849,0.846,0,0.860,0.961,0.943,0.800,0,0.919,0.896,0,0.971,0.913,0.904,0,0.960,0.900,0.921,0,0.500,0.945,0.928,0,0,0.930,0.910,0.667,0,0.852,0.879,0.500,0.880,0.872,0.870,0.857,0.933
2016,0.893,0.892,0.697,0.938,0.875,0.884,0.652,0.881,0.932,0.913,0.800,0.994,0.875,0.890,0.462,0.876,0.854,0.857,0,0.837,0.947,0.915,0.800,0,0.922,0.907,0.889,0.972,0.925,0.919,0,0.960,0.912,0.927,0,0.750,0.956,0.942,0,0,0.920,0.903,0.333,0,0.845,0.871,0.478,0.877,0.874,0.870,0.900,0.933
2017,0.904,0.902,0.712,0.950,0.890,0.897,0.674,0.906,0.934,0.916,0.800,0.994,0.890,0.902,0.500,0.903,0.871,0.869,0,0.878,0.947,0.915,0.800,0,0.921,0.907,0.889,0.971,0.937,0.932,0,0.960,0.912,0.927,0,0.750,0.957,0.942,0,0,0.926,0.911,0.333,0,0.868,0.891,0.522,0.905,0.889,0.886,0.900,0.933
2018,0.910,0.906,0.768,0.955,0.899,0.903,0.739,0.918,0.934,0.915,0.826,0.994,0.898,0.906,0.577,0.914,0.875,0.874,0,0.875,0.939,0.901,0.800,0,0.919,0.903,0.909,0.971,0.926,0.917,0,0.966,0.918,0.927,0,0.800,0.957,0.942,0,0,0.930,0.917,0.500,0,0.888,0.908,0.565,0.923,0.902,0.896,0.950,0.947
2019,0.920,0.911,0.842,0.968,0.910,0.907,0.853,0.936,0.941,0.922,0.826,0,0.914,0.915,0.706,0.936,0.881,0.883,0,0.875,0.939,0.901,0.800,0,0.933,0.913,0.909,0,0.939,0.925,0,0,0.917,0.926,0,0.800,0.956,0.941,0,0,0.942,0.931,0.500,0,0.923,0.926,0.750,0.951,0.899,0.891,0,0.941
2020,0.922,0.912,0.879,0.974,0.910,0.904,0.886,0.947,0.948,0.931,0.870,0,0.913,0.909,0.765,0.948,0.862,0.855,0,0.895,0.933,0.889,0.800,0,0.947,0.923,0,0,0.939,0.925,0,0,0.935,0.933,0,0,0.967,0.956,0,0,0.952,0.945,0.500,0,0.923,0.925,0.750,0.951,0.902,0.894,0,0.941
2021,0.925,0.916,0.879,0.973,0.912,0.908,0.886,0.946,0.952,0.936,0.870,0,0.919,0.916,0.765,0.953,0.865,0.865,0,0.865,0.933,0.890,0.800,0,0.947,0.924,0,0,0.933,0.918,0,0,0.947,0.945,0,0,0.967,0.956,0,0,0.961,0.959,0.500,0,0.934,0.934,0.750,0.974,0.894,0.889,0,0.882
2022,0.935,0.928,0.881,0.974,0.927,0.925,0.886,0.947,0.951,0.934,0.875,0,0.931,0.930,0.765,0.954,0.886,0.888,0,0.875,0.921,0.863,0.833,0,0.961,0.943,0,0,0.944,0.932,0,0,0.953,0.951,0,0,0.956,0.941,0,0,0.961,0.959,0.500,0,0.944,0.947,0.750,0.975,0.916,0.913,0,0.882
2023,0.934,0.926,0.898,0.974,0.927,0.924,0.886,0.949,0.951,0.931,0.917,0,0.925,0.921,0.824,0.955,0.877,0.877,0,0.878,0.928,0.861,0,0,0.954,0.934,0,0,0.938,0.924,0,0,0.930,0.927,0,0,0.956,0.941,0,0,0.961,0.959,0.500,0,0.948,0.948,0.813,0.975,0.932,0.933,0.944,0.905
2024,0.933,0.924,0.898,0.973,0.926,0.924,0.886,0.947,0.947,0.926,0.917,0,0.923,0.919,0.824,0.954,0.890,0.894,0,0.872,0.912,0.833,0,0,0.954,0.934,0,0,0.938,0.924,0,0,0.930,0.927,0,0,0.967,0.956,0,0,0.956,0.952,0.500,0,0.935,0.930,0.813,0.975,0.933,0.935,0.944,0.882
