"year","DVRPC - All","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - All","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - All","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - All","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - All","Bucks - State","Bucks - Local","Bucks - Other","Burlington - All","Burlington - State","Burlington - Local","Burlington - Other","Camden - All","Camden - State","Camden - Local","Camden - Other","Chester - All","Chester - State","Chester - Local","Chester - Other","Delaware - All","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - All","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - All","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - All","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - All","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,0.808,0.836,0.739,0.825,0.797,0.839,0.715,0.701,0.836,0.824,0.784,0.984,0.803,0.838,0.736,0.725,0.806,0.811,0.789,0.809,0.845,0.821,0.814,0.955,0.827,0.791,0.776,0,0.824,0.838,0.787,0.820,0.851,0.910,0.736,0.500,0.894,0.887,0.859,0,0.789,0.811,0.692,0,0.758,0.821,0.661,0.689,0.770,0.841,0.629,0.478
1994,0.811,0.835,0.748,0.842,0.800,0.837,0.725,0.757,0.840,0.829,0.791,0.984,0.807,0.838,0.740,0.779,0.806,0.806,0.784,0.864,0.852,0.813,0.833,0.955,0.839,0.810,0.776,0,0.833,0.843,0.796,0.855,0.858,0.907,0.736,0.600,0.902,0.895,0.871,0,0.784,0.807,0.684,0,0.760,0.820,0.670,0.727,0.773,0.833,0.662,0.500
1995,0.814,0.834,0.765,0.832,0.802,0.833,0.746,0.737,0.848,0.836,0.800,0.989,0.807,0.832,0.766,0.757,0.797,0.789,0.801,0.848,0.852,0.813,0.828,0.970,0.859,0.824,0.837,0,0.824,0.827,0.810,0.836,0.865,0.907,0.797,0.524,0.898,0.887,0.871,0,0.798,0.826,0.695,0,0.775,0.835,0.700,0.712,0.776,0.839,0.662,0.500
1996,0.811,0.832,0.762,0.825,0.796,0.830,0.739,0.726,0.849,0.836,0.805,0.989,0.799,0.827,0.756,0.741,0.772,0.770,0.753,0.833,0.852,0.813,0.828,0.970,0.859,0.817,0.860,0,0.819,0.818,0.833,0.789,0.864,0.905,0.789,0.609,0.898,0.887,0.871,0,0.804,0.831,0.703,0,0.774,0.845,0.694,0.694,0.782,0.844,0.667,0.606
1997,0.817,0.833,0.763,0.867,0.801,0.828,0.741,0.785,0.857,0.850,0.805,0.995,0.800,0.818,0.756,0.796,0.785,0.782,0.756,0.879,0.859,0.820,0.834,0.985,0.872,0.843,0.843,0,0.817,0.808,0.824,0.868,0.858,0.891,0.778,0.700,0.902,0.895,0.871,0,0.810,0.843,0.701,0,0.769,0.818,0.700,0.733,0.807,0.867,0.684,0.690
1998,0.817,0.830,0.770,0.872,0.799,0.820,0.751,0.791,0.862,0.860,0.805,0.995,0.794,0.805,0.765,0.802,0.757,0.734,0.775,0.864,0.862,0.820,0.841,0.985,0.876,0.856,0.824,0,0.826,0.814,0.848,0.860,0.864,0.910,0.746,0.650,0.902,0.903,0.859,0,0.823,0.859,0.712,0,0.764,0.798,0.702,0.766,0.821,0.882,0.697,0.700
1999,0.828,0.846,0.773,0.869,0.811,0.840,0.750,0.786,0.868,0.864,0.817,0.995,0.811,0.833,0.762,0.803,0.750,0.727,0.786,0.813,0.868,0.811,0.859,0.985,0.888,0.876,0.824,0,0.853,0.857,0.842,0.863,0.887,0.940,0.746,0.667,0.914,0.911,0.882,0,0.822,0.855,0.712,0,0.792,0.847,0.693,0.796,0.810,0.869,0.701,0.656
2000,0.827,0.843,0.777,0.865,0.809,0.835,0.753,0.792,0.869,0.869,0.821,0.978,0.819,0.841,0.765,0.818,0.756,0.735,0.791,0.800,0.856,0.811,0.853,0.940,0.912,0.895,0.882,0,0.866,0.870,0.843,0.917,0.893,0.944,0.761,0.667,0.922,0.927,0.882,0,0.815,0.845,0.707,0,0.799,0.855,0.691,0.814,0.769,0.810,0.706,0.611
2001,0.818,0.835,0.766,0.865,0.797,0.822,0.739,0.791,0.871,0.875,0.818,0.978,0.809,0.835,0.744,0.817,0.768,0.754,0.778,0.831,0.863,0.829,0.854,0.940,0.916,0.895,0.902,0,0.840,0.828,0.855,0.894,0.892,0.943,0.758,0.650,0.906,0.927,0.835,0,0.823,0.851,0.720,0,0.779,0.855,0.637,0.807,0.747,0.772,0.717,0.611
2002,0.805,0.816,0.762,0.861,0.778,0.798,0.728,0.784,0.871,0.870,0.825,0.978,0.787,0.808,0.727,0.810,0.751,0.735,0.759,0.831,0.857,0.820,0.848,0.940,0.904,0.877,0.902,0,0.817,0.805,0.824,0.894,0.878,0.929,0.742,0.650,0.910,0.927,0.847,0,0.835,0.858,0.746,0,0.750,0.806,0.631,0.791,0.742,0.759,0.730,0.611
2003,0.804,0.811,0.770,0.853,0.772,0.790,0.728,0.775,0.883,0.877,0.850,0.968,0.782,0.801,0.726,0.804,0.745,0.727,0.764,0.815,0.875,0.844,0.871,0.932,0.908,0.889,0.902,0.978,0.821,0.811,0.825,0.894,0.867,0.906,0.773,0.650,0.922,0.927,0.882,0,0.845,0.857,0.776,0,0.738,0.796,0.615,0.788,0.733,0.747,0.734,0.571
2004,0.802,0.808,0.769,0.854,0.770,0.786,0.729,0.768,0.880,0.873,0.845,0.979,0.777,0.796,0.726,0.792,0.728,0.707,0.747,0.815,0.873,0.832,0.861,0.960,0.900,0.870,0.918,0.978,0.833,0.825,0.844,0.872,0.866,0.910,0.758,0.650,0.927,0.935,0.882,0,0.842,0.859,0.767,0,0.732,0.785,0.619,0.770,0.738,0.750,0.740,0.600
2005,0.798,0.809,0.755,0.845,0.764,0.787,0.709,0.762,0.879,0.877,0.841,0.968,0.768,0.792,0.704,0.785,0.718,0.697,0.733,0.815,0.871,0.838,0.868,0.931,0.905,0.891,0.882,0.978,0.833,0.832,0.824,0.872,0.847,0.891,0.727,0.650,0.917,0.928,0.864,0,0.843,0.857,0.771,0,0.721,0.785,0.592,0.754,0.747,0.767,0.729,0.600
2006,0.799,0.808,0.760,0.848,0.763,0.784,0.711,0.767,0.886,0.884,0.853,0.968,0.766,0.787,0.706,0.791,0.722,0.702,0.739,0.815,0.893,0.872,0.890,0.931,0.913,0.890,0.922,0.978,0.828,0.823,0.823,0.891,0.844,0.888,0.727,0.650,0.914,0.927,0.857,0,0.844,0.859,0.769,0,0.716,0.772,0.596,0.761,0.750,0.771,0.729,0.600
2007,0.796,0.805,0.753,0.859,0.757,0.778,0.696,0.784,0.892,0.888,0.862,0.968,0.758,0.779,0.696,0.787,0.711,0.699,0.712,0.788,0.904,0.888,0.903,0.931,0.897,0.865,0.922,0.978,0.826,0.815,0.842,0.875,0.837,0.882,0.712,0.611,0.926,0.944,0.867,0,0.855,0.873,0.780,0,0.706,0.759,0.579,0.777,0.750,0.773,0.696,0.759
2008,0.791,0.801,0.741,0.864,0.747,0.774,0.668,0.778,0.899,0.884,0.880,0.984,0.747,0.777,0.663,0.776,0.696,0.689,0.698,0.738,0.907,0.850,0.923,0.958,0.912,0.883,0.922,0,0.808,0.822,0.747,0.889,0.834,0.886,0.652,0.688,0.926,0.944,0.867,0,0.864,0.868,0.817,0,0.702,0.751,0.583,0.766,0.743,0.763,0.689,0.793
2009,0.781,0.800,0.709,0.868,0.731,0.773,0.614,0.775,0.904,0.885,0.888,0.995,0.731,0.782,0.588,0.777,0.706,0.714,0.660,0.769,0.916,0.869,0.916,0.986,0.908,0.877,0.922,0,0.777,0.817,0.656,0.857,0.826,0.887,0.615,0.625,0.926,0.926,0.893,0,0.875,0.877,0.835,0,0.669,0.748,0.480,0.774,0.730,0.737,0.710,0.759
2010,0.782,0.803,0.702,0.879,0.734,0.777,0.610,0.796,0.900,0.887,0.878,0.990,0.733,0.785,0.580,0.801,0.709,0.721,0.648,0.785,0.916,0.897,0.904,0.972,0.896,0.857,0.920,0,0.788,0.834,0.654,0.857,0.786,0.840,0.578,0.688,0.921,0.926,0.880,0,0.875,0.882,0.826,0,0.683,0.765,0.480,0.806,0.739,0.746,0.720,0.759
2011,0.784,0.812,0.698,0.858,0.738,0.788,0.606,0.765,0.900,0.890,0.873,0.984,0.731,0.790,0.570,0.782,0.691,0.718,0.586,0.778,0.902,0.888,0.885,0.959,0.900,0.864,0.920,0,0.800,0.860,0.639,0.854,0.753,0.827,0.516,0.500,0.938,0.942,0.904,0,0.872,0.881,0.818,0,0.699,0.772,0.524,0.810,0.765,0.778,0.757,0.657
2012,0.797,0.834,0.692,0.879,0.758,0.816,0.604,0.799,0.896,0.890,0.863,0.984,0.751,0.820,0.567,0.806,0.722,0.767,0.583,0.774,0.911,0.890,0.904,0.958,0.904,0.870,0.920,0,0.800,0.869,0.621,0.850,0.769,0.853,0.493,0.471,0.929,0.926,0.904,0,0.855,0.885,0.760,0,0.728,0.804,0.538,0.861,0.784,0.802,0.749,0.741
2013,0.804,0.848,0.689,0.872,0.769,0.837,0.600,0.795,0.893,0.884,0.866,0.983,0.762,0.842,0.560,0.797,0.723,0.796,0.518,0.758,0.909,0.899,0.891,0.970,0.900,0.870,0.920,0.979,0.810,0.871,0.647,0.870,0.797,0.882,0.516,0.471,0.938,0.917,0.940,0,0.841,0.866,0.760,0,0.741,0.834,0.539,0.840,0.798,0.819,0.753,0.778
