"year","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - State","Bucks - Local","Bucks - Other","Burlington - State","Burlington - Local","Burlington - Other","Camden - State","Camden - Local","Camden - Other","Chester - State","Chester - Local","Chester - Other","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,23827.2,264.7,7059.0,20306.4,215.7,3375.0,3520.8,49.0,3684.1,8124.7,47.3,2023.6,1632.1,0,1121.9,624.1,12.7,1009.9,1337.1,11.1,1757.8,780.5,0,79.9,2606.9,0,467.4,685.5,11.1,717.7,874.1,14.1,198.6,3105.2,47.3,354.3,12181.7,168.3,1351.4
1994,20106.4,195.4,6601.3,16554.1,144.1,2917.3,3552.3,51.2,3684.1,6805.9,63.4,1555.9,1368.3,3.0,546.2,648.5,12.7,1009.9,1323.2,11.1,1757.8,706.2,0,74.4,2170.4,15.5,462.9,702.3,13.4,717.7,878.3,14.1,198.6,2561.1,44.9,472.4,9748.2,80.8,1361.4
1995,20246.4,184.0,6182.8,16657.9,144.1,2498.3,3588.5,39.8,3684.5,6770.2,63.4,1132.5,1346.1,3.0,546.2,645.4,12.8,1009.9,1330.6,0,1758.2,714.0,0,63.3,2168.9,15.5,45.2,694.9,13.0,717.7,917.6,14.1,198.6,2541.1,44.9,477.9,9887.7,80.8,1365.7
1996,20646.7,187.6,6884.0,17062.1,144.1,3199.4,3584.5,43.4,3684.5,7163.6,63.4,1589.7,1329.1,3.0,525.0,643.9,12.8,1009.9,1330.2,3.6,1758.2,838.7,0,59.8,2415.3,15.5,520.2,694.4,13.0,717.7,915.9,14.1,198.6,2580.5,44.9,484.7,9898.5,80.8,1609.8
1997,18829.7,186.1,7994.5,14529.1,144.2,4308.7,4300.6,41.9,3685.7,6184.8,54.7,2706.1,1119.9,3.0,1261.4,818.6,12.8,1011.1,1312.7,3.6,1758.2,836.3,5.1,122.4,2075.6,0,505.8,745.2,11.4,717.7,1424.1,14.1,198.6,2153.0,46.7,816.4,8344.3,89.5,1602.6
1998,20964.5,282.5,8012.6,16489.6,237.4,4333.4,4474.9,45.0,3679.2,6276.9,48.8,2724.8,1114.1,0,1277.1,811.1,12.8,1011.1,1309.5,3.6,1758.2,770.1,0,125.9,2043.7,0,505.8,721.0,11.4,717.7,1633.4,17.3,192.1,2349.0,48.8,815.9,10212.7,188.7,1608.7
1999,20622.1,284.1,7991.3,16263.4,237.3,4345.6,4358.7,46.7,3645.7,6204.4,48.7,2736.9,1059.4,0,1274.5,788.1,0,977.7,1259.1,0,1758.2,767.9,0,127.2,2043.7,0,505.8,679.0,29.5,717.7,1632.5,17.3,192.1,2333.3,48.7,829.4,10059.1,188.7,1608.7
2000,20255.7,274.3,7992.3,15785.2,237.3,4346.6,4470.6,36.9,3645.7,6159.6,48.7,2736.5,1056.9,0,1274.3,805.9,0,977.7,1305.2,0,1758.2,741.6,0,126.0,2043.7,0,505.8,696.2,29.5,717.7,1663.3,7.4,192.1,2317.4,48.7,830.3,9625.5,188.7,1610.1
2001,20147.8,308.2,8034.7,15668.8,237.3,4379.0,4479.1,70.8,3655.6,6138.4,48.7,2761.7,1058.8,0,1274.3,805.9,9.6,987.6,1305.3,0,1758.2,743.1,0,126.0,2033.6,0,505.8,696.2,53.8,717.7,1671.7,7.4,192.1,2302.9,48.7,855.6,9530.4,188.7,1617.3
2002,20216.7,317.7,8099.5,15645.9,237.3,4433.1,4570.7,80.3,3666.3,6155.8,48.7,2815.8,1063.3,0,1274.3,805.9,0,986.4,1328.4,0,1769.9,748.3,0,126.0,2034.7,0,505.8,685.1,72.9,717.9,1751.4,7.4,192.1,2309.4,48.7,909.7,9490.1,188.7,1617.3
