"year","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - State","Bucks - Local","Bucks - Other","Burlington - State","Burlington - Local","Burlington - Other","Camden - State","Camden - Local","Camden - Other","Chester - State","Chester - Local","Chester - Other","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,4946.3,3033.7,999.8,3197.6,2125.3,479.6,1748.7,908.5,520.1,2502.9,1106.3,376.5,791.9,244.3,115.5,206.9,294.8,189.8,431.4,136.4,78.0,718.9,198.7,57.2,363.8,217.5,59.3,687.6,124.8,136.7,422.8,352.5,115.6,628.3,445.8,144.6,694.7,1019.0,103.1
1994,7945.2,3148.1,2238.4,6213.5,2233.7,1718.3,1731.7,914.3,520.1,3165.4,1095.1,1621.2,841.8,243.7,902.1,185.0,304.5,189.8,436.2,136.4,78.0,727.3,202.1,134.7,809.4,202.0,52.2,687.6,121.2,136.7,422.9,352.3,115.6,787.0,447.3,532.2,3048.0,1138.7,97.1
1995,7917.5,3165.0,2688.8,6179.8,2229.7,2168.7,1737.7,935.3,520.1,3212.7,1090.8,2077.7,860.7,243.6,910.2,186.6,305.6,189.8,443.6,147.4,78.0,727.1,202.8,134.7,809.4,198.6,471.7,688.8,121.5,136.7,418.6,360.8,115.6,815.5,445.8,561.1,2967.1,1138.8,91.0
1996,7554.8,3170.4,2322.5,5817.2,2232.8,1803.4,1737.7,937.5,519.1,2887.7,1095.2,1694.1,858.5,240.7,931.4,187.1,308.0,188.8,440.5,147.4,78.0,700.2,201.0,135.4,562.3,204.3,81.4,688.8,121.2,136.7,421.2,360.9,115.6,766.7,449.2,545.9,2929.5,1137.6,109.3
1997,10219.7,3216.1,1138.0,8481.8,2281.4,618.9,1737.9,934.8,519.1,3910.3,1100.1,542.9,1078.7,238.1,194.7,218.4,308.3,188.8,454.6,148.0,78.0,722.3,203.6,64.2,909.2,219.6,87.1,633.6,118.8,136.7,431.2,359.6,115.6,1200.1,438.8,196.8,4571.6,1181.2,76.1
1998,8416.6,3124.9,1126.2,6609.5,2187.5,600.6,1807.1,937.4,525.6,3783.5,1100.1,522.6,1075.4,241.1,181.0,225.9,310.3,188.8,474.1,143.4,78.0,779.1,212.4,63.7,931.0,209.9,87.1,657.9,119.2,136.7,449.2,364.6,122.1,998.0,436.7,190.7,2826.0,1087.4,78.0
1999,8936.8,3151.8,1160.4,6927.1,2212.2,599.7,2009.8,939.6,560.7,3879.5,1108.0,516.9,1141.8,241.3,171.4,248.9,322.6,223.9,558.5,147.0,78.0,789.0,215.0,65.4,936.7,209.9,87.8,717.8,105.3,136.7,484.7,364.7,122.1,1012.0,441.8,192.2,3047.5,1104.2,82.9
2000,9324.3,3120.3,1191.6,7389.5,2174.2,630.9,1934.9,946.0,560.7,3955.0,1139.3,518.5,1163.6,245.6,177.9,231.3,324.2,223.9,486.2,144.4,78.0,821.8,216.6,59.9,937.1,211.3,87.8,723.6,105.8,136.7,493.7,371.5,122.1,1032.4,465.7,192.9,3434.5,1035.0,112.5
2001,9530.0,3109.7,1187.1,7595.0,2188.1,626.2,1935.0,921.6,560.9,3986.9,1154.1,507.3,1166.9,244.8,177.9,231.3,318.5,224.1,486.3,144.4,78.0,823.9,225.5,57.5,943.7,208.0,87.3,723.6,81.5,136.7,493.8,377.2,122.1,1052.3,475.8,184.5,3608.1,1034.0,118.9
2002,9643.1,3113.5,1179.9,7729.5,2186.3,626.2,1913.6,927.3,553.7,4046.5,1151.7,507.3,1177.3,246.1,177.9,231.3,337.5,224.1,469.9,143.1,70.7,838.2,224.9,57.5,953.3,207.9,87.3,718.3,61.9,136.7,494.0,384.7,122.1,1077.7,472.8,184.5,3683.1,1034.6,118.9
2003,9959.5,3167.3,1162.7,8012.2,2203.4,594.4,1947.4,963.9,568.3,4062.3,1154.3,495.8,1171.5,244.9,177.9,230.5,348.5,237.0,478.2,143.1,70.7,873.6,227.0,57.5,953.7,208.1,76.6,718.4,88.2,138.4,520.3,384.1,122.1,1063.4,474.2,183.8,3949.9,1049.2,98.6
2004,10132.0,3212.4,5204.9,8167.6,2228.8,4635.6,1964.4,983.6,569.4,4083.4,1173.2,2987.4,1129.6,247.6,1228.4,231.3,350.3,238.0,478.7,134.4,70.7,888.3,227.5,208.0,952.2,208.5,578.7,733.6,111.3,138.5,520.8,387.5,122.1,1113.4,489.6,972.3,4084.2,1055.7,1648.2
2005,10171.3,3228.2,5341.7,8169.2,2237.8,4776.1,2002.1,990.4,565.6,4089.0,1178.8,3127.9,1130.0,247.8,1340.1,231.3,346.3,234.3,482.8,143.1,70.7,889.3,226.6,208.0,953.0,209.5,578.7,749.1,120.7,138.5,538.8,380.3,122.1,1116.7,495.0,1001.1,4080.3,1059.0,1648.2
2006,10209.4,3227.0,5334.1,8181.4,2237.5,4768.5,2028.0,989.5,565.6,4101.3,1178.5,3120.3,1136.9,247.8,1340.1,274.8,334.1,234.3,445.7,137.1,70.7,907.2,225.8,202.6,953.0,209.5,578.7,749.1,134.9,138.5,558.4,383.4,122.1,1104.1,495.4,998.9,4080.2,1059.0,1648.2
2007,10661.4,3705.7,5371.2,8624.0,2690.7,4811.9,2037.4,1015.0,559.3,4232.9,1224.2,3216.0,1166.4,255.2,1446.6,274.8,336.6,227.9,445.7,137.4,70.7,912.7,225.9,204.3,979.8,209.5,571.7,749.1,146.7,138.5,567.8,394.3,122.1,1174.0,533.6,993.3,4391.0,1466.5,1596.0
2008,10718.4,3698.4,4209.0,8685.6,2681.8,3650.4,2032.8,1016.7,558.6,4276.0,1225.0,2634.8,1183.3,252.8,891.9,307.0,338.8,227.2,447.6,137.4,70.7,918.8,225.9,189.0,984.3,212.0,563.1,716.5,146.4,138.5,561.6,394.1,122.1,1189.5,534.3,990.8,4409.6,1456.8,1015.5
2009,10654.5,3722.6,2372.9,8687.1,2696.1,1814.4,1967.4,1026.5,558.5,4283.6,1227.2,1331.6,1181.5,256.2,506.4,278.4,338.6,227.1,447.6,137.4,70.7,886.2,225.7,41.2,978.9,210.4,563.1,689.6,146.5,138.5,551.8,404.0,122.1,1237.0,534.9,220.9,4403.5,1469.0,482.9
2010,10727.4,3720.6,2148.4,8752.7,2692.1,1589.9,1974.7,1028.5,558.5,4355.1,1227.8,1107.0,1192.3,256.2,295.0,278.4,340.3,227.1,448.3,132.0,70.7,940.8,224.8,41.2,978.9,210.4,562.9,689.6,145.2,138.5,558.5,410.9,122.1,1243.0,536.4,207.9,4397.7,1464.3,482.9
2011,10876.5,3559.4,2204.2,8908.8,2529.4,1658.9,1967.7,1030.0,545.2,4396.7,1250.9,1119.0,1222.7,253.1,272.9,278.6,338.5,208.0,448.3,132.6,76.6,975.4,229.3,44.3,968.2,207.4,578.6,690.0,147.1,138.5,550.8,411.7,122.1,1230.3,561.2,223.1,4512.1,1278.4,540.0
2012,10903.3,3796.1,2187.5,8939.8,2760.9,1665.8,1963.5,1035.3,521.7,4547.2,1266.3,1184.0,1216.5,256.8,283.4,300.8,340.5,193.7,448.7,132.6,76.6,1008.9,232.6,35.9,1071.8,210.0,568.2,690.5,147.1,138.5,523.5,415.0,113.0,1250.0,567.0,296.5,4392.6,1494.5,481.8
2013,8229.8,3314.1,2055.8,6512.9,2346.0,1595.4,1716.9,968.0,460.4,3536.3,1165.5,1120.8,959.3,261.5,243.5,220.2,321.2,197.5,403.2,109.8,87.4,895.9,232.6,84.8,830.9,193.7,545.2,645.9,144.7,117.7,447.5,392.4,57.7,850.1,477.7,247.3,2976.7,1180.5,474.6
2014,5442.8,3179.1,1018.6,3725.0,2189.9,486.4,1717.8,989.2,532.3,3016.0,1168.9,448.2,927.1,260.7,144.9,220.2,326.3,202.8,407.8,118.4,91.4,837.6,243.3,152.8,500.7,195.0,47.5,640.6,144.7,133.4,449.1,399.9,104.6,750.7,470.0,103.0,709.0,1021.0,38.2
2015,5443.1,3249.8,1213.5,3694.7,2247.8,481.6,1748.3,1002.0,731.9,2989.2,1223.2,443.5,933.3,264.5,148.6,219.2,331.4,255.8,383.5,118.3,91.4,847.1,257.6,158.3,501.6,224.3,47.5,671.9,147.3,134.3,473.8,404.9,250.3,707.2,476.9,89.0,705.6,1024.6,38.2
2016,5417.7,3416.7,1236.1,3671.3,2397.9,499.8,1746.3,1018.8,736.3,2965.8,1221.0,461.7,913.3,264.5,144.6,219.2,332.4,257.0,385.8,131.7,91.4,847.1,256.8,158.3,503.7,224.3,47.5,670.6,147.3,136.8,470.8,407.4,251.0,701.6,475.4,111.2,705.6,1176.9,38.2
2017,5417.8,3451.0,1263.9,3679.7,2430.3,506.5,1738.1,1020.7,757.4,2984.6,1216.4,468.3,911.6,268.5,128.5,219.2,330.1,263.0,381.7,132.7,102.1,848.3,263.7,156.5,510.4,195.4,47.5,670.7,148.1,129.5,466.4,409.8,262.8,714.3,488.7,135.7,695.1,1213.9,38.2
2018,5506.3,3600.6,1236.0,3750.3,2595.4,478.6,1756.1,1005.3,757.4,3026.7,1383.4,433.4,934.1,260.8,242.5,219.2,324.7,263.0,392.9,125.4,102.1,864.5,343.8,46.2,510.5,207.1,45.4,670.7,148.1,129.5,473.2,407.0,262.8,717.5,571.7,99.2,723.5,1212.0,45.3
2019,5491.1,3517.3,1254.1,3731.5,2511.8,470.3,1759.6,1005.5,783.8,3022.8,1295.3,423.4,936.1,260.3,212.0,219.2,324.9,263.0,392.9,125.4,102.1,857.6,296.5,53.5,513.9,225.9,42.7,674.2,148.1,129.5,473.2,407.0,289.2,715.2,512.6,115.2,708.7,1216.6,46.9
2020,5444.4,3525.6,1314.7,3747.5,2519.7,479.5,1697.0,1005.9,835.2,3027.6,1303.2,435.8,941.1,268.6,214.2,212.5,319.7,255.7,365.9,126.3,102.1,857.5,299.1,65.9,512.6,220.8,38.7,645.3,149.2,129.5,473.3,410.7,347.9,716.3,514.7,117.0,719.9,1216.6,43.7
2021,5437.8,3651.8,1315.2,3750.0,2644.1,475.7,1687.8,1007.7,839.5,3031.4,1425.4,428.0,938.4,270.7,208.5,186.2,318.8,255.7,367.4,126.3,106.3,857.5,299.9,63.6,514.0,268.3,36.0,660.8,147.7,129.5,473.4,414.8,347.9,721.5,586.5,119.8,718.6,1218.7,47.7
2022,5485.5,3642.0,1236.3,3804.5,2639.6,435.4,1680.9,1002.4,800.9,3083.2,1434.7,387.7,953.4,273.4,199.1,188.4,315.2,227.8,358.1,125.0,95.6,862.9,306.8,62.3,519.9,268.6,36.0,660.7,147.6,129.5,473.7,414.6,348.0,747.0,585.9,90.3,721.3,1204.9,47.7
2023,5533.6,3617.1,1265.4,3828.2,2611.3,452.0,1705.3,1005.8,813.4,3104.9,1406.4,388.1,960.2,273.5,204.1,212.8,315.2,227.8,358.0,125.0,108.0,864.7,307.8,64.8,527.9,228.9,29.3,660.8,147.4,129.5,473.8,418.2,348.0,752.2,596.3,89.9,723.3,1204.9,63.9
2024,5448.2,3672.2,1273.7,3744.0,2656.9,450.0,1704.2,1015.4,823.7,3031.9,1451.9,386.0,885.9,311.8,193.5,212.8,315.1,238.3,357.8,133.4,108.0,865.9,306.6,73.2,527.9,233.1,29.3,660.8,147.4,129.5,472.8,419.5,347.9,752.2,600.5,90.0,712.1,1204.9,63.9
