"year","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - State","Bucks - Local","Bucks - Other","Burlington - State","Burlington - Local","Burlington - Other","Camden - State","Camden - Local","Camden - Other","Chester - State","Chester - Local","Chester - Other","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,28773.5,3298.4,8058.8,23504.0,2341.0,3854.6,5269.5,957.4,4204.2,10627.6,1153.7,2400.1,2424.0,244.3,1237.4,831.0,307.5,1199.8,1768.5,147.4,1835.7,1499.4,198.7,137.1,2970.7,217.5,526.7,1373.0,135.9,854.4,1296.9,366.6,314.2,3733.5,493.2,498.9,12876.4,1187.3,1454.5
1994,28051.6,3343.4,8839.8,22767.6,2377.9,4635.6,5284.0,965.5,4204.2,9971.4,1158.4,3177.1,2210.1,246.6,1448.3,833.5,317.2,1199.8,1759.4,147.4,1835.7,1433.4,202.1,209.1,2979.8,217.5,515.1,1389.8,134.5,854.4,1301.2,366.4,314.2,3348.1,492.1,1004.6,12796.2,1219.4,1458.5
1995,28163.9,3349.0,8871.6,22837.6,2373.8,4667.0,5326.3,975.2,4204.7,9982.9,1154.2,3210.2,2206.8,246.6,1456.3,832.0,318.4,1199.8,1774.2,147.4,1836.2,1441.1,202.8,198.0,2978.3,214.1,516.9,1383.8,134.5,854.4,1336.2,374.9,314.2,3356.6,490.7,1039.0,12854.8,1219.6,1456.7
1996,28201.5,3357.9,9206.4,22879.3,2377.0,5002.8,5322.2,981.0,4203.6,10051.3,1158.6,3283.8,2187.6,243.6,1456.3,831.1,320.7,1198.7,1770.7,151.0,1836.2,1538.8,201.0,195.2,2977.6,219.9,601.5,1383.3,134.2,854.4,1337.1,375.0,314.2,3347.2,494.1,1030.7,12828.0,1218.4,1719.0
1997,29049.4,3402.3,9132.5,23010.9,2425.6,4927.7,6038.5,976.7,4204.8,10095.1,1154.9,3249.0,2198.6,241.1,1456.2,1036.9,321.1,1200.0,1767.3,151.6,1836.2,1558.6,208.6,186.6,2984.7,219.6,593.0,1378.9,130.3,854.4,1855.3,373.7,314.2,3353.1,485.5,1013.2,12915.8,1270.7,1678.7
1998,29381.1,3407.4,9138.8,23099.1,2425.0,4934.0,6282.0,982.5,4204.8,10060.5,1148.9,3247.4,2189.6,241.1,1458.1,1037.0,323.0,1200.0,1783.6,147.0,1836.2,1549.2,212.4,189.6,2974.7,209.9,593.0,1378.9,130.6,854.4,2082.6,381.8,314.2,3347.0,485.5,1006.7,13038.7,1276.0,1686.6
1999,29558.9,3435.8,9151.7,23190.5,2449.5,4945.3,6368.4,986.3,4206.4,10083.9,1156.7,3253.8,2201.2,241.3,1446.0,1037.0,322.6,1201.5,1817.6,147.0,1836.2,1557.0,215.0,192.6,2980.4,209.9,593.6,1396.7,134.8,854.4,2117.2,381.9,314.2,3345.4,490.5,1021.6,13106.6,1292.8,1691.5
2000,29580.1,3394.6,9183.9,23174.6,2411.6,4977.5,6405.4,983.0,4206.4,10114.6,1188.0,3255.0,2220.5,245.6,1452.2,1037.2,324.2,1201.5,1791.4,144.4,1836.2,1563.4,216.6,185.9,2980.8,211.3,593.6,1419.9,135.3,854.4,2157.0,379.0,314.2,3349.8,514.4,1023.2,13060.1,1223.6,1722.6
2001,29677.8,3417.9,9221.8,23263.7,2425.5,5005.2,6414.0,992.4,4216.6,10125.3,1202.8,3269.0,2225.8,244.8,1452.2,1037.2,328.0,1211.7,1791.5,144.4,1836.2,1567.0,225.5,183.6,2977.3,208.0,593.1,1419.9,135.3,854.4,2165.5,384.6,314.2,3355.2,524.4,1040.1,13138.4,1222.7,1736.2
2002,29859.8,3431.2,9279.3,23375.5,2423.6,5059.3,6484.3,1007.6,4220.0,10202.3,1200.4,3323.1,2240.6,246.1,1452.2,1037.2,337.5,1210.5,1798.3,143.1,1840.7,1586.5,224.9,183.6,2988.0,207.9,593.1,1403.4,134.9,854.6,2245.4,392.2,314.2,3387.1,521.4,1094.2,13173.2,1223.2,1736.2
2003,30226.6,3458.8,9241.3,23719.0,2440.8,4994.0,6507.6,1018.0,4247.4,10224.6,1202.9,3278.1,2236.7,244.9,1457.8,1036.3,348.5,1223.4,1794.6,143.1,1851.8,1624.7,227.0,183.6,2988.3,208.1,582.4,1431.3,134.9,857.9,2245.4,391.5,314.2,3374.9,522.9,1054.4,13494.4,1237.8,1715.9
2004,30304.8,3461.7,9254.0,23720.6,2446.9,5027.0,6584.2,1014.9,4227.0,10289.3,1209.1,3299.4,2234.4,247.6,1455.1,1060.3,350.3,1176.0,1793.5,134.4,1852.0,1633.1,227.5,209.8,2986.8,208.5,582.4,1457.1,135.2,884.7,2273.3,394.9,314.2,3434.9,525.4,1052.1,13431.3,1237.8,1727.7
2005,30250.1,3473.6,9301.2,23693.4,2455.8,5056.4,6556.7,1017.8,4244.8,10302.2,1214.7,3328.8,2234.9,247.8,1455.7,1037.9,346.3,1220.8,1801.8,143.1,1851.8,1623.5,226.6,209.8,2988.2,209.5,582.4,1453.1,134.1,858.0,2263.8,394.2,314.2,3455.7,530.8,1080.9,13391.3,1241.1,1727.7
2006,30248.9,3484.2,9293.6,23652.3,2464.1,5048.8,6596.6,1020.1,4244.8,10315.8,1214.4,3321.2,2242.7,247.8,1455.7,1051.9,334.1,1220.8,1804.9,143.3,1851.8,1644.3,225.8,204.3,2988.2,209.5,582.4,1444.9,147.3,858.0,2294.9,395.4,314.2,3440.6,531.3,1078.7,13336.5,1249.7,1727.7
2007,30765.0,3825.0,9192.3,24176.2,2791.9,4945.3,6588.8,1033.2,4247.0,10418.5,1224.2,3326.0,2259.4,255.2,1490.0,1043.1,336.6,1214.4,1803.4,143.6,1860.3,1646.6,225.9,206.1,3014.9,209.5,575.4,1444.9,146.7,858.0,2297.4,406.3,314.2,3497.5,533.6,1054.5,13757.7,1567.7,1619.3
2008,31024.8,3827.6,8643.3,24355.3,2783.0,4392.9,6669.5,1044.6,4250.4,10496.5,1225.0,2773.6,2276.4,252.8,964.0,1123.9,338.8,1213.8,1807.4,143.7,1865.5,1655.4,225.9,190.7,3026.9,212.0,566.8,1444.9,146.4,856.9,2293.2,415.8,314.2,3537.8,534.3,1052.1,13858.8,1558.0,1619.3
2009,30965.2,3835.5,8624.1,24405.0,2786.5,4347.1,6560.1,1049.0,4277.0,10544.3,1233.7,2727.7,2276.5,256.2,964.0,1044.4,338.6,1213.6,1808.3,143.7,1865.5,1622.9,230.3,183.9,3029.3,210.4,566.8,1417.9,146.5,883.7,2289.5,420.2,314.2,3615.5,536.8,1013.1,13860.7,1552.8,1619.3
2010,31014.0,3833.0,8643.6,24446.1,2786.6,4355.2,6567.8,1046.4,4288.3,10608.9,1238.5,2735.9,2287.5,256.2,985.3,1045.2,340.3,1213.6,1808.9,138.3,1865.5,1678.7,233.6,183.9,3031.6,210.4,566.6,1417.9,145.2,883.7,2295.8,422.5,325.6,3611.1,538.3,1000.2,13837.3,1548.1,1619.3
2011,31233.1,3607.1,8743.2,24661.9,2557.4,4467.6,6571.2,1049.7,4275.5,10669.9,1261.6,2735.0,2331.4,253.1,950.3,1055.8,340.4,1200.2,1808.9,138.9,1874.1,1711.1,238.0,187.1,3015.2,207.4,582.3,1420.2,147.1,886.8,2286.3,423.3,314.5,3612.2,563.1,1015.4,13992.0,1295.8,1732.6
2012,31212.5,3905.8,8580.6,24678.7,2855.3,4328.6,6533.8,1050.5,4252.0,10851.5,1277.0,2787.0,2317.6,256.8,945.3,1067.8,340.5,1185.8,1809.3,138.9,1874.1,1746.3,241.3,180.2,3126.7,210.0,571.8,1420.7,147.1,886.8,2235.9,423.9,305.4,3660.8,568.9,1089.7,13827.1,1578.4,1541.6
2013,31334.1,3914.4,8540.4,24757.2,2856.7,4382.4,6576.9,1057.7,4158.0,10942.1,1292.6,2840.8,2368.4,261.5,945.3,1071.4,342.0,1140.1,1810.1,138.9,1874.1,1746.5,241.4,231.3,3127.8,206.1,571.8,1420.6,152.9,879.4,2274.9,423.9,264.4,3699.4,583.6,1092.3,13815.1,1564.0,1541.6
2014,31349.0,3920.6,7295.2,24767.8,2845.1,2748.2,6581.2,1075.5,4547.0,10973.4,1288.3,2439.5,2396.0,263.6,965.0,1068.3,350.4,1372.1,1805.4,141.6,1874.1,1744.0,243.3,299.3,3114.7,207.4,101.6,1421.5,152.9,879.4,2285.8,430.5,421.3,3718.6,574.0,1073.7,13794.5,1556.8,308.7
2015,31467.8,3967.4,8030.0,24878.2,2886.7,2726.4,6589.6,1080.7,5303.6,11046.0,1326.2,2417.7,2405.7,267.4,968.6,1071.1,352.2,1742.1,1782.7,141.7,1874.1,1757.2,257.6,304.8,3115.7,236.7,101.6,1420.0,155.6,880.3,2315.8,431.3,807.0,3767.5,564.5,1042.7,13832.2,1560.5,308.7
2016,31425.9,3982.9,8075.6,24768.1,2883.5,2715.9,6657.8,1099.4,5359.7,11001.8,1323.1,2407.2,2388.9,267.4,964.8,1133.9,353.2,1785.6,1789.4,156.9,1872.7,1757.3,256.8,304.8,3117.8,236.7,101.7,1421.1,155.6,882.8,2313.3,433.8,818.5,3737.9,562.1,1035.8,13766.2,1560.4,308.7
2017,31369.8,4017.8,8194.1,24702.5,2916.0,2776.2,6667.3,1101.9,5417.9,11099.3,1318.5,2467.5,2388.0,271.5,939.6,1136.0,350.8,1831.8,1796.6,157.8,1872.6,1748.3,263.7,303.0,3126.8,207.8,101.7,1421.3,157.0,882.9,2313.3,436.3,830.6,3836.1,575.4,1123.1,13603.3,1597.5,308.7
2018,31415.8,4174.0,9972.8,24770.5,3076.9,4557.5,6645.3,1097.0,5415.3,11192.3,1481.4,3001.5,2410.0,263.8,993.7,1136.0,345.5,1831.7,1779.1,157.8,1870.0,1764.7,345.0,302.0,3126.9,214.3,574.4,1421.5,157.0,882.9,2308.6,436.8,830.6,3890.8,658.4,1131.5,13578.2,1595.5,1556.0
2019,31922.7,4053.2,8716.3,25265.9,2955.9,2890.7,6656.8,1097.2,5825.6,11498.5,1372.1,2561.1,2716.2,260.3,975.7,1136.0,345.7,1828.8,1788.4,157.8,1870.0,1757.3,296.5,310.9,3129.3,233.1,101.5,1423.8,157.0,882.9,2308.6,436.8,1243.9,3895.7,582.2,1173.0,13767.3,1583.9,329.6
