"year","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - State","Bucks - Local","Bucks - Other","Burlington - State","Burlington - Local","Burlington - Other","Camden - State","Camden - Local","Camden - Other","Chester - State","Chester - Local","Chester - Other","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,1454,45,232,1118,28,117,336,17,115,815,14,107,216,0,30,63,4,43,101,3,34,150,0,22,184,0,7,69,6,17,103,4,21,265,14,48,303,14,10
1994,1300,43,239,963,26,124,337,17,115,707,15,115,186,1,32,63,4,43,101,3,34,147,0,20,156,1,5,69,6,17,104,4,21,218,13,58,256,11,9
1995,1305,40,238,962,26,123,343,14,115,704,15,113,183,1,32,63,4,43,102,0,34,148,0,19,156,1,4,69,6,17,109,4,21,217,13,58,258,11,10
1996,1266,41,239,924,26,124,342,15,115,669,15,104,162,1,30,63,4,43,102,1,34,146,0,16,153,1,5,69,6,17,108,4,21,208,13,53,255,11,20
1997,1069,45,273,713,30,158,356,15,115,544,18,140,125,1,38,66,4,43,100,1,34,139,1,25,119,0,4,71,6,17,119,4,21,161,16,73,169,12,18
1998,1052,48,270,697,32,156,355,16,114,513,16,137,120,0,40,66,4,43,96,1,34,126,0,23,112,0,4,68,6,17,125,5,20,155,16,70,184,16,19
1999,1026,53,266,678,32,157,348,21,109,505,16,138,117,0,39,69,0,38,93,0,34,125,0,23,112,0,4,65,16,17,121,5,20,151,16,72,173,16,19
2000,1009,50,265,655,32,156,354,18,109,501,16,137,116,0,39,70,0,38,97,0,34,123,0,22,112,0,4,66,16,17,121,2,20,150,16,72,154,16,19
2001,1006,63,266,650,32,157,356,31,109,498,16,139,115,0,39,70,1,38,97,0,34,123,0,22,111,0,4,66,28,17,123,2,20,149,16,74,152,16,18
2002,1014,71,268,647,32,158,367,39,110,498,16,140,116,0,39,70,0,38,99,0,35,122,0,22,111,0,4,66,37,17,132,2,20,149,16,75,149,16,18
2003,1011,56,267,649,32,157,362,24,110,499,16,139,116,0,39,70,0,38,98,0,35,122,0,22,111,0,4,66,22,17,128,2,20,150,16,74,150,16,18
2004,1011,42,131,645,27,19,366,15,112,498,12,16,118,0,8,72,0,39,98,0,35,118,0,1,111,0,1,66,13,18,130,2,20,151,12,6,147,15,3
2005,1007,36,128,644,27,18,363,9,110,497,12,15,118,0,7,70,0,38,99,0,35,117,0,1,111,0,1,66,5,17,128,4,20,151,12,6,147,15,3
2006,1006,35,128,643,27,18,363,8,110,498,12,15,119,0,7,68,0,38,100,1,35,118,0,1,111,0,1,65,4,17,130,3,20,150,12,6,145,15,3
2007,994,6,125,634,2,15,360,4,110,492,0,12,118,0,5,66,0,38,100,1,35,115,0,1,111,0,1,65,0,17,129,3,20,148,0,5,142,2,3
2008,1000,9,128,639,2,18,361,7,110,495,0,13,118,0,6,65,0,38,100,1,35,117,0,1,112,0,1,66,0,17,130,6,20,148,0,5,144,2,5
2009,1001,10,248,641,4,137,360,6,111,496,3,122,119,0,31,66,0,38,100,1,35,117,2,22,114,0,1,64,0,18,130,5,20,146,1,68,145,1,15
2010,1001,10,253,641,5,141,360,5,112,496,4,126,119,0,35,66,0,38,100,1,35,117,3,22,114,0,1,64,0,18,130,4,21,146,1,68,145,1,15
2011,1004,11,253,644,5,140,360,6,113,498,4,125,120,0,34,66,1,38,100,1,36,117,3,22,114,0,1,64,0,18,130,4,21,147,1,68,146,1,15
2012,1008,9,253,646,5,140,362,4,113,500,4,127,120,0,34,66,0,38,100,1,36,118,3,23,114,0,1,64,0,18,132,3,21,148,1,69,146,1,13
2013,1239,74,262,853,52,152,386,22,110,640,32,137,168,0,37,70,5,34,103,9,35,130,3,25,138,2,2,69,3,20,144,5,21,204,27,73,213,20,15
2014,1405,78,289,1017,57,166,388,21,123,703,29,151,174,1,43,69,6,40,104,8,35,138,0,25,164,2,4,70,3,19,145,4,29,227,26,79,314,28,15
2015,1411,74,322,1021,55,162,390,19,160,706,27,147,175,1,43,70,5,53,106,8,35,136,0,25,164,2,4,69,3,19,145,3,53,231,24,75,315,28,15
2016,1415,66,323,1022,46,160,393,20,163,707,26,145,175,1,43,71,5,55,108,9,36,136,0,25,164,2,4,69,3,19,145,3,53,232,23,73,315,20,15
2017,1402,66,323,1009,46,159,393,20,164,701,26,144,175,1,41,71,5,56,107,9,35,133,0,25,164,2,4,69,3,20,146,3,53,229,23,74,308,20,15
2018,1395,69,335,1008,46,171,387,23,164,701,26,152,175,1,40,71,5,56,103,11,35,133,1,29,164,1,5,69,3,20,144,4,53,229,23,78,307,20,19
2019,1401,57,342,1015,34,173,386,23,169,704,17,156,179,0,40,71,5,56,103,11,35,133,0,30,163,1,5,68,3,20,144,4,58,229,16,81,311,17,17
2020,1405,58,340,1015,35,171,390,23,169,704,17,154,179,0,38,72,5,57,104,11,35,134,0,29,164,1,5,68,3,20,146,4,57,227,16,82,311,18,17
2021,1410,58,332,1018,35,166,392,23,166,703,17,149,178,0,37,73,5,57,105,11,34,134,0,29,165,1,5,68,3,20,146,4,55,226,16,78,315,18,17
2022,1408,59,341,1015,35,170,393,24,171,703,17,153,179,0,40,73,6,60,106,11,35,132,0,28,164,1,5,68,3,20,146,4,56,228,16,80,312,18,17
2023,1409,59,346,1017,35,176,392,24,170,705,17,155,179,0,41,72,6,60,106,11,34,132,0,28,165,1,6,68,3,20,146,4,56,229,16,80,312,18,21
2024,1413,59,338,1021,35,169,392,24,169,712,17,152,188,0,39,72,6,59,106,11,34,132,0,28,165,1,5,68,3,20,146,4,56,227,16,80,309,18,17
