"year","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - State","Bucks - Local","Bucks - Other","Burlington - State","Burlington - Local","Burlington - Other","Camden - State","Camden - Local","Camden - Other","Chester - State","Chester - Local","Chester - Other","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,1118,1114,186,896,724,117,222,390,69,821,595,104,272,161,17,43,152,24,52,46,12,277,155,28,95,72,17,55,79,19,72,113,14,177,207,42,75,129,13
1994,1208,1124,249,985,734,180,223,390,69,863,597,165,283,161,34,44,152,24,52,46,12,268,157,42,125,71,15,55,79,19,72,113,14,187,208,74,122,137,15
1995,1208,1125,250,989,730,181,219,395,69,869,593,167,286,160,34,44,153,24,51,49,12,268,158,42,125,68,17,55,79,19,69,114,14,190,207,74,120,137,14
1996,1188,1130,247,968,735,179,220,395,68,851,596,166,278,161,36,44,153,23,51,49,12,267,156,41,120,70,18,55,79,19,70,114,14,186,209,71,117,139,13
1997,1424,1134,194,1201,739,126,223,395,68,993,596,115,319,159,28,45,153,23,53,50,12,277,158,28,156,72,16,53,79,19,72,113,14,241,207,43,208,143,11
1998,1371,1121,190,1140,726,121,231,395,69,950,587,110,293,160,26,45,153,23,57,50,12,271,158,27,154,67,16,56,79,19,73,113,15,232,202,41,190,139,11
1999,1401,1116,199,1161,727,124,240,389,75,959,586,111,297,159,25,42,156,29,60,51,12,273,158,28,154,67,17,59,69,19,79,113,15,235,202,41,202,141,13
2000,1420,1120,202,1186,730,127,234,390,75,966,593,110,299,163,26,41,156,29,56,51,12,276,159,26,154,67,17,58,69,19,79,114,15,237,204,41,220,137,17
2001,1425,1114,200,1191,733,125,234,381,75,966,597,107,299,162,26,41,157,29,56,51,12,277,159,25,154,66,16,58,57,19,79,116,15,236,210,40,225,136,18
2002,1428,1105,199,1196,732,125,232,373,74,968,596,107,296,162,26,41,158,29,55,51,11,278,159,25,156,66,16,57,48,19,79,116,15,238,209,40,228,136,18
2003,1439,1118,203,1206,735,123,233,383,80,968,597,106,294,161,26,39,155,35,55,51,11,281,160,25,156,66,16,57,63,19,82,114,15,237,210,39,238,138,17
2004,1457,1138,342,1219,741,261,238,397,81,978,602,229,298,162,57,41,158,36,56,49,11,281,160,46,155,66,19,58,72,19,83,118,15,244,214,107,241,139,32
2005,1460,1142,342,1221,742,263,239,400,79,981,602,231,298,161,58,41,159,34,57,51,11,282,159,46,156,66,19,59,76,19,82,114,15,245,216,108,240,140,32
2006,1462,1140,340,1224,741,261,238,399,79,984,601,229,300,161,58,41,155,34,55,50,11,284,158,45,156,66,19,59,80,19,83,114,15,244,216,107,240,140,32
2007,1475,1187,337,1237,784,258,238,403,79,995,615,232,301,163,61,41,155,34,55,50,11,284,158,47,160,66,17,59,83,19,83,115,15,250,228,107,242,169,26
2008,1486,1181,327,1250,779,248,236,402,79,1006,614,224,303,162,59,42,155,34,54,50,11,288,158,44,161,66,15,58,83,19,82,114,15,254,228,106,244,165,24
2009,1487,1184,200,1254,779,121,233,405,79,1011,611,107,304,162,34,41,155,34,54,50,11,287,158,20,161,65,15,57,84,19,81,116,15,259,226,38,243,168,14
2010,1489,1183,193,1256,778,114,233,405,79,1015,611,100,308,162,30,41,156,34,54,49,11,287,159,20,161,64,15,57,83,19,81,117,15,259,226,35,241,167,14
2011,1491,1176,204,1259,772,124,232,404,80,1013,621,104,309,162,29,41,155,35,54,49,11,290,163,19,158,64,19,57,83,19,80,117,15,256,232,37,246,151,20
2012,1497,1205,192,1266,799,114,231,406,78,1028,633,100,310,163,28,43,156,34,54,49,11,293,166,17,165,67,16,57,83,19,77,118,14,260,237,39,238,166,14
2013,1282,1146,174,1075,757,106,207,389,68,902,611,94,268,166,25,39,151,32,51,41,12,281,167,21,141,62,15,52,81,17,65,116,7,212,216,33,173,146,12
2014,1122,1148,161,918,754,88,204,394,73,844,617,79,266,168,20,39,154,33,49,42,12,272,171,21,114,63,13,51,81,18,65,117,10,192,215,25,74,137,9
2015,1124,1165,168,919,768,86,205,397,82,845,630,77,267,172,20,38,156,36,49,42,12,273,176,21,114,64,13,51,82,18,67,117,16,191,218,23,74,138,9
2016,1119,1186,168,916,777,86,203,409,82,842,631,77,265,172,19,38,157,36,48,52,12,273,175,21,114,64,13,51,82,18,66,118,16,190,220,24,74,146,9
2017,1118,1188,171,917,781,88,201,407,83,844,632,79,264,173,18,38,155,36,47,52,13,273,176,20,114,63,13,51,82,17,65,118,17,193,220,28,73,149,9
2018,1124,1232,170,920,829,87,204,403,83,845,680,74,266,168,19,38,154,36,48,50,13,273,217,20,114,67,12,51,82,17,67,117,17,192,228,23,75,149,13
2019,1123,1260,178,918,857,94,205,403,84,845,705,79,266,171,20,38,154,36,48,50,13,272,219,23,116,83,11,52,82,17,67,117,18,191,232,25,73,152,15
2020,1120,1272,179,918,870,94,202,402,85,844,719,80,266,171,21,38,152,35,45,50,13,271,225,23,116,87,10,52,83,17,67,117,20,191,236,26,74,151,14
2021,1119,1325,178,917,926,92,202,399,86,844,773,77,265,171,20,36,150,35,46,50,14,271,226,22,116,90,9,53,82,17,67,117,20,192,286,26,73,153,15
2022,1127,1321,167,926,923,85,201,398,82,852,771,70,266,172,17,36,149,32,45,50,13,273,225,21,119,90,9,53,82,17,67,117,20,194,284,23,74,152,15
2023,1131,1323,170,929,922,87,202,401,83,855,770,71,267,171,18,37,149,32,45,50,14,274,225,22,120,89,8,53,82,17,67,120,20,194,285,23,74,152,16
2024,1123,1351,169,921,948,85,202,403,84,848,796,69,259,197,16,37,149,33,45,51,14,275,223,22,120,88,8,53,82,17,67,121,20,194,288,23,73,152,16
