"year","DVRPC - State","DVRPC - Local","DVRPC - Other","Pennsylvania All Counties - State","Pennsylvania All Counties - Local","Pennsylvania All Counties - Other","New Jersey Suburbs - State","New Jersey Suburbs - Local","New Jersey Suburbs - Other","Pennsylvania Suburbs - State","Pennsylvania Suburbs - Local","Pennsylvania Suburbs - Other","Bucks - State","Bucks - Local","Bucks - Other","Burlington - State","Burlington - Local","Burlington - Other","Camden - State","Camden - Local","Camden - Other","Chester - State","Chester - Local","Chester - Other","Delaware - State","Delaware - Local","Delaware - Other","Gloucester - State","Gloucester - Local","Gloucester - Other","Mercer - State","Mercer - Local","Mercer - Other","Montgomery - State","Montgomery - Local","Montgomery - Other","Philadelphia - State","Philadelphia - Local","Philadelphia - Other"
1993,2572,1159,418,2014,752,234,558,407,184,1636,609,211,488,161,47,106,156,67,153,49,46,427,155,50,279,72,24,124,85,36,175,117,35,442,221,90,378,143,23
1994,2508,1167,488,1948,760,304,560,407,184,1570,612,280,469,162,66,107,156,67,153,49,46,415,157,62,281,72,20,124,85,36,176,117,35,405,221,132,378,148,24
1995,2513,1165,488,1951,756,304,562,409,184,1573,608,280,469,161,66,107,157,67,153,49,46,416,158,61,281,69,21,124,85,36,178,118,35,407,220,132,378,148,24
1996,2454,1171,486,1892,761,303,562,410,183,1520,611,270,440,162,66,107,157,66,153,50,46,413,156,57,273,71,23,124,85,36,178,118,35,394,222,124,372,150,33
1997,2493,1179,467,1914,769,284,579,410,183,1537,614,255,444,160,66,111,157,66,153,51,46,416,159,53,275,72,20,124,85,36,191,117,35,402,223,116,377,155,29
1998,2423,1169,460,1837,758,277,586,411,183,1463,603,247,413,160,66,111,157,66,153,51,46,397,158,50,266,67,20,124,85,36,198,118,35,387,218,111,374,155,30
1999,2427,1169,465,1839,759,281,588,410,184,1464,602,249,414,159,64,111,156,67,153,51,46,398,158,51,266,67,21,124,85,36,200,118,35,386,218,113,375,157,32
2000,2429,1170,467,1841,762,283,588,408,184,1467,609,247,415,163,65,111,156,67,153,51,46,399,159,48,266,67,21,124,85,36,200,116,35,387,220,113,374,153,36
2001,2431,1177,466,1841,765,282,590,412,184,1464,613,246,414,162,65,111,158,67,153,51,46,400,159,47,265,66,20,124,85,36,202,118,35,385,226,114,377,152,36
2002,2442,1176,467,1843,764,283,599,412,184,1466,612,247,412,162,65,111,158,67,154,51,46,400,159,47,267,66,20,123,85,36,211,118,35,387,225,115,377,152,36
2003,2450,1174,470,1855,767,280,595,407,190,1467,613,245,410,161,65,109,155,73,153,51,46,403,160,47,267,66,20,123,85,36,210,116,35,387,226,113,388,154,35
2004,2468,1180,473,1864,768,280,604,412,193,1476,614,245,416,162,65,113,158,75,154,49,46,399,160,47,266,66,20,124,85,37,213,120,35,395,226,113,388,154,35
2005,2467,1178,470,1865,769,281,602,409,189,1478,614,246,416,161,65,111,159,72,156,51,46,399,159,47,267,66,20,125,81,36,210,118,35,396,228,114,387,155,35
2006,2468,1175,468,1867,768,279,601,407,189,1482,613,244,419,161,65,109,155,72,155,51,46,402,158,46,267,66,20,124,84,36,213,117,35,394,228,113,385,155,35
2007,2469,1193,462,1871,786,273,598,407,189,1487,615,244,419,163,66,107,155,72,155,51,46,399,158,48,271,66,18,124,83,36,212,118,35,398,228,112,384,171,29
2008,2486,1190,455,1889,781,266,597,409,189,1501,614,237,421,162,65,107,155,72,154,51,46,405,158,45,273,66,16,124,83,36,212,120,35,402,228,111,388,167,29
2009,2488,1194,448,1895,783,258,593,411,190,1507,614,229,423,162,65,107,155,72,154,51,46,404,160,42,275,65,16,121,84,37,211,121,35,405,227,106,388,169,29
2010,2490,1193,446,1897,783,255,593,410,191,1511,615,226,427,162,65,107,156,72,154,50,46,404,162,42,275,64,16,121,83,37,211,121,36,405,227,103,386,168,29
2011,2495,1187,457,1903,777,264,592,410,193,1511,625,229,429,162,63,107,156,73,154,50,47,407,166,41,272,64,20,121,83,37,210,121,36,403,233,105,392,152,35
2012,2505,1214,445,1912,804,254,593,410,191,1528,637,227,430,163,62,109,156,72,154,50,47,411,169,40,279,67,17,121,83,37,209,121,35,408,238,108,384,167,27
2013,2521,1220,436,1928,809,258,593,411,178,1542,643,231,436,166,62,109,156,66,154,50,47,411,170,46,279,64,17,121,84,37,209,121,28,416,243,106,386,166,27
2014,2527,1226,450,1935,811,254,592,415,196,1547,646,230,440,169,63,108,160,73,153,50,47,410,171,46,278,65,17,121,84,37,210,121,39,419,241,104,388,165,24
