"year","DVRPC - Poor","DVRPC - Fair","DVRPC - Good","Pennsylvania All Counties - Poor","Pennsylvania All Counties - Fair","Pennsylvania All Counties - Good","New Jersey Suburbs - Poor","New Jersey Suburbs - Fair","New Jersey Suburbs - Good","Pennsylvania Suburbs - Poor","Pennsylvania Suburbs - Fair","Pennsylvania Suburbs - Good","Bucks - Poor","Bucks - Fair","Bucks - Good","Burlington - Poor","Burlington - Fair","Burlington - Good","Camden - Poor","Camden - Fair","Camden - Good","Chester - Poor","Chester - Fair","Chester - Good","Delaware - Poor","Delaware - Fair","Delaware - Good","Gloucester - Poor","Gloucester - Fair","Gloucester - Good","Mercer - Poor","Mercer - Fair","Mercer - Good","Montgomery - Poor","Montgomery - Fair","Montgomery - Good","Philadelphia - Poor","Philadelphia - Fair","Philadelphia - Good"
1993,4346.1,19547.0,7257.7,3725.7,15563.6,4607.8,620.5,3983.4,2649.9,1657.5,5537.1,3000.9,959.8,1221.8,572.5,153.7,735.2,757.8,279.0,2000.2,826.7,101.9,665.5,93.0,171.3,1189.9,1713.1,99.0,784.1,531.2,88.8,463.9,534.2,424.5,2460.0,622.4,2068.2,10026.4,1606.8
1994,3426.9,16925.5,6550.6,2935.7,12803.7,3876.2,491.3,4121.9,2674.4,996.1,4669.8,2759.3,365.9,1107.5,444.0,146.5,739.9,784.7,177.9,2091.4,822.9,61.6,603.9,115.0,151.2,886.1,1611.5,79.2,815.0,539.1,87.7,475.7,527.7,417.3,2072.3,588.7,1939.5,8133.9,1116.9
1995,3537.0,17001.2,6075.0,3106.1,12860.2,3334.0,430.9,4141.0,2741.0,920.2,4443.9,2602.0,419.9,1178.1,297.2,111.5,764.8,791.8,161.5,2096.2,831.2,71.9,585.6,119.9,129.5,528.8,1571.4,70.8,814.2,540.6,87.1,465.8,577.4,298.9,2151.5,613.5,2185.9,8416.3,732.1
1996,3646.5,17898.9,6172.8,3223.6,13717.4,3464.7,422.9,4181.5,2708.1,969.0,5174.7,2672.9,368.2,1258.5,230.4,111.5,764.8,790.3,161.1,2099.8,831.2,105.9,562.4,230.2,112.0,1268.7,1570.3,70.8,814.2,540.1,79.4,502.7,546.5,382.9,2085.2,642.1,2254.6,8542.6,791.8
1997,2758.5,18103.6,6148.2,2420.5,13435.6,3126.0,338.0,4668.0,3022.3,945.6,5395.1,2604.9,272.1,1863.1,249.2,91.4,1023.5,727.6,97.9,2212.4,764.3,70.4,693.1,200.3,115.6,946.0,1519.8,71.8,854.3,548.2,76.9,577.7,982.2,487.5,1892.9,635.7,1474.9,8040.5,521.1
1998,2672.6,20136.8,6450.3,2356.7,15403.7,3300.0,315.9,4733.0,3150.2,958.6,5637.2,2454.6,281.6,1840.9,268.6,101.6,1023.4,709.9,89.6,2340.6,641.0,71.6,590.4,234.1,105.3,1039.8,1404.4,48.7,852.3,549.1,75.9,516.7,1250.2,500.0,2166.2,547.5,1398.1,9766.5,845.4
1999,2480.1,20041.5,6375.9,2273.6,15066.9,3505.9,206.5,4974.6,2870.0,792.5,5422.8,2774.6,263.0,1819.6,251.4,23.5,1134.0,608.2,68.8,2359.9,588.7,50.5,562.1,282.5,80.4,1089.1,1380.1,47.7,973.4,405.1,66.4,507.3,1268.1,398.6,1952.1,860.7,1481.0,9644.1,731.3
2000,3750.9,17983.9,6787.5,3500.0,12979.5,3889.6,250.9,5004.4,2898.0,780.8,5353.7,2810.3,277.0,1803.1,251.1,124.8,1068.0,590.7,52.3,2375.2,635.9,48.8,559.5,259.3,73.1,1095.9,1380.4,7.3,975.1,461.1,66.4,586.0,1210.3,381.9,1895.1,919.4,2719.1,7625.9,1079.3
2001,3977.6,17961.3,6551.7,3717.5,12915.8,3651.8,260.1,5045.5,2899.9,813.7,5285.2,2849.9,261.2,1819.3,252.7,121.1,1096.6,585.3,61.8,2373.2,628.6,58.7,555.9,254.5,81.5,1046.1,1411.8,10.7,985.5,471.5,66.4,590.3,1214.6,412.4,1863.8,930.9,2903.8,7630.6,801.9
2002,4425.7,17741.8,6466.2,4121.0,12879.3,3316.1,304.8,4862.5,3150.1,1086.1,5421.1,2513.1,290.8,1848.5,198.3,124.8,1168.6,498.9,86.5,2091.7,920.1,87.1,524.5,262.7,89.2,1220.1,1231.2,28.5,997.2,450.2,65.0,605.0,1280.9,619.0,1827.9,820.9,3034.9,7458.2,803.1
2003,5168.7,17496.8,5971.7,4865.3,12383.8,3094.6,303.4,5113.0,2877.1,1159.9,5473.2,2360.3,373.8,1768.5,202.8,124.8,1255.4,412.0,80.8,2122.5,894.3,76.1,545.3,255.7,107.5,1283.6,1149.4,26.7,1081.8,370.5,71.0,653.4,1200.3,602.5,1875.8,752.3,3705.5,6910.6,734.4
2004,4648.7,14509.6,5312.9,4451.7,9356.6,2354.1,197.0,5153.0,2958.8,1101.7,3680.4,1771.6,399.0,816.5,116.1,23.5,1286.0,457.4,93.5,2108.2,894.3,51.6,480.6,214.3,100.7,792.9,1144.7,8.9,1092.4,392.4,71.0,666.4,1214.6,550.3,1590.4,296.5,3350.0,5676.2,582.5
2005,4444.6,15029.1,4810.1,4133.0,9554.4,2335.2,311.6,5474.7,2474.9,1047.3,3896.4,1506.3,352.1,758.0,110.4,132.1,1237.4,423.5,100.2,2430.9,568.9,34.0,503.1,198.9,100.7,1024.2,913.9,8.3,1098.8,329.8,71.0,707.5,1152.6,560.4,1611.2,283.1,3085.7,5658.0,828.9
2006,4566.2,14929.8,4760.2,4225.5,9525.8,2226.6,340.7,5404.0,2533.6,1200.9,3852.0,1398.4,344.2,773.2,104.2,130.9,1204.4,428.3,115.7,2419.0,611.8,66.0,484.3,188.5,100.7,1022.3,915.8,23.2,1070.3,334.1,71.0,710.3,1159.3,690.0,1572.2,189.9,3024.6,5673.8,828.2
2007,4216.8,15366.7,4460.5,3895.3,9665.6,2225.8,321.4,5701.1,2234.7,1367.6,3511.1,1416.9,332.8,767.8,35.8,121.3,1317.3,316.3,130.6,2571.5,451.5,114.0,431.6,190.1,63.7,1005.2,970.0,21.5,1072.0,321.7,48.0,740.4,1145.2,857.2,1306.5,221.1,2527.7,6154.5,808.9
2008,4017.2,16449.1,4403.6,3723.3,10560.0,2230.1,293.9,5889.2,2173.4,1167.7,3770.3,1421.3,339.0,784.1,42.0,83.4,1370.8,349.1,131.1,2676.5,353.2,95.8,448.7,193.8,58.7,1011.2,976.4,21.5,1070.9,354.3,57.8,770.9,1116.7,674.2,1526.3,209.0,2555.6,6789.6,808.9
2009,4155.6,17788.4,4730.6,3881.1,12008.4,2451.4,274.5,5780.0,2279.2,1258.6,4585.4,1819.4,321.3,1154.1,77.2,12.6,1364.5,375.5,183.7,2584.0,394.1,85.8,571.6,226.6,65.2,1016.2,972.6,21.5,1095.5,356.5,56.8,736.1,1153.1,786.4,1843.4,542.9,2622.4,7423.0,632.1
2010,3949.0,18204.0,4741.0,3600.1,12511.6,2441.6,349.0,5692.5,2299.5,1059.2,4789.9,2044.3,265.4,1221.7,298.4,66.9,1306.5,380.0,214.5,2572.2,374.9,81.1,574.9,233.3,74.5,1033.5,948.3,21.5,1054.7,397.3,46.1,759.1,1147.2,638.2,1959.8,564.3,2540.9,7721.7,397.3
2011,3305.3,19165.4,4472.6,2995.7,13380.7,2213.4,309.6,5784.6,2259.2,1088.9,5012.9,1798.2,292.8,1195.0,298.3,74.2,1340.1,356.8,173.7,2615.8,374.9,72.0,589.2,225.9,91.9,1316.6,642.2,21.4,1029.8,427.3,40.4,798.9,1100.2,632.1,1912.1,631.8,1906.8,8367.8,415.2
2012,2725.2,19792.6,4294.2,2426.3,14135.8,1934.1,298.9,5656.8,2360.1,822.2,5354.8,1741.1,290.6,1174.4,298.1,74.2,1211.4,473.5,161.0,2615.8,387.6,62.0,606.2,222.2,92.7,1323.4,642.5,23.2,1035.9,419.4,40.4,793.8,1079.6,376.9,2250.8,578.3,1604.2,8781.0,193.0
2013,3496.7,21932.0,4760.6,2618.4,16383.5,2539.9,878.2,5548.5,2220.7,867.7,6263.9,2121.4,262.3,1481.0,367.6,76.0,1413.3,325.2,689.1,2241.0,292.6,62.7,647.1,296.0,99.2,1545.6,691.1,28.5,1089.1,426.9,84.6,805.0,1175.9,443.5,2590.1,766.6,1750.8,10119.6,418.6
2014,3042.1,23922.6,5959.6,2677.0,17784.0,3498.9,365.1,6138.7,2460.7,887.2,6626.3,2554.5,263.1,1583.3,445.6,77.9,1517.2,446.5,176.1,2732.4,295.1,64.1,652.9,336.0,93.7,1720.8,866.1,28.5,1110.9,395.8,82.7,778.2,1323.3,466.3,2669.4,907.0,1789.9,11157.7,944.4
2015,2678.8,24538.1,6341.9,2386.4,18266.9,3413.8,292.4,6271.2,2928.1,811.4,6880.5,2442.2,236.4,1722.9,336.1,17.7,1504.6,836.7,163.6,2791.1,250.6,55.4,682.5,318.7,95.4,1724.7,860.5,28.5,1159.8,314.0,82.6,815.6,1526.8,424.3,2750.4,926.9,1575.0,11386.5,971.6
2016,2670.1,24495.7,6248.1,2336.2,18150.7,3311.6,333.9,6345.0,2936.5,817.1,6788.4,2478.3,242.0,1703.0,353.8,29.1,1657.1,777.9,158.0,2731.7,320.4,59.7,733.8,263.1,87.5,1722.3,870.9,27.9,1170.3,306.6,118.9,785.9,1531.6,427.8,2629.3,990.6,1519.1,11362.3,833.3
2017,2403.2,24902.6,6143.3,2078.8,18497.3,3202.1,324.4,6405.3,2941.2,689.0,7155.4,2371.6,235.9,1692.3,362.2,29.1,1654.7,822.6,158.0,2718.8,333.7,54.1,723.9,268.5,87.5,1921.7,673.7,27.9,1239.7,245.4,109.4,792.1,1539.6,311.4,2817.5,1067.1,1389.8,11341.9,830.6
2018,2240.3,26521.6,6457.6,1915.7,20059.1,3605.9,324.6,6462.5,2851.8,627.0,7510.0,2694.8,217.8,1750.0,262.2,32.1,1703.9,770.3,158.0,2714.2,314.3,62.3,719.9,374.8,82.3,2396.5,673.7,27.9,1244.8,240.4,106.6,799.6,1526.8,264.6,2643.6,1384.0,1288.8,12549.0,911.1
2019,2217.3,25153.8,7058.5,1917.2,18259.8,4221.8,300.1,6894.1,2836.7,571.7,7014.1,3104.4,208.1,1748.3,587.5,32.1,1714.0,757.3,151.7,2722.1,322.0,45.3,729.8,381.9,97.5,1908.2,675.7,27.9,1243.5,240.4,88.5,1214.4,1516.9,220.8,2627.7,1459.3,1345.5,11245.7,1117.5
2020,2294.5,24896.5,7580.4,1935.5,18037.3,4538.4,359.0,6859.2,3042.0,599.8,6620.0,3559.2,270.1,1526.2,785.3,38.3,1698.6,780.4,141.6,2768.2,336.9,49.2,729.5,377.9,65.6,1919.0,676.1,31.2,1241.6,273.0,147.9,1150.8,1651.8,214.9,2445.4,1719.9,1335.7,11417.3,979.2
2021,2312.9,24671.1,8373.1,2041.4,17891.8,5347.5,271.5,6779.3,3025.6,578.1,6598.3,3642.9,272.1,1516.8,790.5,37.2,1699.5,804.2,141.6,2764.5,345.4,92.1,694.1,375.0,45.6,1931.8,713.9,31.2,1270.4,244.3,61.4,1044.8,1631.7,168.4,2455.6,1763.5,1463.3,11293.5,1704.6
2022,2159.4,24995.0,8713.7,1846.7,18030.9,5707.6,312.7,6964.1,3006.1,493.1,6673.0,3891.4,241.1,1520.5,1033.0,50.5,1823.6,697.7,122.0,2822.8,318.8,60.6,718.9,375.0,43.3,1935.6,709.0,78.7,1222.9,244.3,61.4,1094.7,1745.3,148.1,2498.0,1774.4,1353.6,11357.9,1816.1
2023,1660.7,27416.2,8722.3,1347.1,20454.8,5757.2,313.6,6961.4,2965.1,560.6,7555.1,3721.4,241.4,1813.9,1018.7,48.7,1846.2,651.7,124.7,2806.0,322.1,65.4,719.7,368.9,106.9,2464.5,598.9,78.7,1216.5,250.0,61.4,1092.6,1741.2,147.0,2556.9,1734.9,786.5,12899.7,2035.8
2024,1734.8,25179.2,8648.8,1313.2,18295.3,5724.3,421.5,6883.9,2924.5,628.3,6941.7,3613.6,225.8,1525.3,1165.3,123.3,1771.8,641.3,127.4,2819.7,306.4,65.4,725.6,357.5,106.9,2009.4,579.3,71.2,1222.1,252.0,99.6,1070.3,1724.8,230.2,2681.4,1511.5,684.9,11353.6,2110.7
