"year","DVRPC - Poor","DVRPC - Fair","DVRPC - Good","Pennsylvania All Counties - Poor","Pennsylvania All Counties - Fair","Pennsylvania All Counties - Good","New Jersey Suburbs - Poor","New Jersey Suburbs - Fair","New Jersey Suburbs - Good","Pennsylvania Suburbs - Poor","Pennsylvania Suburbs - Fair","Pennsylvania Suburbs - Good","Bucks - Poor","Bucks - Fair","Bucks - Good","Burlington - Poor","Burlington - Fair","Burlington - Good","Camden - Poor","Camden - Fair","Camden - Good","Chester - Poor","Chester - Fair","Chester - Good","Delaware - Poor","Delaware - Fair","Delaware - Good","Gloucester - Poor","Gloucester - Fair","Gloucester - Good","Mercer - Poor","Mercer - Fair","Mercer - Good","Montgomery - Poor","Montgomery - Fair","Montgomery - Good","Philadelphia - Poor","Philadelphia - Fair","Philadelphia - Good"
1993,1888.6,4110.3,2980.9,1487.5,2899.2,1415.8,401.1,1211.1,1565.1,898.9,2006.8,1080.1,180.1,663.1,308.5,86.0,272.4,333.1,81.6,416.2,147.9,186.1,597.7,190.9,159.3,267.8,213.5,77.3,202.0,669.8,156.1,320.4,414.4,373.3,478.2,367.2,588.6,892.4,335.7
1994,2838.3,6557.5,3935.9,2439.7,5327.0,2398.8,398.6,1230.5,1537.1,1553.9,2645.6,1682.2,775.3,773.8,438.5,76.1,277.7,325.6,91.7,409.8,149.0,194.2,644.2,225.7,152.0,425.8,485.8,74.3,224.8,646.4,156.5,318.2,416.1,432.4,801.8,532.3,885.8,2681.4,716.6
1995,2868.7,7143.3,3759.3,2486.2,5895.2,2196.8,382.5,1248.2,1562.5,1560.9,3295.8,1524.5,798.5,852.9,363.2,79.2,281.1,321.8,87.6,417.3,164.2,203.2,643.2,218.2,143.7,979.2,356.8,76.4,222.1,648.6,139.4,327.7,427.9,415.5,820.6,586.4,925.3,2599.3,672.3
1996,2815.6,6767.7,3464.3,2445.2,5490.9,1917.3,370.4,1276.8,1547.0,1539.4,2922.0,1215.6,811.9,941.5,277.1,83.0,277.7,323.3,79.2,424.4,162.3,179.4,642.4,214.7,140.9,466.0,241.1,76.4,221.2,649.3,131.9,353.6,412.2,407.1,872.1,482.7,905.8,2568.9,701.7
1997,2350.9,8748.1,3474.8,1970.5,7333.1,2078.5,380.4,1415.0,1396.3,1055.7,3289.7,1207.9,324.9,947.9,238.7,96.4,325.0,294.1,79.8,457.7,143.1,207.7,579.7,202.6,155.7,666.4,393.8,69.7,240.6,578.9,134.5,391.8,380.2,367.3,1095.6,372.8,914.8,4043.4,870.6
1998,2155.6,7215.4,3296.7,1773.7,5760.4,1863.5,382.0,1455.0,1433.2,1091.5,3045.7,1269.0,371.1,946.3,180.2,84.3,320.4,320.3,92.7,459.9,142.9,184.4,677.7,193.1,168.5,600.2,459.4,83.8,253.7,576.3,121.2,421.1,393.7,367.5,821.6,436.3,682.2,2714.7,594.5
1999,2162.7,7496.5,3589.7,1785.7,5684.2,2269.1,377.0,1812.4,1320.6,965.9,3104.9,1433.6,373.6,992.6,188.3,83.7,501.8,209.8,88.5,492.8,202.1,145.8,685.8,237.9,148.6,600.1,485.7,72.2,327.4,560.2,132.6,490.4,348.5,297.9,826.4,521.7,819.7,2579.3,835.5
2000,2322.3,7706.6,3607.3,1954.5,5928.2,2311.9,367.8,1778.5,1295.3,963.3,3121.3,1528.1,368.6,997.2,221.4,95.6,523.1,160.8,59.5,461.6,187.5,157.6,664.8,275.8,149.0,596.2,491.1,71.2,303.8,591.2,141.5,490.0,355.9,288.0,863.1,539.8,991.2,2806.9,783.8
2001,2572.6,7899.0,3355.2,2213.4,6084.2,2111.7,359.2,1814.8,1243.4,1050.3,3153.1,1444.9,359.4,995.7,234.5,92.5,515.0,166.3,55.9,484.7,168.0,194.6,662.9,249.5,144.0,654.8,440.3,74.1,294.0,573.7,136.6,521.1,335.4,352.3,839.7,520.6,1163.0,2931.1,666.8
2002,2737.1,7759.7,3439.7,2351.4,6018.4,2172.2,385.7,1741.3,1267.5,1142.4,3126.4,1436.7,391.1,970.9,239.3,92.7,508.2,192.1,79.1,454.6,150.1,224.1,633.0,263.5,147.4,669.9,431.3,53.1,278.5,585.3,160.8,500.1,340.0,379.7,852.6,502.7,1209.0,2892.0,735.5
