"year","DVRPC - Poor","DVRPC - Fair","DVRPC - Good","Pennsylvania All Counties - Poor","Pennsylvania All Counties - Fair","Pennsylvania All Counties - Good","New Jersey Suburbs - Poor","New Jersey Suburbs - Fair","New Jersey Suburbs - Good","Pennsylvania Suburbs - Poor","Pennsylvania Suburbs - Fair","Pennsylvania Suburbs - Good","Bucks - Poor","Bucks - Fair","Bucks - Good","Burlington - Poor","Burlington - Fair","Burlington - Good","Camden - Poor","Camden - Fair","Camden - Good","Chester - Poor","Chester - Fair","Chester - Good","Delaware - Poor","Delaware - Fair","Delaware - Good","Gloucester - Poor","Gloucester - Fair","Gloucester - Good","Mercer - Poor","Mercer - Fair","Mercer - Good","Montgomery - Poor","Montgomery - Fair","Montgomery - Good","Philadelphia - Poor","Philadelphia - Fair","Philadelphia - Good"
1993,6234.7,23657.3,10238.6,5213.2,18462.8,6023.6,1021.5,5194.5,4215.0,2556.4,7544.0,4081.0,1140.0,1884.8,881.0,239.7,1007.6,1090.9,360.6,2416.4,974.7,288.0,1263.2,283.9,330.6,1457.7,1926.6,176.3,986.2,1200.9,244.9,784.3,948.6,797.8,2938.2,989.6,2656.8,10918.8,1942.6
1994,6265.3,23483.0,10486.5,5375.4,18130.7,6275.0,889.9,5352.4,4211.5,2550.0,7315.3,4441.5,1141.3,1881.3,882.5,222.6,1017.5,1110.3,269.5,2501.2,971.8,255.9,1248.1,340.7,303.2,1311.9,2097.3,153.5,1039.8,1185.5,244.2,793.9,943.8,849.7,2874.0,1121.1,2825.3,10815.3,1833.5
1995,6405.7,24144.5,9834.4,5592.3,18755.3,5530.9,813.4,5389.1,4303.5,2481.1,7739.8,4126.5,1218.4,2030.9,660.4,190.7,1045.9,1113.6,249.0,2513.4,995.4,275.1,1228.8,338.1,273.3,1508.0,1928.1,147.2,1036.3,1189.2,226.5,793.5,1005.3,714.4,2972.1,1199.9,3111.2,11015.6,1404.4
1996,6462.1,24666.6,9637.1,5668.8,19208.2,5382.0,793.3,5458.3,4255.1,2508.4,8096.7,3888.5,1180.1,2200.0,507.5,194.5,1042.5,1113.6,240.3,2524.2,993.5,285.4,1204.8,445.0,252.9,1734.7,1811.3,147.2,1035.4,1189.4,211.3,856.3,958.7,790.0,2957.2,1124.7,3160.4,11111.5,1493.5
1997,5109.5,26851.7,9623.0,4391.0,20768.7,5204.5,718.4,6083.0,4418.6,2001.3,8684.8,3812.8,597.0,2811.0,487.9,187.8,1348.5,1021.7,177.7,2670.1,907.4,278.2,1272.9,402.9,271.3,1612.4,1913.6,141.5,1094.9,1127.2,211.4,969.6,1362.3,854.9,2988.5,1008.5,2389.7,12083.9,1391.6
1998,4828.3,27352.1,9747.0,4130.4,21164.1,5163.6,697.9,6188.0,4583.4,2050.1,8683.0,3723.6,652.7,2787.2,448.8,185.9,1343.8,1030.2,182.3,2800.5,783.9,256.0,1268.0,427.2,273.9,1639.9,1863.8,132.6,1106.0,1125.4,197.1,937.8,1643.8,867.6,2987.8,983.8,2080.3,12481.2,1439.9
1999,4642.8,27538.1,9965.6,4059.3,20751.1,5775.0,583.5,6787.0,4190.6,1758.5,8527.7,4208.2,636.6,2812.2,439.6,107.2,1635.8,818.0,157.3,2852.7,790.8,196.3,1247.9,520.4,229.0,1689.1,1865.8,119.9,1300.7,965.3,199.1,997.7,1616.5,696.6,2778.4,1382.4,2300.8,12223.4,1566.7
2000,6073.2,25690.6,10394.8,5454.5,18907.7,6201.5,618.7,6782.8,4193.3,1744.1,8475.0,4338.4,645.6,2800.3,472.5,220.4,1591.1,751.4,111.8,2836.8,823.4,206.4,1224.4,535.1,222.2,1692.1,1871.5,78.5,1278.9,1052.2,208.0,1076.0,1566.2,669.9,2758.2,1459.3,3710.4,10432.7,1863.1
2001,6550.2,25860.3,9906.9,5930.9,19000.0,5763.6,619.3,6860.3,4143.4,1864.0,8438.2,4294.9,620.6,2815.0,487.2,213.7,1611.7,751.6,117.7,2857.9,796.6,253.3,1218.8,504.0,225.5,1700.9,1852.1,84.9,1279.5,1045.2,203.1,1111.3,1549.9,764.7,2703.5,1451.5,4066.8,10561.8,1468.7
2002,7162.8,25501.5,9906.0,6472.3,18897.7,5488.3,690.5,6603.8,4417.6,2228.5,8547.5,3949.8,681.9,2819.5,437.6,217.5,1676.7,690.9,165.6,2546.3,1070.2,311.2,1157.5,526.2,236.6,1890.0,1662.4,81.6,1275.6,1035.6,225.8,1105.1,1621.0,998.7,2680.5,1323.5,4243.8,10350.2,1538.6
