"year","DVRPC - Poor","DVRPC - Fair","DVRPC - Good","Pennsylvania All Counties - Poor","Pennsylvania All Counties - Fair","Pennsylvania All Counties - Good","New Jersey Suburbs - Poor","New Jersey Suburbs - Fair","New Jersey Suburbs - Good","Pennsylvania Suburbs - Poor","Pennsylvania Suburbs - Fair","Pennsylvania Suburbs - Good","Bucks - Poor","Bucks - Fair","Bucks - Good","Burlington - Poor","Burlington - Fair","Burlington - Good","Camden - Poor","Camden - Fair","Camden - Good","Chester - Poor","Chester - Fair","Chester - Good","Delaware - Poor","Delaware - Fair","Delaware - Good","Gloucester - Poor","Gloucester - Fair","Gloucester - Good","Mercer - Poor","Mercer - Fair","Mercer - Good","Montgomery - Poor","Montgomery - Fair","Montgomery - Good","Philadelphia - Poor","Philadelphia - Fair","Philadelphia - Good"
1993,232,968,531,171,760,332,61,208,199,111,571,254,38,168,40,12,46,52,23,72,43,17,121,34,14,88,89,8,37,47,18,53,57,42,194,91,60,189,78
1994,201,886,495,147,666,300,54,220,195,97,497,243,31,151,37,11,46,53,17,80,41,14,114,39,12,60,90,7,40,45,19,54,56,40,172,77,50,169,57
1995,197,914,472,148,695,268,49,219,204,101,506,225,36,154,26,9,48,53,16,76,44,16,114,37,12,61,88,6,40,46,18,55,61,37,177,74,47,189,43
1996,191,897,458,143,674,257,48,223,201,95,483,210,31,141,21,9,48,53,16,77,44,18,104,40,12,64,83,6,40,46,17,58,58,34,174,66,48,191,47
1997,140,839,408,99,584,218,41,255,190,72,446,184,18,125,21,6,64,43,12,85,38,12,116,37,11,52,60,7,42,45,16,64,64,31,153,66,27,138,34
1998,144,826,400,106,578,201,38,248,199,74,431,161,21,122,17,7,64,42,10,84,37,11,104,34,9,54,53,5,40,46,16,60,74,33,151,57,32,147,40
1999,130,807,408,98,542,227,32,265,181,62,406,191,22,119,15,6,66,35,8,86,33,7,94,47,6,55,55,4,55,39,14,58,74,27,138,74,36,136,36
2000,136,783,405,105,511,227,31,272,178,58,403,193,23,117,15,8,67,33,6,88,37,6,92,47,4,57,55,3,55,41,14,62,67,25,137,76,47,108,34
2001,150,781,404,115,501,223,35,280,181,64,395,194,19,119,16,7,70,32,7,88,36,11,90,44,5,53,57,7,60,44,14,62,69,29,133,77,51,106,29
2002,172,794,387,134,502,201,38,292,186,80,402,172,20,124,11,8,71,29,8,91,35,13,88,43,7,56,52,9,66,45,13,64,77,40,134,66,54,100,29
2003,183,799,352,147,501,190,36,298,162,87,405,162,25,118,12,8,77,23,7,91,35,11,89,44,9,62,44,7,64,34,14,66,70,42,136,62,60,96,28
2004,170,712,302,136,419,136,34,293,166,79,330,117,30,87,9,6,78,27,9,89,35,9,74,36,8,61,43,5,58,34,14,68,70,32,108,29,57,89,19
2005,167,722,282,131,431,127,36,291,155,79,339,106,30,87,8,9,75,24,9,89,36,8,79,31,8,62,42,4,56,28,14,71,67,33,111,25,52,92,21
2006,171,712,286,135,428,125,36,284,161,86,335,104,31,87,8,8,72,26,10,87,39,12,77,30,8,61,43,4,54,28,14,71,68,35,110,23,49,93,21
2007,154,696,275,126,399,126,28,297,149,87,309,108,32,85,6,6,74,24,11,93,32,17,69,30,8,58,46,2,53,27,9,77,66,30,97,26,39,90,18
2008,154,706,277,126,409,124,28,297,153,84,318,106,32,85,7,6,70,27,10,93,33,15,73,30,7,60,46,2,53,28,10,81,65,30,100,23,42,91,18
2009,174,778,307,149,481,152,25,297,155,101,386,134,34,104,12,3,72,29,10,93,33,18,90,33,8,62,45,2,53,27,10,79,66,41,130,44,48,95,18
