"year","DVRPC - Poor","DVRPC - Fair","DVRPC - Good","Pennsylvania All Counties - Poor","Pennsylvania All Counties - Fair","Pennsylvania All Counties - Good","New Jersey Suburbs - Poor","New Jersey Suburbs - Fair","New Jersey Suburbs - Good","Pennsylvania Suburbs - Poor","Pennsylvania Suburbs - Fair","Pennsylvania Suburbs - Good","Bucks - Poor","Bucks - Fair","Bucks - Good","Burlington - Poor","Burlington - Fair","Burlington - Good","Camden - Poor","Camden - Fair","Camden - Good","Chester - Poor","Chester - Fair","Chester - Good","Delaware - Poor","Delaware - Fair","Delaware - Good","Gloucester - Poor","Gloucester - Fair","Gloucester - Good","Mercer - Poor","Mercer - Fair","Mercer - Good","Montgomery - Poor","Montgomery - Fair","Montgomery - Good","Philadelphia - Poor","Philadelphia - Fair","Philadelphia - Good"
1993,566,1189,663,438,890,409,128,299,254,373,788,359,97,245,108,39,99,81,20,61,29,94,271,95,42,80,62,18,56,79,51,83,65,140,192,94,65,102,50
1994,584,1289,708,454,981,464,130,308,244,379,849,397,104,267,107,38,100,82,23,58,29,92,272,103,41,96,74,17,69,67,52,81,66,142,214,113,75,132,67
1995,576,1325,682,449,1009,442,127,316,240,373,872,384,105,268,107,40,103,78,19,60,33,96,275,97,38,105,67,19,68,66,49,85,63,134,224,113,76,137,58
1996,586,1353,626,460,1033,389,126,320,237,387,896,330,121,270,84,40,103,77,19,61,32,95,276,93,38,113,57,19,67,67,48,89,61,133,237,96,73,137,59
1997,618,1506,628,491,1165,410,127,341,218,410,959,335,126,301,79,41,108,72,20,66,29,103,275,85,41,128,75,17,75,59,49,92,58,140,255,96,81,206,75
1998,596,1485,601,471,1140,376,125,345,225,403,929,315,134,275,70,39,105,77,21,70,28,94,288,74,39,125,73,19,75,60,46,95,60,136,241,98,68,211,61
1999,570,1512,634,446,1146,420,124,366,214,375,927,354,137,270,74,38,117,72,20,73,30,82,285,92,34,126,78,17,74,56,49,102,56,122,246,110,71,219,66
2000,569,1526,647,446,1158,439,123,368,208,363,934,372,134,273,81,40,124,62,16,71,32,75,284,102,34,124,80,16,70,60,51,103,54,120,253,109,83,224,67
2001,590,1540,609,472,1168,409,118,372,200,380,944,346,130,281,76,39,126,62,14,73,32,86,278,97,33,132,71,16,64,54,49,109,52,131,253,102,92,224,63
2002,623,1501,608,507,1138,408,116,363,200,415,915,341,139,270,75,40,120,68,16,73,28,98,266,98,36,132,70,13,60,51,47,110,53,142,247,98,92,223,67
2003,619,1508,633,515,1138,411,104,370,222,421,908,342,137,273,71,34,116,79,16,73,28,98,266,102,38,133,67,12,71,56,42,110,59,148,236,102,94,230,69
2004,646,1615,676,535,1235,451,111,380,225,441,993,375,145,300,72,38,118,79,16,73,27,92,284,111,39,135,66,13,79,57,44,110,62,165,274,126,94,242,76
2005,666,1607,671,557,1219,450,109,388,221,463,975,376,151,296,70,35,126,73,15,76,28,93,285,109,46,129,66,16,79,59,43,107,61,173,265,131,94,244,74
2006,656,1607,679,556,1217,453,100,390,226,461,974,379,148,301,70,28,128,74,12,73,31,92,281,114,47,127,67,17,80,61,43,109,60,174,265,128,95,243,74
2007,688,1632,679,587,1238,454,101,394,225,480,987,375,155,303,67,26,131,73,15,72,29,88,288,113,50,126,67,16,83,62,44,108,61,187,270,128,107,251,79
2008,711,1603,680,618,1202,457,93,401,223,510,954,380,165,289,70,25,136,70,12,77,26,102,275,113,52,122,68,16,83,61,40,105,66,191,268,129,108,248,77
2009,731,1481,659,641,1075,438,90,406,221,531,835,363,157,265,78,25,137,68,13,75,27,117,240,108,54,119,68,16,80,64,36,114,62,203,211,109,110,240,75
2010,728,1469,668,637,1069,442,91,400,226,532,825,369,158,262,80,24,140,67,13,73,28,111,240,115,65,110,65,17,78,64,37,109,67,198,213,109,105,244,73
2011,729,1484,658,636,1081,438,93,403,220,539,834,365,169,255,76,28,143,60,13,74,27,108,236,128,73,120,48,13,78,68,39,108,65,189,223,113,97,247,73
2012,690,1522,682,593,1127,459,97,395,223,504,876,381,150,263,88,25,142,66,13,74,27,108,247,121,69,130,49,14,79,66,45,100,64,177,236,123,89,251,78
