"year","DVRPC - Poor","DVRPC - Fair","DVRPC - Good","Pennsylvania All Counties - Poor","Pennsylvania All Counties - Fair","Pennsylvania All Counties - Good","New Jersey Suburbs - Poor","New Jersey Suburbs - Fair","New Jersey Suburbs - Good","Pennsylvania Suburbs - Poor","Pennsylvania Suburbs - Fair","Pennsylvania Suburbs - Good","Bucks - Poor","Bucks - Fair","Bucks - Good","Burlington - Poor","Burlington - Fair","Burlington - Good","Camden - Poor","Camden - Fair","Camden - Good","Chester - Poor","Chester - Fair","Chester - Good","Delaware - Poor","Delaware - Fair","Delaware - Good","Gloucester - Poor","Gloucester - Fair","Gloucester - Good","Mercer - Poor","Mercer - Fair","Mercer - Good","Montgomery - Poor","Montgomery - Fair","Montgomery - Good","Philadelphia - Poor","Philadelphia - Fair","Philadelphia - Good"
1993,798,2157,1194,609,1650,741,189,507,453,484,1359,613,135,413,148,51,145,133,43,133,72,111,392,129,56,168,151,26,93,126,69,136,122,182,386,185,125,291,128
1994,785,2175,1203,601,1647,764,184,528,439,476,1346,640,135,418,144,49,146,135,40,138,70,106,386,142,53,156,164,24,109,112,71,135,122,182,386,190,125,301,124
1995,773,2239,1154,597,1704,710,176,535,444,474,1378,609,141,422,133,49,151,131,35,136,77,112,389,134,50,166,155,25,108,112,67,140,124,171,401,187,123,326,101
1996,777,2250,1084,603,1707,646,174,543,438,482,1379,540,152,411,105,49,151,130,35,138,76,113,380,133,50,177,140,25,107,113,65,147,119,167,411,162,121,328,106
1997,758,2345,1036,590,1749,628,168,596,408,482,1405,519,144,426,100,47,172,115,32,151,67,115,391,122,52,180,135,24,117,104,65,156,122,171,408,162,108,344,109
1998,740,2311,1001,577,1718,577,163,593,424,477,1360,476,155,397,87,46,169,119,31,154,65,105,392,108,48,179,126,24,115,106,62,155,134,169,392,155,100,358,101
1999,700,2319,1042,544,1688,647,156,631,395,437,1333,545,159,389,89,44,183,107,28,159,63,89,379,139,40,181,133,21,129,95,63,160,130,149,384,184,107,355,102
2000,705,2309,1052,551,1669,666,154,640,386,421,1337,565,157,390,96,48,191,95,22,159,69,81,376,149,38,181,135,19,125,101,65,165,121,145,390,185,130,332,101
2001,740,2321,1013,587,1669,632,153,652,381,444,1339,540,149,400,92,46,196,94,21,161,68,97,368,141,38,185,128,23,124,98,63,171,121,160,386,179,143,330,92
2002,795,2295,995,641,1640,609,154,655,386,495,1317,513,159,394,86,48,191,97,24,164,63,111,354,141,43,188,122,22,126,96,60,174,130,182,381,164,146,323,96
2003,802,2307,985,662,1639,601,140,668,384,508,1313,504,162,391,83,42,193,102,23,164,63,109,355,146,47,195,111,19,135,90,56,176,129,190,372,164,154,326,97
2004,816,2327,978,671,1654,587,145,673,391,520,1323,492,175,387,81,44,196,106,25,162,62,101,358,147,47,196,109,18,137,91,58,178,132,197,382,155,151,331,95
2005,833,2329,953,688,1650,577,145,679,376,542,1314,482,181,383,78,44,201,97,24,165,64,101,364,140,54,191,108,20,135,87,57,178,128,206,376,156,146,336,95
2006,827,2319,965,691,1645,578,136,674,387,547,1309,483,179,388,78,36,200,100,22,160,70,104,358,144,55,188,110,21,134,89,57,180,128,209,375,151,144,336,95
2007,842,2328,954,713,1637,580,129,691,374,567,1296,483,187,388,73,32,205,97,26,165,61,105,357,143,58,184,113,18,136,89,53,185,127,217,367,154,146,341,97
2008,865,2309,957,744,1611,581,121,698,376,594,1272,486,197,374,77,31,206,97,22,170,59,117,348,143,59,182,114,18,136,89,50,186,131,221,368,152,150,339,95
2009,905,2259,966,790,1556,590,115,703,376,632,1221,497,191,369,90,28,209,97,23,168,60,135,330,141,62,181,113,18,133,91,46,193,128,244,341,153,158,335,93
2010,899,2249,981,780,1559,596,119,690,385,628,1218,506,190,370,94,28,210,97,26,163,61,129,330,149,76,171,108,19,129,93,46,188,134,233,347,155,152,341,90
2011,892,2278,969,772,1582,590,120,696,379,636,1228,501,202,362,90,33,213,90,25,166,60,123,331,160,88,182,86,15,128,98,47,189,131,223,353,165,136,354,89
2012,844,2328,992,720,1643,607,124,685,385,595,1283,514,182,371,102,30,210,97,24,166,61,124,344,152,84,192,87,17,128,96,53,181,131,205,376,173,125,360,93
2013,818,2344,1015,691,1667,637,127,677,378,574,1298,544,184,372,108,30,210,91,25,169,57,119,347,161,73,200,87,15,130,97,57,168,133,198,379,188,117,369,93
2014,795,2374,1034,674,1671,655,121,703,379,557,1302,564,178,371,123,31,219,91,21,178,51,111,358,158,73,200,87,15,132,95,54,174,142,195,373,196,117,369,91
2015,771,2410,1083,660,1691,660,111,719,423,549,1316,567,172,380,126,28,222,108,23,184,45,121,357,153,72,203,86,14,137,91,46,176,179,184,376,202,111,375,93
2016,771,2419,1087,649,1691,667,122,728,420,539,1312,577,163,384,128,31,225,106,25,191,49,120,358,152,70,204,87,13,139,90,53,173,175,186,366,210,110,379,90
2017,720,2442,1106,602,1709,689,118,733,417,502,1326,598,150,392,130,31,226,104,23,189,51,118,349,160,63,211,86,12,146,84,52,172,178,171,374,222,100,383,91
2018,694,2484,1147,573,1752,736,121,732,411,479,1360,639,145,393,131,33,226,101,23,186,51,121,368,184,61,213,89,12,147,83,53,173,176,152,386,235,94,392,97
2019,648,2526,1187,533,1784,774,115,742,413,441,1396,669,137,398,141,33,226,101,21,187,52,113,377,187,61,225,93,11,148,83,50,181,177,130,396,248,92,388,105
2020,618,2536,1220,509,1794,800,109,742,420,420,1406,692,137,388,150,34,221,104,19,186,53,109,390,183,55,233,95,10,150,83,46,185,180,119,395,264,89,388,108
2021,594,2593,1235,489,1846,819,105,747,416,396,1463,704,129,389,153,37,219,100,20,187,53,104,402,176,46,238,102,7,154,82,41,187,181,117,434,273,93,383,115
2022,554,2619,1250,452,1860,842,102,759,408,370,1473,723,117,393,164,40,217,99,17,191,52,100,406,173,43,240,105,7,154,82,38,197,175,110,434,281,82,387,119
2023,538,2669,1231,438,1893,835,100,776,396,360,1507,706,114,401,161,39,223,94,17,190,53,100,408,173,48,244,97,7,161,75,37,202,174,98,454,275,78,386,129
2024,516,2713,1224,419,1927,833,97,786,391,342,1552,700,108,421,170,36,226,94,17,190,54,93,417,170,46,246,95,6,161,76,38,209,167,95,468,265,77,375,133
