"year","dvrpc","njco","pasub","bucks","burlington","camden","chester","delaware","gloucester","mercer","montgomery","philadelphia","dvrpc_5yr","njco_5yr","pasub_5yr","bucks_5yr","burlington_5yr","camden_5yr","chester_5yr","delaware_5yr","gloucester_5yr","mercer_5yr","montgomery_5yr","philadelphia_5yr"
2005,43433.0,13232.0,20804.0,5399.0,3816.0,3953.0,4201.0,3993.0,2142.0,3321.0,7211.0,9397.0,,,,,,,,,,,,
2006,46170.0,14030.0,21350.0,5605.0,3904.0,4322.0,4424.0,4021.0,2159.0,3645.0,7300.0,10790.0,,,,,,,,,,,,
2007,46397.0,14378.0,21256.0,5484.0,4103.0,4398.0,4281.0,4170.0,2263.0,3614.0,7321.0,10763.0,,,,,,,,,,,,
2008,44435.0,13822.0,19940.0,5211.0,3927.0,4336.0,4104.0,3996.0,2096.0,3463.0,6629.0,10673.0,,,,,,,,,,,,
2009,41788.0,12531.0,18789.0,4791.0,3470.0,3812.0,3866.0,3564.0,1860.0,3389.0,6568.0,10468.0,44445,13599,20428,5298,3844,4164,4175,3949,2104,3486,7006,10418
2010,42245.0,12936.0,18734.0,4818.0,3515.0,3946.0,3792.0,3710.0,1895.0,3580.0,6414.0,10575.0,44207,13539,20014,5182,3784,4163,4093,3892,2055,3538,6846,10654
2011,43545.0,13085.0,19305.0,4821.0,3618.0,3893.0,3924.0,3865.0,1854.0,3720.0,6695.0,11155.0,43682,13350,19605,5025,3727,4077,3993,3861,1994,3553,6725,10727
2012,43423.0,12814.0,19236.0,4717.0,3510.0,3895.0,3837.0,3948.0,1831.0,3578.0,6734.0,11373.0,43087,13038,19201,4872,3608,3976,3905,3817,1907,3546,6608,10849
2013,44344.0,13023.0,19588.0,4839.0,3655.0,3812.0,3929.0,3915.0,1884.0,3672.0,6905.0,11733.0,43069,12878,19130,4797,3554,3872,3870,3800,1865,3588,6663,11061
2014,45003.0,12699.0,19234.0,4648.0,3576.0,3855.0,3830.0,4016.0,1815.0,3453.0,6740.0,13070.0,43712,12911,19219,4769,3575,3880,3862,3891,1856,3601,6698,11581
2015,47351.0,13003.0,20304.0,5086.0,3601.0,3918.0,4034.0,4080.0,1855.0,3629.0,7104.0,14044.0,44733,12925,19533,4822,3592,3875,3911,3965,1848,3610,6836,12275
2016,49773.0,13514.0,20625.0,5062.0,3704.0,4107.0,3993.0,4258.0,2032.0,3671.0,7312.0,15634.0,45979,13011,19797,4870,3609,3917,3925,4043,1883,3601,6959,13171
2017,54595.0,14877.0,23037.0,5330.0,4084.0,4321.0,4338.0,4989.0,2099.0,4373.0,8380.0,16681.0,48213,13423,20558,4993,3724,4003,4025,4252,1937,3760,7288,14232
2018,59921.0,16718.0,24490.0,5780.0,4534.0,4740.0,4491.0,5137.0,2244.0,5200.0,9082.0,18713.0,51329,14162,21538,5181,3900,4188,4137,4496,2009,4065,7724,15628
2019,63428.0,16754.0,25114.0,5767.0,4732.0,5131.0,4598.0,5900.0,2268.0,4623.0,8849.0,21560.0,55014,14973,22714,5405,4131,4443,4291,4873,2100,4299,8145,17326
2020,86045.0,21227.0,29988.0,6293.0,5915.0,7073.0,4949.0,8388.0,2981.0,5258.0,10358.0,34830.0,62752,16618,24651,5646,4594,5074,4474,5734,2325,4625,8796,21484
2021,105761.0,27021.0,36442.0,7590.0,7611.0,8998.0,6099.0,10196.0,3835.0,6577.0,12557.0,42298.0,73950,19319,27814,6152,5375,6053,4895,6922,2685,5206,9845,26816
2022,85606.0,24523.0,31917.0,7286.0,6969.0,8022.0,5823.0,7777.0,3649.0,5883.0,11031.0,29166.0,80152,21249,29590,6543,5952,6793,5192,7480,2995,5508,10375,29313
