"year","dvrpc","njco","pasub","bucks","burlington","camden","chester","delaware","gloucester","mercer","montgomery","philadelphia"
2005,43433.0,13232.0,20804.0,5399.0,3816.0,3953.0,4201.0,3993.0,2142.0,3321.0,7211.0,9397.0
2006,89603.0,27262.0,42154.0,11004.0,7720.0,8275.0,8625.0,8014.0,4301.0,6966.0,14511.0,20187.0
2007,136000.0,41640.0,63410.0,16488.0,11823.0,12673.0,12906.0,12184.0,6564.0,10580.0,21832.0,30950.0
2008,180435.0,55462.0,83350.0,21699.0,15750.0,17009.0,17010.0,16180.0,8660.0,14043.0,28461.0,41623.0
2009,222223.0,67993.0,102139.0,26490.0,19220.0,20821.0,20876.0,19744.0,10520.0,17432.0,35029.0,52091.0
2010,264468.0,80929.0,120873.0,31308.0,22735.0,24767.0,24668.0,23454.0,12415.0,21012.0,41443.0,62666.0
2011,308013.0,94014.0,140178.0,36129.0,26353.0,28660.0,28592.0,27319.0,14269.0,24732.0,48138.0,73821.0
2012,351436.0,106828.0,159414.0,40846.0,29863.0,32555.0,32429.0,31267.0,16100.0,28310.0,54872.0,85194.0
2013,395780.0,119851.0,179002.0,45685.0,33518.0,36367.0,36358.0,35182.0,17984.0,31982.0,61777.0,96927.0
2014,440783.0,132550.0,198236.0,50333.0,37094.0,40222.0,40188.0,39198.0,19799.0,35435.0,68517.0,109997.0
2015,488134.0,145553.0,218540.0,55419.0,40695.0,44140.0,44222.0,43278.0,21654.0,39064.0,75621.0,124041.0
2016,537907.0,159067.0,239165.0,60481.0,44399.0,48247.0,48215.0,47536.0,23686.0,42735.0,82933.0,139675.0
2017,592502.0,173944.0,262202.0,65811.0,48483.0,52568.0,52553.0,52525.0,25785.0,47108.0,91313.0,156356.0
2018,652423.0,190662.0,286692.0,71591.0,53017.0,57308.0,57044.0,57662.0,28029.0,52308.0,100395.0,175069.0
2019,715851.0,207416.0,311806.0,77358.0,57749.0,62439.0,61642.0,63562.0,30297.0,56931.0,109244.0,196629.0
2020,801896.0,228643.0,341794.0,83651.0,63664.0,69512.0,66591.0,71950.0,33278.0,62189.0,119602.0,231459.0
2021,907770.0,255658.0,378279.0,91232.0,71281.0,78506.0,72696.0,82167.0,37104.0,68767.0,132184.0,273833.0
2022,993591.0,280253.0,410270.0,98511.0,78263.0,86547.0,78554.0,89974.0,40766.0,74677.0,143231.0,303068.0
2023,1085920.0,306372.0,445624.0,106732.0,86000.0,94787.0,85205.0,98296.0,44755.0,80830.0,155391.0,333924.0
2024,1174400.0,331267.0,478821.0,115017.0,94256.0,102127.0,91400.0,105609.0,48295.0,86589.0,166795.0,364312.0
