"year","coal","oil","gas","other_fossil","biomass","hydro","nuclear","wind","solar","total_nonrenewables","total_renewables"
2004,0.449,0.035,0.096,0.007,0.013,0.016,0.384,0.001,0.000,0.970,0.030
2005,0.451,0.040,0.096,0.009,0.011,0.009,0.383,0.001,0.000,0.979,0.021
2007,0.422,0.011,0.131,0.011,0.012,0.009,0.403,0.002,0.000,0.977,0.023
2009,0.354,0.007,0.171,0.008,0.013,0.012,0.430,0.004,0.000,0.970,0.030
2010,0.353,0.005,0.206,0.007,0.013,0.010,0.399,0.007,0.000,0.970,0.030
2012,0.239,0.004,0.308,0.007,0.014,0.011,0.409,0.008,0.001,0.966,0.034
2014,0.233,0.007,0.307,0.007,0.013,0.012,0.405,0.013,0.002,0.960,0.040
2016,0.176,0.002,0.380,0.002,0.019,0.009,0.397,0.010,0.004,0.958,0.042
2018,0.155,0.005,0.396,0.002,0.017,0.020,0.389,0.010,0.005,0.948,0.052
2019,0.123,0.001,0.457,0.001,0.016,0.016,0.369,0.009,0.006,0.953,0.047
2020,0.086,0.001,0.503,0.001,0.016,0.012,0.363,0.011,0.007,0.953,0.047
2021,0.103,0.001,0.487,0.007,0.010,0.014,0.360,0.010,0.008,0.959,0.041
2022,0.088,0.002,0.502,0.007,0.009,0.011,0.362,0.010,0.009,0.961,0.039
2023,0.047,0.001,0.539,0.007,0.009,0.015,0.362,0.010,0.010,0.957,0.043
