year,DVRPC- ksiBikePed,DVRPC- ksiMotorVehicle,PA Suburbs- ksiBikePed,PA Suburbs- ksiMotorVehicle,NJ Suburbs- ksiBikePed,NJ Suburbs- ksiMotorVehicle,Bucks- ksiBikePed,Bucks- ksiMotorVehicle,Burlington- ksiBikePed,Burlington- ksiMotorVehicle,Camden- ksiBikePed,Camden- ksiMotorVehicle,Chester- ksiBikePed,Chester- ksiMotorVehicle,Delaware- ksiBikePed,Delaware- ksiMotorVehicle,Gloucester- ksiBikePed,Gloucester- ksiMotorVehicle,Mercer- ksiBikePed,Mercer- ksiMotorVehicle,Montgomery- ksiBikePed,Montgomery- ksiMotorVehicle,Philadelphia- ksiBikePed,Philadelphia- ksiMotorVehicle
2006,363,1626,100,760,120,534,25,222,21,152,46,152,12,201,25,119,22,119,31,111,38,218,143,332
2007,352,1531,89,723,114,502,27,213,29,135,51,140,13,182,15,108,17,147,17,80,34,220,149,306
2008,322,1332,77,680,120,433,22,193,37,126,46,125,11,180,16,108,20,105,17,77,28,199,125,219
2009,316,1264,112,553,88,437,39,163,24,132,35,118,13,129,31,94,13,107,16,80,29,167,116,274
2010,350,1218,107,565,118,420,37,156,25,126,43,123,12,161,33,87,25,93,25,78,25,161,125,233
2011,319,1216,94,576,98,403,22,178,17,134,44,114,15,142,23,104,14,97,23,58,34,152,127,237
2012,340,1221,108,571,108,367,32,190,23,136,46,102,18,122,27,87,12,86,27,43,31,172,124,283
2013,309,1119,95,547,84,343,21,148,20,112,33,96,14,125,24,109,12,91,19,44,36,165,130,229
2014,265,962,92,430,64,287,23,106,17,72,20,78,18,122,23,69,10,94,17,43,28,133,109,245
2015,280,1074,96,511,61,317,24,163,20,103,17,97,19,120,24,79,16,72,8,45,29,149,123,246
2016,336,1275,116,715,83,295,20,218,26,94,32,85,20,155,32,141,14,71,11,45,44,201,137,265
2017,350,1314,134,709,78,372,38,200,16,93,27,131,15,145,38,152,15,96,20,52,43,212,138,233
