year,DVRPC- ksiBikePed,DVRPC- ksiMotorVehicle,PA Suburbs- ksiBikePed,PA Suburbs- ksiMotorVehicle,NJ Suburbs- ksiBikePed,NJ Suburbs- ksiMotorVehicle,Bucks- ksiBikePed,Bucks- ksiMotorVehicle,Burlington- ksiBikePed,Burlington- ksiMotorVehicle,Camden- ksiBikePed,Camden- ksiMotorVehicle,Chester- ksiBikePed,Chester- ksiMotorVehicle,Delaware- ksiBikePed,Delaware- ksiMotorVehicle,Gloucester- ksiBikePed,Gloucester- ksiMotorVehicle,Mercer- ksiBikePed,Mercer- ksiMotorVehicle,Montgomery- ksiBikePed,Montgomery- ksiMotorVehicle,Philadelphia- ksiBikePed,Philadelphia- ksiMotorVehicle
2006,0.9,3.9,0.5,3.8,0.8,3.5,0.5,4.5,0.4,3.2,1.1,3.7,0.3,4.6,0.7,3.2,0.8,4.3,0.9,3.1,0.5,3.1,2.4,5.5
2007,0.9,3.7,0.4,3.6,0.8,3.3,0.5,4.2,0.6,2.9,1.2,3.4,0.3,4.1,0.4,2.9,0.6,5.4,0.5,2.2,0.5,3.1,2.5,5.1
2008,0.8,3.3,0.4,3.4,0.8,3,0.4,3.8,0.8,2.8,1.2,3.1,0.2,4.1,0.4,2.9,0.7,3.9,0.5,2.3,0.4,2.9,2.1,3.7
2009,0.8,3.2,0.6,2.9,0.6,3,0.8,3.4,0.5,2.9,0.9,3,0.3,3,0.9,2.7,0.5,4,0.5,2.3,0.4,2.5,2,4.8
2010,0.9,3.1,0.6,3,0.8,2.9,0.8,3.3,0.5,2.8,1.1,3.2,0.3,3.7,1,2.6,0.9,3.4,0.8,2.4,0.4,2.4,2.3,4.2
2011,0.8,3.2,0.5,3.1,0.7,2.8,0.5,3.8,0.4,3,1.1,3,0.4,3.3,0.7,3.1,0.5,3.6,0.7,1.7,0.5,2.3,2.4,4.4
2012,0.9,3.1,0.6,3,0.7,2.5,0.7,4.1,0.5,2.9,1.2,2.6,0.4,2.9,0.8,2.6,0.4,3,0.8,1.3,0.5,2.6,2.3,5.2
2013,0.8,2.9,0.5,3,0.6,2.3,0.5,3.2,0.4,2.4,0.8,2.5,0.3,3,0.7,3.4,0.4,3.2,0.5,1.2,0.6,2.6,2.5,4.4
2014,0.7,2.5,0.5,2.3,0.4,1.9,0.5,2.3,0.4,1.5,0.5,2,0.4,2.9,0.7,2.1,0.3,3.3,0.5,1.2,0.4,2.1,2,4.5
2015,0.7,2.7,0.5,2.8,0.4,2.1,0.5,3.5,0.4,2.2,0.4,2.4,0.4,2.8,0.7,2.4,0.5,2.5,0.2,1.2,0.5,2.3,2.2,4.4
2016,0.8,3.2,0.6,3.8,0.5,1.9,0.4,4.6,0.5,1.9,0.8,2.1,0.5,3.6,0.9,4.2,0.5,2.3,0.3,1.2,0.7,3.1,2.5,4.8
2017,0.9,3.2,0.7,3.7,0.5,2.3,0.8,4.3,0.3,1.9,0.7,3.2,0.3,3.3,1.1,4.5,0.5,3.1,0.5,1.4,0.6,3.2,2.5,4.2
