"Year","DVRPC Region","NJ Counties","PA Suburban Counties","Bucks","Burlington","Camden","Chester","Delaware","Gloucester","Mercer","Montgomery","Philadelphia"
2006,4.8,4.3,4.3,5.0,3.6,4.8,4.9,3.8,5.2,4.0,3.6,8.0
2007,4.6,4.1,4.0,4.8,3.5,4.7,4.4,3.3,6.0,2.7,3.6,7.6
2008,4.1,3.8,3.8,4.3,3.7,4.3,4.3,3.3,4.6,2.8,3.3,5.8
2009,4.0,3.6,3.5,4.2,3.5,3.9,3.3,3.6,4.5,2.8,3.0,6.9
2010,4.0,3.7,3.5,4.0,3.3,4.3,4.0,3.5,4.3,3.1,2.8,6.5
2011,4.0,3.5,3.6,4.2,3.4,4.1,3.7,3.8,4.1,2.4,2.9,6.8
2012,4.0,3.2,3.6,4.7,3.4,3.8,3.3,3.4,3.5,2.1,3.1,7.3
2013,3.6,2.8,3.4,3.6,2.8,3.3,3.2,4.0,3.6,1.7,3.2,6.6
2014,3.1,2.3,2.8,2.8,1.9,2.5,3.3,2.8,3.6,1.7,2.5,6.4
2015,3.4,2.5,3.3,4.0,2.6,2.8,3.3,3.2,3.0,1.4,2.8,6.6
2016,4.0,2.4,4.4,5.1,2.4,2.8,4.0,5.1,2.8,1.5,3.7,7.3
2017,4.1,2.8,4.4,5.1,2.2,3.8,3.6,5.6,3.6,2.0,3.8,6.6
2018,4.2,2.7,4.8,5.5,2.1,3.6,4.5,5.1,2.8,2.4,4.3,6.7
2019,5.1,4.1,4.7,6.0,3.0,4.8,4.1,5.2,5.7,3.2,3.8,9.8
2020,6.5,5.0,5.7,5.6,3.8,6.1,5.4,9.2,7.0,3.6,4.1,13.7
2021,5.9,5.3,4.8,5.2,4.2,6.3,3.7,6.6,7.0,4.3,4.3,10.5
2022,5.7,4.5,5.3,6.1,4.7,4.4,4.3,6.4,6.0,3.2,4.8,10.1
2023,,,,,,,,,,,,
