"Year","DVRPC Region","NJ Counties","PA Suburban Counties","Bucks","Burlington","Camden","Chester","Delaware","Gloucester","Mercer","Montgomery","Philadelphia"
2006,36.0,40.8,35.4,40.0,38.7,38.4,44.4,26.1,50.0,39.1,33.1,31.6
2007,33.8,38.2,33.2,38.5,36.9,37.0,39.9,22.2,57.3,26.7,32.7,29.8
2008,29.5,34.3,31.0,34.5,36.7,33.1,38.7,22.2,43.4,25.8,29.0,22.3
2009,28.0,32.6,27.0,32.2,35.1,29.6,28.5,22.4,41.5,26.2,25.0,25.1
2010,28.0,33.2,27.0,30.9,33.6,32.3,34.6,21.6,40.8,28.1,23.2,23.5
2011,27.1,30.9,26.8,31.9,33.6,30.8,31.3,22.7,38.2,22.0,23.1,23.7
2012,27.3,29.3,26.9,35.1,35.3,28.9,27.7,20.1,33.8,19.0,25.0,25.5
2013,24.8,26.4,25.4,27.0,29.4,25.3,26.8,23.3,35.6,17.0,24.7,22.2
2014,21.5,21.7,20.7,20.7,19.9,19.2,27.3,16.4,35.7,16.2,19.7,22.6
2015,23.6,23.4,24.1,29.9,27.5,22.5,27.0,18.4,30.3,14.3,21.8,23.5
2016,28.2,23.4,32.9,38.0,26.9,23.1,33.9,30.6,29.3,15.2,29.9,25.5
2017,29.0,27.8,33.3,38.0,24.1,30.9,30.9,33.7,38.1,19.9,30.9,23.6
2018,29.9,26.6,36.0,41.1,23.9,29.7,38.2,30.8,29.5,23.5,34.2,23.5
2019,36.4,40.4,35.2,45.3,34.4,39.2,34.0,31.7,61.4,32.7,30.8,34.4
2020,36.9,40.8,33.4,33.2,34.6,42.7,35.1,42.9,62.5,28.7,26.3,38.9
2021,40.1,48.8,35.0,38.0,43.1,48.4,29.2,39.6,69.6,39.4,33.4,39.5
2022,40.5,52.8,35.4,42.3,65.8,48.0,31.6,33.7,65.2,33.7,34.1,35.8
2023,33.6,25.2,34.9,38.8,28.4,19.8,29.3,37.1,34.1,21.4,34.0,40.2
