"Year","DVRPC Region - Motorized Killed","NJ Counties - Motorized Killed","PA Suburban Counties - Motorized Killed","Bucks - Motorized Killed","Burlington - Motorized Killed","Camden - Motorized Killed","Chester - Motorized Killed","Delaware - Motorized Killed","Gloucester - Motorized Killed","Mercer - Motorized Killed","Montgomery - Motorized Killed","Philadelphia - Motorized Killed","DVRPC Region - Motorized Severely Injured","NJ Counties - Motorized Severely Injured","PA Suburban Counties - Motorized Severely Injured","Bucks - Motorized Severely Injured","Burlington - Motorized Severely Injured","Camden - Motorized Severely Injured","Chester - Motorized Severely Injured","Delaware - Motorized Severely Injured","Gloucester - Motorized Severely Injured","Mercer - Motorized Severely Injured","Montgomery - Motorized Severely Injured","Philadelphia - Motorized Severely Injured","DVRPC Region - Non-Motorized Killed","NJ Counties - Non-Motorized Killed","PA Suburban Counties - Non-Motorized Killed","Bucks - Non-Motorized Killed","Burlington - Non-Motorized Killed","Camden - Non-Motorized Killed","Chester - Non-Motorized Killed","Delaware - Non-Motorized Killed","Gloucester - Non-Motorized Killed","Mercer - Non-Motorized Killed","Montgomery - Non-Motorized Killed","Philadelphia - Non-Motorized Killed","DVRPC Region - Non-Motorized Severely Injured","NJ Counties - Non-Motorized Severely Injured","PA Suburban Counties - Non-Motorized Severely Injured","Bucks - Non-Motorized Severely Injured","Burlington - Non-Motorized Severely Injured","Camden - Non-Motorized Severely Injured","Chester - Non-Motorized Severely Injured","Delaware - Non-Motorized Severely Injured","Gloucester - Non-Motorized Severely Injured","Mercer - Non-Motorized Severely Injured","Montgomery - Non-Motorized Severely Injured","Philadelphia - Non-Motorized Severely Injured"
2006,374,133,178,58,39,38,50,22,27,29,48,63,1253.0,396.0,582.0,164.0,112.0,110.0,151.0,97.0,93.0,81.0,170.0,275.0,103,31,31,14,6,9,4,7,8,8,6,41,265.0,94.0,69.0,11.0,16.0,41.0,8.0,18.0,13.0,24.0,32.0,102.0
2007,385,136,164,50,41,32,48,20,40,23,46,85,1149.0,369.0,559.0,163.0,95.0,109.0,134.0,88.0,107.0,58.0,174.0,221.0,104,34,30,10,11,14,7,2,5,4,11,40,245.0,77.0,59.0,17.0,17.0,36.0,6.0,13.0,12.0,12.0,23.0,109.0
2008,299,103,139,44,30,32,37,18,26,15,40,57,1035.0,332.0,541.0,149.0,97.0,93.0,143.0,90.0,80.0,62.0,159.0,162.0,97,41,21,10,17,14,3,3,5,5,5,35,223.0,77.0,56.0,12.0,19.0,32.0,8.0,13.0,14.0,12.0,23.0,90.0
2009,287,101,125,49,41,29,29,14,17,14,33,61,975.0,334.0,428.0,114.0,91.0,87.0,100.0,80.0,89.0,67.0,134.0,213.0,96,31,31,15,7,10,2,6,5,9,8,34,222.0,59.0,81.0,24.0,17.0,27.0,11.0,25.0,9.0,6.0,21.0,82.0
2010,263,91,113,36,32,29,31,16,14,16,30,59,955.0,329.0,452.0,120.0,94.0,95.0,130.0,71.0,78.0,62.0,131.0,174.0,88,34,20,9,5,14,1,7,10,5,3,34,262.0,84.0,87.0,28.0,20.0,28.0,11.0,26.0,16.0,20.0,22.0,91.0
2011,295,107,133,51,40,31,33,16,23,13,33,55,922.0,297.0,443.0,127.0,94.0,84.0,109.0,88.0,74.0,45.0,119.0,182.0,93,28,33,10,5,13,7,4,2,8,12,32,225.0,69.0,61.0,12.0,12.0,30.0,8.0,19.0,12.0,15.0,22.0,95.0
2012,293,91,133,54,40,17,29,18,22,12,32,69,915.0,274.0,433.0,133.0,96.0,84.0,93.0,68.0,63.0,31.0,139.0,208.0,108,35,35,11,11,8,2,10,5,11,12,38,231.0,75.0,73.0,21.0,12.0,39.0,16.0,17.0,8.0,16.0,19.0,83.0
2013,269,98,119,37,31,21,27,24,19,27,31,52,829.0,240.0,423.0,111.0,78.0,76.0,95.0,83.0,72.0,14.0,134.0,166.0,93,31,25,7,6,11,6,3,8,6,9,37,219.0,58.0,70.0,14.0,17.0,21.0,8.0,21.0,4.0,16.0,27.0,91.0
2014,253,86,111,33,23,24,27,18,23,16,33,56,708.0,200.0,319.0,73.0,48.0,54.0,95.0,51.0,71.0,27.0,100.0,189.0,114,42,31,11,11,16,7,8,7,8,5,41,152.0,23.0,61.0,12.0,7.0,4.0,11.0,15.0,3.0,9.0,23.0,68.0
2015,288,105,122,46,38,31,31,19,18,18,26,61,788.0,214.0,389.0,117.0,67.0,66.0,89.0,60.0,54.0,27.0,123.0,185.0,88,31,24,9,14,6,4,2,5,6,9,33,190.0,28.0,72.0,15.0,4.0,11.0,15.0,22.0,11.0,2.0,20.0,90.0
