"Year","DVRPC Region - Motorized Killed","NJ Counties - Motorized Killed","PA Suburban Counties - Motorized Killed","Bucks - Motorized Killed","Burlington - Motorized Killed","Camden - Motorized Killed","Chester - Motorized Killed","Delaware - Motorized Killed","Gloucester - Motorized Killed","Mercer - Motorized Killed","Montgomery - Motorized Killed","Philadelphia - Motorized Killed","DVRPC Region - Motorized Severely Injured","NJ Counties - Motorized Severely Injured","PA Suburban Counties - Motorized Severely Injured","Bucks - Motorized Severely Injured","Burlington - Motorized Severely Injured","Camden - Motorized Severely Injured","Chester - Motorized Severely Injured","Delaware - Motorized Severely Injured","Gloucester - Motorized Severely Injured","Mercer - Motorized Severely Injured","Montgomery - Motorized Severely Injured","Philadelphia - Motorized Severely Injured","DVRPC Region - Non-Motorized Killed","NJ Counties - Non-Motorized Killed","PA Suburban Counties - Non-Motorized Killed","Bucks - Non-Motorized Killed","Burlington - Non-Motorized Killed","Camden - Non-Motorized Killed","Chester - Non-Motorized Killed","Delaware - Non-Motorized Killed","Gloucester - Non-Motorized Killed","Mercer - Non-Motorized Killed","Montgomery - Non-Motorized Killed","Philadelphia - Non-Motorized Killed","DVRPC Region - Non-Motorized Severely Injured","NJ Counties - Non-Motorized Severely Injured","PA Suburban Counties - Non-Motorized Severely Injured","Bucks - Non-Motorized Severely Injured","Burlington - Non-Motorized Severely Injured","Camden - Non-Motorized Severely Injured","Chester - Non-Motorized Severely Injured","Delaware - Non-Motorized Severely Injured","Gloucester - Non-Motorized Severely Injured","Mercer - Non-Motorized Severely Injured","Montgomery - Non-Motorized Severely Injured","Philadelphia - Non-Motorized Severely Injured"
2006,0.9,0.9,0.9,1.2,0.8,0.9,1.1,0.6,1.0,0.8,0.7,1.1,3.0,2.6,2.9,3.3,2.3,2.7,3.4,2.6,3.4,2.3,2.4,4.6,0.2,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.3,0.2,0.1,0.7,0.6,0.6,0.3,0.2,0.3,1.0,0.2,0.5,0.5,0.7,0.5,1.7
2007,0.9,0.9,0.8,1.0,0.9,0.8,1.1,0.5,1.5,0.6,0.6,1.4,2.8,2.4,2.8,3.2,2.0,2.7,3.0,2.3,3.9,1.6,2.5,3.7,0.3,0.2,0.1,0.2,0.2,0.3,0.2,0.1,0.2,0.1,0.2,0.7,0.6,0.5,0.3,0.3,0.4,0.9,0.1,0.3,0.4,0.3,0.3,1.8
2008,0.7,0.7,0.7,0.9,0.7,0.8,0.8,0.5,1.0,0.4,0.6,1.0,2.5,2.3,2.7,3.0,2.2,2.3,3.2,2.4,3.0,1.8,2.3,2.7,0.2,0.3,0.1,0.2,0.4,0.4,0.1,0.1,0.2,0.1,0.1,0.6,0.5,0.5,0.3,0.2,0.4,0.8,0.2,0.3,0.5,0.4,0.3,1.5
2009,0.7,0.7,0.6,1.0,0.9,0.7,0.7,0.4,0.6,0.4,0.5,1.1,2.5,2.3,2.2,2.4,2.0,2.2,2.3,2.3,3.3,2.0,2.0,3.8,0.2,0.2,0.2,0.3,0.2,0.3,0.0,0.2,0.2,0.3,0.1,0.6,0.6,0.4,0.4,0.5,0.4,0.7,0.3,0.7,0.3,0.2,0.3,1.4
2010,0.7,0.6,0.6,0.8,0.7,0.8,0.7,0.5,0.5,0.5,0.5,1.1,2.4,2.3,2.4,2.5,2.1,2.5,3.0,2.1,2.9,1.9,2.0,3.2,0.2,0.2,0.1,0.2,0.1,0.4,0.0,0.2,0.4,0.2,0.0,0.6,0.7,0.6,0.5,0.6,0.4,0.7,0.3,0.8,0.6,0.6,0.3,1.6
2011,0.8,0.7,0.7,1.1,0.9,0.8,0.8,0.5,0.8,0.4,0.5,1.0,2.4,2.1,2.4,2.7,2.1,2.2,2.5,2.6,2.7,1.4,1.8,3.4,0.2,0.2,0.2,0.2,0.1,0.3,0.2,0.1,0.1,0.2,0.2,0.6,0.6,0.5,0.3,0.3,0.3,0.8,0.2,0.6,0.4,0.5,0.3,1.8
2012,0.8,0.6,0.7,1.2,0.9,0.4,0.7,0.5,0.8,0.4,0.5,1.3,2.3,1.9,2.3,2.9,2.1,2.1,2.2,2.0,2.2,0.9,2.1,3.8,0.3,0.2,0.2,0.2,0.2,0.2,0.0,0.3,0.2,0.3,0.2,0.7,0.6,0.5,0.4,0.5,0.3,1.0,0.4,0.5,0.3,0.5,0.3,1.5
2013,0.7,0.7,0.6,0.8,0.7,0.5,0.6,0.7,0.7,0.7,0.5,1.0,2.1,1.6,2.3,2.4,1.7,2.0,2.3,2.6,2.5,0.4,2.1,3.2,0.2,0.2,0.1,0.2,0.1,0.3,0.1,0.1,0.3,0.2,0.1,0.7,0.6,0.4,0.4,0.3,0.4,0.5,0.2,0.6,0.1,0.4,0.4,1.7
2014,0.6,0.6,0.6,0.7,0.5,0.6,0.6,0.5,0.8,0.4,0.5,1.0,1.8,1.3,1.7,1.6,1.0,1.4,2.3,1.6,2.5,0.7,1.5,3.4,0.3,0.3,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.1,0.7,0.4,0.2,0.3,0.3,0.1,0.1,0.3,0.5,0.1,0.2,0.4,1.2
2015,0.7,0.7,0.7,1.0,0.8,0.8,0.7,0.6,0.6,0.5,0.4,1.1,2.0,1.4,2.1,2.5,1.4,1.6,2.1,1.9,1.9,0.7,1.9,3.3,0.2,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.2,0.2,0.1,0.6,0.5,0.2,0.4,0.3,0.1,0.3,0.4,0.7,0.4,0.1,0.3,1.6
