"Year","DVRPC Region - Motorized Killed","NJ Counties - Motorized Killed","PA Suburban Counties - Motorized Killed","Bucks - Motorized Killed","Burlington - Motorized Killed","Camden - Motorized Killed","Chester - Motorized Killed","Delaware - Motorized Killed","Gloucester - Motorized Killed","Mercer - Motorized Killed","Montgomery - Motorized Killed","Philadelphia - Motorized Killed","DVRPC Region - Motorized Severely Injured","NJ Counties - Motorized Severely Injured","PA Suburban Counties - Motorized Severely Injured","Bucks - Motorized Severely Injured","Burlington - Motorized Severely Injured","Camden - Motorized Severely Injured","Chester - Motorized Severely Injured","Delaware - Motorized Severely Injured","Gloucester - Motorized Severely Injured","Mercer - Motorized Severely Injured","Montgomery - Motorized Severely Injured","Philadelphia - Motorized Severely Injured","DVRPC Region - Non-Motorized Killed","NJ Counties - Non-Motorized Killed","PA Suburban Counties - Non-Motorized Killed","Bucks - Non-Motorized Killed","Burlington - Non-Motorized Killed","Camden - Non-Motorized Killed","Chester - Non-Motorized Killed","Delaware - Non-Motorized Killed","Gloucester - Non-Motorized Killed","Mercer - Non-Motorized Killed","Montgomery - Non-Motorized Killed","Philadelphia - Non-Motorized Killed","DVRPC Region - Non-Motorized Severely Injured","NJ Counties - Non-Motorized Severely Injured","PA Suburban Counties - Non-Motorized Severely Injured","Bucks - Non-Motorized Severely Injured","Burlington - Non-Motorized Severely Injured","Camden - Non-Motorized Severely Injured","Chester - Non-Motorized Severely Injured","Delaware - Non-Motorized Severely Injured","Gloucester - Non-Motorized Severely Injured","Mercer - Non-Motorized Severely Injured","Montgomery - Non-Motorized Severely Injured","Philadelphia - Non-Motorized Severely Injured"
2006,6.7,8.3,7.3,9.4,8.7,7.4,10.4,4.0,9.6,8.0,6.2,4.1,22.6,24.7,24.0,26.5,25.1,21.3,31.5,17.5,33.0,22.3,22.0,18.1,1.9,1.9,1.3,2.3,1.3,1.7,0.8,1.3,2.8,2.2,0.8,2.7,4.8,5.9,2.8,1.8,3.6,8.0,1.7,3.3,4.6,6.6,4.1,6.7
2007,6.9,8.4,6.7,8.0,9.2,6.2,9.8,3.6,14.0,6.3,5.9,5.6,20.6,22.9,22.9,26.2,21.4,21.1,27.5,15.9,37.4,16.0,22.4,14.5,1.9,2.1,1.2,1.6,2.5,2.7,1.4,0.4,1.7,1.1,1.4,2.6,4.4,4.8,2.4,2.7,3.8,7.0,1.2,2.3,4.2,3.3,3.0,7.1
2008,5.3,6.4,5.7,7.1,6.8,6.2,7.5,3.2,9.0,4.1,5.1,3.7,18.5,20.6,22.1,23.9,21.8,18.0,29.0,16.2,27.8,17.0,20.4,10.5,1.7,2.5,0.9,1.6,3.8,2.7,0.6,0.5,1.7,1.4,0.6,2.3,4.0,4.8,2.3,1.9,4.3,6.2,1.6,2.3,4.9,3.3,2.9,5.8
2009,5.1,6.3,5.1,7.8,9.2,5.6,5.8,2.5,5.9,3.8,4.2,3.9,17.3,20.7,17.3,18.2,20.5,16.9,20.1,14.3,30.8,18.3,17.1,13.7,1.7,1.9,1.3,2.4,1.6,1.9,0.4,1.1,1.7,2.5,1.0,2.2,3.9,3.7,3.3,3.8,3.8,5.2,2.2,4.5,3.1,1.6,2.7,5.3
2010,4.7,5.6,4.5,5.8,7.1,5.6,6.2,2.9,4.8,4.4,3.7,3.9,17.0,20.3,18.2,19.2,20.9,18.5,26.0,12.7,27.0,16.9,16.4,11.4,1.6,2.1,0.8,1.4,1.1,2.7,0.2,1.3,3.5,1.4,0.4,2.2,4.7,5.2,3.5,4.5,4.5,5.5,2.2,4.7,5.5,5.4,2.7,6.0
2011,5.2,6.6,5.3,8.1,8.9,6.0,6.6,2.9,7.9,3.5,4.1,3.6,16.3,18.3,17.8,20.3,20.9,16.4,21.7,15.7,25.5,12.2,14.8,11.8,1.6,1.7,1.3,1.6,1.1,2.5,1.4,0.7,0.7,2.2,1.5,2.1,4.0,4.3,2.4,1.9,2.7,5.9,1.6,3.4,4.1,4.1,2.7,6.2
2012,5.2,5.6,5.3,8.6,8.9,3.3,5.7,3.2,7.6,3.3,4.0,4.4,16.1,16.9,17.3,21.3,21.3,16.4,18.4,12.1,21.7,8.4,17.2,13.4,1.9,2.2,1.4,1.8,2.4,1.6,0.4,1.8,1.7,3.0,1.5,2.4,4.1,4.6,2.9,3.4,2.7,7.6,3.2,3.0,2.8,4.3,2.3,5.3
2013,4.7,6.1,4.7,5.9,6.9,4.1,5.3,4.3,6.6,7.3,3.8,3.3,14.6,14.8,16.9,17.8,17.4,14.9,18.7,14.8,24.8,3.8,16.5,10.7,1.6,1.9,1.0,1.1,1.3,2.2,1.2,0.5,2.8,1.6,1.1,2.4,3.9,3.6,2.8,2.2,3.8,4.1,1.6,3.7,1.4,4.3,3.3,5.8
2014,4.4,5.3,4.4,5.3,5.1,4.7,5.3,3.2,7.9,4.3,4.0,3.6,12.4,12.4,12.7,11.7,10.7,10.6,18.5,9.1,24.4,7.3,12.3,12.1,2.0,2.6,1.2,1.8,2.5,3.1,1.4,1.4,2.4,2.2,0.6,2.6,2.7,1.4,2.4,1.9,1.6,0.8,2.1,2.7,1.0,2.4,2.8,4.3
2015,5.0,6.5,4.8,7.4,8.5,6.1,6.0,3.4,6.2,4.9,3.2,3.9,13.8,13.3,15.4,18.7,15.0,13.0,17.3,10.7,18.6,7.3,15.1,11.8,1.5,1.9,1.0,1.4,3.1,1.2,0.8,0.4,1.7,1.6,1.1,2.1,3.3,1.7,2.9,2.4,0.9,2.2,2.9,3.9,3.8,0.5,2.4,5.7
2016,4.6,5.8,4.5,7.0,8.5,5.1,3.9,3.9,6.5,3.0,3.3,3.4,17.7,12.4,23.8,27.8,12.3,11.6,26.1,21.1,17.9,9.2,21.2,13.4,2.1,3.0,1.0,1.3,3.6,3.0,0.8,1.2,2.8,2.7,0.6,3.0,3.8,2.2,3.6,1.9,2.5,3.4,3.1,4.4,2.1,0.3,4.8,5.7
2017,5.2,7.6,4.8,5.6,8.5,6.3,6.4,3.2,12.4,4.6,4.2,3.5,17.7,15.5,23.2,26.3,12.3,19.4,21.6,23.8,20.6,9.8,21.5,11.3,2.1,3.1,1.2,2.4,2.9,3.0,0.4,1.2,3.4,3.3,0.7,2.5,4.0,1.6,4.1,3.7,0.4,2.2,2.5,5.5,1.7,2.2,4.5,6.3
2018,5.2,7.3,4.9,6.4,7.0,7.3,7.9,2.3,11.3,4.3,3.7,3.6,18.1,13.8,25.3,27.7,11.7,16.8,26.2,23.9,14.1,12.2,23.7,10.9,2.3,2.7,1.7,2.2,2.7,2.4,1.0,1.1,2.4,3.5,2.3,2.9,4.3,2.8,4.1,4.8,2.5,3.2,3.1,3.5,1.7,3.5,4.5,6.1
2019,4.4,5.7,4.0,5.6,5.6,4.9,4.6,3.5,10.3,3.3,2.9,3.8,23.8,26.1,25.0,32.0,23.6,24.5,25.0,20.5,42.5,18.5,23.0,19.4,2.2,3.5,1.5,2.1,1.6,4.9,1.0,2.1,4.1,3.3,0.8,2.0,6.0,5.1,4.7,5.6,3.6,4.9,3.4,5.6,4.5,7.6,4.1,9.2
2020,5.7,5.9,4.7,6.7,6.7,4.8,5.2,4.5,8.6,4.1,3.2,7.0,24.7,27.8,24.7,22.8,22.7,27.9,26.4,33.7,46.3,19.4,19.1,21.6,2.0,2.4,1.0,1.2,2.6,2.7,0.9,0.5,2.6,1.8,1.1,3.4,4.5,4.7,3.0,2.5,2.6,7.3,2.6,4.2,5.0,3.4,2.9,6.9
2021,5.4,7.3,4.5,5.7,5.4,6.3,5.7,3.5,12.5,6.8,3.5,5.1,26.1,31.7,25.1,25.2,31.0,30.3,21.4,28.4,44.3,24.3,25.0,22.0,2.8,4.6,1.3,2.8,2.6,7.4,0.6,0.9,3.6,3.9,1.0,3.3,5.8,5.2,4.1,4.3,4.1,4.4,1.5,6.8,9.2,4.4,3.9,9.1
2022,5.5,7.3,4.8,6.8,9.9,5.1,4.8,3.0,10.8,4.5,4.5,4.8,23.5,26.6,25.2,30.9,30.5,19.4,23.1,22.3,41.7,19.7,24.4,17.3,2.6,3.4,1.1,1.2,3.0,5.1,0.2,1.6,2.3,2.4,1.4,4.3,5.7,4.4,4.3,3.4,5.6,4.2,3.5,6.8,5.5,2.4,3.8,9.4
2023,5.0,6.0,4.7,6.7,6.2,4.7,5.1,3.1,9.1,5.0,3.9,4.4,19.9,12.8,23.8,27.1,16.2,8.3,20.0,24.8,19.5,9.4,23.1,20.9,2.5,2.4,1.4,1.7,1.5,3.0,0.9,1.2,1.9,3.1,1.6,4.3,6.2,4.0,5.0,3.3,4.5,3.8,3.3,8.0,3.6,3.9,5.4,10.6
