"year","dvrpc_ag_for_fish_min","dvrpc_art_ent_rec_acc_food","dvrpc_construction","dvrpc_ed_services","dvrpc_fin_insur_real_est","dvrpc_health_social_assist","dvrpc_information","dvrpc_manufacturing","dvrpc_other_services","dvrpc_prof_services","dvrpc_gov","dvrpc_retail_trade","dvrpc_transp_warehouse_util","dvrpc_wholesale_trade","dvrpc_total","njcos_ag_for_fish_min","njcos_art_ent_rec_acc_food","njcos_construction","njcos_ed_services","njcos_fin_insur_real_est","njcos_health_social_assist","njcos_information","njcos_manufacturing","njcos_other_services","njcos_prof_services","njcos_gov","njcos_retail_trade","njcos_transp_warehouse_util","njcos_wholesale_trade","njcos_total","pasubcos_ag_for_fish_min","pasubcos_art_ent_rec_acc_food","pasubcos_construction","pasubcos_ed_services","pasubcos_fin_insur_real_est","pasubcos_health_social_assist","pasubcos_information","pasubcos_manufacturing","pasubcos_other_services","pasubcos_prof_services","pasubcos_gov","pasubcos_retail_trade","pasubcos_transp_warehouse_util","pasubcos_wholesale_trade","pasubcos_total","bucks_ag_for_fish_min","bucks_art_ent_rec_acc_food","bucks_construction","bucks_ed_services","bucks_fin_insur_real_est","bucks_health_social_assist","bucks_information","bucks_manufacturing","bucks_other_services","bucks_prof_services","bucks_gov","bucks_retail_trade","bucks_transp_warehouse_util","bucks_wholesale_trade","bucks_total","burl_ag_for_fish_min","burl_art_ent_rec_acc_food","burl_construction","burl_ed_services","burl_fin_insur_real_est","burl_health_social_assist","burl_information","burl_manufacturing","burl_other_services","burl_prof_services","burl_gov","burl_retail_trade","burl_transp_warehouse_util","burl_wholesale_trade","burl_total","camd_ag_for_fish_min","camd_art_ent_rec_acc_food","camd_construction","camd_ed_services","camd_fin_insur_real_est","camd_health_social_assist","camd_information","camd_manufacturing","camd_other_services","camd_prof_services","camd_gov","camd_retail_trade","camd_transp_warehouse_util","camd_wholesale_trade","camd_total","ches_ag_for_fish_min","ches_art_ent_rec_acc_food","ches_construction","ches_ed_services","ches_fin_insur_real_est","ches_health_social_assist","ches_information","ches_manufacturing","ches_other_services","ches_prof_services","ches_gov","ches_retail_trade","ches_transp_warehouse_util","ches_wholesale_trade","ches_total","del_ag_for_fish_min","del_art_ent_rec_acc_food","del_construction","del_ed_services","del_fin_insur_real_est","del_health_social_assist","del_information","del_manufacturing","del_other_services","del_prof_services","del_gov","del_retail_trade","del_transp_warehouse_util","del_wholesale_trade","del_total","glo_ag_for_fish_min","glo_art_ent_rec_acc_food","glo_construction","glo_ed_services","glo_fin_insur_real_est","glo_health_social_assist","glo_information","glo_manufacturing","glo_other_services","glo_prof_services","glo_gov","glo_retail_trade","glo_transp_warehouse_util","glo_wholesale_trade","glo_total","mer_ag_for_fish_min","mer_art_ent_rec_acc_food","mer_construction","mer_ed_services","mer_fin_insur_real_est","mer_health_social_assist","mer_information","mer_manufacturing","mer_other_services","mer_prof_services","mer_gov","mer_retail_trade","mer_transp_warehouse_util","mer_wholesale_trade","mer_total","mont_ag_for_fish_min","mont_art_ent_rec_acc_food","mont_construction","mont_ed_services","mont_fin_insur_real_est","mont_health_social_assist","mont_information","mont_manufacturing","mont_other_services","mont_prof_services","mont_gov","mont_retail_trade","mont_transp_warehouse_util","mont_wholesale_trade","mont_total","phil_ag_for_fish_min","phil_art_ent_rec_acc_food","phil_construction","phil_ed_services","phil_fin_insur_real_est","phil_health_social_assist","phil_information","phil_manufacturing","phil_other_services","phil_prof_services","phil_gov","phil_retail_trade","phil_transp_warehouse_util","phil_wholesale_trade","phil_total"
2001,106,2024,2963,2009,15436,5541,2943,8834,1691,9325,7842,4649,2119,4930,70604,80,1514,2706,1789,13478,4594,2720,7186,1523,7856,10086,4969,1843,5137,66152,189,1975,4408,1012,17263,5709,3004,13241,1872,10241,5027,5839,2429,6588,78796,180,1989,4697,527,10912,4187,1510,11608,1700,6281,4428,5439,1338,4986,59783,1,1302,2667,244,16278,4202,2126,7072,1438,6357,8738,6240,445,6974,66503,94,1651,2538,511,11088,5275,1503,5791,1508,6576,7783,4047,1973,3928,54267,570,1811,3675,680,20763,4036,3102,15896,2029,11979,5336,6858,2033,7610,86377,48,1651,2738,1620,12959,5866,1902,7343,1708,6124,4788,4548,2525,4539,58360,227,1147,3086,130,8147,2745,869,11894,1199,3161,6113,4777,3172,5502,52169,46,1846,2717,6710,17408,5449,6541,5875,1884,14948,17930,4888,2380,4370,92991,75,2294,5821,1147,23413,7779,4936,17291,2036,15379,5497,6505,3460,8761,104393,3,2624,977,3787,14597,6250,3077,3660,1580,9405,9929,2466,1917,2137,62410
2002,130,2114,2964,2029,15456,5835,3094,8691,1781,9628,8121,4693,2161,4851,71547,191,1608,2718,1792,14323,4952,2853,6546,1586,8166,10350,5069,2190,4989,67332,169,2088,4449,1036,17221,6009,3019,13325,2008,10505,5231,5897,2319,6498,79774,234,2096,4770,554,11370,4425,1555,11201,1849,6676,4604,5398,1351,4954,61037,424,1423,2609,237,17035,4594,2123,6827,1501,6742,9297,6224,2303,6728,68067,85,1764,2601,585,11561,5684,1619,5541,1553,6643,7996,4204,1855,3848,55540,356,1905,3743,700,20566,4415,3530,16204,2076,11581,5713,6885,1873,7560,87106,50,1761,2846,1648,12955,6123,2005,7625,1902,6564,5014,4607,2525,4430,60054,152,1182,3084,141,8858,2919,858,10387,1329,3456,6456,4939,2443,5517,51721,88,1928,2746,6641,18999,5851,6986,4795,1924,15574,17885,4987,2344,4101,94848,95,2425,5769,1174,22996,8121,4616,17447,2171,15769,5603,6647,3203,8597,104633,4,2681,888,3833,13856,6476,3461,3635,1627,9764,10350,2414,1881,2122,62993
2003,127,2121,3047,2155,15762,5985,3310,9107,1746,10047,8299,4879,2236,5007,73829,181,1649,2758,1905,14782,5108,2458,7134,1590,8448,10571,5216,2204,5173,69177,169,2089,4576,1051,17812,6036,3222,13944,1948,10957,5405,6182,2464,6670,82525,222,2158,4741,559,11876,4556,1806,9521,1842,6867,4741,5595,1378,5188,61050,330,1408,2600,230,17728,4733,1853,7245,1483,6701,9708,6648,2296,6722,69685,85,1798,2684,633,11995,5864,1640,5660,1563,7159,8204,4204,1946,4063,57498,459,1851,3822,718,22211,4752,3587,17467,1972,11875,5800,7745,1732,7920,91909,36,1787,3274,1675,13356,5797,2023,8044,1862,6784,5314,4612,3076,4733,62374,306,1255,3091,151,9364,3071,827,12454,1297,3612,6705,4889,2196,5823,55042,40,2030,2808,7084,19172,6020,5586,5112,1980,16047,17891,5136,2465,4359,95729,51,2393,5828,1191,23115,8142,4992,19604,2082,16656,5762,6849,3321,8497,108483,5,2665,931,4161,13547,6822,4338,3524,1589,10282,10500,2466,1910,2205,64946
2004,159,2116,3042,2171,15795,6285,4316,8636,1749,10770,8476,4811,2332,5211,75866,181,1743,2997,1618,14452,5324,2408,6709,1618,9147,10776,5050,2338,5095,69456,239,1959,4374,1131,18224,6410,4084,13290,1944,11729,5630,6149,2633,7212,85008,257,1973,4485,576,12237,4932,2460,8464,1907,7054,4903,5638,1534,5718,62138,279,1548,2906,253,17691,4863,2010,6778,1535,7211,10070,6605,2392,6466,70607,94,1760,2813,691,11378,6236,1970,5155,1466,7282,8414,4118,1993,4187,57557,738,1726,4000,793,22585,5404,4489,18198,1960,13256,5978,8637,1707,8256,97726,44,1753,2933,1751,12996,5972,2283,7377,1872,6636,5509,3923,3552,4588,61187,389,1374,3446,163,9534,3017,926,10810,1358,3683,6944,4528,2599,6112,54883,28,2237,3033,5714,18537,6342,4639,5726,2132,18304,17893,4848,2561,3926,95918,66,2235,5540,1333,24104,8502,6421,18409,2017,18174,6086,6651,3405,9650,112593,6,2756,978,4398,13357,7097,6687,3285,1575,10956,10569,2440,1848,2162,68113
2005,154,2103,3128,2159,16397,6301,4140,8269,1759,11225,8487,4768,2362,5248,76576,189,1704,3107,1515,15296,5439,2519,6577,1622,9418,10858,5056,2475,4966,70741,227,1940,4398,1148,18720,6332,4405,12488,1942,12494,5645,6032,2604,7263,85806,221,1880,4527,568,12576,5056,3088,8117,1935,7370,4949,5682,1544,6110,63624,247,1543,2991,266,18702,4973,2033,6687,1525,7615,10407,6407,2761,6190,72346,86,1629,2916,642,11715,6327,1964,5020,1472,7663,8483,4260,2100,4197,58476,774,1801,4068,889,24159,5273,5486,17203,1984,14991,5981,8434,1880,8423,101344,0,1711,2898,1783,13292,6062,2188,7274,1818,6644,5384,3676,3456,4339,61261,489,1363,3634,154,9873,3103,969,10488,1318,3948,7084,4523,2285,5973,55203,36,2270,3117,5332,20338,6536,5091,5663,2186,18313,17674,4932,2801,3783,98072,59,2237,5567,1315,24178,8187,6378,16821,2012,19236,6183,6528,3282,9563,111546,0,2783,1134,4444,13864,7161,5427,3344,1611,11109,10508,2458,1857,2342,68049
2006,130,2120,3287,2194,16591,6441,3607,8247,1733,11534,8402,4664,2447,5329,76725,201,1767,3021,1517,15580,5444,2621,6582,1610,9740,10614,4943,2559,4839,71037,160,1899,4854,1172,18791,6417,3831,12256,1897,12767,5668,5860,2723,7585,85879,167,1824,4611,596,12428,5103,2717,8023,1869,7663,5022,5534,1566,6444,63568,245,1540,2904,270,19214,4999,2104,6776,1513,7967,10433,5959,3434,5920,73276,85,1843,2890,674,12146,6221,2020,5023,1441,8005,8188,4192,1849,4303,58878,375,1842,4001,932,24612,5349,3755,17331,1958,15323,5890,8872,1698,8573,100511,75,1611,2932,1801,13553,5994,1824,7894,1769,6449,5394,3279,4027,4358,60960,549,1394,3584,162,9980,3135,896,9531,1311,3985,7114,4673,2284,5798,54396,40,2228,2915,5301,20343,6681,5450,6269,2201,18859,17008,4972,2705,3527,98499,83,2201,6952,1334,24020,8434,6204,15615,1974,19785,6244,6099,3350,10193,112490,6,2844,1066,4542,14149,7531,4290,3605,1601,11460,10430,2459,1889,2247,68120
2007,121,2215,3186,2213,16835,6502,5326,8425,1716,12119,8446,4461,2024,5371,79569,123,1671,2929,1525,15003,5528,2804,7339,1578,9454,10732,4798,1164,4949,71714,189,2072,4652,1206,19291,6398,4551,12037,1866,14115,5800,5623,2627,7587,88013,157,1946,4410,625,12969,5197,3625,8103,1810,7864,5188,5262,1645,6666,65467,1,1507,2934,295,18470,5132,2195,6800,1486,8498,10640,5475,322,6029,73123,77,1748,2629,668,11799,6428,2164,5012,1453,8191,8330,4131,1766,4505,58902,527,2038,3836,985,23775,5420,3830,16824,1884,17897,6037,8305,1590,8714,101662,81,1923,2905,1832,14386,5955,2063,7331,1732,7231,5461,3031,3875,4275,62081,547,1354,3449,168,10115,3104,953,14756,1185,0,7291,4990,1110,5577,59837,6,2011,2939,5316,19157,6641,5919,5471,2179,19862,16968,4767,1382,3763,97550,78,2300,6607,1362,25041,8290,7524,15544,1995,21662,6382,6079,3170,9984,116020,9,3017,1116,4545,14844,7692,9215,3805,1623,11740,10261,2253,1966,2279,74366
2008,120,2160,2891,2331,16151,6727,7093,8438,1636,12660,8404,4136,2402,5283,80431,157,1638,2848,1585,15056,5796,2904,8814,1516,10632,10751,4636,2377,4893,73601,164,2050,3993,1260,18430,6569,5154,11366,1753,14352,5789,5151,2559,7503,86094,138,1930,4019,670,12988,5412,4236,8060,1666,7906,5181,4786,1619,6492,65103,206,1426,2797,294,18747,5471,2269,7117,1434,9075,10756,5351,3147,6007,74097,91,1800,2497,684,11960,6657,2155,4871,1357,8503,8363,3948,1888,4310,59085,424,2025,3565,983,23439,5383,4598,14142,1762,18149,6100,7111,1583,8731,97995,91,1881,2664,1986,14611,6060,2325,7599,1593,7799,5495,3007,3770,4150,63030,346,1222,3330,164,9708,3216,921,22687,1106,4298,7434,5034,2284,5416,67167,43,1993,3026,5558,19170,7008,6304,5514,2165,20555,16748,4426,2204,3948,98660,71,2282,5191,1388,22342,8609,8260,14944,1931,21785,6290,5734,3065,9927,111821,12,2884,1181,4817,13668,7952,14564,3382,1574,12088,10111,1996,2177,2156,78563
2009,147,2157,2430,2599,15693,7115,6580,7522,1579,12277,8594,4138,2383,5038,78251,173,1599,2717,1765,14618,6161,2849,6058,1480,10216,10989,4457,2214,4604,69901,215,2038,3116,1415,18443,6911,4850,11191,1664,14352,5907,5270,2713,7214,85297,151,1956,3427,740,13160,5712,4061,8183,1600,7773,5246,4623,1836,6097,64566,199,1431,2537,337,18275,5814,2248,6958,1406,9221,11054,5206,2724,5749,73161,84,1742,2326,736,11438,7093,2132,4548,1316,7744,8659,3823,1965,3860,57467,652,1985,2821,1110,23769,5650,3611,13726,1691,18150,6326,7911,1482,8400,97285,72,1931,2338,2249,14942,6312,2303,6136,1574,7599,5673,3081,4160,3993,62365,450,1185,3057,200,9813,3436,892,9134,1078,4057,7551,4827,2050,5236,52965,46,1927,3218,6191,18464,7422,6137,4665,2121,19784,16917,4149,2077,3762,96881,89,2212,3609,1552,21762,9092,8075,15574,1760,21986,6335,5666,3164,9641,110516,12,2927,1039,5354,12433,8432,13225,3207,1546,11120,10377,2005,2032,2026,75735
2010,119,2270,2469,2672,15830,7096,6930,7366,1530,12382,8567,4126,2624,5318,79299,153,1619,2467,1842,14657,6139,2924,6307,1403,10092,10817,4437,2264,4803,69923,164,2139,3431,1453,18446,6830,4920,10750,1611,14544,5865,5213,3086,7597,86048,130,2074,3256,785,13963,5718,4146,8457,1615,8052,5251,4558,1771,6457,66232,136,1454,2505,340,18173,5803,2285,6387,1349,9180,11002,5191,2536,5939,72282,111,1756,2049,753,11538,6992,2236,4302,1271,7658,8661,3886,2004,3846,57065,385,1984,2904,1134,24350,5604,3905,12159,1615,18552,6203,7857,1519,9110,97283,92,2157,2391,2286,14967,6284,2567,6279,1544,8452,5727,3054,5656,3930,65387,405,1190,2945,204,9860,3349,833,11166,1120,3924,7291,4681,2128,5408,54502,35,1966,2629,6484,18487,7551,6307,5188,1874,19452,16373,4095,2400,4274,97115,102,2273,4623,1591,20689,8846,7801,14782,1651,21363,6229,5580,3297,10103,108930,9,3174,908,5533,12820,8542,14442,2985,1532,11293,10577,2030,2254,2158,78257
