"year","bucks_share","burl_share","camd_share","ches_share","del_share","glo_share","mer_share","mont_share","phil_share"
2001,0.094,0.075,0.072,0.100,0.084,0.035,0.086,0.207,0.247
2002,0.095,0.076,0.073,0.100,0.085,0.035,0.087,0.205,0.244
2003,0.092,0.076,0.073,0.104,0.085,0.037,0.085,0.206,0.243
2004,0.091,0.075,0.071,0.108,0.081,0.036,0.083,0.208,0.247
2005,0.093,0.076,0.071,0.113,0.080,0.036,0.084,0.204,0.244
2006,0.092,0.077,0.071,0.113,0.079,0.036,0.084,0.204,0.243
2007,0.092,0.073,0.068,0.112,0.078,0.039,0.080,0.203,0.256
2008,0.090,0.073,0.068,0.107,0.078,0.043,0.080,0.193,0.268
2009,0.092,0.074,0.067,0.110,0.079,0.035,0.080,0.197,0.266
2010,0.093,0.073,0.066,0.109,0.082,0.035,0.080,0.195,0.268
2011,0.093,0.073,0.064,0.107,0.082,0.035,0.080,0.198,0.270
2012,0.089,0.071,0.063,0.105,0.083,0.036,0.083,0.195,0.276
2013,0.088,0.071,0.062,0.109,0.083,0.034,0.081,0.192,0.279
2014,0.088,0.069,0.061,0.110,0.085,0.036,0.080,0.193,0.277
2015,0.088,0.070,0.061,0.111,0.084,0.036,0.080,0.194,0.277
2016,0.087,0.069,0.061,0.108,0.083,0.034,0.081,0.195,0.282
2017,0.089,0.070,0.062,0.110,0.085,0.034,0.081,0.196,0.273
2018,0.089,0.069,0.062,0.113,0.085,0.037,0.083,0.195,0.268
2019,0.087,0.070,0.062,0.111,0.085,0.037,0.090,0.195,0.263
2020,0.086,0.072,0.062,0.111,0.080,0.034,0.096,0.203,0.256
2021,0.086,0.073,0.062,0.109,0.081,0.035,0.100,0.206,0.249
2022,0.088,0.073,0.062,0.107,0.081,0.035,0.101,0.208,0.245
2023,0.088,0.073,0.062,0.109,0.080,0.035,0.100,0.202,0.250
