year,DVRPC,New Jersey Suburbs,Pennsylvania Suburbs,Bucks County,Burlington County,Camden County,Chester County,Delaware County,Gloucester County,Mercer County,Montgomery County,Philadelphia County,Core City,Developed Community,Growing Suburb,Rural Area
2005,0.368,0.366,0.339,0.359,0.345,0.395,0.331,0.347,0.342,0.37,0.322,0.418,,,,
2006,0.383,0.401,0.346,0.361,0.417,0.402,0.322,0.359,0.376,0.398,0.338,0.424,,,,
2007,0.386,0.405,0.351,0.374,0.385,0.429,0.322,0.371,0.396,0.401,0.336,0.423,,,,
2008,0.384,0.404,0.35,0.352,0.398,0.419,0.348,0.372,0.415,0.38,0.335,0.418,,,,
2009,0.389,0.411,0.352,0.363,0.397,0.422,0.336,0.378,0.412,0.414,0.336,0.425,,,,
2010,0.403,0.43,0.359,0.385,0.392,0.474,0.332,0.382,0.435,0.411,0.341,0.447,,,,
2011,0.41,0.421,0.379,0.395,0.412,0.458,0.36,0.409,0.396,0.398,0.359,0.45,0.445,0.385,0.353,0.359
2012,0.388,0.41,0.348,0.352,0.379,0.452,0.34,0.382,0.38,0.413,0.328,0.43,,,,
2013,0.381,0.389,0.342,0.353,0.357,0.429,0.334,0.359,0.366,0.39,0.326,0.436,,,,
2014,0.379,0.382,0.338,0.343,0.359,0.397,0.315,0.366,0.354,0.412,0.33,0.443,,,,
2015,0.366,0.385,0.321,0.332,0.391,0.4,0.296,0.342,0.368,0.372,0.315,0.418,,,,
2016,0.348,0.359,0.312,0.316,0.33,0.385,0.293,0.331,0.355,0.361,0.307,0.397,0.433,0.36,0.311,0.336
2017,0.337,0.35,0.299,0.317,0.331,0.376,0.278,0.307,0.32,0.36,0.292,0.391,,,,
2018,0.339,0.349,0.295,0.302,0.321,0.394,0.265,0.324,0.314,0.348,0.288,0.398,,,,
2019,0.328,0.329,0.282,0.295,0.31,0.35,0.26,0.311,0.291,0.354,0.267,0.399,,,,
2020,,,,,,,,,,,,,,,,
2021,0.321,0.328,0.276,0.266,0.299,0.365,0.245,0.323,0.295,0.339,0.273,0.385,0.397,0.315,0.261,0.264
