"year","Burlington County- Own","Camden County- Own","Gloucester County- Own","Mercer County- Own","Bucks County- Own","Chester County- Own","Delaware County- Own","Montgomery County- Own","Philadelphia County- Own","NJ Counties- Own","PA Suburban Counties- Own","Core Cities- Own","Developed Communities- Own","Growing Suburbs- Own","Rural Areas- Own","DVRPC Region- Own","Burlington County- Rent","Camden County- Rent","Gloucester County- Rent","Mercer County- Rent","Bucks County- Rent","Chester County- Rent","Delaware County- Rent","Montgomery County- Rent","Philadelphia County- Rent","NJ Counties- Rent","PA Suburban Counties- Rent","Core Cities- Rent","Developed Communities- Rent","Growing Suburbs- Rent","Rural Areas- Rent","DVRPC Region- Rent","Burlington County- Total","Camden County- Total","Gloucester County- Total","Mercer County- Total","Bucks County- Total","Chester County- Total","Delaware County- Total","Montgomery County- Total","Philadelphia County- Total","NJ Counties- Total","PA Suburban Counties- Total","Core Cities- Total","Developed Communities- Total","Growing Suburbs- Total","Rural Areas- Total","DVRPC Region- Total"
2005,38.86,44.94,25.18,28.08,55.45,40.05,43.29,61.26,100.68,137.02,200.03,,,,,437.73,16.35,29.34,8.07,18.02,24.10,15.57,25.85,31.89,126.51,71.77,97.37,,,,,295.64,55.21,74.28,33.25,46.10,79.55,55.62,69.14,93.15,227.19,208.79,297.40,,,,,733.37
2006,50.03,48.72,29.11,30.77,56.66,38.91,46.02,71.51,104.13,158.64,213.10,,,,,475.86,16.83,26.47,7.60,18.97,24.21,15.70,25.97,27.42,119.62,69.87,93.29,,,,,282.77,66.86,75.19,36.71,49.74,80.87,54.61,71.99,98.93,223.75,228.51,306.39,,,,,758.63
2007,44.82,51.62,29.96,30.91,62.19,41.61,47.36,66.45,109.05,157.30,217.59,,,,,483.96,18.15,30.13,9.00,19.48,22.14,14.05,27.11,32.35,119.69,76.74,95.65,,,,,292.06,62.97,81.75,38.96,50.39,84.33,55.66,74.47,98.80,228.74,234.04,313.24,,,,,776.02
2008,48.98,48.54,31.43,28.00,56.10,44.83,46.60,64.39,105.39,156.96,211.93,,,,,474.27,15.57,30.66,9.80,19.50,22.97,15.99,28.51,34.93,125.56,75.53,102.39,,,,,303.48,64.55,79.20,41.23,47.50,79.07,60.82,75.11,99.32,230.95,232.49,314.32,,,,,777.75
2009,47.35,52.02,30.53,30.85,58.82,41.59,45.98,65.53,100.86,160.71,211.90,,,,,473.48,17.70,27.85,10.68,20.28,21.21,17.33,29.00,33.28,129.87,76.53,100.79,,,,,307.20,65.05,79.87,41.21,51.13,80.03,58.92,74.98,98.81,230.73,237.24,312.69,,,,,780.68
2010,45.40,51.96,34.43,31.30,59.92,43.10,47.61,66.34,102.25,163.09,216.95,,,,,482.30,17.98,35.60,10.51,21.59,26.67,16.88,29.24,37.19,140.37,85.67,109.96,,,,,335.99,63.38,87.56,44.94,52.89,86.59,59.98,76.85,103.53,242.62,248.76,326.91,,,,,818.29
2011,46.70,51.89,30.09,29.00,62.09,43.03,48.06,69.23,105.63,157.67,222.40,,,,,485.68,20.01,31.63,10.42,22.21,28.10,22.28,34.24,38.66,141.16,84.27,123.25,,,,,348.67,66.71,83.52,40.51,51.21,90.19,65.31,82.30,107.89,246.79,241.94,345.65,,,,,834.35
2012,43.30,48.39,28.45,28.82,56.11,41.59,42.82,61.29,93.04,148.96,201.82,112.23,227.18,102.02,34.04,443.82,17.99,33.78,10.66,24.42,24.21,19.77,33.51,38.03,143.92,86.85,115.50,161.57,130.20,32.65,7.15,346.26,61.29,82.17,39.11,53.24,80.32,61.36,76.33,99.32,236.96,235.81,317.32,273.80,357.38,134.67,41.19,790.08
2013,40.46,42.45,26.32,27.13,52.53,37.35,40.56,59.71,91.51,136.35,190.14,,,,,417.98,16.66,35.50,11.06,22.62,28.22,23.81,29.38,38.05,149.21,85.84,119.45,,,,,354.50,57.12,77.95,37.38,49.75,80.75,61.16,69.94,97.76,240.72,222.19,309.59,,,,,772.48
2014,37.93,40.61,23.78,27.86,48.81,36.71,41.52,58.23,97.13,130.19,185.27,,,,,412.58,20.60,31.93,12.52,25.04,29.67,21.18,31.50,41.64,146.32,90.09,123.99,,,,,360.39,58.53,72.54,36.30,52.90,78.48,57.89,73.02,99.87,243.45,220.28,309.26,,,,,772.97
2015,40.46,41.27,24.75,24.19,49.46,34.20,38.56,56.11,89.50,130.68,178.34,,,,,398.52,22.34,30.71,12.82,22.08,27.41,20.67,29.38,40.13,143.07,87.95,117.57,,,,,348.57,62.80,71.98,37.57,46.27,76.87,54.87,67.94,96.24,232.57,218.63,295.91,,,,,747.09
2016,35.10,39.96,25.88,21.31,47.12,32.16,34.28,53.44,82.03,122.22,166.99,,,,,371.25,18.86,29.63,10.79,24.04,25.56,21.58,31.76,40.97,133.44,83.31,119.85,,,,,336.60,53.96,69.59,36.67,45.35,72.68,53.74,66.04,94.41,215.47,205.53,286.84,,,,,707.85
2017,35.47,37.07,21.93,22.49,47.31,32.22,33.33,50.96,76.47,116.95,163.83,98.44,184.25,84.77,29.41,357.25,18.22,33.04,11.35,22.37,27.38,19.58,28.11,39.66,132.32,85.00,114.72,162.18,136.69,36.26,8.25,332.02,53.69,70.11,33.28,44.86,74.69,51.80,61.44,90.62,208.79,201.95,278.55,260.62,320.94,121.03,37.66,689.27
