"year","DVRPC- Not Computed- Own","DVRPC- Not Computed- Rent","DVRPC- Above 30%- Own","DVRPC- Above 30%- Rent","DVRPC- Below 30%- Own","DVRPC- Below 30%- Rent","New Jersey Suburbs- Not Computed- Own","New Jersey Suburbs- Not Computed- Rent","New Jersey Suburbs- Above 30%- Own","New Jersey Suburbs- Above 30%- Rent","New Jersey Suburbs- Below 30%- Own","New Jersey Suburbs- Below 30%- Rent","Pennsylvania Suburbs- Not Computed- Own","Pennsylvania Suburbs- Not Computed- Rent","Pennsylvania Suburbs- Above 30%- Own","Pennsylvania Suburbs- Above 30%- Rent","Pennsylvania Suburbs- Below 30%- Own","Pennsylvania Suburbs- Below 30%- Rent","Bucks County- Not Computed- Own","Bucks County- Not Computed- Rent","Bucks County- Above 30%- Own","Bucks County- Above 30%- Rent","Bucks County- Below 30%- Own","Bucks County- Below 30%- Rent","Burlington County- Not Computed- Own","Burlington County- Not Computed- Rent","Burlington County- Above 30%- Own","Burlington County- Above 30%- Rent","Burlington County- Below 30%- Own","Burlington County- Below 30%- Rent","Camden County- Not Computed- Own","Camden County- Not Computed- Rent","Camden County- Above 30%- Own","Camden County- Above 30%- Rent","Camden County- Below 30%- Own","Camden County- Below 30%- Rent","Chester County- Not Computed- Own","Chester County- Not Computed- Rent","Chester County- Above 30%- Own","Chester County- Above 30%- Rent","Chester County- Below 30%- Own","Chester County- Below 30%- Rent","Delaware County- Not Computed- Own","Delaware County- Not Computed- Rent","Delaware County- Above 30%- Own","Delaware County- Above 30%- Rent","Delaware County- Below 30%- Own","Delaware County- Below 30%- Rent","Gloucester County- Not Computed- Own","Gloucester County- Not Computed- Rent","Gloucester County- Above 30%- Own","Gloucester County- Above 30%- Rent","Gloucester County- Below 30%- Own","Gloucester County- Below 30%- Rent","Mercer County- Not Computed- Own","Mercer County- Not Computed- Rent","Mercer County- Above 30%- Own","Mercer County- Above 30%- Rent","Mercer County- Below 30%- Own","Mercer County- Below 30%- Rent","Montgomery County- Not Computed- Own","Montgomery County- Not Computed- Rent","Montgomery County- Above 30%- Own","Montgomery County- Above 30%- Rent","Montgomery County- Below 30%- Own","Montgomery County- Below 30%- Rent","Philadelphia County- Not Computed- Own","Philadelphia County- Not Computed- Rent","Philadelphia County- Above 30%- Own","Philadelphia County- Above 30%- Rent","Philadelphia County- Below 30%- Own","Philadelphia County- Below 30%- Rent","Core City- Not Computed- Own","Core City- Not Computed- Rent","Core City- Above 30%- Own","Core City- Above 30%- Rent","Core City- Below 30%- Own","Core City- Below 30%- Rent","Developed Community- Not Computed- Own","Developed Community- Not Computed- Rent","Developed Community- Above 30%- Own","Developed Community- Above 30%- Rent","Developed Community- Below 30%- Own","Developed Community- Below 30%- Rent","Growing Suburb- Not Computed- Own","Growing Suburb- Not Computed- Rent","Growing Suburb- Above 30%- Own","Growing Suburb- Above 30%- Rent","Growing Suburb- Below 30%- Own","Growing Suburb- Below 30%- Rent","Rural Area- Not Computed- Own","Rural Area- Not Computed- Rent","Rural Area- Above 30%- Own","Rural Area- Above 30%- Rent","Rural Area- Below 30%- Own","Rural Area- Below 30%- Rent"
2005,9.59,38.71,437.73,295.64,978.65,279.89,1.89,8.47,137.02,71.77,289.85,71.17,3.31,13.25,200.03,97.37,473.23,107.42,1.97,3.81,55.45,24.1,119.02,23.28,0.67,3.24,38.86,16.35,89.7,15.25,0.63,2.04,44.94,29.34,85.01,28.71,0.31,3.21,40.05,15.57,93.28,19.04,0.51,3.56,43.29,25.85,102.19,27.93,0.2,1.04,25.18,8.07,55.25,8.61,0.39,2.15,28.08,18.02,59.89,18.6,0.51,2.67,61.26,31.89,158.76,37.18,4.39,16.99,100.68,126.51,215.56,101.3,,,,,,,,,,,,,,,,,,,,,,,,
2006,10.06,42.48,475.86,282.77,953.84,270.72,1.38,8.5,158.64,69.87,270.85,69.99,2.87,12.93,213.1,93.29,470.2,110.09,0.72,2.49,56.66,24.21,118.79,24.44,0.31,2.77,50.03,16.83,77.72,15.59,0.45,2.2,48.72,26.47,84.99,26.68,0.51,2.68,38.91,15.7,95.41,19.84,0.66,3.63,46.02,25.97,102.56,25.72,0.37,1.39,29.11,7.6,51.91,8.9,0.25,2.14,30.77,18.97,56.25,18.84,0.98,4.13,71.51,27.42,153.43,40.06,5.82,21.05,104.13,119.62,212.8,90.66,,,,,,,,,,,,,,,,,,,,,,,,
2007,7.41,38.18,483.96,292.06,955.39,281.12,1.08,8.71,157.3,76.74,274.98,69.5,2.27,12.1,217.59,95.65,470.5,109.32,0.4,2.18,62.19,22.14,117.57,23.44,0.26,2.29,44.82,18.15,83.9,16.76,0.37,2.93,51.62,30.13,82.5,26.52,0.31,2.04,41.61,14.05,93.6,23.77,0.69,3.79,47.36,27.11,100.13,26.33,0.1,1.49,29.96,9.0,50.31,9.2,0.36,2.0,30.91,19.48,58.29,17.0,0.87,4.08,66.45,32.35,159.22,35.79,4.06,17.38,109.05,119.69,209.91,102.29,,,,,,,,,,,,,,,,,,,,,,,,
2008,8.79,40.57,474.27,303.48,954.56,294.11,1.67,9.6,156.96,75.53,271.63,71.39,2.64,9.8,211.93,102.39,467.63,116.37,0.56,2.2,56.1,22.97,119.82,25.57,0.42,2.79,48.98,15.57,80.72,16.72,0.41,2.22,48.54,30.66,83.49,26.35,0.34,1.45,44.83,15.99,93.6,20.4,0.55,2.89,46.6,28.51,98.97,28.07,0.27,2.32,31.43,9.8,49.62,8.58,0.56,2.27,28.0,19.5,57.8,19.76,1.19,3.26,64.39,34.93,155.25,42.34,4.49,21.18,105.39,125.56,215.3,106.35,,,,,,,,,,,,,,,,,,,,,,,,
2009,8.82,44.68,473.48,307.2,942.77,283.9,1.93,8.55,160.71,76.53,266.36,73.08,2.05,13.4,211.9,100.79,470.74,104.96,0.38,2.87,58.82,21.21,118.76,21.84,0.58,2.22,47.35,17.7,81.52,17.39,0.16,3.48,52.02,27.85,81.74,27.54,0.35,3.08,41.59,17.33,95.52,20.99,0.71,3.1,45.98,29.0,99.7,23.44,0.7,1.03,30.53,10.68,51.01,7.79,0.5,1.82,30.85,20.28,52.09,20.38,0.61,4.35,65.53,33.28,156.77,38.7,4.85,22.74,100.86,129.87,205.68,105.85,,,,,,,,,,,,,,,,,,,,,,,,
2010,11.68,49.2,482.3,335.99,936.53,276.15,1.99,9.69,163.09,85.67,264.38,65.33,2.22,13.81,216.95,109.96,470.6,112.76,0.74,1.99,59.92,26.67,119.21,18.87,0.52,1.88,45.4,17.98,83.45,14.76,0.74,4.33,51.96,35.6,74.68,22.61,0.28,3.43,43.1,16.88,96.14,24.35,0.41,4.83,47.61,29.24,97.4,27.04,0.19,1.21,34.43,10.51,49.29,9.16,0.54,2.28,31.3,21.59,56.97,18.82,0.8,3.56,66.34,37.19,157.85,42.52,7.47,25.7,102.25,140.37,201.58,98.06,,,,,,,,,,,,,,,,,,,,,,,,
2011,11.19,42.71,485.68,348.67,914.87,285.72,1.87,7.96,157.67,84.27,261.92,71.27,3.6,12.48,222.4,123.25,452.98,112.76,1.06,2.85,62.09,28.1,114.44,23.68,0.81,1.93,46.7,20.01,79.87,15.45,0.38,3.07,51.89,31.63,73.53,25.22,0.67,2.13,43.03,22.28,91.25,24.89,0.95,2.39,48.06,34.24,95.04,23.88,0.37,1.1,30.09,10.42,51.98,9.79,0.31,1.86,29.0,22.21,56.56,20.82,0.92,5.12,69.23,38.66,152.26,40.3,5.73,22.27,105.63,141.16,199.95,101.7,,,,,,,,,,,,,,,,,,,,,,,,
2012,10.04,48.09,443.82,346.26,955.09,292.67,2.2,9.32,148.96,86.85,272.79,66.86,3.98,14.2,201.82,115.5,476.63,116.97,1.27,2.27,56.11,24.21,122.72,25.05,0.52,2.43,43.3,17.99,82.54,18.06,1.08,2.62,48.39,33.78,76.97,22.65,1.06,3.28,41.59,19.77,97.84,21.04,0.61,3.73,42.82,33.51,96.65,26.78,0.27,1.54,28.45,10.66,56.44,7.34,0.33,2.73,28.82,24.42,56.88,18.84,1.04,4.92,61.29,38.03,159.44,44.09,3.86,24.58,93.04,143.92,205.67,108.85,5.61,25.44,112.23,161.57,222.15,118.45,2.53,13.25,227.18,130.2,444.12,124.73,1.46,4.68,102.02,32.65,218.94,35.19,0.57,1.72,34.04,7.15,64.61,6.73
2013,10.58,49.56,417.98,354.5,956.19,300.93,2.58,9.43,136.35,85.84,276.0,73.31,3.7,13.74,190.14,119.45,478.9,117.76,0.51,2.45,52.53,28.22,121.99,26.1,0.63,1.8,40.46,16.66,86.28,16.42,0.81,3.17,42.45,35.5,79.33,24.53,0.69,2.8,37.35,23.81,99.89,21.88,1.02,3.62,40.56,29.38,96.56,28.54,0.56,1.1,26.32,11.06,53.89,10.95,0.59,3.37,27.13,22.62,56.52,21.42,1.48,4.87,59.71,38.05,160.48,41.23,4.31,26.39,91.51,149.21,201.3,109.84,,,,,,,,,,,,,,,,,,,,,,,,
2014,11.1,46.5,412.58,360.39,972.02,296.91,3.56,9.03,130.19,90.09,282.02,74.48,2.51,14.75,185.27,123.99,491.6,114.15,0.58,3.34,48.81,29.67,124.64,25.61,0.38,1.99,37.93,20.6,86.51,18.02,2.01,3.47,40.61,31.93,83.27,26.76,0.4,1.96,36.71,21.18,104.23,21.68,0.71,4.26,41.52,31.5,101.23,25.33,0.5,1.18,23.78,12.52,57.14,9.2,0.66,2.39,27.86,25.04,55.09,20.53,0.83,5.2,58.23,41.64,161.51,41.53,5.03,22.72,97.13,146.32,198.39,108.27,,,,,,,,,,,,,,,,,,,,,,,,
