"year","Average Annual Temperature","30 Year Trend - Temperature","Total Daily Average Precipitation","30 Year Trend - Precipitation","Precipitation from Severe Storms","30 Year Trend - Precipitation from Severe Storms","Average Sea Level","30 Year Trend - Average Sea Level","Average Sea Level Change","30 Year Trend - Average Sea Level Change"
1872,,,45.57,,0.191,,,,,
1873,,,51.68,,0.190,,,,,
1874,,,43.99,,0.234,,,,,
1875,,,47.21,,0.142,,,,,
1876,,,45.01,,0.239,,,,,
1877,,,42.99,,0.231,,,,,
1878,,,41.90,,0.133,,,,,
1879,,,43.67,,0.189,,,,,
1880,,,42.04,,0.242,,,,,
1881,,,30.31,,0.188,,,,,
1882,,,45.59,,0.298,,,,,
1883,,,39.17,,0.198,,,,,
1884,,,39.37,,0.176,,,,,
1885,,,34.25,,0.194,,,,,
1886,,,43.35,,0.165,,,,,
1887,,,43.17,,0.176,,,,,
1888,,,54.89,,0.156,,,,,
1889,,,62.09,,0.117,,,,,
1890,,,48.05,,0.116,,,,,
1891,,,46.63,,0.113,,,,,
1892,,,41.94,,0.152,,,,,
1893,,,47.23,,0.129,,,,,
1894,,,51.38,,0.187,,,,,
1895,51.10,,36.51,,0.136,,,,,
1896,52.00,,40.45,,0.176,,,,,
1897,51.77,,48.57,,0.128,,,,,
1898,53.00,,49.93,,0.110,,,,,
1899,51.64,,43.07,,0.103,,,,,
1900,53.26,,43.68,,0.186,,-0.35,,,
1901,51.20,,50.75,44.82,0.156,0.172,-0.25,,0.09,
1902,51.82,,56.02,45.18,0.114,0.170,-0.16,,0.09,
1903,51.70,,50.98,45.35,0.187,0.170,-0.19,,-0.03,
1904,49.07,,45.00,45.14,0.195,0.170,-0.27,,-0.09,
1905,51.07,,42.88,45.10,0.131,0.166,-0.29,,-0.01,
1906,52.71,,50.22,45.20,0.133,0.166,-0.24,,0.05,
1907,49.84,,52.07,45.42,0.137,0.163,-0.24,,-0.01,
1908,52.36,,44.11,45.46,0.163,0.161,-0.28,,-0.03,
1909,51.71,,39.69,45.39,0.180,0.162,-0.28,,-0.01,
1910,51.49,,42.47,45.35,0.129,0.160,-0.24,,0.04,
1911,52.43,,52.41,45.69,0.152,0.157,-0.24,,0.00,
1912,51.09,,48.93,46.29,0.151,0.156,-0.27,,-0.03,
1913,53.98,,47.30,46.34,0.118,0.150,-0.26,,0.02,
1914,50.94,,37.61,46.29,0.161,0.149,-0.26,,-0.01,
1915,51.96,,48.76,46.59,0.144,0.148,-0.21,,0.05,
1916,50.93,,37.48,46.70,0.130,0.146,-0.25,,-0.03,
1917,49.40,,41.62,46.64,0.130,0.145,-0.24,,0.01,
1918,51.68,,37.85,46.47,0.115,0.143,-0.22,,0.02,
1919,52.76,,51.54,46.36,0.115,0.142,-0.16,,0.06,
1920,51.20,,47.04,45.88,0.125,0.142,-0.19,,-0.03,
1921,54.08,,37.29,45.53,0.140,0.143,-0.21,,-0.02,
1922,52.47,,35.83,45.18,0.115,0.143,-0.24,,-0.04,
1923,51.81,,41.79,45.18,0.141,0.142,-0.24,,0.00,
1924,50.38,51.69,47.48,45.18,0.160,0.143,-0.21,,0.04,
1925,51.98,51.70,37.99,44.75,0.132,0.142,-0.26,,-0.06,
1926,49.83,51.66,45.13,45.03,0.107,0.141,-0.24,,0.02,
