"year","region_total","region_wage_salary","region_proprietors","nj_cos_total","nj_cos_wage_salary","nj_cos_proprietors","pa_sub_cos_total","pa_sub_cos_wage_salary","pa_sub_cos_proprietors","bucks_total","bucks_wage_salary","bucks_proprietors","burlington_total","burlington_wage_salary","burlington_proprietors","camden_total","camden_wage_salary","camden_proprietors","chester_total","chester_wage_salary","chester_proprietors","gloucester_total","gloucester_wage_salary","gloucester_proprietors","delaware_total","delaware_wage_salary","delaware_proprietors","mercer_total","mercer_wage_salary","mercer_proprietors","montgomery_total","montgomery_wage_salary","montgomery_proprietors","philadelphia_total","philadelphia_wage_salary","philadelphia_proprietors"
2001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2002,0.001,-0.003,0.028,0.013,0.009,0.033,0.000,-0.004,0.022,0.009,0.006,0.023,0.019,0.015,0.037,0.007,0.004,0.027,0.002,-0.004,0.032,0.024,0.022,0.036,-0.007,-0.010,0.013,0.008,0.004,0.035,-0.003,-0.007,0.020,-0.008,-0.012,0.041
2003,0.005,-0.002,0.048,0.019,0.015,0.048,0.001,-0.007,0.043,0.011,0.003,0.048,0.026,0.020,0.063,0.010,0.006,0.034,0.010,0.001,0.050,0.040,0.038,0.055,-0.001,-0.009,0.041,0.013,0.008,0.045,-0.008,-0.015,0.035,-0.005,-0.011,0.072
2004,0.013,0.004,0.064,0.026,0.019,0.071,0.019,0.010,0.062,0.025,0.015,0.066,0.027,0.019,0.072,0.027,0.019,0.069,0.027,0.019,0.066,0.034,0.026,0.071,0.006,-0.004,0.056,0.021,0.014,0.070,0.017,0.009,0.060,-0.013,-0.020,0.061
2005,0.018,0.011,0.057,0.019,0.012,0.056,0.020,0.014,0.050,0.030,0.026,0.047,0.024,0.018,0.057,0.015,0.008,0.052,0.039,0.033,0.062,0.041,0.033,0.085,0.009,0.002,0.043,0.007,0.001,0.042,0.011,0.004,0.049,0.013,0.005,0.088
2006,0.016,0.010,0.048,0.018,0.014,0.038,0.018,0.012,0.043,0.017,0.012,0.039,0.021,0.017,0.042,0.008,0.002,0.039,0.029,0.024,0.052,0.022,0.015,0.055,0.014,0.007,0.048,0.022,0.022,0.022,0.014,0.010,0.039,0.011,0.003,0.082
2007,0.014,0.002,0.075,0.004,-0.008,0.063,0.022,0.011,0.071,0.021,0.009,0.068,0.006,-0.005,0.057,0.004,-0.008,0.063,0.035,0.025,0.077,0.010,-0.003,0.074,0.022,0.008,0.081,-0.002,-0.013,0.063,0.016,0.006,0.063,0.010,-0.002,0.114
2008,0.004,0.000,0.025,-0.002,-0.005,0.010,0.006,0.001,0.027,-0.008,-0.014,0.012,-0.007,-0.011,0.014,-0.005,-0.008,0.009,0.013,0.010,0.026,0.001,0.001,-0.002,0.007,0.002,0.026,0.004,0.002,0.014,0.010,0.004,0.038,0.007,0.002,0.046
2009,-0.023,-0.033,0.024,-0.027,-0.035,0.013,-0.026,-0.039,0.026,-0.030,-0.044,0.020,-0.018,-0.025,0.013,-0.039,-0.048,0.004,-0.020,-0.032,0.028,-0.024,-0.033,0.015,-0.019,-0.030,0.026,-0.025,-0.034,0.024,-0.031,-0.044,0.028,-0.011,-0.018,0.037
2010,0.000,-0.004,0.020,-0.010,-0.013,0.001,-0.001,-0.006,0.015,0.002,-0.001,0.011,-0.016,-0.018,-0.008,-0.012,-0.014,-0.004,0.000,-0.003,0.011,-0.022,-0.024,-0.013,0.009,0.006,0.020,0.004,0.000,0.026,-0.008,-0.015,0.018,0.015,0.008,0.067
2011,0.011,0.003,0.049,0.005,-0.005,0.046,0.013,0.006,0.040,0.008,0.000,0.038,0.006,-0.001,0.036,0.001,-0.009,0.043,0.014,0.010,0.029,-0.004,-0.014,0.039,0.021,0.011,0.058,0.011,0.000,0.064,0.011,0.005,0.039,0.016,0.006,0.083
2012,0.007,0.008,0.005,0.005,0.007,-0.004,0.008,0.011,-0.001,-0.003,-0.004,-0.002,0.013,0.019,-0.009,-0.003,-0.002,-0.006,0.006,0.007,0.003,0.003,0.005,-0.006,0.019,0.022,0.006,0.004,0.004,0.005,0.011,0.015,-0.005,0.008,0.003,0.037
2013,0.013,0.009,0.034,0.011,0.006,0.029,0.015,0.011,0.031,0.009,0.002,0.033,0.001,-0.005,0.028,0.014,0.013,0.017,0.018,0.015,0.027,0.019,0.015,0.036,0.023,0.018,0.042,0.013,0.008,0.039,0.013,0.009,0.027,0.014,0.007,0.051
