"year","region_total","region_wage_salary","region_proprietors","nj_cos_total","nj_cos_wage_salary","nj_cos_proprietors","pa_sub_cos_total","pa_sub_cos_wage_salary","pa_sub_cos_proprietors","bucks_total","bucks_wage_salary","bucks_proprietors","burlington_total","burlington_wage_salary","burlington_proprietors","camden_total","camden_wage_salary","camden_proprietors","chester_total","chester_wage_salary","chester_proprietors","gloucester_total","gloucester_wage_salary","gloucester_proprietors","delaware_total","delaware_wage_salary","delaware_proprietors","mercer_total","mercer_wage_salary","mercer_proprietors","montgomery_total","montgomery_wage_salary","montgomery_proprietors","philadelphia_total","philadelphia_wage_salary","philadelphia_proprietors"
2001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2002,0.001,-0.003,0.028,0.013,0.009,0.033,0.000,-0.004,0.022,0.009,0.006,0.023,0.019,0.015,0.037,0.007,0.004,0.027,0.002,-0.004,0.032,0.024,0.022,0.036,-0.007,-0.010,0.013,0.008,0.004,0.035,-0.003,-0.007,0.020,-0.008,-0.012,0.041
2003,0.006,-0.005,0.078,0.032,0.024,0.083,0.001,-0.011,0.065,0.020,0.009,0.071,0.045,0.035,0.103,0.017,0.010,0.062,0.012,-0.003,0.084,0.065,0.060,0.092,-0.008,-0.020,0.054,0.020,0.012,0.081,-0.011,-0.022,0.056,-0.013,-0.023,0.116
2004,0.019,0.000,0.147,0.059,0.043,0.160,0.019,-0.002,0.131,0.045,0.024,0.142,0.073,0.055,0.183,0.045,0.029,0.135,0.039,0.016,0.156,0.101,0.088,0.170,-0.002,-0.023,0.113,0.042,0.026,0.157,0.006,-0.013,0.120,-0.026,-0.042,0.185
2005,0.038,0.011,0.213,0.080,0.056,0.224,0.040,0.012,0.188,0.076,0.050,0.195,0.099,0.074,0.250,0.060,0.038,0.194,0.079,0.049,0.227,0.146,0.124,0.270,0.008,-0.021,0.162,0.049,0.027,0.205,0.017,-0.009,0.174,-0.013,-0.037,0.289
2006,0.055,0.022,0.270,0.099,0.071,0.271,0.059,0.025,0.239,0.095,0.063,0.242,0.123,0.093,0.302,0.069,0.040,0.241,0.110,0.074,0.291,0.172,0.141,0.339,0.022,-0.015,0.217,0.072,0.050,0.231,0.031,0.000,0.220,-0.002,-0.034,0.395
2007,0.069,0.024,0.366,0.103,0.062,0.351,0.082,0.036,0.327,0.118,0.073,0.326,0.129,0.088,0.376,0.073,0.031,0.319,0.149,0.101,0.390,0.184,0.137,0.438,0.045,-0.007,0.316,0.070,0.036,0.309,0.047,0.006,0.298,0.008,-0.036,0.555
2008,0.074,0.024,0.400,0.100,0.057,0.364,0.088,0.037,0.363,0.109,0.058,0.342,0.122,0.075,0.396,0.068,0.023,0.330,0.165,0.112,0.427,0.185,0.139,0.436,0.052,-0.005,0.351,0.074,0.038,0.328,0.058,0.010,0.347,0.015,-0.034,0.627
2009,0.049,-0.010,0.434,0.071,0.020,0.383,0.060,-0.004,0.398,0.075,0.011,0.368,0.101,0.048,0.415,0.027,-0.026,0.336,0.141,0.076,0.467,0.157,0.102,0.457,0.032,-0.034,0.385,0.047,0.003,0.359,0.025,-0.034,0.385,0.004,-0.051,0.687
2010,0.049,-0.014,0.462,0.060,0.007,0.384,0.058,-0.009,0.419,0.077,0.010,0.383,0.083,0.029,0.404,0.014,-0.040,0.331,0.141,0.073,0.483,0.131,0.075,0.437,0.042,-0.029,0.413,0.051,0.003,0.395,0.017,-0.048,0.411,0.019,-0.044,0.799
2011,0.061,-0.011,0.533,0.065,0.002,0.447,0.072,-0.003,0.476,0.086,0.010,0.435,0.090,0.028,0.455,0.015,-0.048,0.388,0.158,0.083,0.526,0.127,0.060,0.493,0.064,-0.018,0.495,0.062,0.003,0.484,0.028,-0.043,0.465,0.035,-0.038,0.949
2012,0.069,-0.003,0.541,0.070,0.009,0.441,0.081,0.007,0.475,0.082,0.006,0.432,0.104,0.047,0.442,0.013,-0.050,0.379,0.165,0.092,0.530,0.130,0.066,0.485,0.084,0.004,0.503,0.066,0.007,0.491,0.040,-0.029,0.459,0.043,-0.035,1.020
2013,0.083,0.005,0.594,0.081,0.016,0.483,0.097,0.018,0.521,0.092,0.008,0.479,0.105,0.042,0.483,0.027,-0.038,0.403,0.186,0.108,0.571,0.152,0.081,0.538,0.109,0.022,0.566,0.080,0.015,0.548,0.053,-0.020,0.498,0.058,-0.028,1.123
2014,0.102,0.019,0.642,0.098,0.029,0.519,0.115,0.032,0.554,0.111,0.022,0.518,0.115,0.047,0.512,0.044,-0.024,0.441,0.201,0.121,0.596,0.174,0.101,0.569,0.129,0.042,0.591,0.101,0.033,0.591,0.069,-0.007,0.537,0.081,-0.013,1.259
