year,bucks_white,burlington_white,camden_white,chester_white,delaware_white,gloucester_white,mercer_white,montgomery_white,philadelphia_white,nj_suburban_counties_white,pa_suburban_counties_white,region_white,bucks_nonwht,burlington_nonwht,camden_nonwht,chester_nonwht,delaware_nonwht,gloucester_nonwht,mercer_nonwht,montgomery_nonwht,philadelphia_nonwht,nj_suburban_counties_nonwht,pa_suburban_counties_nonwht,region_nonwht,bucks_black,burlington_black,camden_black,chester_black,delaware_black,gloucester_black,mercer_black,montgomery_black,philadelphia_black,nj_suburban_counties_black,pa_suburban_counties_black,region_black,bucks_asian,burlington_asian,camden_asian,chester_asian,delaware_asian,gloucester_asian,mercer_asian,montgomery_asian,philadelphia_asian,nj_suburban_counties_asian,pa_suburban_counties_asian,region_asian,bucks_latinx,burlington_latinx,camden_latinx,chester_latinx,delaware_latinx,gloucester_latinx,mercer_latinx,montgomery_latinx,philadelphia_latinx,nj_suburban_counties_latinx,pa_suburban_counties_latinx,region_latinx,bucks_other,burlington_other,camden_other,chester_other,delaware_other,gloucester_other,mercer_other,montgomery_other,philadelphia_other,nj_suburban_counties_other,pa_suburban_counties_other,region_other
2006,0.685,0.678,0.677,0.69,0.639,0.691,0.646,0.683,0.59,0.675,0.673,0.66,0.714,0.652,0.665,0.584,0.627,0.614,0.645,0.669,0.57,0.646,0.662,0.611,,0.65,0.659,0.584,0.622,0.614,0.608,0.653,0.563,0.632,0.635,0.592,0.682,0.656,0.662,,0.647,,0.623,0.69,0.631,0.642,0.676,0.651,0.746,0.654,0.673,,,,0.715,,0.559,0.688,0.746,0.626,,,0.666,,,,,,0.571,0.666,,0.6
2007,0.677,0.689,0.673,0.698,0.64,0.7,0.646,0.696,0.604,0.678,0.675,0.666,0.643,0.658,0.648,0.564,0.628,0.585,0.691,0.731,0.575,0.647,0.655,0.616,0.611,0.654,0.628,0.564,0.627,0.558,0.655,0.71,0.578,0.619,0.652,0.604,0.674,0.689,0.66,,0.63,0.689,0.689,0.722,0.61,0.68,0.677,0.657,,0.644,0.648,,,,0.745,0.796,0.551,0.687,0.796,0.628,,,0.688,,,,,,0.556,0.688,,0.597
2008,0.692,0.701,0.686,0.691,0.659,0.707,0.657,0.686,0.605,0.689,0.682,0.671,0.751,0.675,0.689,0.669,0.717,0.678,0.697,0.678,0.572,0.688,0.707,0.634,,0.685,0.679,0.634,0.704,0.678,0.646,0.656,0.566,0.67,0.658,0.611,0.749,0.638,0.718,0.734,0.769,,0.696,0.676,0.612,0.699,0.734,0.675,0.753,0.674,0.681,,,,0.774,0.733,0.573,0.718,0.746,0.653,,,0.708,,,,,,0.574,0.708,,0.615
2009,0.693,0.692,0.691,0.706,0.655,0.711,0.676,0.693,0.633,0.694,0.685,0.68,0.689,0.681,0.69,0.705,0.657,0.711,0.725,0.697,0.574,0.704,0.689,0.635,0.674,0.667,0.673,0.662,0.646,0.708,0.683,0.649,0.572,0.685,0.658,0.612,0.703,0.701,0.725,,0.71,,0.734,0.706,0.621,0.727,0.705,0.68,,0.704,0.691,0.753,0.642,0.718,0.78,0.792,0.567,0.726,0.722,0.662,,,0.705,,,,,,0.553,0.705,,0.6
2010,0.703,0.683,0.68,0.698,0.66,0.699,0.67,0.694,0.605,0.683,0.69,0.673,0.711,0.675,0.687,0.672,0.66,0.658,0.672,0.716,0.555,0.679,0.689,0.617,0.609,0.657,0.666,0.584,0.659,0.658,0.65,0.682,0.551,0.658,0.651,0.595,0.738,0.702,0.678,0.712,0.689,,0.703,0.718,0.573,0.636,0.714,0.645,0.783,0.686,0.696,0.751,0.615,,0.687,0.795,0.551,0.64,0.752,0.629,,0.736,0.722,,,,,,0.568,0.724,,0.622
2011,0.684,0.686,0.669,0.682,0.646,0.681,0.662,0.686,0.614,0.675,0.677,0.665,0.679,0.693,0.658,0.642,0.641,0.685,0.688,0.7,0.56,0.677,0.67,0.615,0.602,0.688,0.679,0.611,0.661,0.685,0.667,0.659,0.542,0.679,0.648,0.595,0.683,0.7,0.64,0.697,0.609,,0.642,0.703,0.616,0.599,0.677,0.635,0.748,0.687,0.636,,0.553,,0.755,0.766,0.578,0.636,0.507,0.583,,0.744,0.658,,,,0.604,0.785,0.59,0.665,0.785,0.626
2012,0.675,0.666,0.67,0.699,0.651,0.685,0.662,0.686,0.624,0.67,0.679,0.667,0.744,0.656,0.641,0.719,0.639,0.603,0.677,0.689,0.565,0.653,0.684,0.615,0.73,0.637,0.618,0.672,0.629,0.612,0.624,0.661,0.56,0.624,0.654,0.594,0.75,0.673,0.696,,0.668,,0.714,0.69,0.607,0.639,0.594,0.611,0.752,0.697,0.626,0.77,0.652,0.583,0.732,0.749,0.578,0.67,0.741,0.65,,,0.675,,0.66,,0.67,,0.533,0.674,0.66,0.588
2013,0.683,0.682,0.658,0.694,0.654,0.665,0.662,0.687,0.62,0.667,0.681,0.666,0.696,0.667,0.666,0.719,0.662,0.645,0.683,0.68,0.578,0.67,0.683,0.627,0.685,0.629,0.633,0.69,0.658,0.649,0.613,0.644,0.579,0.628,0.661,0.607,0.697,0.713,0.69,0.721,0.667,0.63,0.67,0.686,0.606,0.683,0.689,0.66,0.705,0.711,0.672,0.747,0.679,,0.753,0.75,0.573,0.654,0.727,0.638,,0.726,0.71,,,,0.768,0.676,0.55,0.728,0.676,0.627
2014,0.679,0.674,0.666,0.688,0.646,0.683,0.658,0.688,0.622,0.67,0.677,0.666,0.719,0.667,0.665,0.7,0.624,0.663,0.667,0.684,0.578,0.666,0.671,0.622,0.647,0.645,0.661,0.661,0.622,0.662,0.616,0.639,0.571,0.645,0.635,0.601,0.757,0.729,0.614,,0.636,0.666,0.685,0.73,0.606,0.671,0.6,0.622,0.745,0.684,0.673,0.741,0.614,,0.725,0.705,0.577,0.639,0.711,0.631,,0.655,0.699,,,,,,0.593,0.689,,0.623
2015,0.67,0.674,0.667,0.68,0.651,0.658,0.635,0.676,0.641,0.66,0.67,0.662,0.704,0.655,0.65,0.712,0.659,0.628,0.669,0.669,0.584,0.656,0.679,0.625,0.755,0.634,0.628,0.679,0.655,0.628,0.644,0.625,0.565,0.634,0.659,0.6,0.678,0.606,0.712,0.722,0.672,,0.633,0.67,0.624,0.596,0.68,0.638,0.685,0.721,0.658,0.739,,,0.728,0.756,0.602,0.639,0.612,0.618,,0.698,0.646,,,,,0.701,0.626,0.659,0.701,0.641
