"year","bucks_nonwht","burlington_nonwht","camden_nonwht","chester_nonwht","delaware_nonwht","gloucester_nonwht","mercer_nonwht","montgomery_nonwht","philadelphia_nonwht","nj_suburban_counties_nonwht","pa_suburban_counties_nonwht","region_nonwht","bucks_black","burlington_black","camden_black","chester_black","delaware_black","gloucester_black","mercer_black","montgomery_black","philadelphia_black","nj_suburban_counties_black","pa_suburban_counties_black","region_black","bucks_asian","burlington_asian","camden_asian","chester_asian","delaware_asian","gloucester_asian","mercer_asian","montgomery_asian","philadelphia_asian","nj_suburban_counties_asian","pa_suburban_counties_asian","region_asian","bucks_latinx","burlington_latinx","camden_latinx","chester_latinx","delaware_latinx","gloucester_latinx","mercer_latinx","montgomery_latinx","philadelphia_latinx","nj_suburban_counties_latinx","pa_suburban_counties_latinx","region_latinx","bucks_other","burlington_other","camden_other","chester_other","delaware_other","gloucester_other","mercer_other","montgomery_other","philadelphia_other","nj_suburban_counties_other","pa_suburban_counties_other","region_other","bucks_all","burlington_all","camden_all","chester_all","delaware_all","gloucester_all","mercer_all","montgomery_all","philadelphia_all","nj_suburban_counties_all","pa_suburban_counties_all","region_all"
2006,-0.028999999999999915,0.026000000000000023,0.01200000000000001,0.10599999999999998,0.01200000000000001,0.07699999999999996,0.0010000000000000009,0.014000000000000012,0.020000000000000018,0.029000000000000026,0.01100000000000001,0.049000000000000044,,0.028000000000000025,0.018000000000000016,0.10599999999999998,0.017000000000000015,0.07699999999999996,0.038000000000000034,0.030000000000000027,0.027000000000000024,0.04300000000000004,0.038000000000000034,0.06800000000000006,0.0030000000000000027,0.02200000000000002,0.015000000000000013,,-0.008000000000000007,,0.02300000000000002,-0.006999999999999895,-0.041000000000000036,0.03300000000000003,-0.0030000000000000027,0.009000000000000008,-0.06099999999999994,0.02400000000000002,0.0040000000000000036,,,,-0.06899999999999995,,0.030999999999999917,-0.0129999999999999,-0.07299999999999995,0.03400000000000003,,,0.01100000000000001,,,,,,0.019000000000000017,0.009000000000000008,,0.06000000000000005,-0.0010000000000000009,0.0050000000000000044,0.0050000000000000044,0.0029999999999998916,0.0,0.006999999999999895,-0.0010000000000000009,0.0030000000000000027,0.01100000000000001,0.006000000000000005,-0.0010000000000000009,0.014000000000000012
2007,0.03400000000000003,0.030999999999999917,0.025000000000000022,0.134,0.01200000000000001,0.11499999999999999,-0.04499999999999993,-0.03500000000000003,0.029000000000000026,0.031000000000000028,0.020000000000000018,0.050000000000000044,0.06600000000000006,0.03499999999999992,0.04500000000000004,0.134,0.013000000000000012,0.1419999999999999,-0.009000000000000008,-0.014000000000000012,0.026000000000000023,0.05900000000000005,0.02300000000000002,0.062000000000000055,0.0030000000000000027,0.0,0.013000000000000012,,0.010000000000000009,0.01100000000000001,-0.04299999999999993,-0.026000000000000023,-0.006000000000000005,-0.0020000000000000018,-0.0020000000000000018,0.009000000000000008,,0.04499999999999993,0.025000000000000022,,,,-0.09899999999999998,-0.10000000000000009,0.052999999999999936,-0.009000000000000008,-0.121,0.038000000000000034,,,-0.014999999999999902,,,,,,0.04799999999999993,-0.009999999999999898,,0.06900000000000006,0.0050000000000000044,0.006999999999999895,0.01100000000000001,0.0050000000000000044,0.0040000000000000036,0.0129999999999999,-0.016000000000000014,-0.0050000000000000044,0.014000000000000012,0.006000000000000005,-0.0020000000000000018,0.014000000000000012
2008,-0.05900000000000005,0.025999999999999912,-0.0029999999999998916,0.02199999999999991,-0.05799999999999994,0.028999999999999915,-0.039999999999999925,0.008000000000000007,0.03300000000000003,0.0010000000000000009,-0.02499999999999991,0.03700000000000003,,0.015999999999999903,0.007000000000000006,0.05699999999999994,-0.04499999999999993,0.028999999999999915,0.01100000000000001,0.030000000000000027,0.039000000000000035,0.018999999999999906,0.02400000000000002,0.06000000000000005,-0.05700000000000005,0.06299999999999994,-0.03199999999999992,-0.04300000000000004,-0.10999999999999999,,-0.038999999999999924,0.010000000000000009,-0.007000000000000006,-0.010000000000000009,-0.051999999999999935,-0.0040000000000000036,-0.061000000000000054,0.026999999999999913,0.0050000000000000044,,,,-0.11699999999999999,-0.04699999999999993,0.03200000000000003,-0.029000000000000026,-0.06399999999999995,0.018000000000000016,,,-0.02199999999999991,,,,,,0.031000000000000028,-0.019000000000000017,,0.05600000000000005,-0.0020000000000000018,0.007000000000000006,0.0,-0.0020000000000000018,-0.01100000000000001,0.0020000000000000018,-0.013000000000000012,0.0010000000000000009,0.018000000000000016,0.0010000000000000009,-0.0030000000000000027,0.01200000000000001
2009,0.0040000000000000036,0.010999999999999899,0.0010000000000000009,0.0010000000000000009,-0.0020000000000000018,0.0,-0.04899999999999993,-0.0040000000000000036,0.05900000000000005,-0.010000000000000009,-0.0039999999999998925,0.04500000000000004,0.018999999999999906,0.02499999999999991,0.017999999999999905,0.04399999999999993,0.009000000000000008,0.0030000000000000027,-0.007000000000000006,0.04399999999999993,0.061000000000000054,0.008999999999999897,0.027000000000000024,0.06800000000000006,-0.010000000000000009,-0.009000000000000008,-0.03400000000000003,,-0.05499999999999994,,-0.05799999999999994,-0.013000000000000012,0.01200000000000001,-0.03300000000000003,-0.019999999999999907,0.0,,-0.01200000000000001,0.0,-0.04700000000000004,0.013000000000000012,-0.007000000000000006,-0.10399999999999998,-0.09900000000000009,0.06600000000000006,-0.03200000000000003,-0.03699999999999992,0.018000000000000016,,,-0.014000000000000012,,,,,,0.07999999999999996,-0.01100000000000001,,0.08000000000000007,-0.0010000000000000009,0.0020000000000000018,0.0030000000000000027,0.0020000000000000018,-0.0010000000000000009,-0.0020000000000000018,-0.017999999999999905,0.0,0.03200000000000003,0.0,-0.0020000000000000018,0.014000000000000012
2010,-0.008000000000000007,0.008000000000000007,-0.007000000000000006,0.025999999999999912,0.0,0.040999999999999925,-0.0020000000000000018,-0.02200000000000002,0.04999999999999993,0.0040000000000000036,0.0010000000000000009,0.05600000000000005,0.09399999999999997,0.026000000000000023,0.014000000000000012,0.11399999999999999,0.0010000000000000009,0.040999999999999925,0.020000000000000018,0.0119999999999999,0.05399999999999994,0.025000000000000022,0.038999999999999924,0.07800000000000007,-0.03500000000000003,-0.018999999999999906,0.0020000000000000018,-0.014000000000000012,-0.028999999999999915,,-0.03299999999999992,-0.02400000000000002,0.03200000000000003,0.04700000000000004,-0.02400000000000002,0.028000000000000025,-0.08000000000000007,-0.0030000000000000027,-0.015999999999999903,-0.05300000000000005,0.04500000000000004,,-0.017000000000000015,-0.10100000000000009,0.05399999999999994,0.04300000000000004,-0.062000000000000055,0.04400000000000004,,-0.052999999999999936,-0.041999999999999926,,,,,,0.03700000000000003,-0.040999999999999925,,0.051000000000000045,0.0010000000000000009,0.0030000000000000027,-0.0020000000000000018,0.007000000000000006,0.0010000000000000009,0.0,0.0020000000000000018,0.0,0.026000000000000023,0.0020000000000000018,0.0020000000000000018,0.017000000000000015
2011,0.0050000000000000044,-0.006999999999999895,0.01100000000000001,0.040000000000000036,0.0050000000000000044,-0.0040000000000000036,-0.025999999999999912,-0.013999999999999901,0.05399999999999994,-0.0020000000000000018,0.007000000000000006,0.050000000000000044,0.08200000000000007,-0.0019999999999998908,-0.010000000000000009,0.07100000000000006,-0.015000000000000013,-0.0040000000000000036,-0.0050000000000000044,0.027000000000000024,0.07199999999999995,-0.0040000000000000036,0.029000000000000026,0.07000000000000006,0.0010000000000000009,-0.013999999999999901,0.029000000000000026,-0.014999999999999902,0.03700000000000003,,0.020000000000000018,-0.016999999999999904,-0.0020000000000000018,0.07600000000000007,0.0,0.030000000000000027,-0.06399999999999995,-0.0010000000000000009,0.03300000000000003,,0.09299999999999997,,-0.09299999999999997,-0.07999999999999996,0.03600000000000003,0.039000000000000035,0.17000000000000004,0.08200000000000007,,-0.05799999999999994,0.01100000000000001,,,,0.05800000000000005,-0.09899999999999998,0.02400000000000002,0.010000000000000009,-0.10799999999999998,0.039000000000000035,0.0010000000000000009,-0.0039999999999998925,0.0,0.0040000000000000036,0.0010000000000000009,-0.007999999999999896,-0.008000000000000007,0.0,0.03200000000000003,-0.0040000000000000036,0.0030000000000000027,0.015000000000000013
2012,-0.06899999999999995,0.010000000000000009,0.029000000000000026,-0.020000000000000018,0.01200000000000001,0.08200000000000007,-0.015000000000000013,-0.0029999999999998916,0.05900000000000005,0.017000000000000015,-0.0050000000000000044,0.052000000000000046,-0.05499999999999994,0.029000000000000026,0.052000000000000046,0.026999999999999913,0.02200000000000002,0.07300000000000006,0.038000000000000034,0.025000000000000022,0.06399999999999995,0.04600000000000004,0.025000000000000022,0.07300000000000006,-0.07499999999999996,-0.007000000000000006,-0.025999999999999912,,-0.017000000000000015,,-0.051999999999999935,-0.0039999999999998925,0.017000000000000015,0.031000000000000028,0.08500000000000008,0.05600000000000005,-0.07699999999999996,-0.030999999999999917,0.04400000000000004,-0.07100000000000006,-0.0010000000000000009,0.10200000000000009,-0.06999999999999995,-0.06299999999999994,0.04600000000000004,0.0,-0.061999999999999944,0.017000000000000015,,,-0.0050000000000000044,,-0.009000000000000008,,-0.008000000000000007,,0.09099999999999997,-0.0040000000000000036,0.019000000000000017,0.07900000000000007,-0.006000000000000005,0.0010000000000000009,0.008000000000000007,0.0020000000000000018,0.0030000000000000027,0.013000000000000012,0.0040000000000000036,0.0020000000000000018,0.03500000000000003,0.006000000000000005,0.0010000000000000009,0.017000000000000015
2013,-0.0129999999999999,0.015000000000000013,-0.008000000000000007,-0.025000000000000022,-0.008000000000000007,0.020000000000000018,-0.02100000000000002,0.007000000000000006,0.04200000000000004,-0.0030000000000000027,-0.0020000000000000018,0.039000000000000035,-0.0020000000000000018,0.05300000000000005,0.025000000000000022,0.0040000000000000036,-0.0040000000000000036,0.016000000000000014,0.049000000000000044,0.04300000000000004,0.041000000000000036,0.039000000000000035,0.020000000000000018,0.05900000000000005,-0.013999999999999901,-0.030999999999999917,-0.03199999999999992,-0.027000000000000024,-0.013000000000000012,0.03500000000000003,-0.008000000000000007,0.0010000000000000009,0.014000000000000012,-0.016000000000000014,-0.007999999999999896,0.006000000000000005,-0.02199999999999991,-0.028999999999999915,-0.014000000000000012,-0.05300000000000005,-0.025000000000000022,,-0.09099999999999997,-0.06299999999999994,0.04700000000000004,0.013000000000000012,-0.04599999999999993,0.028000000000000025,,-0.04399999999999993,-0.051999999999999935,,,,-0.10599999999999998,0.01100000000000001,0.06999999999999995,-0.06099999999999994,0.0050000000000000044,0.039000000000000035,-0.0010000000000000009,0.0030000000000000027,-0.0020000000000000018,0.0,-0.0020000000000000018,0.0,0.0020000000000000018,0.0030000000000000027,0.02300000000000002,0.0010000000000000009,0.0010000000000000009,0.013000000000000012
2014,-0.039999999999999925,0.007000000000000006,0.0010000000000000009,-0.01200000000000001,0.02200000000000002,0.020000000000000018,-0.009000000000000008,0.0039999999999998925,0.04400000000000004,0.0040000000000000036,0.006000000000000005,0.04400000000000004,0.03200000000000003,0.029000000000000026,0.0050000000000000044,0.026999999999999913,0.02400000000000002,0.02100000000000002,0.04200000000000004,0.04899999999999993,0.051000000000000045,0.025000000000000022,0.04200000000000004,0.06500000000000006,-0.07799999999999996,-0.05499999999999994,0.052000000000000046,,0.010000000000000009,0.017000000000000015,-0.027000000000000024,-0.04200000000000004,0.016000000000000014,-0.0010000000000000009,0.07700000000000007,0.04400000000000004,-0.06599999999999995,-0.010000000000000009,-0.007000000000000006,-0.05300000000000005,0.03200000000000003,,-0.06699999999999995,-0.017000000000000015,0.04500000000000004,0.031000000000000028,-0.03399999999999992,0.03500000000000003,,0.019000000000000017,-0.03299999999999992,,,,,,0.029000000000000026,-0.018999999999999906,,0.04300000000000004,-0.0030000000000000027,0.0010000000000000009,0.0010000000000000009,-0.0030000000000000027,0.006000000000000005,0.0020000000000000018,0.0040000000000000036,-0.0010000000000000009,0.02400000000000002,0.0020000000000000018,0.0,0.013000000000000012
2015,-0.03399999999999992,0.019000000000000017,0.017000000000000015,-0.03199999999999992,-0.008000000000000007,0.030000000000000027,-0.03400000000000003,0.007000000000000006,0.05700000000000005,0.0040000000000000036,-0.009000000000000008,0.03700000000000003,-0.08499999999999996,0.040000000000000036,0.039000000000000035,0.0010000000000000009,-0.0040000000000000036,0.030000000000000027,-0.009000000000000008,0.051000000000000045,0.07600000000000007,0.026000000000000023,0.01100000000000001,0.062000000000000055,-0.008000000000000007,0.06800000000000006,-0.04499999999999993,-0.041999999999999926,-0.02100000000000002,,0.0020000000000000018,0.006000000000000005,0.017000000000000015,0.06400000000000006,-0.010000000000000009,0.02400000000000002,-0.015000000000000013,-0.04699999999999993,0.009000000000000008,-0.05899999999999994,,,-0.09299999999999997,-0.07999999999999996,0.039000000000000035,0.02100000000000002,0.05800000000000005,0.04400000000000004,,-0.02399999999999991,0.02100000000000002,,,,,-0.02499999999999991,0.015000000000000013,0.0010000000000000009,-0.030999999999999917,0.02100000000000002,-0.0040000000000000036,0.006000000000000005,0.007000000000000006,-0.007000000000000006,-0.0030000000000000027,-0.0040000000000000036,-0.014000000000000012,0.0010000000000000009,0.03700000000000003,0.0,-0.0020000000000000018,0.01200000000000001
