Bucks_labWht,Burlington_labWht,Camden_labWht,Chester_labWht,Delaware_labWht,Gloucester_labWht,Mercer_labWht,Montgomery_labWht,NJ Suburban Counties_labWht,PA Suburban Counties_labWht,Philadelphia_labWht,Region_labWht,year,Bucks_labNonWht,Burlington_labNonWht,Camden_labNonWht,Chester_labNonWht,Delaware_labNonWht,Gloucester_labNonWht,Mercer_labNonWht,Montgomery_labNonWht,NJ Suburban Counties_labNonWht,PA Suburban Counties_labNonWht,Philadelphia_labNonWht,Region_labNonWht,Bucks_difference,Burlington_difference,Camden_difference,Chester_difference,Delaware_difference,Gloucester_difference,Mercer_difference,Montgomery_difference,NJ Suburban Counties_difference,PA Suburban Counties_difference,Philadelphia_difference,Region_difference
0.678,0.703,0.678,0.692,0.67,0.693,0.668,0.699,0.686,0.686,0.598,0.672,2005,NA,0.686,0.689,NA,0.675,NA,0.729,0.655,0.698,0.667,0.578,0.616,NA,0.017,-0.011,NA,-0.005,NA,-0.061,0.044,-0.012,0.019,0.02,0.056
0.686,0.678,0.676,0.692,0.639,0.692,0.654,0.684,0.675,0.677,0.589,0.662,2006,0.682,0.651,0.661,0.584,0.627,0.614,0.613,0.667,0.642,0.642,0.571,0.603,0.004,0.027,0.015,0.108,0.012,0.078,0.041,0.017,0.033,0.035,0.018,0.059
0.676,0.689,0.668,0.7,0.638,0.699,0.653,0.698,0.677,0.68,0.602,0.666,2007,0.641,0.661,0.648,0.564,0.628,0.585,0.665,0.715,0.65,0.654,0.579,0.613,0.035,0.028,0.02,0.136,0.01,0.114,-0.012,-0.017,0.027,0.026,0.023,0.054
0.693,0.702,0.683,0.695,0.657,0.708,0.668,0.687,0.69,0.684,0.605,0.673,2008,0.749,0.675,0.691,0.67,0.717,0.678,0.661,0.664,0.678,0.692,0.572,0.623,-0.056,0.027,-0.008,0.025,-0.06,0.03,0.007,0.023,0.012,-0.008,0.033,0.05
0.694,0.696,0.689,0.708,0.654,0.71,0.683,0.696,0.694,0.689,0.63,0.68,2009,0.688,0.674,0.688,0.662,0.659,0.708,0.698,0.671,0.689,0.668,0.575,0.622,0.006,0.022,0.001,0.046,-0.005,0.002,-0.015,0.025,0.005,0.022,0.055,0.058
0.703,0.683,0.68,0.698,0.66,0.699,0.67,0.694,0.683,0.69,0.605,0.673,2010,0.676,0.671,0.685,0.631,0.665,0.658,0.666,0.697,0.675,0.673,0.556,0.611,0.027,0.012,-0.005,0.067,-0.005,0.041,0.004,-0.003,0.008,0.018,0.049,0.062
0.684,0.686,0.669,0.682,0.646,0.681,0.662,0.686,0.675,0.677,0.614,0.665,2011,0.644,0.696,0.667,0.643,0.65,0.685,0.657,0.685,0.673,0.662,0.557,0.609,0.04,-0.01,0.002,0.039,-0.004,-0.004,0.005,0.001,0.002,0.015,0.057,0.056
0.675,0.666,0.67,0.699,0.651,0.685,0.662,0.686,0.67,0.679,0.624,0.667,2012,0.741,0.645,0.645,0.672,0.638,0.612,0.655,0.673,0.646,0.668,0.563,0.606,-0.066,0.021,0.025,0.027,0.013,0.073,0.007,0.013,0.024,0.011,0.061,0.061
0.683,0.682,0.658,0.694,0.654,0.665,0.662,0.687,0.667,0.681,0.62,0.666,2013,0.691,0.656,0.663,0.702,0.66,0.645,0.659,0.664,0.659,0.671,0.579,0.621,-0.008,0.026,-0.005,-0.008,-0.006,0.02,0.003,0.023,0.008,0.01,0.041,0.046
0.679,0.674,0.666,0.688,0.646,0.683,0.658,0.688,0.67,0.677,0.622,0.665,2014,0.705,0.661,0.663,0.661,0.625,0.663,0.639,0.68,0.657,0.66,0.578,0.617,-0.026,0.013,0.003,0.027,0.021,0.02,0.019,0.008,0.014,0.017,0.044,0.049
0.67,0.677,0.668,0.682,0.651,0.66,0.652,0.679,0.665,0.672,0.637,0.664,2015,0.712,0.636,0.648,0.698,0.658,0.628,0.64,0.65,0.641,0.668,0.581,0.616,-0.042,0.041,0.02,-0.016,-0.007,0.032,0.012,0.029,0.024,0.004,0.056,0.048
0.657,0.663,0.678,0.685,0.644,0.682,0.652,0.674,0.669,0.666,0.627,0.66,2016,0.682,0.654,0.646,0.68,0.654,0.715,0.616,0.676,0.644,0.669,0.575,0.614,-0.025,0.009,0.032,0.005,-0.01,-0.033,0.036,-0.002,0.025,-0.003,0.052,0.046
0.673,0.652,0.677,0.688,0.653,0.674,0.638,0.682,0.661,0.675,0.58,0.654,2017,0.724,0.661,0.634,0.693,0.655,0.656,0.647,0.697,0.647,0.685,0.585,0.624,-0.051,-0.009,0.043,-0.005,-0.002,0.018,-0.009,-0.015,0.014,-0.01,-0.005,0.03
