"year","Bucks_Male","Burlington_Male","Camden_Male","Chester_Male","Delaware_Male","Gloucester_Male","Mercer_Male","Montgomery_Male","Philadelphia_Male","NJ_Suburban_Counties_Male","PA_Suburban_Counties_Male","Region_Male","Bucks_Female","Burlington_Female","Camden_Female","Chester_Female","Delaware_Female","Gloucester_Female","Mercer_Female","Montgomery_Female","Philadelphia_Female","NJ_Suburban_Counties_Female","PA_Suburban_Counties_Female","Region_Female","Bucks_All","Burlington_All","Camden_All","Chester_All","Delaware_All","Gloucester_All","Mercer_All","Montgomery_All","Philadelphia_All","NJ_Suburban_Counties_All","PA_Suburban_Counties_All","Region_All"
2005,0.871,0.885,0.865,0.884,0.856,0.868,0.875,0.891,0.763,0.874,0.877,0.848,0.736,0.757,0.735,0.730,0.755,0.760,0.743,0.771,0.675,0.748,0.750,0.729,0.803,0.819,0.798,0.806,0.804,0.812,0.808,0.830,0.715,0.809,0.812,0.786
2006,0.885,0.814,0.843,0.883,0.822,0.874,0.816,0.880,0.737,0.834,0.869,0.826,0.756,0.776,0.750,0.746,0.745,0.732,0.733,0.766,0.680,0.750,0.755,0.734,0.820,0.795,0.795,0.814,0.782,0.802,0.774,0.822,0.707,0.792,0.811,0.779
2007,0.866,0.853,0.849,0.889,0.833,0.851,0.838,0.884,0.760,0.848,0.869,0.836,0.746,0.764,0.722,0.742,0.730,0.764,0.726,0.804,0.680,0.742,0.760,0.733,0.806,0.809,0.784,0.815,0.781,0.807,0.782,0.844,0.718,0.795,0.814,0.783
2008,0.885,0.847,0.844,0.902,0.864,0.891,0.835,0.884,0.744,0.851,0.884,0.839,0.762,0.784,0.773,0.743,0.786,0.780,0.754,0.780,0.695,0.773,0.769,0.751,0.823,0.816,0.808,0.822,0.824,0.834,0.794,0.832,0.718,0.812,0.826,0.794
2009,0.883,0.851,0.855,0.902,0.863,0.887,0.851,0.877,0.747,0.859,0.881,0.839,0.780,0.793,0.766,0.767,0.757,0.787,0.766,0.797,0.701,0.777,0.778,0.756,0.831,0.822,0.809,0.834,0.809,0.836,0.809,0.837,0.723,0.818,0.829,0.796
2010,0.893,0.832,0.854,0.889,0.855,0.875,0.845,0.880,0.716,0.849,0.879,0.826,0.781,0.798,0.771,0.756,0.770,0.786,0.749,0.796,0.678,0.776,0.778,0.749,0.837,0.815,0.811,0.822,0.811,0.829,0.797,0.837,0.696,0.812,0.828,0.787
2011,0.872,0.841,0.836,0.877,0.838,0.859,0.824,0.870,0.714,0.839,0.865,0.816,0.770,0.808,0.759,0.757,0.755,0.765,0.760,0.784,0.686,0.774,0.768,0.746,0.820,0.824,0.796,0.816,0.795,0.811,0.792,0.827,0.699,0.805,0.816,0.780
2012,0.883,0.832,0.830,0.894,0.830,0.830,0.817,0.875,0.720,0.827,0.871,0.817,0.767,0.769,0.756,0.771,0.746,0.774,0.765,0.790,0.690,0.765,0.770,0.746,0.824,0.801,0.792,0.832,0.786,0.802,0.791,0.832,0.705,0.796,0.820,0.781
2013,0.881,0.840,0.834,0.897,0.838,0.846,0.821,0.878,0.731,0.835,0.874,0.823,0.776,0.802,0.751,0.762,0.766,0.738,0.748,0.787,0.702,0.762,0.775,0.750,0.828,0.821,0.791,0.829,0.801,0.791,0.784,0.832,0.716,0.798,0.823,0.786
2014,0.872,0.853,0.845,0.897,0.822,0.880,0.825,0.877,0.738,0.849,0.868,0.827,0.787,0.776,0.758,0.768,0.748,0.767,0.744,0.790,0.697,0.761,0.775,0.749,0.829,0.815,0.800,0.832,0.784,0.822,0.784,0.833,0.717,0.804,0.821,0.787
