"year","bucks","burlington","camden","chester","delaware","gloucester","mercer","montgomery","philadelphia","nj_suburban_counties","pa_suburban_counties","dvrpc_region","core_cities","developed_communities","growing_suburbs","rural_areas"
2005,0.777,0.798,0.775,0.782,0.779,0.781,0.779,0.807,0.685,0.783,0.788,0.76,,,,
2006,0.788,0.77,0.764,0.78,0.743,0.776,0.738,0.789,0.674,0.762,0.776,0.746,,,,
2007,0.775,0.779,0.756,0.785,0.739,0.78,0.749,0.812,0.679,0.765,0.781,0.75,,,,
2008,0.794,0.785,0.78,0.787,0.78,0.801,0.759,0.795,0.679,0.78,0.79,0.758,,,,
2009,0.806,0.791,0.781,0.799,0.762,0.807,0.778,0.805,0.688,0.788,0.794,0.763,0.677,0.786,0.79,0.763
2010,0.811,0.78,0.78,0.787,0.764,0.794,0.753,0.804,0.659,0.776,0.793,0.751,0.676,0.79,0.793,0.765
2011,0.79,0.795,0.763,0.773,0.745,0.778,0.752,0.797,0.664,0.772,0.779,0.745,0.673,0.791,0.794,0.772
2012,0.794,0.769,0.761,0.797,0.747,0.768,0.753,0.796,0.669,0.762,0.785,0.746,0.671,0.791,0.794,0.775
2013,0.803,0.784,0.759,0.794,0.759,0.763,0.75,0.798,0.681,0.765,0.79,0.752,0.672,0.79,0.793,0.778
2014,0.801,0.782,0.768,0.793,0.741,0.783,0.744,0.802,0.683,0.769,0.786,0.752,0.671,0.787,0.791,0.776
2015,0.795,0.781,0.764,0.794,0.756,0.772,0.741,0.79,0.689,0.765,0.784,0.752,0.676,0.784,0.79,0.773
2016,0.785,0.787,0.77,0.793,0.751,0.798,0.727,0.797,0.682,0.77,0.783,0.751,0.678,0.783,0.792,0.774
2017,0.808,0.764,0.773,0.793,0.762,0.778,0.733,0.802,0.67,0.762,0.793,0.749,0.678,0.784,0.792,0.777
2018,0.813,0.78,0.762,0.805,0.758,0.774,0.756,0.808,0.701,0.767,0.797,0.762,0.688,0.786,0.793,0.782
2019,0.808,0.782,0.772,0.792,0.769,0.802,0.726,0.802,0.715,0.77,0.794,0.765,0.694,0.788,0.794,0.78
2020,,,,,,,,,,,,,0.701,0.792,0.794,0.779
2021,0.789,0.777,0.769,0.799,0.777,0.77,0.737,0.81,0.727,0.764,0.795,0.767,0.71,0.792,0.792,0.776
2022,0.811,0.79,0.79,0.803,0.779,0.779,0.757,0.809,0.744,0.78,0.802,0.78,0.716,0.793,0.797,0.776
2023,0.803,0.788,0.788,0.814,0.768,0.784,0.76,0.807,0.751,0.781,0.799,0.781,0.726,0.793,0.796,0.778
2024,0.814,0.797,0.792,0.796,0.765,0.795,0.786,0.818,0.761,0.793,0.801,0.788,0.732,0.795,0.796,0.782
