"year","bucks_nonwht","burlington_nonwht","camden_nonwht","chester_nonwht","delaware_nonwht","gloucester_nonwht","mercer_nonwht","montgomery_nonwht","philadelphia_nonwht","nj_suburban_counties_nonwht","pa_suburban_counties_nonwht","region_nonwht","bucks_black","burlington_black","camden_black","chester_black","delaware_black","gloucester_black","mercer_black","montgomery_black","philadelphia_black","nj_suburban_counties_black","pa_suburban_counties_black","region_black","bucks_asian","burlington_asian","camden_asian","chester_asian","delaware_asian","gloucester_asian","mercer_asian","montgomery_asian","philadelphia_asian","nj_suburban_counties_asian","pa_suburban_counties_asian","region_asian","bucks_latinx","burlington_latinx","camden_latinx","chester_latinx","delaware_latinx","gloucester_latinx","mercer_latinx","montgomery_latinx","philadelphia_latinx","nj_suburban_counties_latinx","pa_suburban_counties_latinx","region_latinx","bucks_other","burlington_other","camden_other","chester_other","delaware_other","gloucester_other","mercer_other","montgomery_other","philadelphia_other","nj_suburban_counties_other","pa_suburban_counties_other","region_other"
2000,25203,12693,32018,39814,30028,19902,35467,19803,20793,27426,29498,39450,34795,12147,32194,53540,35199,26227,48087,26690,19183,30511,38863,42474,-2150,-2159,-7725,-13446,3932,-29036,-33534,2417,16396,-18031,815,9023,31388,16072,41658,41169,24913,18945,41142,21529,28821,36389,28295,43578,31085,24239,39554,46448,32071,20216,36525,26302,26005,34877,32857,43044
2005,22319,22168,35617,24717,39882,18253,31679,25085,27017,30471,30724,41827,39284,25961,40111,46308,45907,29518,49483,33188,27531,37920,43863,48367,-6764,-14353,-22830,-35875,25103,-14400,-28534,-3229,8739,-24000,-2431,410,32223,38097,44313,50706,18189,12085,36690,38252,33404,39822,35783,46841,14421,25658,43859,10366,28878,-21857,39995,50529,28218,39809,28080,44204
2006,33610,24189,30609,34455,24737,7555,31537,20078,24308,27543,29044,40224,54107,26597,29517,61699,33084,21118,49892,27819,24591,33115,42921,46413,-1140,-11434,5394,-24893,-7428,-16284,-49098,4092,12198,-22057,-3348,2148,43558,43247,38557,43358,13768,-9145,45771,19614,29347,38910,29985,44553,27074,30038,36763,30291,19188,-15887,54694,30214,24359,35858,26979,41780
2007,12401,24004,35488,23628,30561,5515,29195,27710,25231,28770,27119,40281,43131,24113,41706,49178,39769,14673,51528,38041,23774,36833,44489,46744,-35404,51,-2350,-46110,-7171,-75265,-50256,7531,18913,-26781,-12334,-752,28555,35086,37906,33517,21053,30615,37253,40630,32477,37333,31146,45165,-10383,37879,35955,41277,26028,-3811,39867,16860,29644,37306,16162,42812
2008,18340,20645,36161,27634,39099,19039,40798,26034,26830,31868,31172,43363,50042,16074,41339,46326,46716,26516,66881,36466,26479,39255,47355,50084,-34986,4870,-20677,-24119,9337,9476,-37080,-561,22213,-21556,-8123,3724,27117,36339,45543,37364,43631,7298,46183,42960,29825,41462,36029,46954,22496,41970,40796,37262,17457,5309,35791,28024,28459,39275,26291,44755
2009,19933,17445,34403,27093,37487,21512,31026,8823,27202,28173,25178,40134,45341,29058,38756,65880,41666,19783,56649,21930,26277,38485,42740,47673,-30035,-28098,-29718,-67013,10291,16496,-58761,-10288,13421,-38884,-17433,-8211,36542,19046,45929,42302,44405,40298,41770,3496,35173,39791,27752,46169,18228,9889,42164,33317,51337,11743,37251,8081,32770,34030,24423,43103
2010,20031,8707,28019,26528,27518,24328,29674,18966,25030,23972,24965,38704,48826,16151,27650,47502,35424,41821,49695,26458,25111,31779,39524,45977,-27343,-33690,5944,-29959,-14933,-33195,-58956,-2040,12140,-32989,-13787,-3636,29857,7804,34548,35625,31376,15962,49443,35340,30036,33976,31812,42929,27724,19434,31760,38522,31519,5143,41334,22616,27973,31498,28688,41612
2011,5271,16589,41372,23485,30462,24330,38566,21563,24790,32835,23217,39677,35219,21121,40742,53331,36175,30821,60801,36228,25118,39371,40835,47095,-51841,-36203,1077,-46144,-2144,-44118,-41836,-11423,16731,-29968,-23124,-5379,18017,31639,50731,50503,43841,28003,48326,37936,26325,44656,35598,44853,22535,31267,52179,-1730,26348,41708,45474,27909,27079,47088,19652,44094
2012,9630,16844,33071,19045,37236,20884,39979,22496,28757,30385,26060,40824,42862,23495,35401,43271,42427,20515,65307,33715,28890,38748,43167,48533,-49502,-27624,-957,-49670,680,-2235,-36357,-3473,18550,-22348,-18768,-1844,26147,28394,38056,43653,51025,23215,47886,34654,31327,38849,36127,44562,16980,18002,39351,14832,52713,36780,35164,29576,32459,35994,25141,43710
2013,20977,5279,36044,20695,39143,16958,33392,21307,27309,26684,27874,39033,43529,15125,41969,48116,42477,16429,55393,31273,27002,35801,41833,45977,-28079,-35845,-20027,-60165,17480,-41872,-33409,1736,17796,-32207,-11268,-2045,38699,4893,43471,46480,46665,45757,37682,27149,32156,35830,37332,43823,32221,3587,41836,33912,41795,25268,40545,27533,30035,34461,33613,43116
