"year","bucks_nonwht","burlington_nonwht","camden_nonwht","chester_nonwht","delaware_nonwht","gloucester_nonwht","mercer_nonwht","montgomery_nonwht","philadelphia_nonwht","nj_suburban_counties_nonwht","pa_suburban_counties_nonwht","region_nonwht","bucks_black","burlington_black","camden_black","chester_black","delaware_black","gloucester_black","mercer_black","montgomery_black","philadelphia_black","nj_suburban_counties_black","pa_suburban_counties_black","region_black","bucks_asian","burlington_asian","camden_asian","chester_asian","delaware_asian","gloucester_asian","mercer_asian","montgomery_asian","philadelphia_asian","nj_suburban_counties_asian","pa_suburban_counties_asian","region_asian","bucks_latinx","burlington_latinx","camden_latinx","chester_latinx","delaware_latinx","gloucester_latinx","mercer_latinx","montgomery_latinx","philadelphia_latinx","nj_suburban_counties_latinx","pa_suburban_counties_latinx","region_latinx","bucks_other","burlington_other","camden_other","chester_other","delaware_other","gloucester_other","mercer_other","montgomery_other","philadelphia_other","nj_suburban_counties_other","pa_suburban_counties_other","region_other"
2000,0.216,0.110,0.322,0.319,0.322,0.196,0.305,0.175,0.312,0.252,0.269,0.395,0.324,0.114,0.342,0.446,0.376,0.267,0.423,0.243,0.293,0.296,0.361,0.433,-0.020,-0.020,-0.082,-0.112,0.042,-0.295,-0.295,0.022,0.250,-0.173,0.007,0.092,0.292,0.151,0.443,0.343,0.266,0.193,0.362,0.196,0.440,0.354,0.263,0.445,0.188,0.239,0.305,0.327,0.445,0.193,0.262,0.209,0.399,0.255,0.290,0.390
2005,0.223,0.205,0.386,0.219,0.420,0.181,0.280,0.234,0.411,0.297,0.296,0.432,0.392,0.240,0.435,0.410,0.483,0.292,0.438,0.310,0.419,0.369,0.422,0.499,-0.068,-0.133,-0.248,-0.317,0.264,-0.143,-0.253,-0.030,0.133,-0.234,-0.023,0.004,0.322,0.353,0.481,0.449,0.191,0.120,0.325,0.357,0.508,0.388,0.344,0.484,0.144,0.238,0.476,0.092,0.304,-0.216,0.354,0.472,0.429,0.388,0.270,0.456
2006,0.317,0.231,0.329,0.295,0.281,0.077,0.291,0.187,0.382,0.274,0.277,0.418,0.510,0.254,0.317,0.529,0.376,0.215,0.461,0.260,0.387,0.329,0.409,0.482,-0.011,-0.109,0.058,-0.213,-0.084,-0.166,-0.454,0.038,0.192,-0.219,-0.032,0.022,0.411,0.413,0.414,0.371,0.156,-0.093,0.423,0.183,0.461,0.387,0.286,0.463,0.255,0.287,0.395,0.260,0.218,-0.162,0.505,0.282,0.383,0.357,0.257,0.434
2007,0.122,0.220,0.368,0.196,0.326,0.054,0.256,0.252,0.379,0.274,0.255,0.407,0.423,0.221,0.433,0.408,0.424,0.144,0.452,0.346,0.357,0.351,0.418,0.472,-0.348,0.000,-0.024,-0.382,-0.077,-0.736,-0.441,0.069,0.284,-0.255,-0.116,-0.008,0.280,0.321,0.393,0.278,0.225,0.299,0.327,0.370,0.488,0.356,0.292,0.456,-0.102,0.346,0.373,0.342,0.278,-0.037,0.350,0.154,0.446,0.356,0.152,0.432
2008,0.171,0.187,0.377,0.227,0.397,0.189,0.334,0.234,0.397,0.300,0.285,0.428,0.467,0.145,0.431,0.381,0.475,0.263,0.548,0.328,0.391,0.369,0.432,0.495,-0.326,0.044,-0.216,-0.198,0.095,0.094,-0.304,-0.005,0.328,-0.203,-0.074,0.037,0.253,0.328,0.475,0.307,0.443,0.072,0.378,0.387,0.441,0.390,0.329,0.464,0.210,0.379,0.426,0.307,0.177,0.053,0.293,0.252,0.421,0.369,0.240,0.442
2009,0.188,0.164,0.358,0.233,0.394,0.216,0.272,0.085,0.408,0.272,0.239,0.410,0.428,0.272,0.403,0.567,0.438,0.199,0.496,0.210,0.394,0.372,0.406,0.487,-0.284,-0.263,-0.309,-0.577,0.108,0.166,-0.515,-0.099,0.201,-0.376,-0.166,-0.084,0.345,0.179,0.477,0.364,0.467,0.404,0.366,0.034,0.528,0.384,0.264,0.472,0.172,0.093,0.438,0.287,0.540,0.118,0.326,0.077,0.492,0.329,0.232,0.440
2010,0.205,0.085,0.315,0.226,0.309,0.250,0.267,0.179,0.405,0.242,0.243,0.409,0.501,0.157,0.311,0.405,0.397,0.430,0.447,0.250,0.406,0.320,0.385,0.486,-0.280,-0.327,0.067,-0.255,-0.168,-0.341,-0.530,-0.019,0.196,-0.333,-0.134,-0.038,0.306,0.076,0.388,0.303,0.352,0.164,0.445,0.334,0.486,0.343,0.310,0.453,0.284,0.189,0.357,0.328,0.354,0.053,0.372,0.214,0.452,0.318,0.280,0.440
2011,0.056,0.166,0.451,0.218,0.342,0.246,0.336,0.206,0.406,0.328,0.234,0.427,0.376,0.211,0.444,0.496,0.407,0.312,0.529,0.347,0.411,0.393,0.412,0.506,-0.553,-0.362,0.012,-0.429,-0.024,-0.446,-0.364,-0.109,0.274,-0.299,-0.233,-0.058,0.192,0.316,0.553,0.469,0.493,0.283,0.421,0.363,0.431,0.446,0.359,0.482,0.240,0.313,0.569,-0.016,0.296,0.422,0.396,0.267,0.443,0.470,0.198,0.474
2012,0.098,0.166,0.373,0.172,0.414,0.212,0.363,0.219,0.446,0.308,0.259,0.435,0.437,0.232,0.399,0.390,0.471,0.209,0.592,0.329,0.448,0.393,0.429,0.517,-0.504,-0.273,-0.011,-0.448,0.008,-0.023,-0.330,-0.034,0.287,-0.227,-0.187,-0.020,0.266,0.280,0.429,0.394,0.567,0.236,0.434,0.338,0.485,0.394,0.359,0.475,0.173,0.178,0.444,0.134,0.586,0.374,0.319,0.288,0.503,0.365,0.250,0.466
2013,0.220,0.053,0.409,0.189,0.421,0.182,0.317,0.210,0.421,0.278,0.279,0.421,0.456,0.152,0.477,0.439,0.457,0.176,0.526,0.308,0.416,0.373,0.419,0.495,-0.294,-0.360,-0.227,-0.549,0.188,-0.449,-0.317,0.017,0.274,-0.336,-0.113,-0.022,0.406,0.049,0.494,0.424,0.502,0.491,0.358,0.267,0.496,0.373,0.374,0.472,0.338,0.036,0.475,0.309,0.450,0.271,0.385,0.271,0.463,0.359,0.337,0.465
