"year","dvrpc_female","dvrpc_latinx","dvrpc_asian","dvrpc_black","dvrpc_minority","njcos_female","njcos_latinx","njcos_asian","njcos_black","njcos_minority","pasubcos_female","pasubcos_latinx","pasubcos_asian","pasubcos_black","pasubcos_minority","bucks_female","bucks_latinx","bucks_asian","bucks_black","bucks_minority","burl_female","burl_latinx","burl_asian","burl_black","burl_minority","camd_female","camd_latinx","camd_asian","camd_black","camd_minority","ches_female","ches_latinx","ches_asian","ches_black","ches_minority","del_female","del_latinx","del_asian","del_black","del_minority","glo_female","glo_latinx","glo_asian","glo_black","glo_minority","mer_female","mer_latinx","mer_asian","mer_black","mer_minority","mont_female","mont_latinx","mont_asian","mont_black","mont_minority","phil_female","phil_latinx","phil_asian","phil_black","phil_minority"
"2007",0.049,0.122,0.022,0.209,0.128,0.062,0.099,0.011,0.179,0.116,0.031,0.108,0.024,0.165,0.085,0.031,0.128,0.023,0.106,0.045,0.066,0.042,0.032,0.154,0.124,0.067,0.129,0.056,0.172,0.141,0.022,0.150,-0.023,0.169,0.038,0.034,0.039,0.086,0.186,0.155,0.040,0.043,0.085,0.150,0.130,0.067,0.106,-0.021,0.238,0.085,0.034,0.082,0.034,0.161,0.084,0.052,0.118,0.012,0.248,0.170
"2008",0.026,0.078,0.045,0.141,0.093,0.022,0.083,0.000,0.143,0.076,0.019,0.049,0.052,0.067,0.064,0.020,-0.001,0.060,-0.021,0.052,0.070,0.127,-0.001,0.130,0.083,0.002,0.113,0.019,0.115,0.084,0.023,0.122,0.014,0.023,0.033,0.027,0.118,0.043,0.110,0.083,0.007,-0.061,0.053,0.241,0.164,-0.003,0.064,-0.018,0.138,0.034,0.012,-0.016,0.075,0.086,0.080,0.027,0.056,0.081,0.183,0.139
"2009",0.026,0.058,0.082,0.134,0.097,0.024,0.054,0.057,0.087,0.067,0.018,0.062,0.074,0.128,0.082,0.022,0.085,0.058,0.138,0.059,0.050,-0.020,0.038,0.081,0.056,0.004,0.057,0.103,0.113,0.108,0.028,0.078,0.078,0.123,0.103,-0.001,0.010,0.090,0.189,0.118,0.009,0.041,0.065,0.110,0.083,0.030,0.112,0.037,0.054,0.038,0.020,0.039,0.075,0.078,0.065,0.039,0.017,0.118,0.173,0.141
"2010",0.031,0.066,0.039,0.102,0.066,0.040,0.057,0.031,0.113,0.069,0.025,0.065,0.026,0.057,0.036,0.047,0.084,0.043,-0.041,0.026,0.013,-0.045,0.051,0.057,0.055,0.034,0.120,0.086,0.149,0.112,-0.005,0.113,-0.011,0.089,0.021,0.026,0.050,0.049,0.072,0.054,0.082,0.106,0.072,0.163,0.130,0.036,0.070,0.023,0.122,0.056,0.028,0.009,0.025,0.056,0.039,0.011,0.037,0.063,0.118,0.094
"2011",0.028,0.075,0.065,0.124,0.085,0.037,0.106,0.072,0.080,0.074,0.020,0.022,0.039,0.107,0.061,0.046,-0.005,0.051,0.085,0.059,0.058,0.094,0.084,0.047,0.073,0.049,0.126,0.101,0.080,0.085,0.030,0.003,0.006,0.168,0.045,0.000,0.045,0.107,0.152,0.133,0.008,0.060,0.194,0.085,0.136,0.020,0.116,0.038,0.138,0.052,0.005,0.055,0.026,0.063,0.037,0.017,0.066,0.094,0.174,0.127
"2012",0.035,0.058,0.037,0.178,0.093,0.032,0.045,0.033,0.158,0.092,0.035,0.065,0.035,0.149,0.069,0.058,0.103,-0.002,0.141,0.023,0.032,0.072,0.040,0.114,0.097,0.050,0.065,0.081,0.190,0.140,-0.003,0.050,0.053,0.158,0.081,0.026,0.024,0.054,0.150,0.094,0.008,0.111,0.180,0.193,0.184,0.029,-0.022,0.014,0.186,0.044,0.047,0.067,0.037,0.153,0.072,0.017,0.024,0.026,0.201,0.111
"2013",0.018,0.082,0.060,0.149,0.091,0.011,0.091,0.049,0.144,0.085,0.018,0.097,0.052,0.134,0.079,0.018,0.110,0.029,0.057,0.045,0.021,0.027,0.056,0.175,0.106,0.026,0.132,0.140,0.111,0.141,0.018,0.141,0.035,0.050,0.048,0.036,0.102,0.107,0.222,0.155,-0.011,0.165,-0.001,0.051,0.035,-0.005,0.074,0.014,0.238,0.049,0.007,0.051,0.059,0.136,0.084,0.019,0.004,0.078,0.160,0.108
"2014",0.024,0.085,0.037,0.131,0.072,0.023,0.106,0.042,0.097,0.066,0.021,0.049,0.024,0.097,0.050,0.022,-0.021,0.052,0.017,0.054,0.019,0.056,0.018,0.172,0.093,0.037,0.149,0.077,0.033,0.068,0.025,0.143,0.009,0.073,0.021,0.044,0.099,0.004,0.183,0.094,0.032,0.028,0.055,0.023,0.042,0.000,0.134,0.034,0.096,0.051,0.008,-0.012,0.021,0.069,0.045,0.021,0.087,0.046,0.201,0.105
"2015",0.013,0.059,0.043,0.104,0.065,0.004,0.034,0.078,0.093,0.083,0.008,0.057,0.014,0.076,0.034,0.012,0.007,0.011,0.006,0.014,-0.011,-0.026,0.068,0.062,0.066,0.025,0.035,0.076,0.115,0.099,0.026,0.109,-0.011,0.050,0.001,0.000,0.108,0.042,0.067,0.060,0.013,0.080,0.138,0.155,0.134,-0.011,0.049,0.077,0.084,0.079,-0.002,0.041,0.017,0.118,0.049,0.029,0.076,0.049,0.144,0.086
"2016",0.028,0.083,0.036,0.109,0.062,0.029,0.131,0.027,0.102,0.058,0.028,0.056,0.049,0.125,0.073,0.018,0.032,0.020,0.115,0.044,0.041,0.127,-0.018,0.075,0.031,0.018,0.130,0.091,0.113,0.100,0.039,0.096,0.058,0.181,0.080,0.020,0.108,0.061,0.118,0.086,0.044,0.180,-0.035,0.162,0.098,0.012,0.107,0.032,0.084,0.041,0.033,0.031,0.056,0.119,0.082,0.022,0.019,0.015,0.080,0.038
"2017",0.024,0.058,0.031,0.110,0.060,0.022,0.047,0.055,0.132,0.094,0.020,0.055,0.029,0.075,0.043,0.042,0.071,0.006,0.076,0.021,0.045,0.041,0.058,0.113,0.088,0.001,0.046,0.050,0.178,0.131,0.034,0.079,0.039,0.068,0.044,0.005,0.030,0.052,0.126,0.088,0.019,0.057,0.019,0.045,0.057,0.021,0.040,0.053,0.154,0.077,0.003,0.034,0.031,0.034,0.031,0.039,0.069,0.007,0.127,0.045
"2018",0.002,0.072,0.038,0.109,0.079,-0.011,0.069,0.049,0.104,0.083,0.001,0.063,0.042,0.108,0.074,0.017,0.098,0.014,0.023,0.018,-0.019,0.048,0.019,0.067,0.050,-0.002,0.071,0.059,0.125,0.109,-0.003,0.021,0.009,0.141,0.040,-0.016,0.062,0.102,0.145,0.135,-0.020,0.050,0.092,0.065,0.071,0.016,0.088,0.054,0.158,0.094,0.003,0.062,0.055,0.070,0.062,-0.003,0.072,0.036,0.131,0.091
"2019",0.002,0.053,0.031,0.089,0.066,-0.001,0.048,0.034,0.076,0.063,-0.001,0.057,0.035,0.080,0.058,0.000,0.042,0.012,0.062,0.030,0.013,0.056,0.020,0.074,0.058,0.002,0.043,0.074,0.083,0.085,-0.012,0.064,0.006,0.109,0.032,-0.006,0.070,0.083,0.097,0.094,-0.005,0.042,0.026,0.064,0.059,-0.026,0.057,0.012,0.090,0.044,0.006,0.059,0.048,0.062,0.055,0.001,0.037,0.030,0.118,0.081
"2020",0.002,0.056,0.038,0.087,0.069,-0.007,0.055,0.054,0.085,0.074,0.011,0.069,0.033,0.099,0.066,0.017,0.041,0.009,0.037,0.020,-0.007,0.060,0.032,0.063,0.056,0.004,0.021,0.081,0.104,0.097,0.026,0.099,-0.010,0.109,0.016,0.003,0.049,0.105,0.123,0.121,-0.007,0.068,0.103,0.084,0.083,-0.031,0.058,0.041,0.092,0.063,-0.001,0.081,0.045,0.089,0.066,-0.014,0.016,0.044,0.099,0.079
"2021",0.014,0.050,0.021,0.085,0.060,0.015,0.039,0.027,0.094,0.071,0.013,0.061,0.024,0.095,0.058,0.008,0.088,0.032,0.077,0.047,0.018,0.054,0.024,0.068,0.052,0.020,0.014,0.025,0.117,0.096,0.012,0.043,0.004,0.081,0.019,0.015,0.035,0.062,0.116,0.101,0.011,0.049,0.067,0.080,0.078,0.012,0.039,0.022,0.107,0.055,0.011,0.069,0.021,0.077,0.045,0.001,0.042,0.025,0.086,0.063
"2022",0.008,0.058,0.023,0.095,0.065,0.002,0.056,0.036,0.095,0.075,0.011,0.077,0.032,0.099,0.059,0.030,0.094,0.022,0.099,0.040,-0.005,0.059,0.034,0.076,0.060,-0.010,0.025,0.053,0.116,0.100,0.044,0.094,0.010,0.137,0.034,-0.014,0.037,0.071,0.102,0.092,0.007,0.103,0.061,0.113,0.104,0.005,0.055,0.005,0.087,0.044,-0.007,0.080,0.035,0.095,0.055,-0.009,0.024,0.009,0.107,0.066
"2023",0.006,0.059,0.025,0.090,0.062,-0.007,0.045,0.036,0.088,0.065,0.016,0.090,0.030,0.092,0.056,0.060,0.046,0.022,0.049,0.029,0.005,0.038,0.033,0.089,0.066,-0.005,0.052,0.019,0.104,0.076,0.016,0.177,-0.004,0.131,0.017,0.007,0.068,0.070,0.108,0.101,-0.020,0.063,0.087,0.092,0.095,-0.030,0.026,0.034,0.082,0.053,-0.004,0.070,0.044,0.115,0.067,-0.006,0.035,0.015,0.100,0.070
