"year","dvrpc_female","dvrpc_latinx","dvrpc_asian","dvrpc_black","dvrpc_minority","njcos_female","njcos_latinx","njcos_asian","njcos_black","njcos_minority","pasubcos_female","pasubcos_latinx","pasubcos_asian","pasubcos_black","pasubcos_minority","bucks_female","bucks_latinx","bucks_asian","bucks_black","bucks_minority","burl_female","burl_latinx","burl_asian","burl_black","burl_minority","camd_female","camd_latinx","camd_asian","camd_black","camd_minority","ches_female","ches_latinx","ches_asian","ches_black","ches_minority","del_female","del_latinx","del_asian","del_black","del_minority","glo_female","glo_latinx","glo_asian","glo_black","glo_minority","mer_female","mer_latinx","mer_asian","mer_black","mer_minority","mont_female","mont_latinx","mont_asian","mont_black","mont_minority","phil_female","phil_latinx","phil_asian","phil_black","phil_minority"
2007,0.104,0.239,0.133,0.340,0.298,0.105,0.191,0.041,0.233,0.214,0.068,0.174,0.136,0.336,0.258,0.049,0.253,0.134,0.192,0.184,0.129,0.145,-0.002,0.242,0.213,0.088,0.195,-0.022,0.212,0.188,0.025,0.149,0.096,0.329,0.275,0.122,0.079,0.323,0.338,0.319,0.116,0.164,0.156,0.188,0.206,0.058,0.210,0.107,0.263,0.245,0.063,0.179,0.063,0.353,0.214,0.102,0.190,0.124,0.316,0.284
2008,0.131,0.306,0.189,0.317,0.283,0.094,0.251,0.141,0.234,0.212,0.125,0.250,0.137,0.298,0.222,0.152,0.381,0.111,0.406,0.184,0.117,0.242,0.114,0.265,0.241,0.017,0.280,0.141,0.230,0.201,0.087,0.211,0.057,0.320,0.237,0.140,0.148,0.163,0.224,0.203,0.165,0.058,0.150,0.257,0.258,0.117,0.237,0.105,0.112,0.112,0.106,0.154,0.150,0.305,0.227,0.102,0.228,0.191,0.254,0.246
2009,0.137,0.341,0.160,0.358,0.309,0.068,0.323,0.142,0.247,0.230,0.131,0.145,0.102,0.347,0.215,0.166,0.309,0.037,0.445,0.135,0.084,0.431,-0.032,0.282,0.252,0.064,0.324,0.163,0.146,0.158,0.073,0.210,0.233,0.189,0.267,0.130,0.043,-0.006,0.334,0.210,0.076,0.083,0.115,0.340,0.297,0.007,0.355,0.175,0.266,0.242,0.122,0.074,0.168,0.301,0.203,0.135,0.262,0.163,0.246,0.242
2010,0.120,0.304,0.222,0.310,0.289,0.096,0.165,0.023,0.208,0.178,0.107,0.265,0.241,0.321,0.273,0.069,0.387,0.284,0.151,0.180,0.163,0.104,0.186,0.320,0.279,0.056,0.253,0.032,0.155,0.158,0.094,0.257,0.378,0.207,0.278,0.144,0.228,0.174,0.437,0.313,0.056,-0.124,-0.311,0.175,0.177,0.145,0.052,-0.064,0.199,0.106,0.126,0.148,0.228,0.307,0.273,0.094,0.288,0.265,0.235,0.245
2011,0.110,0.254,0.186,0.346,0.299,0.072,0.231,0.170,0.186,0.178,0.092,0.131,0.163,0.297,0.244,0.033,0.098,0.148,0.056,0.192,0.135,0.280,0.237,0.312,0.279,0.038,0.233,0.243,0.018,0.079,0.147,0.166,-0.022,0.343,0.162,0.100,0.427,0.237,0.290,0.276,0.038,0.199,0.154,0.094,0.098,0.064,0.214,0.111,0.429,0.267,0.099,-0.179,0.161,0.342,0.226,0.130,0.177,0.154,0.304,0.279
2012,0.121,0.278,0.207,0.304,0.284,0.096,0.217,0.191,0.138,0.186,0.109,0.106,0.157,0.339,0.256,0.102,0.074,0.300,0.255,0.261,0.180,0.191,0.157,0.177,0.194,0.031,0.216,0.211,0.047,0.108,0.046,0.034,-0.236,0.212,0.066,0.197,0.335,0.303,0.428,0.411,0.078,0.136,0.345,0.049,0.166,0.131,0.357,0.178,0.345,0.324,0.077,0.128,0.089,0.379,0.214,0.117,0.275,0.208,0.250,0.247
2013,0.115,0.235,0.175,0.330,0.294,0.092,0.190,0.054,0.173,0.160,0.102,0.119,0.236,0.287,0.263,0.130,0.155,0.230,0.397,0.297,0.117,0.322,0.167,0.167,0.167,0.124,0.160,0.078,0.143,0.162,0.064,-0.061,0.105,0.201,0.127,0.096,0.108,0.120,0.357,0.267,-0.012,0.057,0.049,0.237,0.168,0.125,0.215,0.056,0.193,0.165,0.095,0.277,0.383,0.194,0.289,0.113,0.218,0.132,0.300,0.281
2014,0.103,0.235,0.209,0.364,0.326,0.068,0.258,0.170,0.210,0.214,0.083,0.075,0.239,0.360,0.293,0.075,0.154,0.219,0.302,0.191,0.044,0.042,0.051,0.193,0.161,0.026,0.386,0.195,0.226,0.255,0.100,-0.085,0.006,0.165,0.115,0.067,-0.068,0.227,0.461,0.372,0.127,0.173,0.118,0.102,0.118,0.129,0.305,0.328,0.418,0.363,0.086,0.150,0.337,0.344,0.345,0.124,0.213,0.122,0.333,0.314
2015,0.119,0.212,0.156,0.375,0.307,0.088,0.204,0.128,0.198,0.182,0.088,-0.047,0.118,0.325,0.226,0.054,-0.069,0.045,0.486,0.157,0.058,0.079,0.259,0.233,0.220,0.116,0.244,0.380,0.236,0.272,0.035,0.191,-0.060,0.171,0.123,0.139,-0.210,0.076,0.326,0.224,0.055,0.146,-0.361,-0.111,-0.075,0.131,0.260,-0.162,0.352,0.156,0.114,-0.167,0.295,0.321,0.315,0.168,0.199,0.129,0.309,0.274
2016,0.081,0.248,0.079,0.324,0.247,0.098,0.232,0.146,0.165,0.159,0.044,0.169,0.030,0.339,0.189,0.087,0.198,0.044,0.346,0.145,0.123,0.334,0.181,0.053,0.074,0.069,0.272,0.214,0.135,0.188,0.015,0.250,-0.105,0.427,0.193,0.035,0.239,0.112,0.469,0.340,0.136,0.206,0.275,0.375,0.330,0.031,-0.017,-0.088,0.286,0.091,0.030,0.064,0.016,0.173,0.088,0.111,0.210,0.019,0.301,0.251
2017,0.084,0.282,0.106,0.307,0.243,0.128,0.298,0.075,0.188,0.150,0.028,0.149,0.078,0.284,0.201,0.000,0.221,-0.068,-0.049,-0.016,0.167,0.209,0.115,0.207,0.178,0.135,0.376,0.037,0.217,0.140,0.008,0.014,-0.142,0.112,0.001,0.096,0.202,0.325,0.498,0.415,0.141,0.222,0.328,0.081,0.180,-0.034,0.212,-0.084,0.118,0.056,0.017,0.175,0.202,0.247,0.245,0.124,0.277,0.123,0.331,0.285
2018,0.006,0.261,0.182,0.282,0.255,0.017,0.210,0.127,0.233,0.197,-0.010,0.258,0.194,0.282,0.242,-0.013,0.304,0.231,0.236,0.233,0.025,0.208,0.144,0.263,0.220,0.022,0.185,0.208,0.234,0.243,0.016,0.185,0.093,0.234,0.154,0.032,0.318,0.324,0.311,0.312,0.014,0.081,0.134,0.156,0.179,0.000,0.303,0.039,0.215,0.110,-0.057,0.223,0.140,0.216,0.182,-0.013,0.185,0.129,0.205,0.194
2019,0.019,0.259,0.199,0.284,0.264,0.009,0.203,0.122,0.236,0.200,0.006,0.248,0.208,0.273,0.250,0.017,0.254,0.176,0.215,0.200,-0.010,0.206,0.137,0.231,0.207,-0.008,0.213,0.214,0.236,0.234,0.012,0.182,0.085,0.197,0.123,-0.014,0.231,0.341,0.337,0.342,-0.013,0.151,0.168,0.105,0.122,0.088,0.177,-0.009,0.308,0.173,0.006,0.282,0.184,0.169,0.184,0.000,0.194,0.183,0.227,0.221
2020,0.030,0.240,0.190,0.282,0.258,0.027,0.256,0.146,0.220,0.186,0.024,0.205,0.165,0.290,0.233,-0.004,0.111,0.190,0.209,0.185,0.000,0.264,0.150,0.195,0.180,0.024,0.284,0.319,0.211,0.239,0.018,0.338,0.053,0.187,0.102,0.048,0.107,0.196,0.363,0.318,0.081,0.172,0.132,0.218,0.159,0.015,0.222,0.045,0.265,0.129,0.020,0.270,0.185,0.188,0.198,-0.004,0.140,0.200,0.222,0.224
2021,0.050,0.256,0.157,0.302,0.267,0.033,0.277,0.098,0.211,0.181,0.035,0.218,0.144,0.297,0.235,0.024,0.224,0.079,0.295,0.175,0.053,0.258,0.134,0.203,0.190,0.016,0.307,0.137,0.211,0.204,0.051,0.149,0.044,0.402,0.172,0.026,0.299,0.228,0.284,0.282,0.030,0.296,0.120,0.275,0.229,0.035,0.169,0.029,0.133,0.091,0.027,0.232,0.179,0.230,0.204,0.029,0.128,0.152,0.241,0.229
2022,0.053,0.235,0.157,0.301,0.266,0.048,0.235,0.078,0.243,0.192,0.031,0.197,0.152,0.303,0.240,0.006,0.156,0.092,0.226,0.140,0.105,0.279,0.073,0.265,0.209,-0.003,0.279,0.097,0.242,0.213,0.061,0.219,0.077,0.267,0.141,0.028,0.243,0.249,0.344,0.320,0.068,0.056,0.268,0.164,0.200,0.018,0.221,0.024,0.286,0.144,0.025,0.212,0.178,0.253,0.226,0.029,0.132,0.153,0.192,0.191
2023,0.030,0.233,0.202,0.284,0.272,0.017,0.253,0.176,0.184,0.188,0.030,0.179,0.197,0.292,0.267,0.010,0.201,0.182,0.241,0.215,0.020,0.208,0.169,0.168,0.175,0.018,0.273,0.182,0.203,0.205,0.072,0.117,0.119,0.298,0.204,0.003,0.246,0.290,0.290,0.300,0.040,0.268,0.054,0.183,0.156,-0.057,0.231,0.233,0.151,0.199,0.025,0.172,0.194,0.259,0.244,-0.015,0.097,0.154,0.186,0.187
2024,0.025,0.223,0.202,0.287,0.273,0.029,0.210,0.166,0.204,0.204,0.015,0.232,0.204,0.299,0.270,-0.012,0.138,0.189,0.227,0.215,-0.022,0.204,0.246,0.192,0.213,0.072,0.151,0.252,0.242,0.254,-0.020,0.216,0.134,0.207,0.162,0.024,0.294,0.312,0.347,0.345,0.098,0.247,0.177,0.167,0.187,-0.056,0.282,0.041,0.186,0.129,0.029,0.267,0.202,0.236,0.230,-0.029,0.103,0.155,0.185,0.184
