"year","dvrpc_female","dvrpc_latinx","dvrpc_asian","dvrpc_black","dvrpc_minority","njcos_female","njcos_latinx","njcos_asian","njcos_black","njcos_minority","pasubcos_female","pasubcos_latinx","pasubcos_asian","pasubcos_black","pasubcos_minority","bucks_female","bucks_latinx","bucks_asian","bucks_black","bucks_minority","burl_female","burl_latinx","burl_asian","burl_black","burl_minority","camd_female","camd_latinx","camd_asian","camd_black","camd_minority","ches_female","ches_latinx","ches_asian","ches_black","ches_minority","del_female","del_latinx","del_asian","del_black","del_minority","glo_female","glo_latinx","glo_asian","glo_black","glo_minority","mer_female","mer_latinx","mer_asian","mer_black","mer_minority","mont_female","mont_latinx","mont_asian","mont_black","mont_minority","phil_female","phil_latinx","phil_asian","phil_black","phil_minority"
2007,0.111,0.171,0.072,0.229,0.202,0.103,0.169,0.029,0.191,0.166,0.112,0.159,0.069,0.232,0.186,0.084,0.216,0.074,0.196,0.128,0.114,0.165,0.044,0.197,0.182,0.116,0.190,0.067,0.182,0.164,0.117,0.115,-0.088,0.249,0.156,0.124,0.165,0.153,0.273,0.250,0.091,0.104,-0.093,0.194,0.148,0.073,0.161,0.019,0.201,0.163,0.125,0.134,0.101,0.194,0.170,0.089,0.105,0.106,0.212,0.201
2008,0.131,0.160,0.070,0.278,0.227,0.111,0.171,0.062,0.199,0.171,0.145,0.118,0.019,0.304,0.195,0.128,0.105,0.045,0.312,0.165,0.149,0.153,0.076,0.236,0.218,0.068,0.142,0.098,0.176,0.164,0.150,0.132,-0.038,0.239,0.131,0.182,0.117,0.031,0.347,0.266,0.137,0.182,0.085,0.164,0.153,0.078,0.203,0.011,0.188,0.121,0.130,0.122,0.029,0.291,0.185,0.098,0.115,0.175,0.287,0.276
2009,0.092,0.159,0.054,0.258,0.150,0.089,0.158,0.041,0.190,0.117,0.087,0.073,0.023,0.233,0.096,0.094,0.043,0.041,0.183,0.082,0.097,0.145,0.058,0.195,0.143,0.088,0.169,0.129,0.170,0.149,0.081,0.111,0.001,0.264,0.077,0.090,0.004,0.047,0.288,0.172,0.080,0.087,0.107,0.217,0.171,0.082,0.197,-0.011,0.200,0.055,0.081,0.098,0.020,0.196,0.079,0.075,0.215,0.166,0.311,0.260
2010,0.071,0.141,0.039,0.243,0.123,0.099,0.150,0.037,0.210,0.112,0.054,0.061,0.018,0.189,0.068,0.048,0.041,0.002,0.175,0.040,0.109,0.103,0.055,0.189,0.132,0.123,0.205,0.102,0.248,0.178,0.061,0.109,-0.005,0.197,0.044,0.061,-0.059,0.049,0.241,0.128,0.084,0.056,0.190,0.140,0.150,0.061,0.195,-0.006,0.265,0.054,0.049,0.091,0.032,0.156,0.069,0.039,0.192,0.114,0.281,0.227
2011,0.055,0.123,0.048,0.200,0.113,0.061,0.110,0.016,0.155,0.078,0.041,0.065,0.032,0.180,0.082,0.043,0.063,0.041,0.117,0.067,0.071,0.051,0.066,0.112,0.099,0.046,0.163,0.102,0.192,0.142,0.041,0.061,-0.017,0.195,0.034,0.049,0.129,0.042,0.227,0.128,0.062,0.101,0.095,0.154,0.128,0.057,0.137,-0.035,0.199,0.021,0.034,0.056,0.055,0.156,0.093,0.063,0.187,0.147,0.212,0.184
2012,0.049,0.106,0.048,0.177,0.103,0.051,0.097,0.018,0.128,0.071,0.038,0.070,0.040,0.150,0.075,0.045,0.093,0.045,0.159,0.071,0.047,0.011,0.042,0.114,0.087,0.050,0.125,0.070,0.114,0.095,0.041,0.107,-0.013,0.125,0.020,0.035,0.046,0.035,0.209,0.115,0.031,0.079,0.016,0.117,0.086,0.071,0.143,-0.007,0.188,0.041,0.029,0.031,0.071,0.115,0.087,0.057,0.143,0.113,0.217,0.173
2013,0.045,0.116,0.053,0.173,0.111,0.044,0.091,0.019,0.102,0.063,0.039,0.088,0.038,0.173,0.089,0.045,0.081,0.079,0.170,0.102,0.054,0.045,-0.055,0.104,0.045,0.038,0.128,0.086,0.088,0.092,0.056,0.053,0.017,0.138,0.055,0.029,0.082,0.080,0.224,0.153,0.047,0.020,0.066,0.097,0.088,0.029,0.142,0.030,0.122,0.057,0.028,0.122,0.013,0.158,0.072,0.037,0.169,0.128,0.210,0.177
2014,0.043,0.137,0.070,0.218,0.162,0.033,0.157,0.028,0.173,0.119,0.045,0.089,0.055,0.213,0.138,0.022,0.135,0.064,0.259,0.118,0.024,0.078,0.004,0.169,0.121,0.049,0.188,0.074,0.117,0.107,0.028,0.148,0.030,0.208,0.125,0.063,-0.028,0.022,0.255,0.187,0.004,0.136,0.020,0.201,0.164,0.055,0.197,0.029,0.249,0.123,0.060,0.060,0.076,0.159,0.120,0.026,0.110,0.135,0.229,0.203
2015,0.042,0.138,0.022,0.239,0.140,0.024,0.103,0.009,0.194,0.118,0.049,0.116,0.013,0.238,0.109,0.031,0.139,-0.001,0.211,0.062,0.016,0.008,0.008,0.182,0.122,0.011,0.124,0.107,0.135,0.127,0.053,0.120,-0.054,0.193,0.059,0.074,0.181,0.112,0.209,0.161,0.037,0.060,0.110,0.227,0.213,0.033,0.196,-0.021,0.273,0.075,0.045,0.065,0.030,0.291,0.139,0.019,0.176,0.030,0.236,0.167
2016,0.059,0.136,0.032,0.235,0.136,0.057,0.069,0.018,0.202,0.116,0.053,0.145,-0.003,0.194,0.082,0.058,0.191,0.017,0.166,0.070,0.094,0.004,0.023,0.230,0.151,0.033,0.070,0.121,0.218,0.180,0.052,0.095,-0.061,0.195,0.030,0.048,0.200,-0.050,0.236,0.122,0.067,0.132,0.011,0.086,0.074,0.003,0.108,-0.012,0.245,0.067,0.049,0.119,0.039,0.177,0.100,0.057,0.159,0.128,0.271,0.220
