"year","dvrpc_female","dvrpc_male","dvrpc_latinx","dvrpc_nonlatinx","dvrpc_asian","dvrpc_black","dvrpc_minority","dvrpc_white","dvrpc_all","njcos_female","njcos_male","njcos_latinx","njcos_nonlatinx","njcos_asian","njcos_black","njcos_minority","njcos_white","njcos_all","pasubcos_female","pasubcos_male","pasubcos_latinx","pasubcos_nonlatinx","pasubcos_asian","pasubcos_black","pasubcos_minority","pasubcos_white","pasubcos_all","bucks_female","bucks_male","bucks_latinx","bucks_nonlatinx","bucks_asian","bucks_black","bucks_minority","bucks_white","bucks_all","burl_female","burl_male","burl_latinx","burl_nonlatinx","burl_asian","burl_black","burl_minority","burl_white","burl_all","camd_female","camd_male","camd_latinx","camd_nonlatinx","camd_asian","camd_black","camd_minority","camd_white","camd_all","ches_female","ches_male","ches_latinx","ches_nonlatinx","ches_asian","ches_black","ches_minority","ches_white","ches_all","del_female","del_male","del_latinx","del_nonlatinx","del_asian","del_black","del_minority","del_white","del_all","glo_female","glo_male","glo_latinx","glo_nonlatinx","glo_asian","glo_black","glo_minority","glo_white","glo_all","mer_female","mer_male","mer_latinx","mer_nonlatinx","mer_asian","mer_black","mer_minority","mer_white","mer_all","mont_female","mont_male","mont_latinx","mont_nonlatinx","mont_asian","mont_black","mont_minority","mont_white","mont_all","phil_female","phil_male","phil_latinx","phil_nonlatinx","phil_asian","phil_black","phil_minority","phil_white","phil_all"
2007,0.646,0.755,0.569,0.737,0.741,0.492,0.553,0.758,0.650,0.624,0.732,0.575,0.720,0.764,0.534,0.580,0.740,0.646,0.698,0.792,0.639,0.777,0.770,0.535,0.625,0.781,0.719,,,,,,,,,0.721,,,,,,,,,0.656,,,,,,,,,0.620,,,,,,,,,0.752,,,,,,,,,0.670,,,,,,,,,0.674,,,,,,,,,0.648,,,,,,,,,0.731,,,,,,,,,0.552
2008,0.631,0.747,0.561,0.721,0.710,0.468,0.544,0.744,0.642,0.627,0.724,0.553,0.709,0.727,0.526,0.582,0.725,0.645,0.662,0.781,0.652,0.753,0.757,0.504,0.619,0.764,0.701,,,,,,,,,0.702,,,,,,,,,0.664,,,,,,,,,0.610,,,,,,,,,0.733,,,,,,,,,0.650,,,,,,,,,0.672,,,,,,,,,0.644,,,,,,,,,0.714,,,,,,,,,0.539
2009,0.737,0.820,0.665,0.809,0.765,0.574,0.675,0.821,0.739,0.715,0.792,0.640,0.783,0.757,0.622,0.688,0.793,0.728,0.774,0.848,0.771,0.837,0.811,0.629,0.750,0.843,0.790,,,,,,,,,0.787,,,,,,,,,0.745,,,,,,,,,0.703,,,,,,,,,0.812,,,,,,,,,0.751,,,,,,,,,0.729,,,,,,,,,0.734,,,,,,,,,0.801,,,,,,,,,0.627
2010,0.748,0.817,0.679,0.809,0.783,0.597,0.700,0.819,0.743,0.703,0.790,0.665,0.780,0.767,0.604,0.690,0.789,0.729,0.788,0.841,0.765,0.835,0.820,0.680,0.776,0.839,0.791,,,,,,,,,0.792,,,,,,,,,0.746,,,,,,,,,0.699,,,,,,,,,0.808,,,,,,,,,0.753,,,,,,,,,0.724,,,,,,,,,0.747,,,,,,,,,0.800,,,,,,,,,0.637
2011,0.746,0.805,0.673,0.800,0.761,0.593,0.688,0.810,0.730,0.719,0.779,0.663,0.775,0.758,0.635,0.702,0.781,0.720,0.787,0.830,0.769,0.825,0.799,0.660,0.750,0.831,0.780,,,,,,,,,0.783,,,,,,,,,0.732,,,,,,,,,0.685,,,,,,,,,0.810,,,,,,,,,0.724,,,,,,,,,0.725,,,,,,,,,0.744,,,,,,,,,0.790,,,,,,,,,0.615
2012,0.766,0.821,0.705,0.816,0.782,0.626,0.713,0.826,0.750,0.747,0.802,0.705,0.796,0.784,0.670,0.725,0.804,0.743,0.799,0.842,0.772,0.839,0.808,0.677,0.766,0.843,0.797,,,,,,,,,0.798,,,,,,,,,0.752,,,,,,,,,0.704,,,,,,,,,0.823,,,,,,,,,0.749,,,,,,,,,0.745,,,,,,,,,0.776,,,,,,,,,0.806,,,,,,,,,0.632
2013,0.766,0.815,0.693,0.812,0.779,0.624,0.706,0.822,0.745,0.752,0.798,0.699,0.797,0.790,0.682,0.734,0.803,0.739,0.796,0.836,0.743,0.833,0.802,0.664,0.751,0.838,0.791,,,,,,,,,0.789,,,,,,,,,0.749,,,,,,,,,0.710,,,,,,,,,0.812,,,,,,,,,0.746,,,,,,,,,0.745,,,,,,,,,0.759,,,,,,,,,0.804,,,,,,,,,0.643
2014,0.737,0.794,0.663,0.789,0.776,0.564,0.665,0.805,0.708,0.729,0.770,0.636,0.769,0.767,0.604,0.676,0.779,0.708,0.772,0.822,0.756,0.816,0.805,0.628,0.730,0.825,0.762,,,,,,,,,0.768,,,,,,,,,0.719,,,,,,,,,0.680,,,,,,,,,0.785,,,,,,,,,0.702,,,,,,,,,0.715,,,,,,,,,0.725,,,,,,,,,0.780,,,,,,,,,0.606
2015,0.772,0.816,0.703,0.813,0.810,0.597,0.707,0.826,0.735,0.769,0.798,0.719,0.796,0.786,0.636,0.707,0.808,0.732,0.802,0.839,0.769,0.836,0.843,0.657,0.770,0.842,0.785,,,,,,,,,0.783,,,,,,,,,0.746,,,,,,,,,0.710,,,,,,,,,0.805,,,,,,,,,0.736,,,,,,,,,0.731,,,,,,,,,0.745,,,,,,,,,0.801,,,,,,,,,0.631
2016,0.775,0.819,0.704,0.814,0.815,0.622,0.724,0.826,0.733,0.758,0.802,0.703,0.799,0.801,0.645,0.721,0.809,0.727,0.800,0.838,0.743,0.832,0.835,0.669,0.769,0.838,0.775,,,,,,,,,0.773,,,,,,,,,0.735,,,,,,,,,0.707,,,,,,,,,0.796,,,,,,,,,0.736,,,,,,,,,0.738,,,,,,,,,0.733,,,,,,,,,0.785,,,,,,,,,0.651
2017,0.805,0.840,0.748,0.837,0.840,0.661,0.753,0.848,0.763,0.786,0.820,0.727,0.818,0.804,0.671,0.730,0.828,0.755,0.834,0.858,0.806,0.855,0.856,0.731,0.803,0.860,0.805,,,,,,,,,0.804,,,,,,,,,0.763,,,,,,,,,0.733,,,,,,,,,0.822,,,,,,,,,0.760,,,,,,,,,0.769,,,,,,,,,0.763,,,,,,,,,0.823,,,,,,,,,0.692
2018,0.704,0.711,0.667,0.755,0.748,0.585,0.640,0.783,0.745,0.718,0.717,0.692,0.755,0.737,0.644,0.671,0.769,0.745,0.740,0.740,0.702,0.783,0.761,0.640,0.695,0.795,0.776,,,,,,,,,0.773,,,,,,,,,0.750,,,,,,,,,0.729,,,,,,,,,0.800,,,,,,,,,0.736,,,,,,,,,0.762,,,,,,,,,0.745,,,,,,,,,0.786,,,,,,,,,0.682
2019,0.738,0.754,0.702,0.789,0.782,0.622,0.677,0.815,0.778,0.759,0.763,0.743,0.790,0.786,0.686,0.717,0.805,0.782,0.778,0.782,0.723,0.819,0.795,0.692,0.739,0.828,0.810,,,,,,,,,0.807,,,,,,,,,0.788,,,,,,,,,0.769,,,,,,,,,0.828,,,,,,,,,0.772,,,,,,,,,0.794,,,,,,,,,0.778,,,,,,,,,0.822,,,,,,,,,0.708
2020,0.810,0.818,0.773,0.849,0.836,0.702,0.761,0.866,0.835,0.817,0.822,0.789,0.847,0.834,0.755,0.789,0.859,0.835,0.834,0.840,0.791,0.868,0.856,0.739,0.808,0.874,0.857,,,,,,,,,0.856,,,,,,,,,0.836,,,,,,,,,0.826,,,,,,,,,0.871,,,,,,,,,0.831,,,,,,,,,0.846,,,,,,,,,0.835,,,,,,,,,0.862,,,,,,,,,0.777
2021,0.802,0.817,0.772,0.846,0.853,0.705,0.764,0.866,0.833,0.810,0.823,0.794,0.845,0.857,0.749,0.789,0.858,0.832,0.829,0.839,0.790,0.868,0.868,0.743,0.809,0.876,0.858,,,,,,,,,0.858,,,,,,,,,0.837,,,,,,,,,0.819,,,,,,,,,0.877,,,,,,,,,0.827,,,,,,,,,0.835,,,,,,,,,0.843,,,,,,,,,0.863,,,,,,,,,0.773
2022,0.746,0.755,0.721,0.798,0.819,0.645,0.704,0.827,0.785,0.762,0.759,0.741,0.798,0.811,0.694,0.728,0.816,0.783,0.775,0.782,0.736,0.827,0.826,0.675,0.746,0.840,0.816,,,,,,,,,0.810,,,,,,,,,0.793,,,,,,,,,0.771,,,,,,,,,0.835,,,,,,,,,0.787,,,,,,,,,0.779,,,,,,,,,0.793,,,,,,,,,0.827,,,,,,,,,0.725
