year,dvrpc_female,dvrpc_male,dvrpc_latinx,dvrpc_nonlatinx,dvrpc_asian,dvrpc_black,dvrpc_minority,dvrpc_white,njcos_female,njcos_male,njcos_latinx,njcos_nonlatinx,njcos_asian,njcos_black,njcos_minority,njcos_white,pasubcos_female,pasubcos_male,pasubcos_latinx,pasubcos_nonlatinx,pasubcos_asian,pasubcos_black,pasubcos_minority,pasubcos_white,bucks_female,bucks_male,bucks_latinx,bucks_nonlatinx,bucks_asian,bucks_black,bucks_minority,bucks_white,burl_female,burl_male,burl_latinx,burl_nonlatinx,burl_asian,burl_black,burl_minority,burl_white,camd_female,camd_male,camd_latinx,camd_nonlatinx,camd_asian,camd_black,camd_minority,camd_white,ches_female,ches_male,ches_latinx,ches_nonlatinx,ches_asian,ches_black,ches_minority,ches_white,del_female,del_male,del_latinx,del_nonlatinx,del_asian,del_black,del_minority,del_white,glo_female,glo_male,glo_latinx,glo_nonlatinx,glo_asian,glo_black,glo_minority,glo_white,mer_female,mer_male,mer_latinx,mer_nonlatinx,mer_asian,mer_black,mer_minority,mer_white,mont_female,mont_male,mont_latinx,mont_nonlatinx,mont_asian,mont_black,mont_minority,mont_white,phil_female,phil_male,phil_latinx,phil_nonlatinx,phil_asian,phil_black,phil_minority,phil_white
2007,0.591,0.695,0.43,0.669,0.574,0.367,0.409,0.707,0.568,0.673,0.462,0.653,0.637,0.445,0.464,0.678,0.687,0.755,0.56,0.734,0.614,0.414,0.492,0.75,0.72,0.769,0.507,0.76,0.629,0.571,0.579,0.763,0.546,0.675,0.5,0.645,0.681,0.437,0.466,0.679,0.562,0.65,0.439,0.634,0.677,0.443,0.467,0.655,0.757,0.782,0.62,0.769,0.679,0.446,0.5,0.775,0.586,0.708,0.585,0.664,0.377,0.362,0.381,0.7,0.605,0.721,0.532,0.696,0.55,0.518,0.5,0.706,0.567,0.625,0.419,0.629,0.564,0.408,0.426,0.671,0.69,0.753,0.556,0.735,0.69,0.4,0.539,0.753,0.446,0.548,0.306,0.496,0.478,0.286,0.318,0.602
2008,0.527,0.658,0.322,0.628,0.469,0.341,0.375,0.658,0.511,0.605,0.344,0.595,0.47,0.377,0.399,0.611,0.61,0.735,0.45,0.7,0.576,0.415,0.491,0.713,0.586,0.738,0.326,0.707,0.595,0.3,0.522,0.706,0.491,0.608,0.345,0.587,0.5,0.349,0.373,0.614,0.521,0.538,0.279,0.559,0.429,0.34,0.369,0.57,0.685,0.772,0.533,0.744,0.688,0.425,0.508,0.745,0.52,0.66,0.467,0.615,0.474,0.413,0.434,0.637,0.512,0.677,0.577,0.635,0.5,0.393,0.392,0.65,0.52,0.637,0.391,0.628,0.533,0.526,0.526,0.638,0.645,0.751,0.565,0.719,0.593,0.438,0.516,0.743,0.408,0.51,0.242,0.47,0.354,0.291,0.299,0.545
2009,0.567,0.704,0.337,0.678,0.546,0.348,0.397,0.706,0.589,0.657,0.336,0.659,0.532,0.427,0.444,0.674,0.652,0.783,0.607,0.752,0.661,0.416,0.548,0.763,0.64,0.806,0.467,0.776,0.741,0.333,0.643,0.778,0.589,0.673,0.25,0.681,0.727,0.413,0.443,0.695,0.58,0.644,0.333,0.657,0.5,0.517,0.505,0.663,0.731,0.804,0.571,0.781,0.556,0.6,0.522,0.789,0.575,0.705,0.625,0.668,0.69,0.35,0.474,0.684,0.613,0.689,0.588,0.671,0.571,0.346,0.389,0.686,0.573,0.58,0.235,0.59,0.444,0.353,0.377,0.619,0.673,0.795,0.692,0.766,0.614,0.481,0.579,0.782,0.389,0.524,0.21,0.472,0.377,0.294,0.298,0.54
2010,0.582,0.702,0.377,0.681,0.484,0.396,0.417,0.706,0.585,0.681,0.5,0.665,0.655,0.47,0.5,0.678,0.657,0.764,0.475,0.74,0.511,0.431,0.479,0.752,0.695,0.764,0.364,0.751,0.467,0.6,0.571,0.751,0.533,0.696,0.563,0.667,0.5,0.366,0.407,0.686,0.581,0.637,0.386,0.639,0.615,0.492,0.489,0.647,0.678,0.772,0.5,0.757,0.385,0.556,0.485,0.763,0.618,0.762,0.5,0.728,0.581,0.318,0.442,0.755,0.632,0.688,0.8,0.676,1.0,0.514,0.512,0.689,0.589,0.734,0.647,0.699,0.778,0.515,0.608,0.714,0.635,0.761,0.579,0.727,0.517,0.438,0.472,0.745,0.441,0.535,0.234,0.522,0.314,0.344,0.334,0.579
2011,0.567,0.677,0.403,0.657,0.496,0.336,0.383,0.682,0.592,0.664,0.425,0.656,0.493,0.477,0.485,0.663,0.647,0.739,0.591,0.722,0.567,0.433,0.486,0.73,0.721,0.754,0.652,0.75,0.6,0.692,0.556,0.748,0.557,0.692,0.389,0.669,0.45,0.375,0.408,0.687,0.574,0.612,0.387,0.62,0.368,0.593,0.532,0.611,0.617,0.764,0.579,0.745,0.765,0.4,0.581,0.743,0.576,0.676,0.231,0.658,0.441,0.388,0.402,0.678,0.626,0.664,0.455,0.654,0.5,0.56,0.556,0.654,0.65,0.714,0.5,0.714,0.636,0.318,0.48,0.747,0.659,0.758,0.909,0.73,0.581,0.4,0.516,0.742,0.385,0.515,0.287,0.464,0.387,0.237,0.262,0.541
2012,0.593,0.714,0.411,0.689,0.508,0.411,0.431,0.715,0.625,0.721,0.489,0.706,0.525,0.578,0.53,0.716,0.644,0.753,0.623,0.729,0.585,0.403,0.486,0.742,0.644,0.746,0.65,0.724,0.429,0.474,0.468,0.729,0.556,0.736,0.5,0.691,0.556,0.536,0.519,0.713,0.621,0.652,0.444,0.66,0.45,0.614,0.553,0.661,0.724,0.77,0.727,0.761,1.0,0.552,0.698,0.764,0.521,0.718,0.333,0.668,0.4,0.275,0.292,0.703,0.673,0.751,0.609,0.745,0.4,0.696,0.579,0.745,0.649,0.78,0.4,0.757,0.611,0.444,0.465,0.789,0.695,0.772,0.625,0.753,0.677,0.387,0.552,0.766,0.443,0.56,0.241,0.516,0.375,0.333,0.336,0.583
2013,0.587,0.702,0.44,0.675,0.527,0.372,0.408,0.702,0.583,0.675,0.469,0.659,0.611,0.492,0.505,0.665,0.658,0.76,0.614,0.733,0.511,0.46,0.484,0.747,0.632,0.762,0.571,0.726,0.5,0.333,0.433,0.73,0.572,0.689,0.348,0.67,0.5,0.5,0.5,0.667,0.532,0.656,0.459,0.619,0.556,0.491,0.472,0.634,0.718,0.782,0.833,0.772,0.667,0.571,0.645,0.772,0.616,0.712,0.571,0.679,0.593,0.356,0.446,0.713,0.648,0.636,0.588,0.645,0.6,0.412,0.481,0.649,0.623,0.748,0.526,0.741,0.7,0.563,0.591,0.756,0.676,0.771,0.471,0.748,0.382,0.571,0.476,0.765,0.418,0.531,0.275,0.493,0.452,0.284,0.303,0.584
2014,0.57,0.673,0.413,0.648,0.477,0.322,0.36,0.686,0.558,0.626,0.355,0.613,0.459,0.419,0.415,0.629,0.657,0.74,0.641,0.716,0.5,0.379,0.446,0.739,0.657,0.732,0.556,0.71,0.5,0.417,0.528,0.719,0.547,0.591,0.538,0.58,0.55,0.408,0.44,0.601,0.596,0.622,0.25,0.636,0.45,0.419,0.39,0.645,0.684,0.784,0.833,0.748,0.75,0.591,0.641,0.756,0.599,0.666,0.714,0.646,0.474,0.24,0.329,0.701,0.528,0.655,0.444,0.617,0.5,0.516,0.5,0.618,0.545,0.674,0.333,0.638,0.368,0.278,0.333,0.696,0.675,0.761,0.593,0.743,0.432,0.425,0.424,0.769,0.4,0.524,0.275,0.488,0.46,0.249,0.268,0.582
2015,0.584,0.703,0.467,0.679,0.561,0.342,0.41,0.717,0.583,0.671,0.444,0.648,0.536,0.466,0.482,0.664,0.681,0.769,0.797,0.75,0.651,0.444,0.543,0.769,0.691,0.745,0.81,0.741,0.708,0.267,0.596,0.753,0.617,0.675,0.571,0.65,0.421,0.447,0.46,0.68,0.538,0.654,0.385,0.629,0.278,0.422,0.386,0.658,0.746,0.781,0.588,0.779,0.842,0.611,0.659,0.782,0.607,0.746,0.909,0.699,0.655,0.405,0.507,0.731,0.606,0.661,0.5,0.646,1.0,0.75,0.714,0.639,0.6,0.731,0.438,0.698,0.882,0.368,0.564,0.72,0.678,0.792,0.933,0.766,0.5,0.474,0.48,0.795,0.338,0.506,0.263,0.462,0.424,0.244,0.279,0.553
2016,0.658,0.739,0.474,0.722,0.667,0.422,0.499,0.746,0.59,0.688,0.437,0.669,0.531,0.512,0.518,0.677,0.745,0.789,0.609,0.778,0.761,0.452,0.602,0.791,0.707,0.794,0.577,0.775,0.731,0.429,0.63,0.775,0.587,0.71,0.35,0.684,0.5,0.628,0.607,0.681,0.606,0.675,0.4,0.672,0.474,0.553,0.5,0.688,0.798,0.813,0.565,0.815,0.923,0.391,0.625,0.818,0.714,0.749,0.5,0.739,0.667,0.31,0.439,0.779,0.567,0.703,0.462,0.668,0.4,0.3,0.345,0.675,0.612,0.643,0.643,0.626,0.727,0.353,0.548,0.639,0.759,0.789,0.714,0.778,0.774,0.617,0.702,0.79,0.501,0.612,0.364,0.574,0.636,0.354,0.404,0.655
