"year","dvrpc_female","dvrpc_male","dvrpc_latinx","dvrpc_nonlatinx","dvrpc_asian","dvrpc_black","dvrpc_minority","dvrpc_white","njcos_female","njcos_male","njcos_latinx","njcos_nonlatinx","njcos_asian","njcos_black","njcos_minority","njcos_white","pasubcos_female","pasubcos_male","pasubcos_latinx","pasubcos_nonlatinx","pasubcos_asian","pasubcos_black","pasubcos_minority","pasubcos_white","bucks_female","bucks_male","bucks_latinx","bucks_nonlatinx","bucks_asian","bucks_black","bucks_minority","bucks_white","burl_female","burl_male","burl_latinx","burl_nonlatinx","burl_asian","burl_black","burl_minority","burl_white","camd_female","camd_male","camd_latinx","camd_nonlatinx","camd_asian","camd_black","camd_minority","camd_white","ches_female","ches_male","ches_latinx","ches_nonlatinx","ches_asian","ches_black","ches_minority","ches_white","del_female","del_male","del_latinx","del_nonlatinx","del_asian","del_black","del_minority","del_white","glo_female","glo_male","glo_latinx","glo_nonlatinx","glo_asian","glo_black","glo_minority","glo_white","mer_female","mer_male","mer_latinx","mer_nonlatinx","mer_asian","mer_black","mer_minority","mer_white","mont_female","mont_male","mont_latinx","mont_nonlatinx","mont_asian","mont_black","mont_minority","mont_white","phil_female","phil_male","phil_latinx","phil_nonlatinx","phil_asian","phil_black","phil_minority","phil_white"
"2007",62452,184118,10286,213486,8192,24070,34312,183914,21116,61528,4682,70462,2748,9670,13176,60796,28490,96392,2732,112350,3546,5822,10040,101934,7930,27210,870,31672,780,684,1650,30450,6140,18502,990,21166,612,3386,4194,17686,6854,18012,1868,20712,728,3090,4084,18120,5562,20900,690,23672,748,890,1748,21576,6022,17944,418,21462,582,2116,2850,18306,4472,14366,518,16688,262,1242,1616,15376,3650,10648,1306,11896,1146,1952,3282,9614,8976,30338,754,35544,1436,2132,3792,31602,12846,26198,2872,30674,1898,8578,11096,21184
"2008",47614,145560,7502,170100,7746,16324,25650,151946,14762,44612,3336,51634,2650,5924,9066,45960,22918,80226,2070,93958,3462,4306,8414,87634,6150,22474,638,26142,762,496,1434,25384,4352,13620,752,15738,548,2162,2870,13690,4802,12654,1294,14858,704,1876,2756,13428,4778,18078,516,20742,678,754,1550,19692,4714,14546,324,17656,640,1532,2318,15620,3130,10428,320,12276,250,776,1096,11552,2478,7910,970,8762,1148,1110,2344,7290,7276,25128,592,29418,1382,1524,3112,26938,9934,20722,2096,24508,1634,6094,8170,18352
"2009",48252,189428,6288,212122,11308,10786,23476,195056,14544,55994,2818,62756,4010,4292,8740,56662,25440,112730,2012,126236,5528,3046,9254,119324,7012,30724,596,34290,1278,414,1870,33156,4174,18010,740,19702,956,1614,2722,17736,4310,14414,884,16512,850,1208,2180,15116,5302,27166,518,29780,1226,518,1912,28388,4780,18486,266,21252,864,960,1976,19548,3192,11850,366,13596,372,580,1030,12976,2868,11720,828,12946,1832,890,2808,10834,8346,36354,632,40914,2160,1154,3496,38232,8268,20704,1458,23130,1770,3448,5482,19070
"2010",40306,167802,4996,189284,10812,8068,19852,174554,11654,47214,2006,53276,3592,2790,6736,48612,21808,103082,1762,115654,5692,2562,8656,108856,5980,28098,514,31566,1238,308,1662,30556,3422,15364,566,17030,782,998,1882,15800,3478,12250,646,14126,746,784,1648,13108,4480,24582,442,26816,1268,468,1806,25354,3998,17008,234,19518,960,780,1822,17938,2514,9890,232,11344,252,488,798,10806,2240,9710,562,10776,1812,520,2408,8898,7350,33394,572,37754,2226,1006,3366,35008,6844,17506,1228,20354,1528,2716,4460,17086
"2011",35904,147338,4464,168032,9936,7178,17982,154300,10316,41614,1794,47498,3362,2488,6174,43012,19568,90132,1618,102178,5010,2264,7672,96124,5246,24368,472,27634,1126,286,1556,26574,3096,13484,546,15100,730,964,1808,13852,2950,10596,504,12380,726,686,1486,11368,4086,21244,436,23488,1130,354,1562,22326,3652,15226,198,17638,776,690,1544,16212,2264,8308,232,9792,238,386,676,9328,2006,9226,512,10226,1668,452,2204,8464,6584,29294,512,33418,1978,934,3010,31012,6020,15592,1052,18356,1564,2426,4136,15164
"2012",44896,186764,5352,213080,12518,9164,22748,195570,13280,53458,2210,61196,4092,3412,7944,55286,24624,114098,2044,129528,6446,2896,9776,121924,6776,30940,566,35256,1496,372,1994,33954,3846,17126,564,19218,922,1328,2398,17374,3832,13538,724,15816,902,978,2018,14484,5086,26978,546,29984,1486,510,2098,28424,4522,18592,296,21520,984,834,1898,19908,2952,11268,308,13244,300,532,914,12584,2650,11526,614,12918,1968,574,2614,10844,8240,37588,636,42768,2480,1180,3786,39638,6992,19208,1098,22356,1980,2856,5028,18360
"2013",37894,146146,5296,168594,10350,8500,19814,153910,11076,42452,2180,48504,3430,3010,6846,43690,20354,86700,1998,99720,4978,2680,8018,93816,5244,23166,578,26368,1132,296,1536,25566,3300,13596,598,15358,784,1102,2014,13906,3210,11106,680,12806,806,894,1832,11590,4424,20668,468,23352,1112,468,1660,22190,3762,14284,308,16826,782,768,1612,15478,2514,8938,304,10532,282,482,828,10038,2052,8812,598,9808,1558,532,2172,8156,6924,28582,644,33174,1952,1148,3210,30582,6464,16994,1118,20370,1942,2810,4950,16404
"2014",24860,81234,3428,97382,6566,6396,13626,86638,6994,22834,1350,27146,1982,2104,4286,23964,13022,47156,1214,56096,3098,1984,5352,51852,3498,13222,320,15658,770,228,1076,14858,2048,7032,298,8386,424,838,1312,7300,2118,6048,464,7262,500,546,1118,6558,2670,10950,334,12684,680,338,1074,11912,2514,7766,174,9546,458,660,1162,8556,1512,5196,182,6228,126,354,502,5870,1316,4558,406,5270,932,366,1354,4236,4340,15218,386,18208,1190,758,2040,16526,4844,11244,864,14140,1486,2308,3988,10822
"2015",28306,95232,4124,112648,7826,6986,15570,100190,7578,26450,1716,30674,2284,2328,4840,27124,15466,56394,1392,66922,3820,2274,6452,61590,4214,15238,422,18098,874,290,1264,17154,2230,8470,416,9740,564,814,1446,8634,2304,6804,572,8052,400,710,1178,7276,3204,13524,352,15602,810,400,1290,14612,2938,9392,180,11496,654,666,1398,10238,1684,5786,206,6908,144,388,576,6476,1360,5390,522,5974,1176,416,1640,4738,5110,18240,438,21726,1482,918,2500,19586,5262,12388,1016,15052,1722,2384,4278,11476
"2016",31508,101832,4670,121584,8864,7470,17042,108132,8486,28522,1868,33418,2644,2616,5482,29448,17306,60354,1734,72084,4254,2604,7216,66200,4558,16740,528,19714,1042,368,1492,18616,2572,9244,530,10754,640,984,1696,9478,2484,7438,624,8760,532,694,1304,7970,3642,14152,406,16570,1032,410,1524,15342,3280,9794,230,12204,642,720,1432,10916,1974,6224,252,7572,192,450,664,7132,1456,5616,462,6332,1280,488,1818,4868,5826,19668,570,23596,1538,1106,2768,21326,5716,12956,1068,16082,1966,2250,4344,12484
